V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T,ISR_HFCE,ISR_NPISH,ISR_GGFC,ISR_GFCF,ISR_INVNT,ISR_DPABR
ISR_A01_02,1039.3236,7.5224,0.0038,0.2639,0.0105,3496.9839,0.6588,0.159,0.0726,0.0774,37.5796,4.0904,23.8865,0.1489,0.0295,0.1837,0.0666,0.0305,0.0389,0.0185,0.0187,1.96,1.8643,2.2059,15.5997,36.1267,1.4768,0.3444,0.3395,0.1956,0.0535,537.3792,8.5561,0.012,1.4392,1.6082,3.1374,22.4797,67.8686,135.1501,2.4272,6.2895,3.6056,0.0926,0.0,4223.0793,0.0078,0.0253,253.4031,65.7435,0.0
ISR_A03,0.0016,0.2182,0.0002,0.0117,0.0005,4.5668,0.0025,0.0008,0.0048,0.0318,0.0255,0.0006,3.7141,0.0096,0.0013,0.0088,0.0288,0.0049,0.0013,0.0009,0.0287,0.012,0.0116,2.2941,0.12,0.0503,0.059,0.0289,0.0204,0.0478,0.0032,2.7936,1.5062,0.0792,0.0336,0.091,2.0226,0.1392,0.1108,0.0337,0.0527,0.0093,7.9497,1.5755,0.0,128.6784,0.0,0.0,0.0,0.6111,0.0
ISR_B05_06,0.0152,0.0015,0.0903,1.6736,0.0987,0.0202,0.0016,0.0,0.0,200.9294,1.2509,0.0,0.0,1.7132,0.0525,0.0031,0.0544,0.0004,0.001,0.0,0.0012,5.2246,7.5584,2.1136,0.2995,0.006,0.0009,0.0,0.0,0.0,0.0,0.001,0.0,0.0015,0.0065,0.0,0.0004,0.0262,0.0058,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,5.5282,-5.0827,0.0
ISR_B07_08,0.7392,14.1361,0.0,0.0059,0.0001,0.0503,0.0208,0.073,10.3573,0.0005,0.8389,9.4461,8.7668,0.0847,0.0002,0.0033,0.0045,0.0,0.0001,0.009,0.0,1032.8562,0.0001,0.0,2.4384,0.0,0.0,0.0,0.0,0.1337,0.0222,0.0,6.0987,2.0398,3.0163,0.1876,0.0001,0.824,1.0193,5.1044,0.2158,0.0,0.0,0.2954,0.0,0.0,0.0,0.0,27.2379,151.246,0.0
ISR_B09,0.0,0.0,36.6448,1.3959,21.5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.1507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,1208.955,21.9713,0.0789,4.5455,0.2139,3811.8857,4.6675,2.1639,7.1459,3.0788,136.8949,19.6112,3.1562,1.0759,0.8863,1.3751,5.0078,12.5778,1.5365,0.133,1.2802,30.437,1.8667,4.2283,11.2992,6.2024,6.13,5.1357,3.5119,0.556,0.1929,2458.0739,14.7626,1.1396,6.8731,5.4396,8.6701,24.4628,8.2289,276.6237,43.4322,42.4733,3.2056,2.8594,0.0,12203.1516,0.0103,0.4029,6.2042,184.8248,0.0
ISR_C13T15,5.6155,0.058,0.0333,2.2131,0.0607,8.057,280.7072,0.7973,14.1802,2.356,25.1396,1.0171,19.9448,3.5687,0.9783,7.5981,3.8358,1.3605,4.5896,4.6593,1.8989,62.7639,1.7615,8.0587,25.2876,38.7115,7.8384,6.0293,3.9891,2.432,0.2598,10.7204,0.3764,0.0812,0.9035,2.2918,3.5468,17.2517,12.9983,32.8576,6.3008,37.2878,10.2818,7.3454,0.0,1429.8871,0.0282,0.0917,7.9148,20.6201,0.0
ISR_C16,0.9766,0.0343,0.005,0.4433,0.0156,6.0985,1.2055,75.1081,6.1195,7.169,9.1923,0.0683,5.1579,7.1511,2.1462,4.9795,3.0694,1.7281,0.87,1.1999,1.0151,183.0085,0.3821,0.2083,128.6203,1.2682,0.2539,0.1665,0.0959,0.0448,0.0132,0.94,0.0484,0.0102,0.0349,0.1738,3.6645,0.9408,2.1248,3.9739,0.2522,0.4159,0.3167,0.1916,0.0,18.193,0.0,0.0,8.0563,2.77,0.0
ISR_C17_18,76.5813,0.2248,0.0159,1.3703,0.0376,176.3746,8.7505,13.3701,510.2739,20.2321,97.2713,26.1291,51.6898,22.6771,6.1426,35.8627,25.6459,7.7432,13.7815,1.7679,7.9764,89.1113,6.5621,13.8594,62.503,208.3436,5.5566,2.6452,2.6627,10.2762,2.3225,18.1771,213.1905,4.2492,10.3693,42.2149,4.2744,281.6148,6.6445,99.3026,62.7364,68.9303,45.5959,9.1624,0.0,582.6065,0.0073,4.0973,8.945,22.4041,0.0
ISR_C19,36.2917,2.7892,0.5288,41.7066,0.7859,91.2913,84.5894,2.763,31.3008,4103.4569,382.4401,33.6822,538.2988,171.0517,30.5077,39.3673,87.0787,29.1498,30.0542,5.8927,8.5788,178.7421,84.3895,77.2527,240.667,270.6964,537.2028,160.8228,235.4322,12.108,5.908,30.6489,4.1851,17.0241,29.9952,29.5865,24.445,77.8742,116.5406,218.5133,18.013,35.6136,18.7766,14.6024,0.0,5298.3478,0.0134,0.0435,0.5528,109.764,0.0
