V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T,LUX_HFCE,LUX_NPISH,LUX_GGFC,LUX_GFCF,LUX_INVNT,LUX_DPABR
LUX_A01_02,47.8148,0,0,0.0073,0,121.0661,0.5073,3.4995,0.2269,0,1.8417,0.4111,16.1197,0.3404,1.0068,0.2958,0.0536,0.0375,0.4572,0.0374,0.0387,0.149,1.785,0.0251,1.8803,0.759,0.4444,0.0276,0.3825,0.0941,0.0308,3.3687,0.0323,0.0847,0.6233,0.4342,0.6398,1.2473,0.4443,0.3659,0.1065,1.0262,0.4719,0.2667,0.0,64.8822,0.3734,9.7814,8.8309,5.4494,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.0657,0,0,0.7498,0,0.0688,0.1879,0.0,0.0346,0,1.9993,0.0519,1.2273,41.7205,37.201,0.4823,0.0229,0.0269,0.2408,0.0094,0.0121,0.0454,1.9581,0.175,11.6388,0.0,0.554,0.0004,0.0051,0.0438,0.0015,0.0134,0.0,0.0,0.0,0.0,0.2085,0.0311,0.0218,0.0054,0.0002,0.0,0.0,0.0008,0.0,0.0509,0.0,0.0,0.0,0.5763,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,23.4343,0,0,0.0414,0,69.9542,0.1223,0.0867,0.4908,0,17.6898,4.4868,10.3002,1.4847,3.9627,1.2516,0.2162,0.113,2.2706,0.1152,0.1004,0.4349,0.0025,0.0328,1.3798,0.2573,0.0288,0.77,8.2826,1.2676,0.2553,206.8222,0.0346,0.0263,0.0,0.0024,2.5589,5.4256,6.58,1.4559,0.2325,31.6496,1.4402,0.3966,0.0,975.6083,0.0,0.4706,0.0061,50.5151,0.0
LUX_C13T15,0.7115,0,0,0.0214,0,1.0486,102.0129,0.0273,0.5238,0,0.656,0.2623,39.2962,1.8546,3.622,1.593,0.3096,0.1415,2.619,0.9643,0.4806,2.1994,0.0429,0.0342,2.989,4.542,0.3599,0.0682,1.0976,0.3052,0.3576,0.2194,0.0375,0.0029,0.147,0.0061,0.5479,1.8234,3.2231,0.4481,0.0152,1.4162,0.2618,0.5193,0.0,378.4655,0.0,0.0876,0.0,14.7693,0.0
LUX_C16,0.329,0,0,0.0302,0,2.1274,1.1904,26.7051,1.0427,0,0.8811,0.1072,18.8946,7.1757,12.214,5.2039,0.2742,0.3443,3.9949,0.682,1.9065,7.7545,1.8964,0.3185,67.8439,4.0381,1.0364,0.0285,0.2821,0.5224,0.1066,0.2347,0.0977,0.5935,4.0641,0.9231,5.3966,5.9103,1.4509,2.4046,3.0978,0.6813,0.1533,0.3485,0.0,7.4632,0.0042,0.0609,30.3682,5.0235,0.0
LUX_C17_18,0.0062,0,0,0.0089,0,6.2677,0.1062,0.0136,22.5639,0,1.7983,1.2128,25.1368,4.3205,5.4411,2.7086,0.9104,0.4349,4.3335,0.2582,0.1941,0.6778,0.0297,0.0153,0.7361,38.787,0.4414,0.0765,1.946,0.9577,2.3447,0.1481,2.2178,0.0988,43.8725,2.0882,3.577,8.9251,12.7038,0.4255,0.1321,0.3218,0.0754,0.197,0.0,4.2967,0.0,0.027,0.0,-1.7668,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
