V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T,NGA_HFCE,NGA_NPISH,NGA_GGFC,NGA_GFCF,NGA_INVNT,NGA_DPABR
NGA_A01_02,26540.01,59.7511,2487.099,0.0001,0.006,14173.4159,156.1635,124.4268,2.4923,0.0057,114.4732,29.0602,5.2108,0.0688,0.0163,0.015,0.0001,0.0006,0.0013,0.0068,0.0004,4.9359,0.019,0.0085,1749.9657,27673.5893,0.01,0.0005,0.0203,0.002,0.0,1584.4027,0.04,0.0219,0.0203,0.0007,0.1714,53.9003,0.0046,0.0282,0.4665,0.0636,0.0081,0.1351,0.0,42446.0438,0.0,0.0,2495.9224,2273.247,0.0
NGA_A03,0.0341,236.0931,0.0,0.0,0.0,6.1883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0002,0.0008,67.0526,0.0002,0.0007,0.0006,0.0017,0.0,30.1176,0.0002,0.0,0.0,0.0007,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.864,0.0,0.0,0.0,33.7489,0.0
NGA_B05_06,15.0989,0.3003,157.9091,0.5271,0.2022,15.8968,15.6638,2.0525,1.3714,2701.9423,0.2574,0.047,728.0632,678.8667,16.8913,6.3653,0.0017,0.074,0.3977,0.7689,0.0561,4.2951,1.7765,0.7309,97.6233,1392.5368,4.6068,0.0604,0.599,0.0935,0.0743,2.5275,2.4906,6.1774,3.5796,0.3937,0.5278,1.0161,0.1834,4.9924,12.245,2.4069,0.3035,5.3491,0.0,563.4795,0.0,0.8835,237.8462,494.2919,0.0
NGA_B07_08,0.0,0.0,0.4957,4.0624,0.3034,1.0235,1.0683,0.0017,3.1245,0.0033,6.6116,0.2802,0.0446,170.6891,8.1085,3.0254,0.0128,0.1242,0.2342,49.3212,3.8653,0.5148,29.2501,0.0684,410.695,1.6699,0.015,0.0004,0.0005,0.0046,0.0,0.0,0.0015,0.1122,0.0851,0.0001,0.0024,0.0002,0.0001,4.8686,0.0006,0.0181,0.0001,0.0004,0.0,33.5196,0.0,0.0,0.0,19.4177,0.0
NGA_B09,0.0063,0.0026,55.982,0.0106,0.0021,0.0019,0.001,0.0001,0.0005,0.0,0.0002,0.0,0.0003,0.0353,0.004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0129,0.0003,0.1347,0.0019,0.0052,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0179,0.0027,0.0,0.0007,0.0002,0.0001,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_C10T12,2.8209,36.0866,483.8668,0.0349,0.0122,3533.5098,0.4826,7.44,33.0105,0.0,58.1666,12.14,0.4349,47.1589,0.0494,0.0456,0.0163,0.0314,0.0592,24.0006,1.6309,2.2521,10.3918,1.7285,15.2699,7331.8333,1.438,15.8924,4.5649,10.1583,0.3955,796.0341,147.6187,21.0241,9.7721,15.4989,30.7023,17.208,11.7117,175.3956,74.2167,254.2228,16.7567,582.8297,0.0,32067.765,0.0,0.0,0.0,358.663,0.0
NGA_C13T15,0.0166,0.0294,1.0652,0.2315,0.0112,0.2613,1364.5293,3.17,0.4321,0.0005,0.0522,0.0109,0.5493,2.3132,1.5438,2.0567,0.003,0.028,0.3268,0.8617,0.0685,3.5163,0.2568,1.2396,2.7449,85.4583,9.1752,0.1333,0.0641,0.3012,0.0058,0.6237,0.2247,0.2458,0.1702,0.3596,0.3188,1.1552,0.272,0.8003,0.2113,6.0968,0.0491,2.1271,0.0,9383.5716,0.0,0.0,3.6483,124.5556,0.0
NGA_C16,0.1385,0.0003,0.0609,0.0814,0.007,0.2414,1.4604,36.1373,5.804,0.0002,0.2605,0.0256,2.5673,6.0466,2.1771,2.9822,0.027,0.2616,0.8781,2.3569,0.131,14.4548,4.8457,0.2879,830.4236,5.6903,0.0255,0.0037,0.0604,0.0907,0.0036,0.0034,0.3291,0.2447,0.1825,0.1277,6.0874,1.6641,0.5872,36.5513,4.6214,0.1271,0.2154,3.5662,0.0,557.4601,0.0,0.0,28.2038,15.7272,0.0
NGA_C17_18,0.0175,0.5048,0.4074,0.0064,0.0029,2.1167,0.7678,0.9435,3.9114,0.0008,0.4114,0.1043,0.3373,11.0275,2.2872,3.6064,0.0223,0.1361,0.3231,1.5907,0.0852,0.5464,2.4399,0.7286,2.2382,24.1507,1.7893,0.056,0.2206,1.0559,2.2985,0.1188,41.6848,13.4324,9.5217,1.8452,2.3949,5.3718,1.1564,16.6688,6.2774,13.3665,1.3477,19.2358,0.0,503.0213,0.0,0.0,0.0,2.844,0.0
NGA_C19,0.0016,0.0128,76.9942,0.2498,0.0565,0.6767,14.7917,0.9686,1.0883,14.1586,0.026,0.0013,0.2472,3.2204,6.1586,2.7167,0.0555,0.0586,0.1314,0.0514,0.0027,0.851,13.6011,6.5628,10.2487,37.4917,64.1957,1.5991,2.2738,0.0936,0.1638,0.1153,6.3043,79.8258,45.8765,0.636,10.3015,0.9567,0.2658,1.4447,2.4228,3.1635,0.3923,1.5451,0.0,593.7818,0.0,0.0,0.0,11.5296,0.0
NGA_C20,3.6204,0.4391,21.3396,0.0233,0.0201,2.3241,19.1725,6.381,11.2807,0.008,0.3149,0.0225,2.6172,12.6794,3.821,3.4956,0.0137,0.1026,0.2362,0.7377,0.0301,2.2163,4.5699,2.0398,3.8715,14.4242,2.4031,0.0025,4.8994,0.4164,0.0012,0.5002,5.9717,5.1485,4.8068,0.1286,0.1248,2.7872,0.8528,0.2794,110.8677,6.992,1.6085,14.719,0.0,409.0168,0.0,0.0,0.0056,3.7413,0.0
NGA_C21,0.0119,0.0,10.4507,0.0009,0.0002,0.0143,0.0,0.0,0.0005,0.0033,0.0009,0.0029,0.0,0.0,0.0023,0.0018,0.0056,0.0022,0.0042,0.0071,0.0005,0.0007,0.0,0.0,0.0,0.0771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6514,7.3445,0.0,0.0,0.0253,0.0,0.0426,0.4547,8.3457,0.0,0.0,0.0,249.8457,0.0,31.9313,0.0,0.3032,0.0
NGA_C22,0.1358,0.0779,2.0595,0.0001,0.0421,16.1532,6.3699,1.0105,0.005,0.0009,0.0001,0.0,1.4461,107.5427,0.0017,0.0015,0.0183,0.0,0.0001,0.0003,0.0,9.4668,2.9211,1.9459,461.1924,160.4357,64.5028,0.0768,0.6404,4.1013,0.0829,0.13,7.9225,29.4541,18.4092,2.2556,5.3406,1.1773,0.2944,63.8623,37.8174,6.7623,1.813,75.6128,0.0,888.4328,0.0,0.0,0.0206,0.6913,0.0
NGA_C23,0.0036,0.8132,21.7796,5.0933,0.1107,28.3704,28.703,18.4723,0.0124,0.0109,0.0876,0.0246,3.5953,300.1875,79.4044,58.4266,0.3019,2.939,16.2585,17.4493,0.7036,25.0106,29.2456,5.1206,5258.9677,134.5474,0.0053,0.0001,0.0051,0.0119,0.0396,0.0978,0.354,0.2291,0.1406,0.336,0.008,0.4803,1.1143,437.9464,2.1966,3.2285,0.213,18.0651,0.0,2109.2736,0.0,2.273,0.3639,152.2846,0.0
NGA_C24,0.0028,0.0048,175.4504,0.5722,0.1027,0.0215,46.0839,14.7803,0.6575,0.0066,0.2864,0.0183,3.8076,14.6245,57.5144,47.1991,0.0,1.7662,1.163,1.1823,0.0482,128.1268,0.8334,2.718,116.2952,18.4208,0.0025,0.0018,0.0,0.0096,0.0001,0.0072,0.1401,0.0626,0.0435,0.0566,0.0157,0.0096,0.0006,0.0135,0.0419,0.0715,0.0001,0.0711,0.0,4.3836,0.0,0.0,1.184,60.6638,0.0
NGA_C25,3.7027,0.0,2.7414,7.0026,0.0842,0.2239,0.1677,2.642,0.0006,0.0072,0.0012,0.0001,0.9216,5.8893,2.2871,5.5118,0.0405,0.2255,2.2586,1.6895,0.0908,7.5379,0.2915,1.4325,146.0379,32.1489,0.2341,0.0004,0.0074,0.3351,0.0006,0.0192,0.1297,28.0105,16.8459,0.0888,0.0406,0.2335,0.2033,0.3612,3.1824,0.0305,0.0813,4.9891,0.0,565.3175,0.0,0.0,21.1068,9.8021,0.0
NGA_C26,0.0001,0.0,0.1661,0.0,0.0001,0.0001,0.0005,0.0002,0.0003,0.0,0.0004,0.0001,0.0002,0.0003,0.0159,0.029,0.0004,0.0007,0.0084,0.0081,0.0007,0.0484,0.0026,0.0049,0.083,0.2572,0.0157,0.0,0.0008,0.0089,0.0018,0.0,0.0563,0.5081,0.2294,0.0724,0.0018,0.1563,0.0024,0.0415,0.0081,0.1249,0.0057,0.0079,0.0,11.0321,0.0,0.0,20.6131,0.1081,0.0
NGA_C27,0.0,0.0002,0.0457,0.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0001,0.0003,0.0001,0.0001,0.0029,0.0189,0.025,0.0001,0.0007,0.0047,0.017,0.0009,0.0482,0.0205,0.0094,0.1236,0.4856,0.0,0.0,0.0,0.0002,0.0,0.0,0.0033,0.0482,0.0174,0.0008,0.0001,0.0022,0.0022,0.0007,0.0037,0.0053,0.0005,0.0785,0.0,12.1199,0.0,0.0,16.6629,0.1351,0.0
NGA_C28,0.0144,0.0,3.0384,0.0745,0.0071,0.2388,0.6233,0.0475,0.0,0.0027,0.0004,0.0001,0.0018,0.0193,0.0113,0.0131,0.0003,0.0022,0.1416,0.0353,0.002,0.4144,0.0026,0.1785,4.9146,4.0135,0.0397,0.0,0.0551,0.0216,0.0,0.0,0.0303,0.1519,0.1047,0.0,0.0,0.0821,0.0134,0.0,0.0,0.0,0.0,0.0414,0.0,31.3703,0.0,0.0,124.2817,1.2207,0.0
NGA_C29,0.0003,0.0,69.5928,0.2186,0.0373,0.0104,22.3635,6.9569,0.3177,0.0031,0.1303,0.008,1.6183,6.771,25.3199,21.1203,0.0004,0.8596,0.0,0.0237,0.0003,59.8008,0.0042,1.3174,13.2194,13.2874,0.9031,0.0,0.0,0.0035,0.0004,0.0031,0.0527,0.7016,0.5158,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,20.7013,0.0,0.0,38.2293,27.4523,0.0
NGA_C30,0.0,0.0,0.0344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0028,0.0,0.0003,0.0228,0.0023,0.0207,0.1993,0.0,0.0,0.2359,0.3518,0.0344,0.0,0.0034,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0,0.0,0.0279,0.0,0.0,16.0362,0.0,0.0,15.0937,-2.0851,0.0
NGA_C31T33,20.8394,4.1036,65.9094,0.1561,0.0558,5.1701,35.3617,22.581,0.6117,0.0008,0.1535,0.0286,0.9471,5.3996,0.3402,0.3201,0.0227,0.007,0.1257,0.067,0.013,85.7874,7.447,4.565,74.7894,158.9349,9.7931,1.0146,2.729,4.6819,0.1655,3.8554,19.3606,46.3891,24.6794,28.588,17.0432,9.5588,0.4137,8.2951,21.533,34.8341,0.2696,41.062,0.0,1995.9327,0.0,0.0,539.7667,6.4888,0.0
NGA_D,3.3752,0.7145,505.1665,0.3506,0.0747,1.5246,4.1536,0.7234,0.4717,0.0659,0.0467,0.0033,0.6176,1.302,0.1766,0.0925,0.0188,0.0205,0.0629,1.1526,0.0339,2.175,151.6401,5.0655,31.1448,49.8888,5.6044,0.0,0.581,1.1149,0.0185,1.4517,21.3384,26.8715,8.4455,3.4061,83.0975,3.3198,0.2445,39.7476,22.6804,8.9447,0.0,58.4877,0.0,2788.45,0.0,0.0,0.0,0.0001,0.0
NGA_E,5.7549,0.0,7.9647,0.0004,0.0335,0.4092,3.9224,0.5695,0.8439,0.1435,0.1382,0.0154,0.15,0.2976,3.573,2.6075,0.0069,0.0627,0.6511,0.5238,0.0423,0.7759,0.0033,1.6145,0.0374,25.5846,1.4101,0.0,0.0,0.1483,0.0,1.7314,2.1133,0.7475,0.4399,1.4811,9.4353,0.2544,0.0227,10.4559,0.926,2.4801,0.3233,1.6909,0.0,851.745,0.0,0.0,0.0,0.0,0.0
NGA_F,0.6465,1.5048,18.6072,0.0026,0.2082,0.2865,7.8828,1.9357,0.003,0.0039,0.0,0.0,0.7349,2.6647,0.0001,0.0001,0.0069,0.0001,0.0001,0.0019,0.0001,3.0528,2.3508,3.1705,2.6523,84.4895,2.4222,0.0,0.0,0.2333,0.0,0.8081,3.1551,11.1025,3.6591,23.5416,29.5721,1.9487,1.4504,3.8374,5.8651,6.7773,0.3554,11.3759,0.0,2384.3013,0.0,0.0,41673.8458,0.0,0.0
NGA_G,9156.7026,166.522,1810.0471,14.7374,1.7849,6518.4664,2369.9031,197.4948,62.9386,335.3513,66.4313,16.16,171.8472,709.423,98.7237,84.1484,3.4403,3.2026,20.3294,40.0003,2.5366,232.6108,101.1513,52.0333,5287.6301,19999.927,3907.9825,22.4487,29.7441,24.0255,7.855,867.1485,625.5005,5371.0397,2898.5213,147.4109,338.2201,392.0037,15.507,569.5297,945.111,287.2448,35.992,1483.5415,0.0,60358.356,0.0,30.1787,3955.2316,1228.2517,0.0
NGA_H49,244.3433,3.5039,47.677,0.5025,0.46,201.7702,72.0255,14.7967,1.9236,20.6589,1.7719,0.3659,25.8367,149.4066,4.4818,3.0766,0.9214,0.1116,0.5632,2.0862,0.143,17.6189,11.4024,14.8559,716.6741,788.12,825.6082,0.8194,0.5959,7.4185,2.8121,22.4091,101.1224,1472.2289,1053.7993,69.5369,21.7074,87.3124,0.4891,154.7581,358.1236,49.797,6.0674,666.6874,0.0,7977.9872,0.0,0.3494,98.2749,35.3027,0.0
NGA_H50,1.0975,0.0227,1.4177,0.0478,0.0014,1.2913,1.439,0.142,0.1201,0.0839,0.0217,0.004,0.0597,0.6393,0.2281,0.2043,0.0001,0.0068,0.0366,0.0671,0.0048,0.3797,0.1276,0.0683,6.4263,4.1938,0.427,0.0056,0.0561,0.007,0.0068,0.2137,0.2318,0.5604,0.3272,0.0367,0.0489,0.0946,0.017,0.4562,1.1464,0.2235,0.0283,0.4961,0.0,8.3557,0.0,0.0828,22.2628,10.1256,0.0
NGA_H51,14.8672,0.2526,11.5649,0.286,0.0141,12.6282,8.5716,0.9112,0.7307,1.224,0.1795,0.0348,0.55,4.2563,1.5255,1.3175,0.0069,0.042,0.3114,0.4694,0.0331,2.3215,0.8008,0.4107,41.7203,39.057,2.7192,0.0922,1.941,0.3564,0.1007,1.8988,1.4608,6.1154,4.5113,0.2801,0.341,0.6424,0.114,2.9893,6.7649,1.6144,0.2075,3.5514,0.0,436.2001,0.0,0.4746,128.1905,58.5444,0.0
NGA_H52,23.6569,0.3222,3.3394,0.0455,0.0038,14.9048,2.6538,3.7383,0.0895,1.912,0.1511,0.0327,0.5776,3.8174,0.4533,0.3159,0.0018,0.0109,0.0589,0.2195,0.0147,1.3408,0.2133,0.041,57.0027,32.8636,0.5045,0.0089,0.0225,0.1291,0.0137,1.7779,0.2063,1.5647,0.7277,0.0308,0.059,0.0823,0.0178,1.0222,0.5072,0.2351,0.0207,0.5637,0.0,90.0929,0.0,0.0312,8.7748,3.594,0.0
NGA_H53,0.002,0.0,0.4363,0.003,0.0016,0.0909,0.6512,0.5816,0.0571,0.0019,0.0104,0.0028,0.1026,0.2069,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.3855,0.3636,0.2151,0.4128,6.9278,1.0049,0.0,0.2183,0.0734,0.0417,0.0727,0.38,0.5521,0.1723,0.7157,0.9112,0.4384,0.1452,1.8509,0.858,0.9447,0.2826,4.7631,0.0,125.6172,0.0,0.0,0.0019,0.3371,0.0
NGA_I,0.1896,0.4279,66.5933,0.0,0.0232,0.1634,0.6604,1.4376,0.1677,0.0355,0.2721,0.0845,0.2321,0.5707,0.1843,0.2172,0.0226,0.0064,0.043,0.0,0.0,1.1305,0.7233,0.3644,16.9553,30.9126,10.5934,0.0,5.0656,0.6156,0.271,2.8567,14.4018,35.3377,23.6696,11.2646,5.2848,10.1586,0.4253,5.3226,41.2079,17.4483,4.986,78.1127,0.0,6739.192,0.0,0.0,0.0,0.0,0.0
NGA_J58T60,0.2491,0.0,25.7187,0.0,0.0055,0.0003,0.0013,0.0008,0.0025,0.0437,0.0005,0.0002,0.0004,0.0012,0.0018,0.0016,5.2445,0.0028,0.0053,0.0002,0.0,0.1305,0.0043,0.0282,304.538,62.2162,338.1986,0.0044,0.0042,0.0056,0.0005,100.5784,8786.0604,8456.8807,3779.4935,0.0183,14.0622,1507.1546,0.5993,2.738,1027.6976,268.6257,118.5592,1.5677,0.0,5345.5358,0.0,0.0,45.6144,0.0441,0.0
NGA_J61,2.8497,5.0856,127.0149,1.1734,0.0962,15.2511,39.8536,34.1012,20.3921,0.0583,3.1963,0.7827,5.6792,661.271,0.0,0.0,1.452,0.0,0.0,0.0,0.0,36.4831,7.8566,3.5065,926.6106,253.2636,650.911,0.0,100.2616,5.1925,29.8968,114.545,4083.046,2342.8445,226.3232,3055.0697,4634.8671,8681.4339,3.87,248.4442,835.3101,505.1493,128.1712,2072.3788,0.0,12439.8382,0.0,0.0,0.0,0.1234,0.0
NGA_J62_63,0.0012,0.0,95.2923,0.0,0.4485,4.888,4.9884,13.0349,76.6278,0.1494,3.5169,0.9001,4.6792,11.5704,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,20.7219,27.0106,4.8118,0.0,1008.766,34.3052,0.0,0.0,9.3958,68.0042,0.0,50.6553,26.2437,49.5813,475.8769,0.0,24.9427,7.9859,74.1358,80.0973,43.3601,1.8869,13.5997,0.0,12081.3093,0.0,0.0,10147.2029,0.0445,0.0
NGA_K,49.342,92.5651,144.5382,0.6982,0.63,19.9685,145.6632,9.9237,5.647,1.2226,3.7072,0.7864,7.7689,8.6465,0.3612,0.3227,0.2043,0.0097,0.0782,0.1026,0.0073,65.2541,17.1232,4.5826,267.7922,808.3405,86.3694,0.0084,34.9053,10.1404,2.1805,4.8561,72.8936,328.2379,165.1887,8459.8873,431.597,126.6496,3.1306,36.6551,232.3945,30.8506,13.8318,411.3394,0.0,14209.7498,0.0,0.1287,34.6782,0.5734,0.0
NGA_L,0.3915,0.0,38.3588,0.2997,0.0507,23.4664,18.716,1.7606,0.303,0.0268,0.1161,0.0266,0.7463,75.318,0.0,0.0,1.1043,0.0,0.0,0.0,0.0,11.9122,39.9712,4.7583,252.6543,498.579,85.3988,0.6144,48.5637,1.506,1.0127,149.3403,799.6135,1780.6401,938.6523,64.7476,2250.9282,169.2071,0.523,261.7751,1222.604,53.1598,7.3348,1120.9784,0.0,24541.7632,0.0,0.0,3919.1244,0.0093,0.0
NGA_M,109.9574,112.2185,849.3823,12.0407,3.7924,140.3567,587.9746,47.2945,17.9766,1.0956,5.0248,2.1146,22.5938,111.4892,0.0,0.0,1.2242,0.0,0.0,0.0,0.0,228.106,445.0884,47.6329,2975.7212,3245.3234,793.7112,4.1466,355.5264,43.2954,19.1965,34.1522,789.2149,1973.0638,1539.2457,834.9594,1942.3236,5296.7039,24.7887,638.1763,357.842,345.6884,9.5128,2298.9518,0.0,4383.4673,0.0,0.0,2315.5411,0.0572,0.0
NGA_N,0.0538,0.0222,5.2155,0.0077,0.0288,0.0254,0.0696,0.0799,0.0463,0.0008,0.0172,0.0057,0.0144,0.0669,0.0,0.0,0.0001,0.0,0.0,0.001,0.0,0.2194,0.2077,0.0347,0.2169,15.3755,0.2012,0.106,0.0351,0.029,0.0107,0.0197,0.1194,0.1236,0.0772,0.0671,0.1483,0.1503,0.3372,0.1774,0.164,0.4541,0.0608,0.3775,0.0,143.4039,0.0,0.0,0.9362,0.0822,0.0
NGA_O,0.0,0.0,1.3708,0.0006,0.0049,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386,0.0,0.0,0.0,5.4982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.4609,0.0,12018.6489,0.0,0.0,0.0
NGA_P,0.0,0.0,46.949,0.0312,0.0005,0.0,0.0,0.0,0.0,0.0288,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,1.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3203,1.6765,0.0,0.0,0.0,0.0,5270.4742,1116.7128,9515.8229,0.0,0.0,0.0
NGA_Q,0.0,0.0,7.9257,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0005,0.0,0.1461,0.0007,0.0,0.0,0.0,0.0005,0.0,0.0096,0.0417,0.0308,0.0,0.0,0.0,0.0001,0.0109,0.0,0.2416,0.0,0.0468,0.0,2661.8518,238.4167,1969.8066,0.0,0.0,0.0
NGA_R,0.0007,0.0015,7.0101,0.0012,0.0002,0.0003,0.0016,0.0001,0.0001,0.0004,0.0,0.0,0.0001,0.0,0.0,0.0,0.0113,0.0,0.0,0.0,0.0,0.0071,0.0001,0.0001,0.0041,0.9328,0.746,0.0,0.0004,0.0001,0.0,0.0277,10.7794,18.1775,0.427,0.1335,0.0038,0.2143,0.0115,0.3672,7.7892,0.2766,1.4849,0.0057,0.0,1116.1592,0.0,13.7109,1.17,0.0,0.0
NGA_S,0.0,0.0,167.5992,0.0778,0.0333,0.1894,0.2018,2.9864,0.6316,0.1577,0.1572,0.0395,0.2087,0.5162,0.0981,0.0974,1.0516,0.057,0.1075,1.369,0.0756,1.6895,1.1422,2.7256,28.6057,97.0974,1736.8302,5.6866,4.5544,4.3701,2.0976,44.7379,291.5388,1684.7608,1788.1721,56.8603,48.0511,77.5645,4.0682,43.5483,770.2996,7.7556,2.8713,1392.4845,0.0,17010.1332,87.6359,0.0,0.0,0.0,0.0
NGA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.8227,0.0,0.0,0.0,0.0,0.0
