V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T,NOR_HFCE,NOR_NPISH,NOR_GGFC,NOR_GFCF,NOR_INVNT,NOR_DPABR
NOR_A01_02,334.7846,3.2588,1.8792,0.3195,0.5343,2411.468,14.6723,311.8398,172.6415,1.15,39.63,0.2249,1.0921,0.617,0.6196,0.9615,0.5068,0.5248,0.6473,0.1988,0.8212,1.3115,4.1,0.9981,80.8846,39.0033,1.5555,1.0862,1.0194,3.7612,0.3939,72.2167,5.3586,1.908,4.8234,3.8924,2.3052,13.6481,23.1087,57.3797,8.0209,36.2836,4.8199,3.2682,0.0,1667.9147,0.0,0.453,44.744,235.0919,0.0
NOR_A03,4.0006,1309.7416,2.2903,0.3302,0.4305,3628.997,0.413,1.1138,0.3157,0.0501,0.9809,0.8465,0.2811,0.7473,0.3807,0.8508,0.4066,0.495,0.5874,0.1603,0.4485,1.0408,2.6029,0.5607,1.655,8.32,0.2787,9.2068,0.3166,2.662,0.1158,94.6834,3.7821,0.6565,3.2402,2.5004,0.788,4.0298,2.9716,6.4111,5.1915,42.0049,1.4389,0.2365,0.0,184.2871,0.0,31.7643,250.4479,543.4696,0.0
NOR_B05_06,61.2979,86.5915,370.0521,59.996,242.0367,61.8056,1.3174,9.6277,5.9256,3336.8873,327.7063,62.3539,6.4134,139.791,214.6913,18.8739,9.0817,6.2874,189.5838,7.9976,331.7216,82.6983,230.7772,53.5759,339.7388,297.6419,301.8413,1020.4511,402.4082,210.1477,14.0509,36.7564,32.2353,13.7401,33.8579,10.9508,38.7357,89.1033,148.2028,63.1621,25.2797,87.9902,39.1002,15.7477,0.0,959.4522,0.0,0.3131,2318.2671,1007.8137,0.0
NOR_B07_08,7.4709,5.0671,21.9162,23.1872,82.9013,9.3076,0.3541,9.2353,2.8149,0.5662,38.3059,27.8317,2.757,265.804,17.3388,3.4097,0.8642,0.788,7.921,0.4348,34.7839,3.9804,0.4011,2.4575,195.0662,7.5273,5.9383,6.0017,0.9527,5.8702,0.3253,1.0106,0.7952,0.213,1.0627,0.558,3.0969,3.3085,4.9639,12.5707,0.6078,5.9436,6.569,0.5111,0.0,55.8792,0.0,0.5532,487.8479,54.1076,0.0
NOR_B09,2.4065,44.08,5363.5643,153.5762,2899.4966,7.5283,0.0429,0.2994,4.5541,1520.8154,28.8445,0.4168,0.7434,72.0411,213.6678,5.3445,0.073,0.1987,1.9878,0.0243,0.1669,2.1491,105.5581,5.4695,609.0392,5.7745,14.8951,7.6943,2.551,6.3962,0.0904,0.4491,0.0109,0.0,0.021,0.0023,13.7535,18.232,4.034,9.7403,0.6832,3.6834,0.9244,0.4786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR_C10T12,810.384,1954.8817,15.731,2.9381,6.4575,6549.3197,12.0243,9.2114,1.8367,1.197,7.2662,5.3863,2.2854,4.7666,2.7118,7.8813,3.6698,4.1493,5.0814,1.2768,5.7049,9.3444,21.0404,3.5669,18.0197,49.2167,2.4169,61.2418,0.9125,19.3744,0.6953,1335.7822,27.7817,3.5701,23.9959,17.3244,5.3508,27.3673,23.8369,78.3473,42.0482,335.8778,13.6089,0.86,0.0,10858.1212,0.0,0.5762,8.6126,1463.9349,0.0
NOR_C13T15,2.5295,15.3816,8.7576,1.181,3.9072,11.6665,40.9142,2.4983,1.2707,2.1662,4.9419,0.4872,3.4561,3.0172,6.4704,7.5399,1.7457,2.6323,6.7225,1.4084,7.2295,21.805,3.5672,13.5214,72.2609,24.0973,2.2083,2.416,2.3439,5.5361,0.2577,7.4665,11.3762,1.2216,4.1116,1.0135,5.8155,16.4129,11.9584,9.1104,5.8224,57.6836,40.0188,12.3095,0.0,542.1931,0.0,0.7741,35.1373,89.9002,0.0
NOR_C16,2.4721,6.4492,2.8609,0.4368,5.1508,8.0658,0.4419,543.3648,16.0218,0.6296,17.4141,0.1698,1.1227,5.0917,1.6286,8.2805,0.9395,1.4833,3.462,10.0277,4.6997,30.8274,9.8605,19.7385,1876.5367,71.1648,2.4774,4.1246,1.994,4.4615,0.4459,5.2137,4.2043,1.8601,3.1659,2.2499,417.6754,12.5173,8.8704,4.0544,4.9633,12.2004,32.6638,9.5521,0.0,43.9608,0.3883,2.5579,138.5011,123.201,0.0
NOR_C17_18,9.7117,16.1762,4.6826,1.8643,7.9874,53.5942,1.6406,8.9496,264.2045,8.2561,18.3772,3.1399,7.7824,7.6552,6.3021,3.1533,2.9561,5.4532,3.1325,1.3975,7.9755,5.9115,3.6591,18.9412,49.0682,351.4263,7.5543,7.4314,4.2648,9.7509,68.3635,24.8127,175.629,3.3781,29.6028,31.8716,24.3002,262.681,103.8089,66.5369,33.2971,34.2381,53.4764,35.1465,0.0,184.2748,1.2704,3.103,40.2296,91.25,0.0
NOR_C19,81.725,101.1343,90.6309,50.8974,201.9323,77.4731,3.8028,10.496,3.9346,116.3839,91.0124,23.6762,2.5366,120.0506,128.9566,12.9173,3.5659,5.5747,16.3688,2.1341,16.0587,21.2386,39.9875,50.0115,297.2605,234.8062,286.166,1204.9533,452.0296,113.3382,10.7921,35.691,20.8988,16.0933,21.7483,8.1247,31.7402,62.8919,54.8659,77.2519,30.8194,105.1173,35.1142,17.3189,0.0,1280.6423,20.8439,18.2815,156.7968,424.6028,0.0
