V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T,NZL_HFCE,NZL_NPISH,NZL_GGFC,NZL_GFCF,NZL_INVNT,NZL_DPABR
NZL_A01_02,4144.6975,33.5142,0.4711,0.2794,0.2194,11305.3829,187.4722,768.4768,355.6396,0.6134,1.162,3.7425,13.3522,1.8042,0.3084,1.5979,0.7102,0.3074,9.6403,0.2132,0.3132,2.9612,2.2454,0.9934,91.4147,123.8665,4.2384,3.9721,2.8952,8.5909,0.4744,205.6152,3.3358,0.6282,2.2373,18.6247,20.5478,76.195,105.6003,197.9758,5.7102,79.6984,95.5095,18.9312,0.0,1196.8662,4.4314,25.5054,95.8453,128.239,0.0
NZL_A03,210.5933,429.7775,1.7422,0.2217,0.6172,397.826,0.8409,0.759,4.1977,1.9182,1.6577,2.3853,0.8164,0.7602,0.3945,2.6984,0.0124,1.0983,1.0363,0.1215,0.1967,2.0389,1.2925,1.0388,7.5007,106.0072,5.8436,0.485,4.3312,5.2793,1.0229,131.7511,12.0025,1.7425,3.0793,83.8119,38.2152,17.0288,17.396,13.6016,2.4971,16.2716,3.4699,4.5822,0.0,868.3635,2.6855,117.6858,7.211,38.3836,0.0
NZL_B05_06,16.5314,4.4485,151.7867,1.5959,5.7793,53.9578,4.332,2.182,3.7183,639.5834,52.7757,0.8202,1.7378,17.0726,42.0006,8.9936,0.0985,0.1783,2.5152,0.2266,0.1495,1.424,124.3324,3.4572,180.5018,158.4924,9.5958,1.3107,6.9004,3.6627,0.1953,4.9529,1.5184,1.2116,0.431,3.4032,28.5667,16.5409,7.9824,11.3179,16.0977,27.5177,1.3173,2.6339,0.0,105.7152,0.2713,5.7981,277.41,9.8214,0.0
NZL_B07_08,47.9435,0.7984,11.1237,2.506,0.8947,33.5332,7.3625,2.0014,1.8674,3.4804,32.5964,0.8015,3.9675,48.7382,15.6452,2.1101,3.0984,1.827,1.7053,0.0783,0.3033,5.3319,0.2953,9.3893,193.7832,6.7578,8.6429,0.4837,0.0787,0.4816,0.0741,5.4623,0.3501,0.1296,0.1329,2.8232,5.2705,3.0233,3.1906,1.8797,1.879,2.1268,0.4254,1.4132,0.0,133.9317,0.1136,4.4725,30.0494,4.1781,0.0
NZL_B09,1.0508,0.2864,96.8941,1.2736,5.0905,11.9469,2.4093,0.4333,0.3425,11.3035,2.1762,0.3535,0.5579,0.6829,11.4189,6.3933,0.0821,0.0686,1.6439,0.234,0.0416,0.8423,0.8853,0.2834,8.9874,24.2117,0.521,0.0349,0.338,0.3496,0.0608,0.9459,0.6803,0.1518,0.2459,1.1343,2.6163,7.097,4.3987,5.101,3.1312,1.307,0.4811,0.6377,0.0,5.9412,0.1945,0.8297,29.41,0.0802,0.0
NZL_C10T12,426.6411,318.5587,23.6741,2.8762,2.1488,2103.3457,24.071,19.4228,66.3225,21.2458,69.5999,37.1187,48.72,19.5905,20.3012,20.1751,17.1895,15.6733,10.2873,3.2022,10.48,6.8212,9.0835,23.0558,89.2103,366.4401,10.6055,5.1477,19.3806,22.4591,5.6175,1298.0965,39.6998,3.768,6.5915,22.365,87.3347,68.6863,63.9949,37.5133,16.7387,184.094,48.2375,13.3195,0.0,10498.8905,1.229,70.9513,125.7153,230.5538,0.0
NZL_C13T15,12.3024,4.8687,1.1571,0.1231,0.3907,8.4885,57.9379,1.1508,2.5247,0.7748,0.4567,2.0147,1.804,0.7808,1.3451,1.3687,7.4195,0.5015,0.7834,0.1342,0.5519,7.8979,1.8903,0.4721,60.4049,64.8688,2.2658,0.2033,1.2777,1.1836,0.0963,2.9022,1.8351,0.3847,0.3264,1.0651,33.3633,5.5672,5.8096,10.5712,6.2198,7.1231,1.8541,12.932,0.0,876.6651,0.3479,0.9357,6.5124,10.0674,0.0
NZL_C16,157.1855,1.1973,1.5378,0.1806,0.103,35.4317,0.4289,587.3178,105.3723,2.0249,1.4022,0.6948,8.2081,28.4624,2.9526,10.8905,0.4994,1.9124,6.8086,0.3523,4.8698,81.4413,1.5623,0.2374,1180.3975,313.6657,1.331,0.6417,1.292,4.6395,0.1216,1.7554,1.2721,0.3937,0.1878,0.7413,70.3485,25.7331,11.0014,5.26,12.3223,6.6677,3.974,21.6749,0.0,115.6996,0.0801,1.3315,44.4862,18.0953,0.0
NZL_C17_18,177.6314,32.0434,0.7845,2.613,0.2464,177.7887,12.5477,53.7232,186.5162,8.6393,83.9664,24.3686,73.0141,25.7221,5.4576,9.2584,27.7425,7.3635,3.2616,1.5202,7.6288,14.0376,2.1677,5.7959,128.5618,103.8879,7.7969,0.6192,13.65,11.9881,7.0553,41.7153,28.641,2.108,5.9478,23.3866,112.2097,239.553,43.6008,30.6135,36.4041,48.254,17.7447,15.2262,0.0,281.4016,6.0175,2.4807,378.0855,14.5021,0.0
NZL_C19,217.5339,174.4374,128.5725,6.0352,5.4116,125.4455,8.4563,16.3675,14.9407,87.5731,12.5785,2.9563,7.6509,30.5433,38.9247,26.477,5.366,2.7142,9.8816,1.2851,9.9224,16.0188,40.734,21.4744,725.3903,142.7098,611.8677,90.6786,575.8256,77.0419,0.8769,21.4711,7.0177,2.5485,2.0943,3.7808,60.5484,36.9536,60.7157,46.7223,20.5583,41.8821,17.9284,20.687,0.0,1567.1743,0.9397,9.2712,75.8466,34.0583,0.0
NZL_C20,308.9879,6.3661,25.6341,3.2832,1.6792,78.9159,20.5485,48.7699,95.3091,8.2863,192.9778,26.843,153.9459,53.3995,14.1562,9.3723,37.1171,16.8456,4.9457,3.1188,12.4939,7.4191,3.0235,10.4598,166.4164,88.2808,19.1406,1.4383,10.8021,8.2129,3.4464,25.7134,12.2973,0.8854,1.813,2.5444,51.2116,30.7766,38.5252,29.7532,14.9594,51.7253,8.562,11.6466,0.0,555.2267,0.3863,4.7283,34.9558,16.2408,0.0
NZL_C21,82.8378,0.6424,2.656,0.4658,0.1968,21.871,3.2229,7.7724,14.9624,1.0483,30.614,15.8867,25.4041,7.8847,2.0912,1.8531,16.5249,2.6319,0.7522,0.4889,2.2477,1.0583,0.7997,1.5537,25.5081,27.2216,1.3699,0.0949,0.7523,1.1345,0.4474,3.9779,1.8149,0.2057,0.3744,1.1413,8.1324,6.6116,6.2703,4.9146,2.6793,69.4282,1.4575,1.9702,0.0,113.1669,0.0562,84.5376,12.855,4.5794,0.0
