V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T,PRT_HFCE,PRT_NPISH,PRT_GGFC,PRT_GFCF,PRT_INVNT,PRT_DPABR
PRT_A01_02,804.3385,0.5639,0,1.3685,0.0787,3099.763,48.6108,532.0629,533.3894,7.0211,118.7509,5.3892,41.2124,3.7731,1.7476,5.6212,1.782,2.6792,2.5219,12.604,0.7757,14.6719,7.1736,6.9561,29.5551,97.5424,7.1966,0.8153,5.1058,5.3312,0.5216,231.21,4.4841,6.2193,6.3749,5.3541,7.808,36.608,37.723,24.3491,4.1852,54.5516,5.413,22.3811,0.0,2309.7401,1.2874,6.3083,402.9357,81.2336,0.0
PRT_A03,0.418,16.8935,0,0.0533,0.004,24.8204,0.683,0.1929,0.3585,0.2896,0.3843,0.2912,0.2642,0.2294,0.1209,0.3451,0.1036,0.1544,0.1326,0.3122,0.0382,0.2867,1.5345,0.6147,0.6569,2.6035,0.3312,0.031,0.2295,0.1969,0.0205,43.5001,0.1088,0.2636,0.2332,0.2094,0.2358,1.1344,0.6191,0.8416,0.1827,1.4384,0.1865,0.1524,0.0,464.1387,0.0759,0.2575,2.2713,5.0646,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.7157,0.0202,0,104.5119,5.7613,14.2774,0.4308,0.3679,2.3888,7.2678,30.3252,0.2431,0.2181,264.4501,9.6505,8.4264,0.1005,3.3768,0.7332,0.657,0.0611,0.8657,6.0275,5.9789,146.3318,7.2012,0.8805,0.0658,0.2955,2.5793,0.0267,1.4289,0.1767,0.1759,0.3022,0.2005,1.3973,1.9793,1.9041,4.9992,0.6949,0.7378,0.4551,0.1657,0.0,8.4232,0.003,0.2316,13.6707,23.5518,0.0
PRT_B09,0.117,0.0587,0,3.0961,0.3604,0.1969,0.0206,0.0068,0.2846,12.3599,0.4478,0.008,0.0497,1.5761,1.6638,0.1467,0.0018,0.0049,0.0233,0.0049,0.0021,0.0229,3.1595,0.2085,5.1655,0.102,0.2435,0.0039,0.046,0.1246,0.001,0.0226,0.0002,0.0,0.0002,0.0,0.1773,0.1211,0.0681,0.1073,0.0086,0.0349,0.0121,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_C10T12,804.1641,9.8543,0,1.7843,0.2389,2257.5683,56.5485,2.1203,15.2791,0.5638,97.7566,18.572,2.634,2.7127,1.3006,6.4613,2.3034,1.6577,2.1679,3.4175,0.3626,6.7974,1.2163,3.1294,17.2341,146.5147,4.5534,0.7059,2.0074,2.8873,0.2221,2315.8651,8.0161,0.903,3.4347,1.8049,8.1786,25.5152,12.2655,15.688,5.8237,303.0875,6.0308,1.8037,0.0,10846.3189,0.0,11.2669,0.0,190.931,0.0
PRT_C13T15,25.3082,3.1841,0,2.0721,0.2193,9.0452,2857.0742,1.3834,7.6771,0.9137,8.3447,10.463,37.8159,7.3039,0.6008,11.014,0.8936,1.6699,15.026,171.8553,4.2375,133.9906,2.3448,1.2505,23.6658,44.6564,2.2115,0.2342,1.8971,2.0159,0.127,36.1699,2.8088,0.6755,1.7339,0.7964,4.3416,8.4977,7.7628,3.5459,3.3057,41.4836,31.4273,3.5892,0.0,4505.2284,0.0178,0.701,16.8002,116.5696,0.0
PRT_C16,39.1236,0.1047,0,1.0666,0.1008,88.3383,4.0685,868.5028,44.33,1.5429,7.2556,0.7446,10.3671,37.6693,49.4126,21.8059,0.7248,16.3971,6.3558,5.6282,2.0948,318.5978,1.2597,69.9581,485.5791,68.9879,3.2905,0.1542,0.9243,6.312,0.0917,21.7413,0.643,0.9419,1.1624,0.9515,14.0447,10.7701,16.2422,13.3095,1.8622,5.9257,3.1294,3.0347,0.0,78.9619,0.9841,5.4917,41.6336,30.9557,0.0
PRT_C17_18,26.6589,2.0212,0,3.7877,0.3218,385.29,36.0623,25.5762,1398.2502,3.5361,33.1788,15.9749,25.7476,40.3175,11.7307,19.296,7.9209,9.664,7.155,14.8818,3.4303,28.9417,132.5261,15.0313,17.4108,233.8118,14.0465,3.2263,3.9127,10.348,2.4933,47.0455,129.4867,9.4982,21.2954,26.7635,164.3841,111.9876,142.8597,33.6641,55.5659,64.331,17.5275,32.9099,0.0,557.3629,1.5028,3.5542,33.5276,51.7733,0.0
PRT_C19,163.2051,29.3892,0,42.1276,2.6339,123.7692,46.4199,23.5575,47.0609,433.9805,173.4547,7.9131,37.587,87.4557,9.954,46.1047,4.5421,11.0301,11.2464,15.7799,1.5999,39.4167,103.7476,51.7882,240.798,397.4297,780.6127,19.0957,800.711,37.9496,5.5945,34.51,6.4317,5.9999,8.5275,19.7874,5.551,63.8637,74.4334,114.6022,23.4407,163.8371,21.6206,21.1702,0.0,2302.1917,0.7675,9.8164,5.8214,80.8589,0.0
