V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T,RUS_HFCE,RUS_NPISH,RUS_GGFC,RUS_GFCF,RUS_INVNT,RUS_DPABR
RUS_A01_02,11176.4671,11.4048,13.9579,0.8739,34.0954,24609.5357,89.2948,2124.0427,696.4295,25.4829,31.1326,24.0136,96.53,10.7942,24.3266,11.7536,2.4945,2.0275,3.1296,12.274,5.9744,108.8772,85.4925,5.3922,160.6454,227.4368,29.964,5.4246,8.2968,80.9148,2.0152,817.6189,3.1236,5.5714,3.5756,164.2089,41.9952,39.4971,70.6403,384.6258,124.8671,246.8492,22.3659,25.2352,0.0,44216.7236,1.613,339.2224,263.6678,1398.64,0.0
RUS_A03,133.1043,98.4254,4.763,0.2384,28.2621,1647.8836,1.7445,0.945,1.4183,7.6483,4.6836,1.2121,1.4241,2.1926,4.93,5.1349,1.5738,1.0283,1.3052,2.8495,2.1818,2.4981,7.8229,1.6532,17.6298,32.9691,20.8277,2.3141,7.2339,9.5656,0.2394,231.8913,1.8204,2.237,0.9015,1.0666,3.1623,5.1158,5.3026,32.7701,10.0763,26.3805,1.6713,2.6825,0.0,2796.9724,0.3328,143.5988,13.1328,94.7526,0.0
RUS_B05_06,429.2572,87.5585,1502.0148,23.1445,1796.9522,185.9466,9.7939,36.185,54.952,41097.6041,576.6293,13.2796,33.6302,135.4846,1945.3904,108.724,16.2862,15.5485,18.4839,21.833,61.5008,71.3592,18976.0743,62.7396,783.9712,3758.3306,1887.2523,58.9978,563.0016,444.0131,12.8527,21.7704,7.1533,26.9072,6.7026,177.5103,109.7829,140.7523,81.744,317.2358,48.0581,99.5253,30.4676,18.9562,0.0,2567.0765,0.6,40.3657,1238.1795,3134.857,0.0
RUS_B07_08,60.5934,1.0323,334.9438,331.1629,569.0988,44.1997,6.6057,9.7809,18.6801,38.9461,305.6313,11.5441,71.6417,935.4479,3214.161,120.6284,9.3161,20.3896,17.63,19.2015,18.1403,177.6318,43.02,38.1882,1524.483,71.6243,47.3931,2.483,13.4027,142.826,0.6126,4.9705,1.5552,2.6192,1.1566,1.1776,29.331,17.031,13.1138,40.635,6.3482,17.5886,6.2334,13.5502,0.0,324.4422,0.1499,12.1464,329.1206,229.3681,0.0
RUS_B09,60.7715,15.2472,10545.3615,16.4821,48800.3422,110.1512,8.5421,12.7394,16.9715,35833.2148,47.1646,7.6754,20.2295,61.0877,87.3098,42.9856,19.0713,13.2357,23.2662,21.2851,44.5311,47.778,148.7711,27.6502,777.3012,370.9394,713.6528,28.1687,94.2768,135.1512,4.0017,25.6149,14.1181,37.9584,13.991,25.3406,142.013,487.0157,84.3859,180.9791,25.1154,78.458,33.7951,13.4695,0.0,349.0346,0.3732,46.654,20353.6087,27.765,0.0
RUS_C10T12,3768.0541,70.6615,21.9333,2.1741,47.5832,13808.0647,41.6036,13.7735,33.019,155.3198,115.1237,36.1371,21.7156,22.9483,62.8912,40.4285,13.895,10.9103,12.7844,14.7059,20.7304,18.4254,89.426,12.404,109.4773,614.5995,46.3479,4.7947,18.2637,87.128,1.4362,2870.4845,7.3419,6.8881,5.5529,13.5928,39.8766,53.4809,29.5196,802.0556,324.302,726.9632,20.518,50.6142,0.0,85718.4509,11.1908,63.0269,131.3753,2171.5946,0.0
RUS_C13T15,38.4086,23.37,15.5482,1.6015,84.1742,88.9277,894.3077,3.2915,12.0688,36.7153,64.6846,8.9813,93.9388,11.1652,42.9105,17.2393,10.0378,3.5922,7.9151,87.5773,36.2113,130.7014,60.0828,9.5246,104.8037,100.2878,33.3419,1.6982,2.988,19.5356,4.6168,42.9752,1.6017,6.9852,0.8249,3.6973,21.0652,50.283,27.2685,239.4173,41.1217,94.6674,38.3216,60.8686,0.0,6446.2076,0.7,7.5688,32.6383,269.0625,0.0
RUS_C16,142.1495,0.9202,13.9949,1.0738,8.562,91.4752,1.3072,785.2508,151.4919,8.1021,40.4212,11.1203,6.2385,121.7949,39.213,32.7651,2.76,10.6331,9.1529,16.1003,9.4823,770.6101,25.8569,3.7596,2355.2609,75.9654,23.7186,1.9099,2.0725,104.4331,0.4914,2.6472,1.8063,3.0826,0.4001,0.7458,721.0244,17.3489,7.8734,32.9685,9.73,14.338,11.5551,21.6277,0.0,917.3833,0.0472,4.2808,27.8988,182.8274,0.0
RUS_C17_18,336.8459,78.8411,10.5763,1.6113,19.3948,2369.3807,29.6831,263.185,3202.6431,30.1315,252.4088,139.8596,111.2783,208.8096,38.3639,63.0263,22.7453,36.4119,15.9663,27.9255,10.0715,153.8104,70.0065,19.8918,178.1111,1257.6691,33.5059,3.5788,6.5003,66.6698,27.7008,273.0079,681.597,41.0626,75.7061,415.3604,489.9232,788.2291,141.5603,785.6886,114.6218,185.1859,82.923,226.1879,0.0,2378.9877,0.4275,14.697,50.5225,327.1794,0.0
RUS_C19,3659.2849,761.3003,1424.2248,177.2336,3640.0235,1275.5684,95.3533,311.5634,366.094,20689.0472,5351.6688,121.871,659.093,670.743,3271.4865,825.281,93.58,145.3687,106.4972,173.1508,347.1843,382.0854,4875.6165,433.2311,6107.7679,4023.9686,7946.3995,501.9549,4883.9955,3361.191,95.1035,120.1455,45.313,161.2979,35.5555,251.1294,491.8896,640.8484,572.6623,1787.494,283.362,552.6703,157.3589,124.9509,0.0,14940.7838,0.3696,70.9695,197.4749,2721.9942,0.0
