V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_A01_02,6516.322,21.5749,1.746,1.5043,0.0,21660.8086,953.7504,157.2934,105.9869,13.0067,52.9073,15.6257,27.9717,5.8671,0.374,2.0131,0.1144,0.0079,1.1263,3.7474,0.202,4.9902,5.3115,1.7771,55.6358,53.4764,8.2883,0.0699,0.219,3.5429,0.1535,1709.3407,1.4189,4.7292,0.402,1.4494,24.9828,33.7581,45.4489,104.8254,17.34,14.442,3.4349,22.9448,0.0
ARG_A03,0.0,134.6637,0.0656,0.0,0.0,679.8345,0.0,0.0,0.0279,0.9797,2.5323,0.6837,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.2636,0.0,0.0,0.0,0.2542,0.0287,0.0,0.0,0.0169,0.0,562.1149,0.0888,0.0,0.0,0.0,0.0023,0.1997,0.6945,0.0,0.0,0.9377,0.1479,1.7127,0.0
ARG_B05_06,10.1541,0.1932,426.895,13.3757,36.7786,25.1647,2.8812,1.0842,2.963,9571.6049,180.0868,173.8119,3.839,23.6828,61.6455,2.4942,1.9743,0.5495,3.7973,6.3062,0.489,7.7717,3201.466,15.9288,456.484,95.399,71.9259,0.6733,2.9297,29.9686,1.4478,48.194,3.0315,46.4794,4.5479,48.5164,216.6216,27.4663,85.8652,97.1385,36.295,51.9619,1.6754,13.0096,0.0
ARG_B07_08,0.8656,0.0004,94.5229,124.7575,0.0,106.1197,6.3045,0.0371,5.01,48.8813,47.449,71.1513,0.8217,543.8782,314.3025,7.4054,0.0827,0.1425,0.786,12.8378,0.2866,1.0621,0.0017,2.1621,495.4898,0.2656,0.0722,0.0025,0.1033,0.0997,0.0,10.8279,0.0115,4.2926,0.0,0.1057,61.1095,0.752,31.1016,19.6125,0.3123,0.3332,0.0641,1.151,0.0
ARG_B09,0.0,0.0,4846.6804,35.3238,137.9878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2442,0.0,20.6179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.918,44.1998,0.0,0.0,0.0,0.0,0.0,0.0
ARG_C10T12,2436.5455,23.209,24.8911,8.1911,6.3122,7457.879,56.1678,6.2336,67.8713,37.0887,181.47,161.8827,36.2746,75.0581,60.3396,26.1954,16.6499,9.6714,17.3018,49.3266,2.8833,24.5054,13.4328,48.5578,117.8557,160.3286,32.0332,0.4051,64.0602,16.2666,1.1862,5509.5885,19.8904,73.1146,17.9189,40.9265,19.8423,43.0919,50.1456,551.9287,185.3663,448.758,34.6031,132.5419,0.0
ARG_C13T15,149.7323,8.3913,76.3926,0.745,16.3052,223.4133,1303.1896,4.6836,38.7407,12.1312,19.4161,46.2502,204.6327,15.6246,8.7785,9.5996,4.3592,3.9789,10.6532,32.107,1.9539,63.0429,8.3206,24.4366,22.1625,238.8693,28.8435,0.463,9.7388,49.6247,1.4393,184.2545,6.5607,16.7151,5.9763,13.1108,59.1074,45.4843,51.4767,171.0167,58.4086,157.4777,6.5149,116.5517,0.0
ARG_C16,28.2668,0.5863,1.5539,0.2553,0.27,92.6578,4.9748,302.8547,21.5861,2.296,10.7203,7.0572,8.25,14.8228,2.0822,26.4892,3.7699,6.8507,6.0649,8.673,0.9947,267.4159,0.7699,61.3322,331.776,719.0399,1.488,0.0148,0.6069,11.3839,0.1042,37.3198,7.6511,4.2551,0.6285,1.0682,52.7583,1.4569,27.38,11.8257,1.9016,2.5662,1.3864,1.3503,0.0
ARG_C17_18,15.1678,12.907,7.5592,34.0075,16.2881,679.0837,36.4593,34.6263,1288.0283,5.0088,81.3298,127.0976,17.965,96.843,7.4152,29.6618,37.1181,19.5828,9.8812,16.1929,4.1711,30.7828,8.3651,8.5607,8.6808,534.7307,21.7767,0.8386,18.991,12.0978,23.3365,66.0879,400.9894,15.2949,73.0719,413.1072,45.8165,314.728,85.4818,152.2951,131.305,87.6387,19.0434,97.9479,0.0
ARG_C19,1212.7484,84.3093,25.3822,84.8068,49.0341,189.477,22.2,22.1714,24.4463,909.8852,564.8582,82.5295,88.7065,108.6248,88.2408,32.9781,4.4686,15.1797,10.4296,15.4733,3.8512,19.6811,447.2375,99.4878,165.5118,916.9633,2814.4289,12.2597,598.1393,321.1968,13.1834,23.1477,7.2921,12.2728,8.78,78.5995,8.8599,66.7039,67.5474,435.4882,10.5035,48.6637,8.183,14.2898,0.0
ARG_C20,986.5087,6.058,41.1476,41.2412,27.2697,273.0708,144.8595,34.1997,172.9961,120.7827,1006.2254,302.96,1124.0478,73.8593,53.9008,71.0373,58.7879,58.5423,29.1507,68.3689,7.5533,58.7977,17.1549,25.3518,152.4855,103.7333,62.2962,1.4488,12.6901,9.7781,0.4044,49.1117,24.788,25.1684,8.0204,13.1814,135.7622,42.4776,58.3795,52.7949,13.6143,221.8189,7.9688,67.2526,0.0
ARG_C21,263.0112,2.7683,18.0449,3.9866,4.0026,455.6648,31.8794,10.47,28.3566,51.4593,86.0252,2555.9822,65.0097,19.0359,16.2287,17.0632,25.8195,11.4164,24.1219,56.5414,2.6759,13.1998,19.1425,7.2137,88.6412,115.6122,25.1677,0.3256,6.5843,8.4893,1.4708,59.5185,19.8569,99.5532,26.4757,41.6036,26.8524,55.9259,23.3,26.4625,23.6888,1710.5442,27.8043,139.5572,0.0
ARG_C22,145.5846,19.8065,71.2396,4.9911,80.8824,1286.9173,293.192,11.6363,190.9395,23.688,481.0607,240.9892,281.0,48.9049,10.8343,58.1855,39.3979,74.733,167.7753,407.6248,21.7425,128.2972,3.3024,41.8673,238.9203,747.9105,375.5302,0.5534,59.6431,148.35,0.6191,330.1263,14.9249,10.7026,5.3782,30.9958,31.0955,55.8244,37.2415,146.6663,15.7653,68.3062,10.3106,22.2625,0.0
ARG_C23,28.4966,0.3545,82.9431,1.9671,19.0524,373.7401,4.4452,7.3004,5.263,3.3156,54.3287,61.5678,26.727,588.9816,24.7111,28.7678,15.708,25.0876,26.429,98.0544,0.7126,10.3769,56.6698,54.1697,3195.4352,159.0053,17.147,1.3009,60.4622,2.7944,0.1435,8.1255,6.1035,7.2988,1.4195,1.8824,391.0394,6.3013,284.6845,28.715,7.7439,55.5941,1.9698,12.9412,0.0
ARG_C24,54.1897,1.802,97.269,11.6155,1.117,230.3205,10.4623,19.4714,86.0186,22.1189,90.2025,22.3399,139.4889,108.7203,4230.5568,1456.6724,82.3709,1220.5268,433.0255,554.9779,24.9945,123.6055,6.0764,5.3381,517.5146,17.039,6.9884,0.093,3.1319,6.7176,1.9466,4.5783,11.7866,8.096,1.963,1.5919,106.4834,6.9922,58.7107,24.4661,3.3695,14.3126,3.4718,5.6177,0.0
ARG_C25,96.86,17.3274,574.9715,3.2972,7.8339,339.4057,26.8899,27.5075,13.6239,19.5426,104.102,67.5079,40.2856,20.4812,65.9359,242.4265,28.7151,101.2999,417.5998,921.8452,36.2113,78.9578,47.1107,14.6052,768.8479,109.9751,80.2921,0.9187,23.1388,73.2945,21.5711,25.5215,10.4798,53.3986,19.7763,10.6862,163.6671,25.3849,127.3361,31.0332,5.9968,10.1377,24.1567,14.7768,0.0
ARG_C26,7.0537,0.7354,6.0843,1.894,5.3097,21.113,3.1363,0.9897,19.1905,5.917,8.6866,7.6005,4.2426,3.0878,2.0938,9.0982,600.7466,15.5138,21.7126,51.7627,0.8407,4.8709,9.2169,3.2552,96.8712,93.835,10.9156,0.2102,6.9097,9.5679,0.7159,14.626,286.7951,179.0665,31.0475,22.3057,13.2562,32.5397,23.1563,72.7353,23.8476,113.6008,10.3368,33.4425,0.0
