V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_A01_02,631.3472,0.1728,0.959,2.5122,0.1438,420.4963,9.4247,97.9153,15.4474,7.1114,30.6874,3.0873,4.3803,3.3043,12.5292,5.7466,1.6122,3.1929,5.0257,3.0354,0.8671,4.7544,7.0361,2.7105,25.7726,64.6308,13.2803,0.2582,1.0385,7.1137,0.7147,7.8044,0.8028,3.2807,7.8173,2.7971,7.7151,7.327,14.1104,4.2417,0.8583,6.6899,3.8494,3.3107,0.0
BGR_A03,0.4761,4.0597,0.003,0.0063,0.0004,13.6219,0.0275,0.026,0.0085,0.0144,0.0564,0.0138,0.0093,0.0214,0.0288,0.221,0.0314,0.0079,0.011,0.006,0.0017,0.0327,0.0153,0.0067,0.2273,4.222,0.1012,0.0037,0.0025,2.963,0.001,0.5252,0.0025,0.0086,0.0346,0.0107,0.0185,0.0412,0.1137,0.354,0.0185,0.0208,0.0525,0.0679,0.0
BGR_B05_06,5.9726,0.048,1.363,0.9999,0.0465,4.9178,0.5689,2.0259,0.4666,21.8664,3.5691,0.7718,0.5226,5.8953,10.0561,0.2675,0.0883,0.3555,0.6638,0.1482,0.0656,1.0896,56.3486,0.426,195.5325,21.3866,54.0087,0.2598,0.1285,0.7012,0.1001,0.9768,0.0756,0.0759,4.348,1.0955,0.9635,0.5717,6.5959,0.2666,0.4296,0.786,0.3631,10.7547,0.0
BGR_B07_08,1.6164,0.0461,0.0565,123.2445,0.3041,38.4771,0.3347,0.1717,1.3051,0.7279,50.9988,10.4365,0.4422,2.027,131.8412,16.0385,1.149,0.8457,23.9293,1.7378,0.5907,2.9291,2.548,5.2673,225.5276,11.7782,2.4564,0.026,0.2909,4.4972,0.9753,13.2342,0.8741,0.5967,0.2191,0.3528,9.5553,4.691,6.8435,0.5621,0.2422,9.6658,4.5334,0.3751,0.0
BGR_B09,0.179,0.0345,2.0938,11.2616,0.9878,0.1298,0.0133,0.0025,0.0929,8.8319,0.325,0.0075,0.0425,0.9777,5.6332,0.1057,0.001,0.0062,0.0343,0.001,0.0034,0.0146,1.311,0.1407,4.8953,0.0596,0.4463,0.005,0.0093,0.0825,0.0011,0.0054,0.0001,0.0,0.0002,0.0,0.1332,0.0525,0.0205,0.0567,0.0028,0.0097,0.0156,0.0039,0.0
BGR_C10T12,35.1408,0.1216,0.0457,0.6669,0.0212,1109.5833,0.4081,0.093,0.0759,0.1437,1.0209,0.4977,0.2064,0.202,0.1986,0.2772,0.1323,0.0844,1.1719,0.0858,0.0644,0.5789,0.2752,0.0385,2.6918,27.8765,1.51,0.3317,0.2379,0.6288,0.1433,216.2035,0.0744,0.1434,0.6295,0.1851,2.2141,3.8769,3.5536,4.3457,1.4549,9.7799,6.3644,0.8731,0.0
BGR_C13T15,3.9077,0.0294,0.1814,0.7721,0.0853,3.4202,244.8214,0.7348,1.716,1.2074,1.3957,5.1863,4.4488,0.8434,3.3235,2.1408,0.3675,0.8077,1.0994,95.2424,0.2654,5.6644,3.5122,1.385,8.0948,36.8828,3.7069,0.0387,0.344,3.4364,0.0991,1.9757,0.4654,0.6168,0.351,0.7139,6.9975,2.7559,6.1377,10.2269,0.155,1.8955,2.969,7.7621,0.0
BGR_C16,6.9665,0.0308,0.158,1.0158,0.0424,6.289,1.9305,93.7315,1.3137,2.0215,9.4424,0.3179,2.2506,0.7724,3.3838,3.0055,0.4069,3.1168,1.9854,0.7286,0.29,28.1039,1.5238,0.7813,17.9123,17.3134,3.1202,0.029,0.1546,4.0436,0.3443,0.8777,0.6212,0.1625,0.4845,0.4795,7.1039,1.2206,1.1947,0.8374,0.132,0.4516,0.4429,1.4566,0.0
BGR_C17_18,4.1539,0.0437,0.3783,0.7494,0.0634,47.4441,3.287,1.9304,226.6636,2.2079,14.7605,3.935,3.7762,5.4271,3.8923,3.6671,3.754,1.8576,6.2663,0.8736,2.5439,13.0239,1.7396,1.2168,5.6057,96.2309,3.9683,0.038,0.4174,2.7828,3.1873,5.2455,19.3337,1.082,8.776,58.3891,2.5675,54.1329,9.9198,73.1096,4.6822,11.496,8.2997,71.6561,0.0
BGR_C19,124.6723,1.0483,0.971,39.5409,0.9322,34.0305,3.7481,5.5334,2.0807,25.0098,10.1227,1.8295,3.2018,12.2817,51.5335,8.7896,0.6374,1.9602,2.9495,0.7955,0.4462,6.3728,14.987,13.4205,118.7535,123.4717,556.4705,7.7832,36.5083,17.0564,8.953,7.2368,0.6037,2.5939,2.1708,4.5807,8.5486,4.9301,15.5042,1.9212,2.0372,4.7084,2.252,2.9089,0.0
