V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_A01_02,2186.7711,2.8045,0.1927,0.9124,0.002,5123.624,24.4527,846.7672,598.9307,0.1185,6.337,2.3073,15.0715,1.4256,0.115,0.4014,0.0421,0.0955,2.5456,0,0.1456,7.0625,41.8136,0.0467,32.9173,26.6945,1.5541,4.3161,0.7944,12.9108,0.0075,475.9328,1.2067,0.5254,2.2889,5.3049,0.9525,4.3315,32.5628,40.1483,7.6795,44.1697,5.6931,32.2286,0
CHL_A03,0.0139,607.8415,0.0011,0.1418,0.0,4363.6357,0.0406,0.0413,0.0621,0.0232,0.7136,17.0049,0.0032,0.0276,0.0073,0.0584,0.0034,0.009,0.0035,0,0.0039,0.2526,0.0251,0.0106,0.017,0.5646,0.0105,2.6498,0.0664,0.0456,0.0016,22.2584,0.0131,0.1165,0.4928,0.5733,0.0185,0.2587,0.2097,1.0772,0.1893,2.1366,1.1593,3.0423,0
CHL_B05_06,0.2107,0.0149,0.6562,5.5884,0.3277,3.7584,0.1241,0.0654,0.9147,151.2171,1.7597,1.0543,0.1757,2.7008,5.1917,0.174,0.0099,0.0506,0.1129,0,0.0132,0.0629,93.8272,0.0657,3.0206,1.0254,1.1717,0.0044,0.0298,0.1963,0.0098,0.4074,0.0573,0.158,0.2749,0.418,0.2001,2.0781,0.4223,0.0819,0.1359,0.0724,0.0299,0.1257,0
CHL_B07_08,194.205,4.653,8.8641,3672.4894,6.4836,113.4855,16.7464,32.9841,61.5255,25.1691,1113.9773,17.3578,89.6689,529.1567,568.5741,42.2037,3.1323,17.195,30.5933,0,6.769,26.8814,39.3953,5.4588,242.7632,103.2078,10.3451,1.0927,3.0435,9.3791,0.3821,20.7054,5.788,16.719,28.3053,67.7231,28.7051,85.8161,77.7977,18.4819,31.5563,41.2582,12.8869,5.638,0
CHL_B09,6.825,0.0325,0.1277,1.7942,0.107,0.8829,0.0947,0.0913,0.4378,0.131,25.1955,0.216,0.5838,24.7733,0.6361,0.4043,0.011,0.0659,0.6251,0,0.0438,0.2157,0.8485,0.0289,7.3112,0.1403,0.0164,0.0012,0.0029,0.0043,0.0009,0.642,0.0059,0.0059,0.0693,0.1018,0.0148,0.5179,0.6388,0.0812,0.0474,0.1437,0.5339,0.0773,0
CHL_C10T12,1065.2577,1097.973,2.683,46.5471,0.164,3275.7195,25.7221,11.996,36.7085,7.0904,80.6302,19.2673,18.9737,10.7893,6.2598,9.931,0.5054,2.465,6.3509,0,2.9904,9.2184,17.5734,2.1542,64.5786,514.9301,19.6984,13.3696,14.5297,7.2578,0.2109,1998.6374,6.3434,6.2764,11.4734,35.5648,20.5645,38.3405,49.3068,95.3661,42.0253,140.1515,7.1506,45.6059,0
CHL_C13T15,13.9301,4.6245,0.0974,14.5598,0.0339,29.8619,94.0297,3.2162,11.7618,1.058,7.411,2.5921,8.3437,3.0423,2.4172,3.3484,0.3427,1.4519,2.9307,0,1.3675,9.8503,7.1832,1.5682,66.845,17.8457,8.0808,0.4214,1.7206,1.1101,0.091,9.3139,2.8378,1.7771,2.9312,10.9865,1.7671,9.311,9.41,11.426,5.5568,14.5157,1.9521,3.5314,0
CHL_C16,58.3222,1.6205,0.4961,12.098,0.0384,69.8896,5.3196,606.4911,33.0776,0.8678,3.0469,0.7303,3.0513,9.7918,3.6193,17.9957,0.4044,2.2654,4.191,0,1.5207,107.383,17.9063,0.9549,1145.0038,47.3676,2.1944,0.833,0.8795,2.3363,0.1326,2.7597,2.9543,1.05,2.445,12.126,1.0208,2.2332,14.5325,5.9111,1.1945,4.235,1.1386,9.2615,0
CHL_C17_18,36.4773,11.816,0.4188,147.1545,0.2448,528.2387,17.4895,38.4924,1014.35,12.827,53.4601,47.1325,25.8175,54.7688,7.5672,12.4865,2.9355,12.089,21.573,0,1.8987,13.4205,293.1137,10.771,59.8537,583.2904,22.0342,1.2415,5.2514,30.5343,2.7361,33.5256,70.3228,64.9925,8.3416,110.2391,17.2272,337.9746,87.2043,62.2307,83.6588,103.7596,13.1189,48.0954,0
CHL_C19,297.6023,39.8154,3.3327,389.1398,1.5759,99.9634,5.8806,12.2108,36.4212,65.227,86.8326,2.5543,10.4338,40.41,11.8496,9.7036,0.362,2.1818,8.9895,0,1.6729,12.2685,26.6514,22.2235,183.0023,131.9022,1453.8791,57.243,299.9618,27.0949,0.8647,20.8915,1.3392,2.9356,1.2022,3.527,5.9844,30.6065,66.3836,55.6819,14.8806,70.1976,3.7264,32.4771,0
