V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_A01_02,594.1524,0.2059,0.0,0.0,0.0,1542.9914,0.6504,4.8281,1.0572,0.0,11.2659,4.0207,26.3868,0.0009,0.5342,2.315,0.0,0.0,0.0,0.0,0.0,1.0815,0.0,0.0,0.4687,0.0,0.0,0.0,0.0,0.0,0.0,322.866,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0649,0.0,1.3246,0.0,0.0984,0.0
CIV_A03,0.153,7.3627,0.0,0.0,0.0,34.9541,0.0,0.0,0.0,0.0,0.0863,0.0468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_B05_06,0.0067,0.0,0.1616,0.9569,0.0571,1.2435,0.0,0.0,0.0,352.8474,0.1408,0.0032,0.0,1.5623,1.169,2.1803,0.0,0.0884,0.0,0.0,0.0,0.5748,0.1953,0.0,0.4255,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758,0.0,0.0,0.0
CIV_B07_08,0.5337,0.0,4.1957,89.6109,3.0315,39.262,0.0,0.0,0.0,0.0,7.6228,1.0037,0.0,66.7639,336.2906,404.3353,0.0,12.1253,0.0,0.0,0.0,77.4067,0.8534,0.0,65.7862,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7855,0.0,0.0,0.0
CIV_B09,0.0442,0.0,2.8511,10.7036,1.4184,3.6582,0.0,0.0,0.0,58.641,0.4009,0.0128,0.0,2.259,8.0448,17.7091,0.0,0.1153,0.0,0.0,0.0,0.0,0.1029,0.0,2.2339,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3639,0.0,0.0,0.0
CIV_C10T12,53.1928,2.8978,0.0063,0.0242,0.0084,722.9259,0.7238,0.0822,3.9444,0.0243,47.1057,10.8668,1.3184,0.2603,0.0645,0.2869,0.0413,0.0035,0.0066,0.0001,0.0001,0.0946,0.1985,0.0057,0.8111,2.2187,1.1095,0.0892,0.1382,0.778,0.218,1101.8643,0.0142,0.0101,0.0113,0.0223,0.0028,0.0114,0.0042,13.7355,3.8876,0.8892,0.0004,0.0725,0.0
CIV_C13T15,5.943,0.6172,0.0,0.0005,0.0,0.8097,32.8616,0.0074,2.89,0.0038,0.1385,0.038,0.6071,19.476,0.0007,0.0061,0.0,0.0006,0.0,0.0,0.0,9.6226,0.0076,0.0,0.1272,0.4628,0.1761,0.014,0.0217,0.1223,0.0344,0.001,0.0005,0.0004,0.0004,0.0,0.0001,0.0007,0.0002,0.6191,0.0,0.0518,0.0,36.0242,0.0
CIV_C16,1.1849,0.0001,0.0459,0.1615,0.0621,24.598,0.247,24.2626,0.2015,0.0029,0.5957,0.0847,0.2047,0.0166,0.071,0.4395,0.3116,0.0004,0.0495,0.001,0.0009,35.6543,1.1367,0.0046,0.7315,0.4974,0.0335,0.0091,0.0173,0.0769,0.015,1.0923,0.0815,0.057,0.0664,0.1685,0.0192,0.0443,0.0208,0.1274,0.0687,0.0541,0.0024,0.3219,0.0
CIV_C17_18,7.0949,0.0396,0.076,0.6896,0.0445,21.3006,0.3798,0.1397,39.8601,1.9486,6.509,2.3725,0.7385,1.2237,0.0423,0.3153,0.22,0.0443,1.2595,0.6217,1.7279,0.2096,0.7432,0.1065,2.5635,113.887,0.3747,0.0887,0.1831,0.8715,0.4022,30.5591,1.0397,0.2818,0.2583,3.9453,0.4411,1.0915,0.7843,8.5225,12.1324,7.0509,0.0579,0.1116,0.0
CIV_C19,104.8101,12.2921,1.5466,14.5543,0.7038,112.144,0.4715,8.7848,1.6178,89.2016,13.5737,0.9823,5.8675,2.0992,3.9253,10.7942,1.3883,0.0269,1.3526,0.6465,1.8157,5.6341,3.3516,9.6243,55.8336,80.5732,309.0914,99.0098,198.0563,91.8432,39.502,59.9152,0.1572,0.2481,0.1769,3.2092,3.8847,0.4873,9.3731,20.8061,1.9748,1.6461,0.0311,1.348,0.0
CIV_C20,47.3253,0.0131,0.0325,0.3288,0.0172,34.8824,4.9308,0.8204,7.3461,0.9524,65.7642,6.2376,38.7493,1.5075,0.2481,1.0917,0.2335,0.8152,0.4558,0.0145,0.0218,4.0857,0.12,2.3137,49.395,57.2888,0.3144,0.091,0.1374,0.5523,0.083,29.2555,0.2984,0.0665,0.1168,0.4784,0.176,0.4093,1.0419,0.1162,0.2761,0.3242,0.0234,6.0059,0.0
CIV_C21,4.2356,0.0049,0.0018,0.0206,0.0005,7.8557,0.2679,0.0655,0.3816,0.0888,5.9105,29.1424,1.4154,0.0763,0.0213,0.0796,0.0211,0.0415,0.0422,0.0007,0.0023,0.2692,0.0141,0.1351,2.4136,7.6035,0.0364,0.0324,0.0278,0.0839,0.0336,3.9184,0.0152,0.0129,0.0157,0.1024,0.0133,0.1152,0.1005,0.0603,0.0823,0.6783,0.0033,0.833,0.0
CIV_C22,64.4709,0.2008,0.0186,0.1623,0.021,112.4913,19.5973,2.509,38.2426,1.0831,27.7237,7.4458,50.8905,4.4701,0.2281,1.8732,0.0669,0.1582,0.009,0.0002,0.0002,4.7027,2.3534,0.0107,35.4842,97.5154,49.9113,3.9801,6.1477,34.6841,9.7556,0.3536,0.1678,0.1318,0.1281,0.029,0.0257,0.2077,0.0726,0.0254,0.0255,0.0891,0.0059,0.3401,0.0
CIV_C23,0.835,0.0167,0.0183,0.1437,0.0118,6.1057,0.017,0.7986,0.4615,1.069,4.6368,1.4836,0.1978,56.9627,0.0912,0.4043,0.0019,0.0062,0.0109,0.0,0.0001,1.3826,0.0244,6.5415,883.3599,10.4088,0.3919,0.1418,0.2036,0.7197,0.1135,0.0576,0.0483,0.1131,0.0559,0.0005,0.1807,0.1802,0.121,0.0453,0.0247,0.4968,0.0011,0.0107,0.0
CIV_C24,4.9637,0.0988,0.1872,2.5776,0.1272,9.9782,0.4277,1.265,2.4203,0.4971,2.4389,0.1887,0.9956,0.3407,27.2634,97.821,0.0791,4.447,0.2203,0.0675,0.1251,2.0915,0.4178,0.1856,16.2529,6.5767,0.5218,0.1926,0.2707,0.7645,0.0125,0.726,0.1198,0.0703,0.045,0.0035,0.6525,0.3988,0.3923,0.0005,0.162,0.0994,0.0203,0.2523,0.0
CIV_C25,102.286,1.4258,3.6966,31.6875,3.2451,94.1541,5.9729,14.7095,8.5481,4.1258,8.2333,1.3773,4.4501,2.0354,12.9711,186.579,0.2383,7.4453,1.2428,0.7027,1.4795,8.7944,2.7888,1.092,196.0123,87.7717,4.6651,1.7914,1.3881,11.033,1.1655,8.1533,0.7455,0.9006,0.5632,0.0368,8.8445,3.6712,7.1079,0.0102,2.5581,1.5771,0.4039,3.1292,0.0
CIV_C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0457,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,4.0648,0.0
CIV_C27,0.0136,0.0001,0.0002,0.0016,0.0001,0.0244,0.004,0.0006,0.0079,0.0002,0.0059,0.0016,0.2043,0.0009,0.1204,0.7953,0.1067,0.01,0.0001,0.0,0.0,0.0012,0.0007,0.0004,11.6308,0.0219,0.0104,0.0008,0.0013,0.0074,0.002,0.0003,0.0005,0.0013,0.0006,0.0,0.0021,0.0005,0.0011,0.0005,0.0003,0.0001,0.0,0.0001,0.0
CIV_C28,2.6352,0.0362,4.3042,26.1773,0.3354,30.447,0.0992,1.1779,1.6837,0.4702,4.9973,1.5859,0.272,0.2716,0.1028,0.5195,0.5278,0.0199,15.8343,0.4279,1.3347,3.2818,5.3514,2.0339,5.3401,12.4303,1.185,0.3952,1.0995,1.5308,0.1778,0.8818,3.0948,6.2895,2.403,29.5988,0.4016,0.8179,0.5631,25.0442,0.7762,1.1964,0.6263,0.2394,0.0
CIV_C29,0.023,0.0,0.0,0.0,0.0,0.8113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0007,0.0,0.0,0.0,0.0,0.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C30,0.0889,0.0,0.0,0.0,0.0,2.2562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0896,0.0,0.0,0.0,0.0,3.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C31T33,13.826,0.0401,2.3958,11.9525,2.7824,42.1233,2.722,2.9138,1.9343,0.4929,2.2896,0.8131,2.2348,0.8979,1.9922,12.6266,13.0674,0.0329,6.8905,0.0447,0.0545,2.5849,50.3665,1.8022,22.9406,28.5119,2.3069,0.6826,1.5697,4.352,0.7552,1.8729,5.7385,7.252,4.5817,30.0635,1.0891,2.4453,1.2914,24.8739,3.4104,2.0277,0.5885,13.1811,0.0
CIV_D,50.6186,7.239,1.2774,12.2831,0.3704,183.5238,6.7877,15.598,15.3335,6.064,22.9979,2.9079,30.0056,15.0022,13.5428,32.1694,3.9892,0.7782,20.5383,0.2715,0.586,4.6866,22.505,28.6123,157.6537,208.4193,21.721,2.0392,4.1821,38.2931,6.6211,40.2605,4.532,13.0192,4.8815,7.8633,11.507,9.9706,12.2252,75.845,17.008,10.5114,1.0367,7.7162,0.0
CIV_E,1.397,0.0947,0.0161,0.1204,0.0065,20.7178,0.2089,1.406,0.7178,0.2344,0.8305,0.1419,0.3712,1.0301,0.2486,0.5872,0.4031,0.027,4.7438,0.0641,0.2203,0.6229,1.1335,0.3882,21.1745,7.1758,0.4446,0.1335,0.1786,1.0588,0.1244,18.1235,0.2608,0.2939,0.2753,0.4167,0.988,0.493,1.0895,6.7881,6.5783,2.9755,0.0316,1.3245,0.0
CIV_F,10.916,0.6748,4.5,34.724,2.8324,14.6556,0.2521,3.1438,2.0235,0.5143,3.5022,0.9086,1.6035,0.6118,4.279,22.5827,0.4845,0.3754,2.8629,0.0086,0.0245,6.9587,6.2358,7.7138,405.2976,41.123,2.4393,0.4615,0.7485,5.3438,0.6172,5.1851,10.2711,26.7094,12.7866,0.2229,44.8414,9.6459,23.1366,11.6034,5.799,2.7445,0.1955,1.6836,0.0
CIV_G,407.5599,15.438,7.88,52.0945,5.1519,905.9382,72.5321,26.0233,57.3131,122.2805,107.6898,42.3536,56.2466,129.3617,22.4483,74.3502,20.2351,2.9682,55.7143,1.1063,2.9768,48.9372,49.6844,25.3899,497.2312,480.6863,535.4423,66.7971,145.9378,237.1651,108.1076,786.8734,79.4845,101.1915,67.5381,66.5776,8.2296,11.1018,26.8799,92.5363,28.0323,22.2375,26.884,83.8518,0.0
CIV_H49,99.8302,6.9641,2.0714,14.2558,0.6991,136.2667,5.0919,5.7176,7.0632,29.6575,14.7156,3.2841,10.8249,8.7383,8.8949,18.4363,1.8891,0.8412,3.4752,0.2047,0.4683,7.2338,2.4148,1.6773,74.3583,614.6684,22.0507,4.4408,7.8366,14.7202,3.6953,51.9354,1.239,1.6054,0.7146,3.1119,2.2001,1.8221,3.0741,5.0616,3.5712,1.9589,0.2199,9.112,0.0
