V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_A01_02,307.8843,1.4706,0.1293,4.0205,0.004,1597.5437,3.269,28.3706,9.5191,0.7336,3.7502,0.6565,6.9829,1.2762,0.0794,0.1643,0.0349,0.2913,0.0209,0.0376,0.0223,5.7329,0.1446,0.5132,4.5144,2.9275,0.1097,0.1686,0.0224,0.6071,0.0517,127.4203,2.0012,0.1105,0.3073,0.5539,2.4123,2.8121,4.8991,3.6661,22.3217,18.4891,1.9378,4.3663,0.0
CRI_A03,0.0007,5.0054,0.0,0.0,0.0,65.1518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6976,0.0,0.0015,0.0,0.0,0.0,0.0,0.013,0.0806,0.4498,0.1396,0.0,0.0,0.0
CRI_B05_06,0.1025,0.0,0.0229,0.3195,0.0005,0.015,0.0,0.0013,0.0017,0.6255,0.1806,0.0094,0.001,0.2382,0.0078,0.0001,0.0,0.0023,0.0002,0.0,0.0,0.108,0.1192,0.0032,2.9884,0.5601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.1442,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,1.2143,0.0186,0.0217,3.7143,0.0027,2.9954,0.0001,0.1682,0.0052,0.1341,2.4154,0.0107,0.0008,24.0405,1.1436,0.0004,0.0,0.0025,0.0002,0.0,0.0,0.1827,1.591,0.1821,285.0604,0.5306,0.1796,0.1096,0.0154,0.0014,0.0,0.0211,0.0,0.1297,0.0,0.0,9.1064,0.1291,0.562,0.1544,0.1713,0.0009,0.0165,0.1108,0.0
CRI_B09,0.0083,0.0014,0.001,0.0801,0.0002,0.009,0.0001,0.0,0.0044,0.1071,0.0151,0.0002,0.0009,0.0322,0.0224,0.0009,0.0,0.0001,0.0,0.0,0.0,0.0009,0.0379,0.0035,0.2324,0.0019,0.0064,0.0008,0.0003,0.0019,0.0,0.0006,0.0,0.0,0.0,0.0,0.0054,0.0034,0.0021,0.002,0.0004,0.0008,0.0003,0.0003,0.0
CRI_C10T12,175.8015,12.914,0.0081,0.5003,0.0008,705.0844,0.8732,0.14,2.1003,2.328,36.7272,6.6165,4.292,1.1425,0.3633,0.5294,0.121,0.7379,0.0529,0.0449,0.0204,7.3098,1.1844,1.5615,5.1834,23.4782,1.9196,3.7898,0.749,3.8024,0.41,484.8326,1.2148,1.7744,0.9384,2.4704,1.8109,7.3219,7.3234,11.3667,33.3326,27.9599,8.7682,15.7976,0.0
CRI_C13T15,1.9917,0.2992,0.0052,0.2822,0.0004,2.9645,27.0244,0.0111,7.9185,0.086,0.184,0.3487,0.8216,0.0831,0.1166,0.0663,0.0717,0.1406,0.0101,0.0169,0.0087,6.735,0.5554,0.5623,0.7583,2.1964,0.1563,0.1109,0.0392,0.2203,0.0579,3.3108,0.511,0.6463,0.2003,1.4932,0.6964,2.0343,1.8609,2.0954,1.3529,4.5629,0.9119,1.9739,0.0
CRI_C16,9.9058,0.071,0.0002,0.0073,0.0,9.3063,0.2166,18.1726,0.3542,0.0592,0.9331,0.1321,2.2664,4.4333,0.0854,0.4167,0.0059,1.1161,0.08,0.2208,0.1436,12.8425,0.0497,0.2955,30.2913,3.0619,0.0031,0.0084,0.0006,0.2103,0.1958,0.7082,0.0743,0.0055,0.0011,0.012,12.2003,0.152,0.1128,0.4509,0.3499,0.7087,0.0814,0.4014,0.0
CRI_C17_18,74.1553,0.0528,0.0012,0.1105,0.0001,47.814,1.5927,0.0612,84.1759,1.2486,9.0234,1.1787,2.8322,5.469,0.424,0.3654,0.1935,1.6053,0.1159,0.0477,0.0188,18.7063,0.8232,0.7563,3.7396,38.1161,0.4971,0.2857,0.0909,0.8454,0.7391,19.889,19.683,1.9304,3.6971,5.2916,8.4366,36.735,11.2739,4.7225,20.1694,22.551,3.3215,7.7296,0.0
CRI_C19,22.7862,2.0467,0.0508,3.9756,0.0032,13.2647,0.3764,0.264,1.132,0.3373,1.9762,0.0941,1.3217,5.6109,1.1498,0.4881,0.0217,0.1501,0.0108,0.044,0.0203,4.1341,2.3086,1.6621,20.4818,11.7851,35.0116,26.6244,9.6662,4.8054,0.2945,7.8971,0.7147,0.9481,0.5941,0.5394,0.2396,5.1364,8.931,2.7859,1.257,3.0697,2.4632,2.8092,0.0
CRI_C20,113.3901,0.3945,0.0203,1.4543,0.0021,48.7639,5.0307,0.2675,15.2915,49.8503,123.9833,9.2083,60.8053,5.2977,2.2156,5.577,0.4105,7.2856,0.5222,0.2994,0.1158,36.0325,0.4511,1.1262,35.0228,20.3764,0.3371,0.2186,0.0581,0.1979,0.0514,11.5859,2.5263,0.3215,0.6326,0.3495,13.5391,4.2273,3.7551,2.1838,6.6406,29.0226,1.5186,15.6815,0.0
CRI_C21,7.69,0.0496,0.0015,0.0498,0.0,4.2609,0.0362,0.0009,0.0189,0.3843,0.4992,3.5497,0.0626,0.0184,0.0156,0.0071,0.0008,0.0131,0.0009,0.0006,0.0003,1.8459,0.0252,0.0142,0.0591,0.2149,0.0109,0.0139,0.0029,0.0564,0.0014,0.9275,0.012,0.0405,0.0058,0.191,0.0434,1.0129,0.0579,0.1981,0.2374,8.0105,0.0786,0.1757,0.0
CRI_C22,5.9899,0.0444,0.0023,0.1219,0.0002,20.5674,0.9862,0.0599,2.708,1.5647,6.4129,0.7056,4.6361,0.9589,0.4694,0.6864,0.6737,1.7233,0.1235,0.0603,0.0194,28.1414,0.1406,0.3678,11.8057,3.1106,0.8218,0.314,0.0624,0.2816,0.0405,3.4104,0.492,0.0406,0.1902,0.1577,1.0153,0.8334,0.5715,0.2325,0.4268,1.4198,0.1177,0.4574,0.0
CRI_C23,4.9664,0.188,0.0056,0.477,0.0006,7.9156,0.11,0.3027,0.5045,0.4797,2.0214,1.0333,0.5459,41.4835,3.0852,2.5461,1.0891,2.3051,0.1652,0.3583,0.1411,5.462,0.6849,0.7612,488.9019,6.8352,0.4699,1.3888,0.1439,1.0486,0.3104,3.1132,0.1058,0.3941,0.0934,0.2927,49.3757,5.0972,0.7498,1.3786,13.3341,4.1316,0.3699,1.0692,0.0
