V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_A01_02,1188.352,0.1668,0.5962,0.1706,1.6747,2623.3801,2.8557,87.7133,2.9908,0.7863,9.5964,80.3271,4.5436,3.7069,0.2588,6.5617,10.9435,1.3672,131.7182,0.8034,0.4085,52.0213,44.1256,22.4987,159.4638,157.5085,11.2368,4.9805,2.5218,29.6497,3.5246,208.2164,22.2462,13.1473,33.402,19.9807,18.3425,145.8241,145.6354,81.781,63.8966,138.5222,28.9074,20.5995,0.0
DNK_A03,4.2703,0.8784,0.2189,0.0621,0.4568,223.7385,0.1353,0.054,0.1573,0.0238,2.3206,2.0647,0.1099,0.4229,0.0302,0.3426,3.3368,0.1962,2.786,0.0877,0.0853,3.5249,0.3254,3.1088,24.7581,19.0944,3.0936,0.7223,0.5861,9.3942,0.318,16.884,1.8556,0.6145,4.8486,1.411,1.6292,10.4743,8.5408,2.2728,2.9399,5.3334,2.4994,1.7204,0.0
DNK_B05_06,7.9436,0.0009,80.2505,18.9424,3.6478,83.6362,1.0556,0.425,5.4369,1243.6295,25.397,7.7727,4.6387,26.0605,11.0156,5.9056,0.8177,0.7196,4.5525,0.6673,0.1782,1.5471,446.0821,2.4009,125.3869,11.085,0.5654,0.0517,0.0268,1.1591,0.4793,9.2054,2.9393,0.2477,0.8975,1.2647,1.8165,4.8481,39.7782,3.0602,6.1424,23.501,7.118,0.7464,0.0
DNK_B07_08,6.7313,0.0005,2.4907,2.9947,0.3771,4.4663,0.3888,0.158,3.0406,0.117,2.4982,0.7791,3.1377,107.2581,0.2011,3.6888,0.3789,0.3782,1.8578,0.3073,0.0062,0.6462,34.4905,0.2552,90.8287,3.1655,0.2604,0.0131,0.0121,0.153,0.0471,0.2006,0.2643,0.009,0.3168,0.5317,0.1826,0.5332,3.9665,2.1781,2.513,2.3225,0.7084,0.2877,0.0
DNK_B09,3.5174,1.8469,133.7787,10.8037,65.7062,4.2149,0.0421,0.0598,1.707,85.7358,13.7149,2.7883,0.7479,26.3023,12.9527,2.4943,0.076,0.0871,3.1428,0.0092,0.0278,0.451,25.578,2.2126,192.378,1.9974,6.9784,3.111,0.4341,2.16,0.0405,0.2666,0.0071,0.0,0.0081,0.0011,8.361,6.8766,1.8536,2.5747,0.3304,1.5231,0.4388,0.2136,0.0
DNK_C10T12,1207.5433,78.1152,0.8044,0.2433,0.2057,3371.7727,13.1629,1.2268,3.7719,0.4071,201.2417,193.7476,5.5572,3.4219,0.0228,2.4767,4.8919,1.2547,34.5018,0.8598,0.3373,28.8186,14.468,12.3788,9.9722,153.1707,7.8718,5.5791,0.2055,18.8936,1.4299,1073.3537,9.7455,3.3358,25.0846,9.4485,4.404,81.9587,32.5803,44.2553,27.422,177.9489,25.2147,39.2839,0.0
DNK_C13T15,1.8854,0.5279,0.1197,0.0385,0.2068,5.4022,179.9834,1.9239,19.2146,0.0527,3.5781,5.3252,7.8215,8.7795,0.9567,8.6397,4.3571,1.2324,18.0087,2.9268,4.0188,51.68,1.9306,9.562,36.4026,28.1731,3.0122,1.9759,0.1512,3.3569,7.9807,6.3798,5.0919,1.1393,2.3945,0.8489,0.4628,6.9987,20.9379,15.9259,5.6724,57.8915,12.6514,16.448,0.0
DNK_C16,5.5385,0.0784,0.9222,0.3634,0.1914,12.0434,0.9119,125.2537,6.3743,0.0591,6.5271,2.5203,11.1071,8.5138,3.2052,13.9629,7.9277,1.9,21.9813,4.8039,3.1909,158.6929,27.6111,11.3843,810.0129,21.1367,2.07,0.6089,0.0887,2.6516,0.3214,1.5424,1.1969,0.5872,1.4296,0.9406,5.2442,3.3178,13.9051,2.7173,2.5755,5.5822,10.8632,3.6677,0.0
DNK_C17_18,5.35,0.1147,0.5236,0.2069,0.3488,124.2631,2.5595,2.938,338.8528,0.0795,26.3578,39.3877,17.1868,8.867,3.3532,9.6216,10.922,4.126,18.2514,1.1735,0.5372,20.5062,1.5398,11.3895,11.546,248.7117,3.7814,1.3534,0.2655,2.6461,7.5036,11.2346,104.9125,8.8633,45.8917,16.4599,21.8488,88.7024,24.4373,42.8638,33.9703,37.4138,16.2777,13.3286,0.0
DNK_C19,149.0139,39.5924,2.8104,1.2113,7.8784,29.2002,1.0978,3.2903,2.7103,35.1861,7.7375,2.3631,4.305,56.6569,1.3081,14.7006,1.3929,1.3557,13.8286,1.2856,0.4877,12.4818,16.9988,23.2079,220.6007,141.118,393.6488,1368.6784,214.1712,28.4311,14.4761,10.3802,3.2675,2.344,4.3437,8.3557,20.7855,22.9578,45.904,63.9304,15.1706,15.8118,8.9123,8.7458,0.0
