V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_A01_02,373.8884,0.0464,0.8436,0.4225,0.0074,287.5722,2.7144,629.0733,38.5602,0.277,0.4801,0.0226,0.5064,0.8939,0.0461,1.5203,0.7155,0.5555,0.4482,0.2667,0.189,3.2385,8.2564,1.5197,8.0071,15.9798,2.1417,1.203,0.3674,4.6288,0.2673,18.0079,0.3056,0.2659,0.9274,0.9343,4.8766,7.419,3.3212,3.0139,2.2044,1.311,1.8831,0.7329,0.0
EST_A03,0.1842,0.3053,0.0187,0.004,0.0001,41.6472,0.0602,0.1404,0.0269,0.0525,0.0309,0.0013,0.0226,0.055,0.001,0.082,0.0377,0.0275,0.0256,0.0129,0.0028,0.2214,0.1106,0.0156,0.2662,0.9767,0.1677,0.1421,0.1047,0.2143,0.0114,10.5467,0.0444,0.014,0.0523,0.0534,0.3789,0.5472,0.247,0.3076,0.2845,0.1941,0.1667,0.0478,0.0
EST_B05_06,5.0389,0.0063,1.7067,0.1939,0.008,0.1919,0.0078,0.0023,0.0092,59.3003,4.9736,1.0403,0.0023,2.9161,0.0354,0.0064,0.0011,0.0,0.0253,0.003,0.0054,0.0975,214.0075,0.0913,0.0773,0.0963,0.7295,4.2983,0.0051,0.3054,0.0,0.0086,0.0081,0.0021,0.0,0.0,5.0248,0.4344,0.9237,0.1606,0.5534,0.0514,0.4443,0.0065,0.0
EST_B07_08,1.4513,0.0509,0.8378,0.7243,0.0079,0.2712,0.0298,0.3452,0.4001,0.0492,2.2279,0.0028,0.1307,17.4911,0.0246,0.299,0.0488,0.122,0.1683,0.0225,0.0292,0.1559,2.9306,0.1798,82.7372,0.6031,2.0964,1.9559,0.0203,0.5236,0.0104,0.0563,0.0095,0.0192,0.1315,0.0227,2.6844,0.3159,0.4569,1.1358,0.191,0.068,0.2395,0.5331,0.0
EST_B09,0.0001,0.0001,0.0077,0.0022,0.0001,0.0001,0.0,0.0,0.0001,0.0043,0.0004,0.0,0.0,0.0017,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.003,0.0001,0.0082,0.0001,0.0004,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
EST_C10T12,45.6152,0.751,0.0448,0.014,0.0006,154.6837,1.2256,0.0534,0.1647,0.0,5.5185,0.1255,0.0094,0.035,0.0018,0.0096,0.0009,0.0001,0.1024,0.0042,0.0011,1.9593,0.0306,0.0355,0.3905,6.09,0.2704,0.0412,0.1332,0.2441,0.0,104.3921,0.666,0.0043,0.269,0.3286,0.6372,5.1139,1.9541,4.0554,10.1195,6.3521,2.8511,0.504,0.0
EST_C13T15,1.9149,1.2097,0.5231,0.1851,0.0048,1.8156,62.8683,1.8094,1.8256,0.3434,0.3652,0.0193,3.0865,1.1011,0.036,2.1799,1.1506,2.8498,0.8637,2.9643,0.3356,16.6944,0.5619,0.1952,6.0608,5.8445,0.7386,0.1973,0.1213,1.7445,0.0932,5.1056,0.6476,0.0958,0.504,0.4167,1.7837,7.027,7.8244,2.0281,0.9525,3.5559,3.6255,2.3355,0.0
EST_C16,15.1071,0.0676,1.7402,0.8685,0.0235,2.9782,1.7718,372.3331,2.4035,0.2856,0.7019,0.0175,3.0638,7.2038,0.1499,2.5103,1.8308,2.2341,1.18,1.3989,3.2312,76.008,52.1978,0.9343,174.8093,14.9247,2.6911,0.4811,0.269,9.9605,0.0806,0.9888,0.2367,0.3852,1.1327,0.7517,10.0339,5.5911,1.7979,1.3851,0.5633,0.9216,0.8368,0.7521,0.0
EST_C17_18,4.1712,0.143,0.8172,0.2395,0.0016,19.0851,4.7328,9.0703,51.854,0.146,1.2555,0.2534,1.6055,1.5454,0.216,1.5483,2.1365,1.3688,1.2591,0.2566,0.1771,2.5542,0.4883,1.7527,1.7358,18.5475,0.4244,0.1938,0.1357,2.3191,1.3754,3.0233,44.0825,4.3343,19.8806,8.9777,1.4055,56.2678,9.5382,12.7341,4.6879,2.3653,3.302,13.9849,0.0
EST_C19,20.1631,2.0605,4.0461,1.2628,0.0283,2.9719,0.574,2.9216,0.9317,1.6595,1.9492,0.0227,0.8735,2.0468,0.0763,1.5773,0.1638,0.4142,0.4691,0.228,0.0861,2.3176,10.6452,1.4142,27.4086,10.5065,76.0831,16.5493,8.0566,6.5809,0.4213,0.7896,0.1922,0.3271,0.8671,0.6409,2.3061,2.9537,2.7475,4.1268,2.3731,1.5203,1.6084,1.091,0.0
EST_C20,28.4082,0.2637,4.1416,1.3801,0.033,10.0691,11.3321,11.9454,6.6744,1.2228,53.7706,0.4381,20.169,4.4307,0.3071,4.455,1.4495,3.0148,1.2229,0.9642,0.3632,6.8477,2.8523,1.8207,14.7982,5.5673,5.0185,2.156,0.7057,4.2385,0.0761,1.8397,0.3805,0.1521,0.524,0.6268,6.7169,5.1062,4.1434,1.2141,2.1608,1.9705,1.6112,3.6175,0.0
EST_C21,0.3288,0.0025,0.1897,0.03,0.0001,0.1902,0.2741,0.1131,0.024,0.01,0.1048,0.4072,0.0394,0.0268,0.0241,0.0579,0.0272,0.0224,0.0161,0.0068,0.0196,0.0783,0.043,0.0424,0.1705,0.4761,0.0383,0.0533,0.0104,0.0725,0.051,0.0482,0.0061,0.0045,0.0195,0.0236,0.1186,0.8386,0.0937,0.2651,0.1025,9.8672,0.0481,0.0289,0.0
EST_C22,4.1258,0.3937,1.7263,0.9517,0.0268,15.9327,8.4915,7.0126,1.8143,0.1884,2.8538,0.1606,26.4573,7.1935,0.0756,3.3607,12.3225,6.9073,2.6726,2.5549,5.5698,11.9942,0.4908,1.59,57.27,22.8766,4.8036,0.1429,0.0905,2.4613,0.0704,2.292,0.1953,0.0908,0.967,0.9078,8.1773,4.16,0.8087,2.2384,0.75,1.5029,0.8878,1.0448,0.0
EST_C23,3.6392,0.0507,0.4178,0.2335,0.005,4.1135,0.287,16.5987,0.485,0.7393,1.1729,0.2107,9.549,55.8318,0.1863,6.1457,0.9602,5.5806,0.5298,0.5093,1.6809,3.9171,1.2523,0.5852,257.2399,15.4466,3.3042,0.5891,0.2033,4.7114,0.0637,1.6588,0.2786,0.1274,1.0188,0.2466,11.2932,3.5633,2.1975,1.8134,0.8623,0.8853,0.7517,0.3731,0.0
EST_C24,0.1463,0.466,0.0318,0.0072,0.0003,0.0636,0.0759,0.2627,0.3328,0.0269,1.2391,0.0092,0.3387,0.3835,2.648,26.7142,1.8838,8.5551,5.3898,1.082,0.0626,3.803,0.0395,0.2109,2.9857,0.0397,0.0453,0.0157,0.0255,0.281,0.0,0.0106,0.0264,0.0033,0.0013,0.31,0.6674,0.385,0.108,0.0445,0.0068,0.0024,0.0578,0.0518,0.0
EST_C25,17.0826,0.5616,4.264,1.5644,0.0557,16.5356,5.1048,25.1634,4.3537,0.5019,6.8963,0.3886,6.5725,17.8103,0.7986,163.3326,33.0344,44.0631,49.3158,8.44,6.1733,47.6876,12.0996,8.7666,196.2446,25.1487,3.6692,0.5798,0.4709,23.4832,0.1561,1.1833,1.0073,0.3676,1.7392,1.0479,21.4637,8.8462,9.378,25.9692,0.7597,1.4871,2.6185,1.311,0.0
EST_C26,2.6619,0.1208,0.7035,0.2257,0.0062,1.1522,0.5402,2.1811,0.9488,0.4247,0.5375,0.024,0.6437,1.293,0.1336,5.7088,169.7237,11.436,3.8117,2.6246,0.434,5.8253,2.0462,0.8669,13.3521,6.9972,1.4433,0.1888,0.2406,2.2386,0.1195,0.4594,0.6043,2.6124,2.4958,0.8484,1.8312,3.6432,2.485,3.5512,0.7467,1.373,0.7307,1.3118,0.0
EST_C27,2.1603,0.2459,0.4326,0.1159,0.0033,1.4136,0.5203,2.4289,0.5491,0.7342,0.5603,0.0188,0.7963,0.8073,0.1028,2.7324,35.1042,34.6177,1.2714,1.3286,0.4578,4.9962,4.7869,0.4088,20.4401,6.8727,1.7546,0.423,0.9993,2.4705,0.1098,0.6356,0.2795,0.3911,1.0599,0.6186,2.376,3.3281,2.3893,1.6306,0.6564,0.7547,0.3837,0.9266,0.0
EST_C28,6.5157,0.0672,2.1374,0.6752,0.0165,1.6342,0.5723,4.6543,1.0111,0.7518,1.0865,0.0417,0.8598,2.5304,0.1315,5.1957,7.3595,3.8075,8.6556,2.6213,0.4093,6.7027,3.1187,0.7719,8.2698,8.4993,1.9075,0.1936,0.2149,3.3777,0.1436,0.3533,0.0577,0.092,0.5285,0.4635,1.6841,1.9189,1.4099,0.9007,0.4064,0.2688,0.3552,0.3653,0.0
EST_C29,2.5624,0.0331,0.7761,0.3238,0.0075,0.6796,0.2105,1.1852,0.1413,0.1466,0.1832,0.0088,0.7018,1.9945,0.0503,2.8153,1.4019,0.74,2.5987,39.6754,0.1506,2.0104,0.3454,0.2654,5.5917,17.5756,17.1447,0.1081,0.0543,1.1943,0.0788,0.1367,0.1048,0.0308,0.1176,0.2466,0.6426,0.6116,2.1261,1.6714,0.3017,0.6382,0.3073,0.0713,0.0
EST_C30,0.0066,0.0221,0.0015,0.0004,0.0,0.0042,0.0146,0.0235,0.0044,0.0,0.0066,0.0,0.0131,0.0023,0.0012,0.0912,0.0074,0.0105,0.0027,0.0103,4.3334,4.3254,0.2568,0.0226,0.1787,0.4814,0.2738,9.0454,0.3339,0.5841,0.0015,0.0058,0.0127,0.0043,0.0896,0.0,0.0474,0.104,0.342,0.6593,0.0217,0.0541,0.283,0.0172,0.0
