V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T
HRV_A01_02,305.2986,12.0584,0.2038,0.2048,0.5976,656.674,4.5016,79.9193,29.4803,2.5374,6.2812,2.3734,3.5516,2.5959,0.3911,3.2674,0.8579,2.3675,9.8424,0.4169,2.0342,102.8915,8.8003,2.7424,35.8,212.4029,49.67,0.7124,7.9707,7.2505,0.278,17.7749,4.4205,2.1333,13.4718,7.9634,7.8659,20.2213,15.1811,11.8439,25.5119,9.6963,21.5834,17.9473,0.0
HRV_A03,6.7719,8.7883,0.035,0.147,0.1263,57.6151,1.6042,0.9538,1.1084,1.855,0.8771,0.7492,1.8,1.4024,0.2905,2.2473,0.7682,1.4298,1.1477,0.1934,1.4337,1.5066,4.443,0.8444,8.9262,9.4428,1.9791,0.5463,0.1336,0.8166,0.061,10.8364,0.5683,0.2742,1.0501,1.3664,1.1599,1.7924,1.2536,3.14,1.03,2.8514,1.062,1.0241,0.0
HRV_B05_06,0.0014,0.0407,0.1154,0.5703,1.6352,2.1631,0.0009,0.0016,0.0002,45.072,0.0673,0.0007,0.0037,0.0,0.1277,0.0022,0.0,0.0042,0.0,0.0001,0.0,0.0002,5.948,0.0159,0.048,0.0378,0.0405,0.0381,0.0,0.7869,0.0,0.0587,0.0005,0.0013,0.0,0.0,0.4858,1.7858,0.0542,0.0135,0.0,0.0087,0.0,0.0228,0.0
HRV_B07_08,2.3534,1.2711,2.138,27.8819,6.9635,25.25,0.1615,0.4312,2.1004,0.0,1.1353,0.4106,0.3298,15.4143,1.0745,0.7452,0.0356,0.5692,0.1672,0.0396,0.2699,0.1982,0.0499,6.8908,64.4514,3.2426,0.7468,0.5778,0.0,9.6708,0.0,1.227,0.0072,0.0168,0.0044,0.0029,5.5345,21.2744,0.7754,0.5702,0.0229,0.3702,0.1991,1.6919,0.0
HRV_B09,0.0,0.35,0.2019,0.0074,6.6068,14.4249,0.0052,0.0182,0.0015,134.9366,0.6484,0.0082,0.0321,0.0,0.6761,0.0176,0.0001,0.0313,0.0,0.0009,0.0001,0.0023,20.5392,0.1533,3.8493,2.2438,2.9323,0.3583,0.0,5.9365,0.0,0.3936,0.0,0.0,0.0,0.0,3.3936,13.0723,0.4585,0.0,0.0,0.0892,0.0003,0.176,0.0
HRV_C10T12,201.4039,3.7139,0.0019,0.0057,0.0035,230.3539,45.3489,0.1316,2.7304,0.0071,32.6454,14.1328,0.7462,0.4508,0.0751,0.1812,0.007,0.0924,0.1274,0.0101,0.0551,0.0624,0.9781,0.1173,3.0718,155.0661,0.8445,3.7825,0.1768,7.1221,0.0057,760.5096,0.2359,0.0073,0.1035,1.48,1.1472,24.1782,39.5497,0.2811,37.0021,52.5674,29.9482,5.0135,0.0
HRV_C13T15,4.6233,0.0625,0.013,0.014,0.0225,1.9652,78.8895,0.1045,0.8836,0.0521,0.1873,0.2876,1.9632,4.8533,0.3197,0.6689,0.0962,1.0233,0.6688,0.2556,0.822,4.3469,0.6125,16.176,2.3253,17.3144,7.4519,0.9485,1.5985,9.1682,0.599,7.5959,0.0959,12.6888,0.498,6.373,15.6385,16.1981,12.4315,111.1275,7.125,29.2386,15.9175,5.1783,0.0
HRV_C16,12.4484,1.0986,0.3938,0.3204,0.783,31.0299,4.2995,194.2332,6.1497,2.6801,2.7102,1.6419,7.0648,4.729,1.0236,16.7942,1.3282,5.4728,5.8097,0.5566,5.3103,14.7359,11.9742,1.555,55.6368,20.2812,3.9726,0.8522,0.2676,11.8797,0.0975,10.0352,0.7822,0.5965,2.0149,3.8342,33.3886,4.7724,2.5478,5.7721,2.5226,11.1732,10.3097,5.6668,0.0
HRV_C17_18,13.6862,1.4473,0.1357,0.5609,0.3089,72.1895,9.2907,10.0301,193.4471,2.801,19.8093,10.7562,7.7584,9.061,0.6329,8.5498,1.2271,4.6216,5.0227,0.3809,5.7528,4.1912,9.1771,2.0047,11.6537,34.9051,5.45,1.2191,0.2185,5.9625,2.3071,73.4764,32.3049,4.7779,4.3261,11.7066,4.4741,22.5842,9.8519,14.8644,8.9733,15.0102,24.7765,45.472,0.0
HRV_C19,42.7841,6.2599,0.5133,2.5501,1.7672,58.7381,14.0862,7.8316,8.4349,29.3147,9.3343,6.4143,9.8,15.2328,3.7385,18.4771,5.1383,10.6362,8.9458,1.9697,10.2799,11.2395,370.9022,16.128,146.0272,90.3332,97.0892,34.1756,9.4069,15.571,2.545,55.5193,13.1246,7.4419,10.1723,16.5262,19.0942,44.4258,24.1988,39.4012,5.6069,26.5967,13.0826,16.8275,0.0
HRV_C20,58.5643,0.6341,0.1835,0.6932,0.5692,38.3355,20.2173,6.2629,11.4953,23.2624,55.6424,15.467,23.6167,10.1784,1.2345,9.023,1.446,5.7593,2.2353,0.4162,1.6874,2.5131,2.44,1.7266,26.115,11.955,3.0445,1.1024,0.1039,1.8111,0.0794,9.1803,0.6404,0.3901,1.47,1.7563,25.4253,4.3196,5.458,2.9919,3.1489,7.3955,2.4218,4.0542,0.0
HRV_C21,2.4851,0.6598,0.0613,0.3339,0.1111,3.0839,2.632,0.2279,0.8743,0.7644,2.9419,22.6578,0.9763,0.5106,0.1967,0.4924,0.2385,4.5271,0.5482,0.2152,3.7335,0.4464,0.3982,0.1827,0.8981,21.1446,4.6246,0.0408,0.0024,0.0808,0.0046,0.2303,0.0133,0.0929,5.4862,0.0208,1.2778,3.6744,1.6409,0.5906,1.3061,84.7781,0.4799,0.5866,0.0
HRV_C22,17.406,8.0313,0.0923,1.1103,0.2179,76.8101,12.4998,6.5596,12.697,3.6626,8.1341,9.111,73.5284,7.0751,1.174,17.7655,1.5182,17.4187,13.6716,2.759,16.7517,9.1721,5.4213,5.3128,66.6602,31.141,21.2905,0.9445,0.188,3.8011,0.5203,9.0485,1.333,0.8564,5.4972,33.8209,11.6881,8.676,5.137,10.8558,2.003,15.666,2.7312,3.7585,0.0
HRV_C23,7.9893,16.0052,0.9493,10.6733,3.2749,41.456,4.7551,9.4874,1.8591,1.5732,3.5154,9.3219,7.7759,50.3994,1.5596,17.3423,1.3395,12.3459,4.3186,1.0061,6.9538,5.3705,4.3617,10.1077,543.6731,26.762,3.9988,0.6112,0.1798,7.5977,0.0588,17.7691,0.4016,0.3627,1.1559,1.4441,6.0143,17.2214,2.3532,14.4955,1.3978,7.2388,5.524,31.4664,0.0
HRV_C24,0.0349,0.0,0.0422,0.011,0.0778,0.4119,0.0,0.5279,0.6,0.0,0.7005,0.3606,18.9627,32.1013,20.1936,46.9116,0.347,14.7853,8.4321,0.66,4.0416,15.3121,0.3373,21.4389,35.0285,2.2137,4.0862,0.0947,0.0,0.8136,0.0,0.3576,0.2263,0.0,0.0,0.0,5.1384,2.1339,0.0251,0.001,0.127,0.0542,0.1812,0.0633,0.0
HRV_C25,12.3825,1.2504,0.3589,0.2245,0.6879,46.2838,5.5384,4.4906,22.6392,2.6101,2.9966,3.761,4.5013,6.4066,4.316,130.7462,2.8531,40.7475,43.9647,4.2334,41.5991,22.7741,9.488,3.0854,111.5863,86.3217,9.6687,12.6793,0.6413,7.4651,0.4684,22.8281,10.9084,7.0181,17.4575,35.5947,9.7145,19.0003,12.6028,16.617,3.3834,8.7185,10.394,12.5752,0.0
HRV_C26,2.5025,0.3209,0.0298,0.0517,0.0726,3.0365,0.8823,0.3625,0.7699,0.7259,0.58,0.71,0.9186,3.6805,0.2013,2.5044,22.7558,19.1967,6.1115,0.6177,9.0827,21.4204,2.6735,1.8706,8.8587,8.1818,2.4826,1.8932,0.258,2.0479,0.1023,2.7744,0.4132,5.0247,21.8102,1.086,2.1096,10.1533,3.6873,11.0932,1.2164,6.9431,1.2861,13.7731,0.0
HRV_C27,1.8035,0.1997,0.0264,0.043,0.0627,2.725,0.5535,0.322,0.6283,0.5179,0.3174,0.3449,0.778,1.4583,0.1765,3.5336,8.0643,38.9809,26.2432,0.7538,11.4445,20.1269,7.3821,1.0255,43.4864,29.9966,1.1442,19.3843,0.0901,3.9282,0.0464,3.2078,0.5629,1.715,6.9395,1.3692,6.4441,3.9653,3.8058,4.0317,0.6394,1.621,0.978,4.6632,0.0
HRV_C28,9.296,0.8794,0.2235,0.1724,0.4464,15.5426,2.8614,1.7457,1.6692,1.9801,1.4129,1.7676,1.7567,2.7979,1.0896,26.258,1.5176,13.0258,24.3497,3.431,15.1334,9.5408,5.888,1.3728,43.4736,32.3394,5.1289,5.8553,0.3689,2.8187,0.0938,12.5864,3.0837,2.7758,6.115,14.2688,2.9849,8.1079,5.5533,6.2078,1.5243,3.3197,3.4819,2.5771,0.0
HRV_C29,2.2928,0.7031,0.0173,0.0953,0.0338,6.6824,0.9781,0.4163,0.7953,0.2407,0.5287,0.7397,6.2952,0.6032,0.0909,1.5941,0.1317,1.8529,4.0809,4.0697,3.9034,1.0376,0.4378,2.5156,7.0603,8.4144,13.6934,0.2914,0.0258,1.1227,0.0693,1.0576,0.2131,0.2147,0.6487,3.6289,1.1803,1.4623,3.0289,1.1493,0.138,0.3693,0.3092,0.2815,0.0
HRV_C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,2.064,0.0,0.0386,52.9575,6.7507,0.0,0.0701,0.3974,66.3123,0.0597,0.0691,1.6026,0.0374,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.6827,0.1135,36.7831,0.0,0.0,8.6819,0.0,0.0
HRV_C31T33,13.524,1.6186,0.2019,0.4383,0.5481,25.649,10.4104,13.5338,4.4314,6.0384,3.491,3.5459,4.5066,4.9116,2.321,11.7625,2.8484,10.9658,6.4145,0.7063,6.1907,20.2497,16.9498,3.5185,40.5109,40.7194,11.5432,3.2914,1.737,7.7544,0.1727,23.3829,1.8771,5.7184,4.3018,5.4152,7.1177,8.4266,4.9092,16.9758,4.1831,113.4934,6.287,4.0773,0.0
