V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_A01_02,2894.479,1.165,0.1368,7.7264,0.0011,8020.9905,51.8176,113.5264,94.2597,0.0,204.6743,50.1652,7.3182,3.7269,0.5493,0.3438,0.0,0.0,0.0,1.0311,5.9829,8.1628,0.0,0.0,6.4391,234.6955,3.1284,1.9959,1.5317,1.5949,0.0,178.9567,1.9337,0.0,2.6067,0.0,0.793,4.9565,19.8985,10.7553,5.8436,10.6048,4.8988,16.6441,0.0
MAR_A03,0.0,185.435,0.0,0.0,0.0,556.371,1.0316,0.0,0.0,0.0,9.6208,3.7582,0.0,0.0,0.0,0.0,0.0,4.3104,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,7.7367,0.0235,0.0284,0.0293,0.0134,0.0,43.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6598,0.5258,0.9827,0.0,0.0,0.0
MAR_B05_06,0.0,0.0,0.0059,0.4683,0.0049,0.0,0.014,0.0049,0.0385,1.7601,0.211,0.0026,0.0,0.0157,0.0494,0.0127,0.0035,0.0908,0.0,0.0,0.0,0.0081,25.2957,4.0812,0.0064,0.0,0.0019,0.0004,0.0006,0.0005,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0509,0.0022,0.0022,0.0,0.0,0.0
MAR_B07_08,0.2187,0.1775,0.007,4.4921,0.1223,4.8604,0.1969,2.8109,0.2462,0.1043,1235.37,47.3941,0.4209,83.6926,83.275,123.0129,0.1334,234.1994,0.4004,1.9003,0.1306,0.6699,0.1699,0.0294,323.8035,6.3722,0.1254,0.0174,0.0423,0.0703,0.0033,0.1543,0.1457,0.0389,0.0858,0.2786,0.0753,0.1388,0.1556,19.3465,0.1124,0.1305,0.048,0.2358,0.0
MAR_B09,0.5313,0.3523,1.3708,20.14,0.18,0.3384,0.0136,0.0029,0.12,0.2764,1.7358,0.0154,0.0226,3.9353,2.8542,0.0949,0.0011,0.0245,0.0052,0.005,0.0034,0.0145,1.4294,0.1951,13.9702,0.0738,0.2771,0.0104,0.0359,0.0476,0.0005,0.0113,0.0001,0.0,0.0002,0.0,3.9659,0.0789,0.1051,0.1117,0.0196,0.016,0.0039,0.0063,0.0
MAR_C10T12,1883.7755,7.8198,0.0,0.0,0.0078,2672.9988,16.4252,0.2948,0.8459,0.0,9.816,1.6322,0.2855,0.6092,0.0,0.0968,0.1758,0.0,0.0,0.0,0.0,0.3888,0.0,0.0,0.0,130.9642,2.1144,1.5993,3.1127,1.5623,0.0,816.4735,3.8791,0.0,0.5212,0.0,0.1121,0.8405,2.1161,58.3099,12.06,17.2746,5.284,15.6622,0.0
MAR_C13T15,14.4971,1.0056,0.0252,3.1446,0.0161,6.2644,621.4806,2.4378,4.0823,0.0191,3.9177,0.8378,6.403,1.184,0.0275,1.1042,0.8533,4.3821,1.2544,4.0882,0.0958,31.8866,0.2184,0.0458,6.7984,13.676,1.8411,0.4866,1.3849,0.7689,0.0223,3.501,1.9098,0.1491,2.0758,0.0216,0.3226,3.5802,6.9341,37.6223,2.7273,3.7772,0.7609,3.7759,0.0
MAR_C16,2.3132,0.0475,0.0009,0.4256,0.0039,3.6304,2.495,71.8825,5.144,0.0045,0.3232,0.0463,0.8405,4.1456,0.2451,8.2609,0.0376,3.925,0.3051,4.0404,9.5426,34.1936,0.0543,0.0128,303.5356,12.789,0.0887,0.0193,0.0252,0.0624,0.0142,0.1773,0.5562,0.0895,0.7815,0.036,0.7121,1.4363,4.2671,0.082,0.0273,0.0411,0.6383,2.518,0.0
MAR_C17_18,3.7445,0.542,0.0395,14.3985,0.011,185.97,34.0614,1.0877,256.2584,0.0307,43.8693,11.8974,6.0859,45.1459,3.0367,4.6021,2.5397,22.3586,2.4182,12.8869,0.3479,5.9753,4.4567,0.8965,17.6779,97.7974,4.2904,0.6738,2.2096,3.2807,1.2507,7.1781,58.3278,7.8888,8.1638,37.5425,1.2556,16.0559,25.9892,36.8778,32.0229,32.3638,11.377,34.0718,0.0
MAR_C19,2.5806,0.9569,0.0107,2.6531,0.0043,1.5425,0.1101,0.0125,0.108,0.0395,0.5574,0.03,0.0322,2.8601,0.3457,0.1714,0.0162,0.1056,0.0226,0.5873,0.0005,0.1087,1.2172,0.1789,4.7576,2.8366,5.6624,1.4214,4.2438,0.5575,0.1037,0.2458,0.0589,0.3544,0.0624,0.0,0.0267,0.0913,0.3462,2.0301,0.2886,0.4529,0.0628,0.2191,0.0
