V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_A01_02,2.4744,1.0595,0.002,0.0086,0.0024,37.6437,0.069,0.0003,0.0355,0.0001,0.0299,0.1056,0.0085,0.0376,0.0001,0.0811,0.0232,0.0067,0.0045,0.0009,0.0197,0.3442,0.175,0.206,5.0968,1.2127,0.4571,0.0302,0.3373,2.2403,0.0621,18.5882,0.1063,0.0542,0.103,2.8423,1.4116,1.3711,2.4941,0.7979,0.7596,0.2896,0.5517,0.2014,0.0
MLT_A03,0.0294,99.1558,0.0001,0.0005,0.0001,0.019,0.0008,0.0,0.0014,0.0,0.056,0.4076,0.0004,0.0019,0.0,0.0021,0.0001,0.0001,0.0002,0.0,0.0005,0.0316,0.0064,0.0086,0.2967,0.0179,0.0168,0.0008,0.0064,0.0439,0.0011,18.9884,0.0013,0.0014,0.0068,0.087,0.0575,0.0123,0.0422,0.0109,0.0157,0.0066,0.0157,0.0054,0.0
MLT_B05_06,0.0,0.012,0.0,0.0007,0.0037,0.0036,0.0,0.0,0.0008,0.0,0.0008,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0102,8.6882,0.0,0.0,0.0002,0.0,0.0103,0.002,0.0005,0.0,0.0006,0.0006,0.0272,0.0,0.0529,0.0001,0.0037,0.0035,0.0048,0.0009,0.0052,0.0132,0.0,0.0
MLT_B07_08,0.0161,0.4264,0.0041,1.0433,0.6243,0.2019,0.0076,0.0001,0.0346,0.0,0.0306,0.0151,0.0116,13.0125,0.4533,0.0497,0.7295,0.0037,0.007,0.0008,0.2147,0.119,0.067,0.1801,18.1726,0.075,0.1902,0.0143,0.1007,0.1869,0.0051,0.1803,0.0255,0.0335,0.0164,2.0692,0.3548,0.1974,0.0868,0.072,0.0912,0.2123,0.1625,0.0382,0.0
MLT_B09,0.0228,0.2118,0.1178,0.3803,0.4093,0.0552,0.0008,0.0001,0.0252,0.0252,0.0318,0.0193,0.0192,0.778,0.002,0.0537,0.0048,0.0017,0.0054,0.0,0.0018,0.0229,4.5535,0.1291,4.1419,0.0307,0.1916,0.026,0.1126,0.1361,0.003,0.0169,0.0001,0.0,0.001,0.0007,0.0824,0.1073,0.04,0.0527,0.0071,0.021,0.4869,0.0017,0.0
MLT_C10T12,8.2587,12.7871,0.1506,0.2405,0.0009,54.0927,0.005,0.0012,0.0083,0.0,0.3093,0.7943,0.0,0.5643,0.0,0.0069,0.0001,0.003,0.0,0.0,0.0,0.0412,0.0,0.0,1.3923,0.3404,0.1158,2.589,4.5454,0.8219,0.0,122.7397,0.0556,0.0203,0.0,2.3432,0.0064,0.1518,0.3845,0.2162,0.0208,0.0783,0.0319,0.2547,0.0
MLT_C13T15,0.0022,0.0465,0.0,0.0003,0.0015,0.0596,0.7893,0.024,0.1701,0.0003,0.0025,0.0055,0.0323,0.0025,0.0,0.0198,0.002,0.0041,0.0092,0.0041,0.0143,0.2901,0.2828,0.0309,0.7434,0.0326,0.3321,0.0619,0.0713,0.0633,0.0431,0.7018,0.0316,0.0177,0.0246,3.2835,0.0115,0.1699,0.0963,0.2944,0.0721,0.2097,0.1267,0.2752,0.0
MLT_C16,0.0126,0.0041,0.0022,0.0091,0.0004,0.1092,0.0384,0.1134,0.1072,0.0082,0.0059,0.0062,0.0046,0.0115,0.0001,0.0281,0.0302,0.0093,0.0399,0.0164,0.0862,1.1131,0.0036,0.0239,0.9054,0.0583,0.0304,0.172,0.0083,0.126,0.005,0.1328,0.0192,0.0165,0.0486,0.2692,0.1367,0.0887,0.1341,0.0878,0.0191,0.1249,0.0414,0.051,0.0
MLT_C17_18,0.038,0.0582,0.0076,0.0315,0.0043,1.2651,0.0471,0.0129,9.3423,0.0024,0.0745,0.7121,0.6301,0.0595,0.0001,0.1501,0.4844,0.1191,0.1874,0.0264,0.8853,1.13,0.6903,0.1436,1.5883,2.2621,0.3082,0.6972,3.1932,1.4365,3.8018,2.702,3.9817,2.7522,5.8665,85.4276,0.2622,25.3323,1.6699,3.1637,2.2206,1.1975,4.1678,0.2602,0.0
MLT_C19,0.0035,0.0022,0.0,0.0003,0.0001,0.0025,0.0,0.0,0.0011,0.0,0.0002,0.0014,0.0001,0.0027,0.0,0.0015,0.0051,0.0001,0.0,0.0,0.0004,0.001,0.3621,0.0015,0.0083,0.0173,0.0275,0.0161,0.071,0.0077,0.0087,0.0041,0.0004,0.0007,0.0013,0.0105,0.0007,0.0045,0.0051,0.0027,0.0005,0.0072,0.0037,0.0007,0.0
