V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_A01_02,22002.5685,231.7923,76.8995,36.0456,0.5855,6492.1652,864.7374,325.6332,82.8805,14.7805,287.8071,108.906,150.3832,12.1889,8.1729,8.8441,10.1985,5.5275,8.1122,11.1243,2.4201,116.0308,39.1264,6.5477,266.5095,1157.7409,34.8988,26.41,10.5301,23.7092,1.2499,769.2837,18.846,22.2637,6.7371,23.8819,86.0371,88.2646,130.0516,433.8558,209.4524,278.3869,73.1106,106.1916,0
MMR_A03,151.6078,4213.1833,14.0955,5.9469,0.0962,945.3054,17.4936,3.8093,2.5442,2.6994,13.2371,4.2873,1.4657,1.5873,1.2728,1.7486,2.0102,1.249,1.6641,1.6577,0.364,17.1409,1.5758,0.4753,10.2507,117.4609,5.9393,9.9442,2.7035,3.3676,0.2462,465.1234,5.8979,7.7695,2.5601,5.0254,9.3038,11.1002,5.1473,77.6066,29.6588,49.1518,12.3705,12.8453,0
MMR_B05_06,7.474,1.7979,164.6249,15.6287,0.4784,1.9358,2.0212,0.6364,1.3914,835.0844,5.9056,0.447,0.7139,6.7688,9.6739,1.3297,1.0534,0.7071,1.3522,1.0985,0.2564,1.3494,66.8839,0.4319,12.4233,11.6935,12.7356,3.7228,5.2745,2.1049,0.3313,0.7029,0.522,1.8696,0.2963,1.3773,3.6368,2.3359,1.2985,4.0456,1.8981,1.6765,0.5068,1.0582,0
MMR_B07_08,8.9772,0.861,101.4112,353.1841,2.4791,1.8209,1.4812,0.5292,2.3451,40.9057,31.2591,1.4364,1.4025,237.4467,457.9998,8.1683,2.2435,4.423,2.2199,1.7421,0.3836,5.1073,13.7787,1.1146,319.2213,5.6428,2.6276,0.2388,0.2228,1.8689,0.0505,0.4119,0.2031,0.6549,0.116,0.421,7.0676,2.055,1.1977,5.167,0.8464,0.8336,0.406,0.9202,0
MMR_B09,0.0519,0.0295,19.2487,2.8681,0.14,0.0132,0.0096,0.0027,0.0168,3.4073,0.0391,0.0025,0.0058,0.2226,0.3044,0.0166,0.0045,0.0032,0.0079,0.0046,0.0014,0.0075,0.1902,0.0084,0.956,0.0462,0.0602,0.0083,0.0095,0.0204,0.001,0.0034,0.0026,0.0081,0.002,0.0069,0.0489,0.0335,0.0116,0.0278,0.0061,0.007,0.0026,0.0035,0
MMR_C10T12,2102.6936,191.6183,30.1949,13.7672,0.2205,772.3464,77.2346,3.9468,16.3254,16.9681,95.8899,40.3121,7.6493,6.4284,4.4297,4.8356,6.7129,3.8332,5.7611,5.2679,0.8892,17.3394,7.1153,2.3765,31.5894,352.3933,17.9835,32.4984,16.4368,19.5091,1.0678,710.5766,20.7019,20.8386,7.7881,30.0356,31.5575,42.0803,30.3499,208.8875,182.8906,218.0472,52.3568,51.6935,0
MMR_C13T15,29.0253,13.8598,61.1692,14.3713,0.469,7.4867,2091.3567,5.9996,15.7643,5.3121,6.1281,3.8201,15.4153,8.69,5.1426,8.7171,12.9772,6.2094,9.749,37.7951,3.7786,95.6835,4.7331,2.8515,55.1398,131.1362,13.73,4.8225,5.184,8.8362,2.6084,8.9389,8.5941,15.1592,2.6381,12.4723,12.6639,30.0152,25.1106,102.4374,24.0227,55.3728,14.285,47.5928,0
MMR_C16,11.0497,1.4499,7.1823,6.6874,0.0592,2.6916,4.0266,217.6243,15.0394,0.8805,2.2616,0.5397,3.2061,9.7081,2.7009,6.9002,3.225,3.6706,3.6939,10.4832,2.8215,148.9549,5.6001,0.3904,292.3535,23.372,2.5827,0.5612,0.34,2.9458,0.1545,0.7988,1.5292,1.4892,0.3799,1.1995,31.26,4.3286,2.6604,3.4581,3.0333,2.2563,1.1975,6.8902,0
MMR_C17_18,8.9778,2.0168,8.0397,4.3581,0.0608,15.03,14.9171,8.129,248.9042,1.9897,7.8447,7.1692,7.5172,12.8746,2.8937,4.8527,10.5479,7.3033,4.7503,4.874,0.678,17.2342,2.065,0.9123,13.0096,95.682,5.0777,1.305,1.3188,6.5478,2.811,3.027,86.0327,19.2348,7.1905,42.1617,12.8548,48.3491,16.5494,42.3592,32.9353,15.2515,6.84,11.2119,0
MMR_C19,120.3373,34.6443,168.9263,107.4915,2.2947,6.6368,12.4262,8.5295,8.7889,336.9125,48.0684,4.1588,11.458,41.8856,27.7537,10.1943,7.5692,7.9757,6.9346,9.1448,1.9168,17.0198,42.4201,6.0174,137.1165,164.2497,420.4001,125.9283,199.2289,41.2207,7.1661,4.0681,5.1244,18.1666,3.3026,21.552,21.6341,28.1359,22.0367,70.3578,18.9232,23.1396,5.3515,16.6039,0
MMR_C20,161.6637,3.2727,88.6455,48.6888,0.8398,8.5015,53.6014,22.2257,45.4221,98.5854,194.6827,31.9369,143.0761,38.8948,21.8282,20.2004,29.6492,28.7105,13.1452,27.3377,4.085,40.1855,5.9871,3.8683,78.8268,46.6592,7.0096,1.9185,2.076,3.9344,0.3371,2.8351,7.9588,2.8066,1.2194,3.6937,24.6939,17.5847,10.6042,13.2118,10.1824,42.5073,2.9174,19.3577,0
MMR_C21,15.2654,0.8228,3.1792,1.4878,0.0254,1.6078,2.0016,0.4293,0.8595,1.4597,4.9232,52.8984,2.3437,0.8016,0.6258,0.4599,1.0235,0.6821,0.5771,0.6295,0.1105,1.6261,0.2125,0.1312,2.1745,5.3909,0.5117,0.2888,0.2609,0.3152,0.0535,0.3759,0.3443,0.6268,0.1486,0.5359,0.6518,6.6667,0.5195,6.9331,2.4054,174.0054,0.5233,1.2898,0
MMR_C22,17.8054,3.0389,28.3781,15.2545,0.3131,14.7203,25.4699,6.8548,17.8691,5.0546,13.0187,7.5314,70.6402,14.2856,5.2074,13.5382,38.2334,29.658,24.3336,69.3534,5.384,42.5188,1.8514,1.9833,166.7032,96.6681,30.9016,1.3909,2.3134,6.4972,0.9054,1.9086,3.8627,5.9362,1.5331,4.7316,16.1251,10.6715,5.8172,9.107,3.8772,9.4665,1.5987,8.0207,0
MMR_C23,10.1291,1.2024,21.9248,18.9122,0.3305,7.2642,4.0177,5.7478,1.3062,2.5591,4.84,3.3247,6.0513,179.0113,11.8126,10.6895,15.6366,10.9476,6.3745,17.6259,2.4111,12.0715,2.6474,1.2323,767.9911,22.8674,3.0832,0.9633,0.6001,2.148,0.1023,1.5731,0.6096,2.6812,0.3678,1.164,45.1204,7.1898,2.2224,6.0584,3.3022,4.4704,0.7569,2.885,0
