V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_A01_02,2693.5091,38.2146,3.3384,1.6155,8.0998,15430.8867,863.1011,1508.3335,998.6688,0.4851,6.6313,4.682,1876.2319,6.7255,4.0049,13.6414,97.7229,9.2009,31.6749,15.5598,811.9177,103.4351,0.0334,1.2054,0.8757,1813.1857,0.1321,0.1069,0.9699,0.2948,1.0213,1055.3852,3.8323,25.1537,0.6106,40.2572,11.5973,7.9759,5.862,63.1238,49.7443,7.8588,3.2679,0.0368,0.0
MYS_A03,2.3901,36.2968,0.1132,0.0592,0.2541,828.5714,0.2933,0.0066,0.0203,0.0096,0.2853,0.0986,0.6537,0.062,0.0331,0.0418,1.2168,0.1759,0.0764,0.1531,0.0205,0.0621,0.0005,0.042,0.0155,218.2815,0.0021,0.0017,0.0172,0.0066,0.0356,971.547,0.1326,0.8675,0.0189,1.3793,0.2062,0.2444,0.1722,1.5393,0.4258,0.1745,0.1101,0.0008,0.0
MYS_B05_06,18.232,0.683,2981.849,5.6663,50.9543,335.2676,1.2797,1.685,2.0799,16653.9875,1269.4492,0.6211,5.3856,26.9314,5.0529,4.1881,22.3759,3.6253,8.0705,6.5379,0.986,12.8744,1518.3926,0.2186,297.1461,35.8308,3.3084,2.3949,4.5378,6.7051,0.8041,1.7038,0.8354,3.9102,0.3055,4.2383,1.8041,2.5455,2.8872,4.6233,1.5358,1.1054,1.3307,0.0611,0.0
MYS_B07_08,4.1962,0.0671,0.4881,0.4504,40.0602,1.3362,0.3119,0.0495,5.9015,1.0423,12.02,0.5745,11.2649,730.5555,446.2633,21.5721,13.3608,15.5325,37.6501,25.0499,6.2178,71.6981,20.6228,0.0398,1160.7515,5.8647,0.0224,0.0366,0.0688,0.2258,0.035,0.1459,0.1137,0.7517,0.1202,1.1208,0.8189,0.2652,0.2245,1.3137,0.3365,0.109,0.1091,0.0011,0.0
MYS_B09,11.9799,20.5831,2158.5822,150.1647,577.4257,8.1555,0.2022,0.3307,9.1041,1164.7884,71.65,0.1624,5.2182,114.0639,155.6741,8.0227,1.499,0.4353,1.7349,0.195,0.2653,0.7336,71.1495,5.6574,290.9993,5.8645,7.4346,0.6473,1.4583,4.7029,0.0337,0.5076,0.0084,0.0,0.0096,0.003,5.6576,3.6689,1.3219,4.7492,0.4006,0.5515,0.6647,0.0402,0.0
MYS_C10T12,2760.3918,508.0512,4.6491,12.6885,3.8809,18972.268,51.241,5.4534,12.0669,34.477,314.4421,8.5723,73.2932,11.8379,13.7472,26.3141,13.4606,6.3935,4.4793,2.3899,1.1215,5.0811,8.0013,1.4496,18.9477,3513.5462,11.1319,0.8845,4.942,9.1079,1.1008,5742.7266,1.3881,1.2452,0.7526,2.0828,8.6659,2.0263,1.8042,324.7159,84.0928,200.2617,130.7584,0.4856,0.0
MYS_C13T15,3.2092,0.2106,0.4586,0.2248,2.2751,81.7113,698.1491,4.2164,73.3527,0.287,12.4727,11.6131,36.5486,10.0495,3.8751,5.2409,13.982,6.2731,8.7048,49.7546,3.3426,50.397,0.2193,1.1508,7.5951,570.1892,3.7198,0.7169,0.5232,4.3274,6.691,37.6856,2.0913,2.133,6.9711,86.5849,0.8008,3.2843,8.1024,76.7789,4.9379,6.5068,2.1378,0.5385,0.0
MYS_C16,31.7902,2.8582,0.909,0.9621,2.4209,28.5976,18.4065,1515.9585,103.7446,1.846,72.8408,0.2661,26.7002,50.9763,54.6061,90.2,210.1613,16.8329,24.4832,12.0735,33.8827,734.1345,0.0557,0.1264,1869.2741,5.675,0.0882,0.3213,0.149,0.2288,0.0586,0.1684,0.0652,0.3253,0.1004,0.6126,0.3855,0.1776,0.3059,7.3388,1.4158,0.5016,1.1402,0.019,0.0
MYS_C17_18,1.6093,0.2343,41.82,3.8898,2.6566,112.1381,17.5922,37.4702,1124.8057,0.9896,50.8228,3.6812,50.6677,37.3153,30.1186,37.125,170.5274,10.9387,11.2416,15.4992,4.0566,34.6675,0.2671,0.3397,3.9613,673.7225,54.0747,50.7893,3.0971,74.5648,23.6879,134.2489,75.4386,89.3641,129.825,350.9226,25.7802,166.7602,112.0292,117.1638,238.8082,45.2586,27.7461,6.5749,0.0
MYS_C19,604.7506,336.9334,157.9699,205.1158,96.2195,721.8514,108.0866,183.2736,213.9079,734.6034,4407.775,13.323,357.0507,602.1718,720.4384,488.1138,354.1762,71.1539,88.1226,63.2395,47.579,191.3245,1413.9785,95.2142,2039.4452,1686.9687,1948.6519,87.0833,822.8062,1356.2804,152.9857,315.4983,155.4715,96.1471,79.7216,86.7758,1225.3119,201.5005,200.7186,216.8878,64.5595,71.6184,209.1988,23.479,0.0
MYS_C20,1750.8579,11.255,37.1923,82.8627,44.2378,846.0142,157.5484,471.7008,682.8072,961.4742,4751.1903,296.9803,3651.0689,773.1011,1061.2435,375.3583,895.2627,275.3863,136.8175,64.2332,41.7298,226.2126,29.7085,109.3427,660.7229,228.919,42.3532,1.7628,16.9533,171.5384,21.2085,60.9768,53.9068,2.7813,1.7707,3.4033,51.6891,63.0005,6.6758,41.076,4.3844,17.4757,5.1403,35.0635,0.0
MYS_C21,31.5534,0.8386,0.2218,0.0187,0.2666,28.451,4.7268,0.9382,39.5389,0.1583,2.3798,3.1227,3.2478,4.8769,0.1871,0.1654,12.756,0.5766,4.0656,1.0455,0.112,12.968,0.0172,0.0252,0.4491,40.9345,0.0633,0.0034,0.0234,0.059,0.0103,1.7045,0.0113,0.213,0.2868,0.194,0.074,2.4917,0.0586,27.6051,67.8029,336.8084,0.1143,0.0093,0.0
MYS_C22,56.3575,45.8168,6.55,16.3256,24.1967,296.5394,61.7543,8.4435,42.0896,21.5633,399.054,12.2556,2563.4045,74.0349,129.498,51.7017,385.5556,65.6987,147.8556,1452.786,143.7731,76.614,3.3238,124.7591,468.2659,2796.3084,609.478,1.5092,73.6727,352.8613,0.1319,67.0899,0.1749,0.4448,0.3079,1.0592,79.2663,0.4901,87.7821,69.0316,1.6277,42.1261,0.9334,7.6442,0.0
MYS_C23,41.1643,0.0972,11.7894,4.8346,22.1537,87.2144,5.9213,2.7175,22.982,0.8812,180.8463,5.326,32.278,2574.5733,36.9448,134.7146,747.7369,125.913,9.549,6.1835,4.2832,16.4159,10.2624,0.2007,6354.2628,119.5738,0.432,0.3181,0.1505,20.6854,0.0614,0.3072,0.1472,0.3284,0.0565,0.5974,75.7696,0.1848,0.3952,17.3378,1.9169,1.1438,1.4742,0.0513,0.0
MYS_C24,1.0084,0.1017,0.5637,7.4502,14.3309,179.596,6.7168,10.373,39.6317,59.6877,63.2546,0.2652,24.0657,81.4408,635.4609,2867.8489,1718.3608,498.0009,516.9663,347.1563,104.9408,463.5137,63.4837,26.4076,1328.3218,169.9809,0.1512,0.7254,0.1502,0.3785,0.0376,0.1778,0.0448,0.126,0.04,0.1637,0.2599,0.102,0.1963,5.0267,0.5654,0.2845,0.5143,0.0446,0.0
MYS_C25,42.1969,0.1811,68.7817,55.0862,46.918,108.0689,3.5252,40.293,27.3408,3.6111,131.7573,2.0436,88.9268,106.0941,919.5455,521.7323,2025.3112,1576.619,713.5754,743.7573,330.5152,403.5032,0.2972,26.6211,1670.887,382.5656,0.9842,259.0718,1.3404,2.2704,0.2101,1.056,0.1772,0.6647,0.1637,0.6578,0.886,0.5404,1.2972,157.8362,1.2943,1.2033,1.5989,0.1265,0.0
MYS_C26,5.3232,1.3015,37.5804,1.7484,3.851,45.5102,9.86,18.3626,309.4771,1.1573,17.977,2.5328,98.8818,40.8563,57.7853,70.4157,16837.504,698.2221,192.7633,344.156,136.364,130.0299,24.0539,0.6472,156.8469,1681.0542,3.6624,1.5077,16.878,5.4693,4.8029,5.6074,4.4398,272.7858,350.2684,123.8755,13.9412,259.5428,35.3508,229.0462,183.7786,133.1349,83.8156,3.9761,0.0
