V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_A01_02,1409.278,0.6399,1.2437,15.8541,0.0004,6109.9518,85.8985,111.305,0.3655,0.0929,12.2469,6.3701,12.0663,0.2808,1.6325,0.0274,0.001,0.0048,0.0502,0.0074,0.0023,193.599,0.262,0.0299,2.7831,1.4031,0.3721,0.0004,0.0211,0.0146,0.004,797.4641,0.0066,0.0666,0.0051,0.7263,0.0336,0.1669,0.0492,19.2765,0.987,4.2871,0.8301,47.6031,0.0
PER_A03,0.9561,18.1906,0.0821,1.5232,0.02,1351.7164,0.0988,0.0032,0.1036,0.0196,0.2951,0.0189,0.0769,0.0519,0.158,0.1659,0.0055,0.0096,0.2099,0.0031,0.0009,0.6245,0.116,0.0506,2.0276,0.5518,0.2678,0.0148,0.3969,0.0579,0.0009,109.8852,0.15,0.8055,0.0082,0.191,0.0014,0.2963,0.3905,4.9255,0.3045,1.2383,0.2896,3.2351,0.0
PER_B05_06,36.5046,7.9533,111.2821,120.0425,10.1186,135.7026,4.0427,2.7706,7.5054,3361.1611,16.8431,0.0514,10.1907,1435.0196,193.3086,16.468,0.0125,0.4675,1.0404,0.2636,0.0886,3.1837,558.0081,22.8252,15.3523,7.7673,95.5977,0.6401,7.8645,4.6688,0.7903,8.8429,0.6956,1.076,0.0176,0.7821,0.0414,5.1435,2.2977,18.3272,1.2293,1.6389,0.5578,8.9133,0.0
PER_B07_08,21.7098,0.3839,88.2069,180.8543,0.6367,23.5081,2.7534,0.107,0.5468,0.5205,21.3075,0.3917,0.6138,260.4375,491.3445,1.4118,0.0552,1.0115,1.4281,0.6248,0.2325,28.2496,41.2936,15.3758,873.3756,2.3313,1.3322,0.0039,0.1058,0.2148,0.0211,5.2278,0.4335,3.9386,1.1398,3.5831,7.9639,3.0298,1.7946,73.7649,1.7138,3.148,0.4573,5.4241,0.0
PER_B09,0.4657,0.0107,247.5261,233.1595,1.7263,0.3043,0.1056,0.0061,0.075,0.4265,0.1085,0.0186,0.0736,0.0526,10.2242,0.1727,0.0026,0.0071,0.0514,0.0815,0.0285,0.0429,0.266,0.044,7.638,0.494,0.2117,0.0078,0.2183,0.1167,0.0163,0.1885,0.1308,0.7135,0.026,0.4562,0.0499,0.6847,0.5634,0.7656,0.311,0.4482,0.208,0.1567,0.0
PER_C10T12,513.8926,13.1309,6.0037,41.554,0.2665,2799.0535,34.8589,1.3877,17.5334,1.2169,61.9607,8.8145,16.6286,1.9727,6.3176,4.0645,0.1525,0.5369,7.0962,1.1329,0.2969,43.8873,4.3903,1.1916,29.9793,14.5963,4.3148,0.1779,4.7211,1.0736,0.0457,3106.0826,2.0477,10.2389,0.127,5.0788,0.9068,4.4568,6.1317,215.2294,13.8527,17.2921,26.2632,138.6628,0.0
PER_C13T15,17.1509,26.3338,3.3195,10.3829,0.1326,42.9968,1302.5372,3.5577,15.9823,0.8685,15.3297,7.0296,18.2381,2.1612,1.9073,5.2501,0.0659,0.1348,0.6414,0.5786,0.2213,142.1488,0.5244,0.1832,44.4604,12.2429,0.6042,0.0015,0.0546,0.0839,0.0083,66.1148,5.3361,0.2415,0.0142,6.3824,0.0573,54.3481,33.1018,31.8252,5.1204,23.0078,5.0267,12.2924,0.0
PER_C16,7.167,1.5531,0.4,31.5213,0.0003,5.2975,2.0952,126.936,7.7857,0.0002,4.6086,0.0028,5.046,2.3256,2.1426,1.6845,0.0002,0.3146,0.0002,8.6019,3.4084,152.2116,0.2041,0.1392,506.862,0.5555,0.0518,0.0001,0.0037,0.0028,0.0007,1.4385,0.0005,0.0083,0.0003,3.2303,18.1276,1.9063,0.2763,41.8845,0.2866,1.1969,0.1578,13.3599,0.0
PER_C17_18,27.3876,0.9283,0.4242,15.5489,0.0456,265.2581,20.5887,4.4867,960.0564,0.407,31.1805,6.6251,24.5164,17.3186,0.6723,14.1602,1.6665,3.2786,3.0153,5.5564,1.7643,53.1399,18.0632,3.2446,21.2669,175.7939,3.8375,0.0033,0.232,6.335,0.3997,61.8612,194.9865,80.3885,1.5589,149.608,34.6996,309.2036,122.6939,222.2387,158.5201,11.2545,25.9339,60.8468,0.0
PER_C19,41.0845,177.0014,79.4386,1308.5244,2.1929,371.5094,35.6023,5.5959,29.6113,117.3428,49.7814,1.2602,9.5275,51.8331,124.7164,27.6099,0.3237,2.1079,7.2984,6.5597,2.1959,61.2831,167.1583,22.3671,304.5246,145.0219,2040.1312,14.3444,169.7753,105.9522,17.7615,80.1839,3.9217,18.8839,0.397,24.5476,1.2325,113.5812,48.7596,398.6735,31.2888,38.8053,12.6676,28.0519,0.0
PER_C20,355.4875,1.5601,24.1463,326.2992,0.6917,147.4293,128.2988,22.8584,40.9916,18.6449,378.7823,40.366,373.2319,20.0024,22.4212,28.4684,0.9337,6.2033,2.3222,25.0445,6.465,191.3539,0.9554,6.5294,106.5089,13.5815,1.5166,0.0034,0.5278,7.7472,0.0325,45.9229,3.9,7.9864,0.3292,8.3655,14.5912,24.7348,30.563,59.4489,13.1283,55.8856,7.7191,50.2401,0.0
PER_C21,34.5619,0.0032,0.2241,1.7022,0.0389,12.552,0.114,0.2759,0.1159,0.058,1.9107,18.2182,0.8647,0.1797,0.1163,0.0342,0.0134,0.0495,0.123,0.051,0.0179,0.8577,0.0856,0.0239,1.446,0.2399,1.5895,0.0148,0.052,0.2606,0.094,1.4719,0.0653,0.1124,0.0003,0.0514,0.0581,4.6802,0.0783,26.2873,1.8903,164.9637,0.3908,1.9066,0.0
PER_C22,15.5814,3.258,38.8491,144.5524,1.1416,386.8987,73.3607,0.5653,54.928,1.5802,135.4361,26.4273,193.7567,4.9808,8.8854,11.3211,0.5613,9.4855,2.2485,32.429,7.2363,169.34,1.3234,0.5364,427.9969,110.5608,208.4756,0.0923,0.1569,2.4964,0.1539,46.7703,4.9575,0.8871,0.0162,9.4115,10.7959,26.0833,16.5415,86.5223,23.057,18.2186,5.0047,19.6147,0.0
PER_C23,19.768,0.6712,4.0479,216.962,0.0536,142.1317,1.5382,0.1456,2.5764,0.215,32.2216,6.6448,4.1738,128.7802,13.6986,2.1202,0.2394,0.6587,3.7467,13.3315,3.3495,72.7955,9.4274,34.5674,2974.6433,33.9945,22.4831,0.1214,3.3824,2.2985,0.2966,31.5695,0.3487,3.4992,0.0266,2.9522,37.4975,8.3247,3.3523,243.8693,2.6235,4.6738,1.8251,15.4906,0.0
