V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_A01_02,12059.9528,431.3582,1.1312,7.7638,1.4561,18661.045,323.6208,192.3544,74.3041,13.6447,68.4599,9.462,75.6371,160.2584,8.4263,4.5137,26.4559,6.8816,2.9743,5.4082,2.3242,47.4419,5.3621,7.6585,44.4722,387.7195,17.9873,34.4065,8.6676,7.1852,1.0282,167.7983,4.0087,15.8635,12.4697,53.1238,16.3022,14.1254,25.3752,56.4001,4.9912,7.9787,3.3806,8.8841,0
PHL_A03,65.3581,241.4193,0.612,11.101,0.4034,1957.9585,35.6954,343.7937,69.6378,16.567,111.003,1.2473,1.2637,292.1119,6.9544,7.3276,29.9826,4.1923,3.3937,82.6251,3.3467,10.9905,9.3639,12.3623,36.5547,433.6122,5.8014,3.3568,1.7852,1.5381,1.304,55.4712,3.7617,4.0616,3.9833,17.894,21.8145,15.5265,32.1729,54.5647,14.7891,15.4578,8.5324,13.698,0
PHL_B05_06,0.5715,0.2464,1.4995,5.9301,0.7291,4.4519,0.5286,0.1058,0.2569,705.5399,3.9104,0.0373,0.0745,45.5132,215.6381,0.3701,0.8194,0.1646,0.0791,0.2127,0.0677,0.2245,76.8687,0.4776,7.7016,5.0409,1.4413,0.6405,0.7793,0.3159,0.0586,0.4587,0.0601,0.2386,0.1521,0.7455,0.3966,0.2698,0.4511,0.2858,0.1406,0.172,0.0636,0.1596,0
PHL_B07_08,1.2069,0.258,43.6894,154.7934,1.9642,27.3942,0.7888,0.234,0.4718,1.8637,59.5115,0.2741,1.2395,247.6315,870.0605,256.0624,5.8638,1.7512,2.6036,1.3971,0.8155,3.9858,17.2272,4.6432,220.0444,18.5056,1.3223,0.6915,0.7694,0.4399,0.0866,2.7969,0.1884,0.7249,0.3722,1.823,12.223,0.7792,1.5571,2.6928,0.5512,0.5165,0.5699,0.7316,0
PHL_B09,1.8668,2.2313,7.7575,16.1167,4.095,2.2962,0.0625,0.0211,0.372,56.5919,3.2124,0.0288,0.0849,4.5948,7.5909,0.3111,0.1565,0.0657,0.0545,0.029,0.0217,0.0357,6.3987,0.5117,23.5358,1.0331,1.1198,0.144,0.1917,0.2041,0.0087,0.129,0.0104,0.0448,0.0264,0.1009,0.6237,0.2198,0.3814,0.4502,0.0387,0.0527,0.0594,0.029,0
PHL_C10T12,2090.4056,2255.0249,0.6711,4.3441,0.9574,15741.21,40.6974,8.9077,15.462,22.8849,90.2085,8.6516,15.2718,13.295,12.8478,10.2585,76.4152,9.2626,6.0214,76.3973,5.3235,27.4654,11.6928,2.3685,59.2014,2087.8133,13.7154,16.1357,8.1239,4.4419,1.6273,2806.6531,4.6986,9.1473,36.7982,181.1549,27.7966,344.197,202.614,227.6318,21.4159,28.0141,15.9957,26.2683,0
PHL_C13T15,33.576,29.0081,0.7049,1.5701,0.7662,176.1711,1944.8738,10.96,133.3631,13.2925,91.1126,10.9044,19.2445,25.976,5.3441,7.6002,155.5549,31.8292,19.89,63.8477,10.1496,188.0802,7.0613,1.4162,92.1139,367.153,13.6908,9.072,8.2652,4.9312,1.4099,85.2258,9.8803,9.7551,4.5445,36.6544,19.1533,12.1262,33.2718,40.7396,13.5995,14.8599,36.7149,14.9813,0
PHL_C16,1.8637,0.3049,0.1308,0.2927,0.1641,47.0706,3.2494,159.1003,153.0553,23.2793,5.8209,1.0279,6.1432,5.854,0.5709,0.3976,28.81,1.8697,1.935,0.7975,0.9362,152.0509,0.392,0.2479,129.9928,9.0,1.9513,0.8109,1.2329,0.63,0.0745,4.7276,2.9281,1.1621,0.3889,2.2271,2.1663,0.6657,67.7139,66.0525,20.1672,0.7837,0.5555,44.6479,0
PHL_C17_18,2.2601,0.5036,0.0619,0.2421,0.2159,17.87,3.044,1.1936,295.3253,4.1782,52.3272,1.4049,4.5136,0.856,1.0147,0.646,254.1864,69.9028,2.477,3.7288,1.4701,15.7248,0.9034,0.3449,11.4251,32.7654,46.8191,3.4486,2.9541,4.9791,5.7843,61.196,82.1095,23.847,22.2629,244.8526,11.3522,24.1218,66.8034,158.9373,255.0889,20.8801,9.4978,20.86,0
PHL_C19,109.8865,112.2138,17.7256,86.767,5.4772,730.3366,126.4317,18.9182,107.7428,1492.3713,187.9189,14.1242,37.8014,465.4108,641.8294,127.7768,237.549,9.457,11.6858,61.8398,10.9743,57.6012,875.2426,17.6679,372.9402,1629.5369,1249.626,550.6871,703.1672,240.0238,47.4273,132.0236,3.928,75.7322,65.2441,302.4706,116.9938,69.525,94.4893,120.4403,37.4529,58.8323,7.7278,58.1107,0
