V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_A01_02,5493.2916,4.9306,10.8739,10.6703,0.0188,12948.4,54.7723,943.2805,243.4583,6.9569,89.1674,21.5264,147.1152,18.8873,8.2379,19.7433,1.7593,10.8814,29.4449,16.6483,5.8952,140.874,164.8684,7.1791,79.6751,1022.2749,76.1966,0.7704,2.0798,7.0491,0.6339,116.4505,2.7712,3.0339,4.8431,8.0795,31.3105,20.0687,342.2084,39.7105,13.1136,60.429,6.2343,61.7477,0.0
POL_A03,0.9203,2.6023,0.0255,0.0839,0.0013,131.1134,0.1368,0.111,0.1221,0.085,0.2258,0.0177,0.1888,0.0999,0.0802,0.1369,0.0667,0.1086,0.0843,0.1736,0.0378,0.2261,0.0725,0.0416,0.44,11.6501,1.0567,0.0084,0.036,0.0742,0.0064,8.4798,0.0307,0.0396,0.0389,0.0597,0.0765,0.3525,0.2034,0.0784,0.1387,0.5993,0.0985,0.2269,0.0
POL_B05_06,113.5686,0.0876,134.2853,84.0766,1.4111,82.2678,5.327,7.36,45.2564,973.2009,144.2812,1.1295,24.597,87.1715,526.9089,14.0432,2.351,5.7652,7.4374,7.5514,2.9325,10.7436,2181.205,40.5956,140.4392,43.6469,19.7402,0.1553,0.4855,14.6482,2.1058,10.5687,2.2372,6.3787,10.0664,9.5623,66.508,23.4599,36.6891,16.5235,9.0685,11.1935,5.7554,5.6225,0.0
POL_B07_08,27.8281,0.0041,287.0061,204.5131,0.0,4.4179,0.8588,0.4049,2.1955,1771.098,389.8876,0.6409,23.5876,793.3837,818.6866,55.9029,37.7567,53.3597,21.7713,13.8757,1.5161,5.1034,469.3493,9.1039,988.8046,27.2922,26.758,0.0,0.0,4.2476,0.4711,0.6834,0.0197,0.0,0.1105,8.6113,8.2923,25.3475,39.2658,22.6144,5.2201,1.0635,1.5082,9.4955,0.0
POL_B09,0.0,0.0,144.6148,50.1414,109.6393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,3376.8698,8.877,9.8386,16.1745,1.8688,12078.282,60.6521,54.2452,85.879,98.3028,196.3019,12.2486,161.4279,66.131,62.2257,108.8489,31.6056,66.1292,58.5919,90.1122,17.9472,176.6406,52.1498,37.0679,306.7426,2415.5913,135.4175,3.4687,10.6054,50.139,4.144,2661.1781,11.8251,20.6653,27.167,106.2186,102.9841,76.6502,143.7364,99.3313,167.9521,285.4198,38.2828,226.0592,0.0
POL_C13T15,16.1532,0.171,4.8675,4.4954,0.0597,53.7131,812.0827,11.4933,52.4185,6.0486,15.3811,1.8272,126.1343,18.6095,11.7974,20.8073,4.3352,16.491,15.5133,239.435,10.1932,258.111,5.713,6.4061,72.7976,149.9097,51.5237,0.4893,1.6392,18.4819,2.169,16.5146,5.3674,2.7122,2.9645,11.4763,10.0158,12.7489,27.5189,46.8216,8.0979,23.9994,20.286,17.3313,0.0
POL_C16,129.2652,0.1365,14.2412,6.3688,0.1148,88.1376,20.4823,1817.2936,116.2493,9.5949,36.6314,2.2548,80.506,96.2956,17.3748,138.0899,21.4932,81.0728,37.3712,76.8618,38.694,1788.5933,13.1402,17.0391,1165.2358,345.9362,156.9693,1.0543,2.6575,51.7119,3.7075,17.9035,6.5328,4.8226,4.7035,14.6443,122.8926,20.2051,31.9506,29.856,14.0535,24.6979,12.9662,93.6888,0.0
POL_C17_18,49.0377,0.2053,4.7301,7.9425,0.1287,954.8561,76.6928,257.3983,3347.3233,22.7435,145.6619,42.9311,228.2786,218.9837,31.1141,81.9467,15.4408,92.3644,46.8371,97.5568,15.8281,307.1696,16.3774,43.5676,175.2616,1197.0122,99.4086,1.2163,4.0562,87.058,12.8183,70.9588,515.7429,31.5695,55.1973,557.9945,94.4124,435.518,334.6053,152.6302,290.5188,72.6555,116.0623,143.6009,0.0
POL_C19,717.9456,10.5251,16.4092,57.5735,5.3028,292.9973,52.0208,80.8167,81.3101,503.4718,407.4958,16.5879,302.5334,249.5303,295.5571,103.3467,18.8558,71.3768,52.556,70.0159,21.0761,143.1593,66.0447,174.8866,899.373,994.505,6070.8773,32.4896,168.0424,586.3544,50.5053,89.969,14.7491,21.967,23.6554,348.9212,173.8418,102.2862,194.8847,158.7244,63.4101,137.3179,35.1533,63.9989,0.0
