V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_A01_02,5074.6128,2.2001,1.6337,7.8365,0.4495,2162.1756,9.9434,3514.7853,2742.1819,2.8141,92.5811,12.9248,11.2559,14.5254,22.2693,12.6306,2.2664,5.231,14.549,18.9743,3.695,18.0124,476.9626,14.9803,272.5834,124.4574,26.6518,2.4216,1.9085,95.306,3.6341,220.4081,112.7719,7.8353,25.4267,20.2922,300.7102,93.1363,80.5243,73.4336,62.5405,200.6735,114.5244,44.8418,0.0
SWE_A03,0.7068,9.5026,0.0049,0.035,0.0023,34.4515,0.0292,0.0989,0.1792,0.0393,3.1425,2.2262,0.049,0.0869,0.0785,0.1007,0.035,0.0518,0.1429,0.2925,0.0284,0.1153,0.1081,0.0869,1.141,3.0978,0.137,0.6441,0.0443,0.5866,0.0233,47.2567,0.1163,0.0611,0.264,0.1238,0.5772,0.8006,0.6179,0.7315,0.555,1.7904,0.634,0.0603,0.0
SWE_B05_06,72.3702,0.0012,11.475,1.8974,0.0948,0.3658,0.0091,0.3964,8.8972,55.3231,5.9992,0.0782,0.2607,59.7883,85.6797,0.0885,0.0061,0.0101,0.0674,0.6016,0.0183,4.3522,0.5475,2.8661,25.9399,0.7287,1.6483,0.0095,0.0159,7.8654,0.5123,0.0761,0.0411,0.0312,0.0632,0.0314,2.7236,0.1881,0.1164,0.1326,0.1232,0.1799,0.3193,0.0462,0.0
SWE_B07_08,1.4624,0.067,7.9083,348.1515,9.3812,7.5248,0.0646,1.0103,14.2038,0.177,140.1847,0.7769,1.2342,35.8498,2394.1008,1.4683,1.4776,1.1506,0.0658,0.0347,0.055,0.301,8.4873,49.0771,254.4855,0.0669,41.1152,0.0274,0.0,35.8451,0.8709,0.1372,0.0,0.0,0.1372,0.0,13.6148,3.6442,1.5184,0.5372,0.0298,0.1775,6.2355,0.5649,0.0
SWE_B09,0.004,0.0004,0.0029,0.0667,0.0058,0.0016,0.0,0.0045,0.0663,0.0004,0.0298,0.0002,0.005,0.0845,0.4826,0.0022,0.0001,0.0002,0.0002,0.0001,0.0001,0.0,0.0352,0.0173,0.5131,0.0002,0.0083,0.0001,0.0,0.02,0.0,0.0005,0.0,0.0,0.0004,0.0,0.0028,0.0126,0.0024,0.0026,0.0001,0.0009,0.0013,0.0011,0.0
SWE_C10T12,446.2393,5.1658,0.0,0.0,0.0,1962.9723,7.694,0.0,49.5056,1.0603,190.4807,43.1295,1.9755,0.1799,0.1035,0.054,0.0517,0.917,0.0509,1.4334,0.0893,2.4926,9.0394,1.9487,0.567,86.4769,5.2681,11.6828,6.947,1.0626,0.1426,2253.4792,3.8029,0.0,1.0099,5.5676,1.7049,45.7315,25.386,99.8143,166.4194,574.2604,148.238,1.7422,0.0
SWE_C13T15,2.7743,0.7496,0.5726,5.186,0.2904,14.121,56.9601,9.7504,40.8183,1.694,4.2258,3.9175,8.8792,5.4083,6.7005,21.111,2.1843,4.5323,13.3218,23.4877,2.0091,28.3642,2.9553,1.4656,20.9777,20.7274,4.6109,0.5795,0.3582,5.7345,0.9109,10.6783,1.5521,2.1975,12.0617,0.5711,2.8865,41.4932,24.2115,14.2384,3.6887,39.7281,7.2143,4.7807,0.0
SWE_C16,128.4131,5.3083,2.0281,2.3267,0.1278,24.1676,2.1375,1347.9273,536.5195,3.5085,21.8928,5.0317,35.825,182.6122,56.5956,70.5489,4.3346,24.5275,39.9724,22.2842,9.5488,261.5928,497.9578,11.3511,3394.7948,106.5984,18.1541,0.9022,1.1784,31.3316,3.2493,6.9757,5.0168,2.6911,12.9363,4.1851,355.9923,28.325,43.3272,20.8831,17.0379,19.2295,26.2737,28.1034,0.0
SWE_C17_18,205.7376,1.2826,1.0501,10.8807,0.4584,314.9926,10.9361,206.5454,1901.7652,9.2776,69.5786,84.0642,96.8663,35.0701,41.4692,46.9934,18.8291,25.5318,80.0289,98.2478,7.5342,84.3679,69.4597,63.9121,111.3405,588.0574,69.9083,20.3862,17.8109,109.7224,23.886,39.6437,452.1814,86.0646,144.873,69.106,150.2553,494.3154,122.191,142.6033,167.0044,291.2256,152.1733,89.8325,0.0
SWE_C19,290.7541,10.6375,10.5837,73.4163,2.8926,70.5066,6.5808,56.0397,155.422,28.795,88.716,19.432,24.1979,195.8486,121.6107,34.1705,3.2806,13.4487,41.4669,52.1641,15.4282,99.73,95.209,150.6084,818.6562,321.8009,1626.7803,374.7127,409.6109,155.0114,30.2496,16.7425,11.1137,21.6136,9.7196,17.3908,132.389,65.4841,73.8392,105.6375,26.0752,57.1501,58.8896,28.1305,0.0
SWE_C20,125.7332,0.5255,2.9789,23.38,1.0409,71.7997,30.3284,40.6017,286.6129,15.3891,620.9971,328.0031,410.6296,67.2092,67.4427,70.6626,36.5808,61.7924,34.1837,221.8607,7.1627,46.1755,125.6656,48.8784,160.3083,103.5029,29.6709,2.7776,3.5561,26.596,1.6482,23.8288,10.8039,8.6358,20.4558,6.1697,58.3014,57.3017,109.7369,25.8496,17.7021,115.0928,23.9515,50.9129,0.0
SWE_C21,15.7057,0.2235,0.4766,5.3514,0.3076,39.3095,9.1206,13.3352,35.6494,7.8324,51.1633,487.1912,29.6811,13.7649,39.4587,23.6064,9.9319,9.7693,31.9096,59.5806,8.3926,16.6745,12.0944,20.2049,89.375,209.4838,41.1765,9.5483,19.1959,41.3605,3.3024,26.7202,36.2836,16.2318,41.9956,7.5144,18.9511,93.3068,59.5247,19.9714,12.8255,361.7163,22.6114,14.5933,0.0
SWE_C22,13.2907,0.3217,6.2191,4.1627,0.2097,102.979,13.1394,32.4776,44.6711,5.7506,38.8236,50.7206,139.6986,47.9688,16.7643,42.2737,27.2068,28.0402,148.3898,419.2109,9.8849,49.6623,9.761,45.9676,349.4332,112.4745,52.8005,1.9627,1.9397,21.7204,1.4253,24.3712,6.6359,11.0863,38.056,12.1801,56.9918,64.7607,21.7224,57.2131,22.0494,108.2396,18.2626,15.1589,0.0
SWE_C23,80.5536,0.1412,3.8874,48.0632,3.1571,74.4151,3.098,101.6315,29.6494,7.8317,34.0661,19.7957,16.0533,391.3702,63.6914,72.0746,14.3856,18.4263,56.3971,189.3657,10.8186,19.8109,70.0884,30.7196,2196.71,55.4087,33.4519,1.7062,1.6461,114.2345,1.173,16.9586,5.4118,3.3565,9.3566,5.4052,238.9917,24.6837,12.5027,19.7154,16.6573,32.3173,8.6979,18.2687,0.0
SWE_C24,41.4335,0.0,1.4976,18.3003,1.3502,2.571,5.4355,33.9523,7.8411,0.1099,11.5476,5.267,78.4657,128.9373,2708.2658,2830.3546,47.6658,397.1725,731.3998,962.5982,27.0443,220.0832,16.6033,50.6112,1037.7409,11.5269,2.1109,0.3801,1.373,58.2791,1.1722,0.1774,4.8452,11.4705,15.0337,0.1044,13.7467,13.4375,44.0098,14.3135,6.3062,1.7042,1.9821,4.3235,0.0
