V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,168.7099,8.0129,0.0,1.7631,0.0116,2061.3475,21.9497,18.0076,6.5879,0.3005,6.9505,2.5784,2.3036,0.0956,0.0043,0.0176,0.014,0.007,0.0147,0.0133,0.0115,10.2451,0.0,0.0,0.6872,119.6674,0.0001,0.0,0.0,0.0,0.0,59.8219,0.3226,0.0,1.1562,0.0,1.1797,4.3613,2.8326,21.3416,0.5365,1.0327,1.6045,2.9233,0.0
TUN_A03,18.3488,39.2938,0.0,0.2257,0.0,305.8953,2.6452,0.4577,0.3452,0.0607,0.9641,0.6329,0.2384,0.0071,0.0007,0.0021,0.0017,0.0019,0.0021,0.0018,0.0016,0.7563,0.0,0.0,0.0755,8.4891,0.0,0.0,0.0,0.0,0.0,44.4856,0.5665,0.0,0.2785,0.0,0.2605,1.0842,0.6443,5.0435,0.1713,0.4022,0.6837,0.9966,0.0
TUN_B05_06,1.5368,0.2088,65.9407,34.9104,4.1353,33.7201,15.2522,1.5427,4.7785,318.2092,5.4233,0.1303,2.0095,7.781,7.0324,4.5079,3.2213,2.2245,3.2743,3.3132,3.3066,2.2605,440.9051,5.5224,7.6543,10.8276,0.1236,0.0278,0.0221,0.0353,6.4699,27.6894,0.9183,27.39,1.1692,13.9916,1.3086,3.6666,2.4487,3.499,0.1163,0.1014,0.0761,0.2979,0.0
TUN_B07_08,0.0,0.0,0.7282,10.4079,1.7077,2.4751,2.2254,0.0054,0.0291,10.4953,168.6897,11.5704,0.0117,33.9487,0.2325,0.1811,0.0812,0.1229,0.1239,0.0863,0.0431,0.017,0.0,0.0,71.2982,0.106,0.0109,0.0013,0.0017,0.0056,0.0,1.2708,0.0007,0.0,0.0008,0.0056,0.0008,0.0031,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,0.7716,0.8248,153.7671,8.881,22.6978,0.99,0.1148,0.0095,0.2754,7.5453,2.0162,0.0875,0.0753,5.1966,3.928,0.4486,0.0147,0.0227,0.1528,0.0089,0.0233,0.0391,1.5865,0.4782,14.9837,0.0787,0.7757,0.0376,0.0482,0.2191,0.0061,0.0543,0.0001,0.0,0.0004,0.0,0.1801,0.1886,0.0497,0.4713,0.001,0.0027,0.0048,0.0023,0.0
TUN_C10T12,182.1942,14.5796,0.6278,0.59,0.314,456.7248,3.817,0.0726,0.0919,0.6709,32.4574,9.3241,0.0835,1.2525,0.2884,0.3282,0.2847,0.1926,0.3179,0.2643,0.1116,0.1452,0.5687,3.1118,5.297,25.8951,3.7664,0.905,1.4166,0.4231,0.2687,406.9581,0.3145,0.2742,3.4518,2.8557,3.4939,11.2367,6.8548,28.7401,0.8057,1.5908,1.5735,1.526,0.0
TUN_C13T15,0.3878,0.1245,4.8827,1.1197,0.1733,5.0428,790.2198,0.4442,2.0742,0.2731,0.1134,0.0417,1.7815,1.2801,0.0228,0.0855,0.1351,0.0619,0.0964,0.2391,0.0595,7.7151,0.169,3.4284,2.4336,8.7511,1.0086,0.3721,0.3746,0.5418,0.7983,1.1321,1.294,0.5437,3.4585,0.0245,3.0618,11.7566,8.5952,37.2676,0.8516,1.8786,2.2706,3.8448,0.0
TUN_C16,0.8043,0.0695,0.9954,1.2602,0.132,12.2536,10.64,88.9693,13.0539,0.003,0.7022,0.1066,4.975,2.7397,0.8517,3.9142,2.7769,1.6408,2.8431,2.3027,1.8208,56.6614,0.1226,0.5448,102.6135,2.3487,0.488,0.1395,0.072,0.4996,0.0626,0.1112,1.1655,0.06,0.6195,0.4544,1.3291,1.9302,1.6934,2.1837,0.0739,0.0659,0.2494,0.3741,0.0
TUN_C17_18,0.5439,0.0868,0.932,1.0415,0.1629,45.5017,30.9545,6.7118,107.4038,0.0046,2.3245,1.0788,3.5436,2.9465,0.8319,3.3246,5.4865,3.2202,3.3479,2.185,0.9923,6.3995,0.1026,1.0847,4.3456,11.946,1.1861,0.2015,0.323,1.0044,0.7139,0.5128,41.0432,0.8287,3.2232,7.0099,2.022,12.6299,4.5019,8.5635,0.3567,0.282,0.7829,0.5267,0.0
TUN_C19,49.7531,8.5187,6.1894,5.5505,3.276,10.0641,10.3766,0.9303,1.1435,0.0206,2.7552,0.2424,1.0366,14.1701,3.0661,3.0886,2.3874,1.7458,2.7578,1.6158,0.6182,1.4212,7.3836,1.2194,42.5754,8.3959,48.7035,11.5962,18.2422,5.3444,1.9973,2.3056,0.4293,1.1671,0.7887,0.3275,1.3821,2.6001,3.5045,9.9326,0.1327,0.2646,0.362,0.2909,0.0
