V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T
TWN_A01_02,1783.5156,29.9796,0.0214,0.1085,0.0541,4894.8162,212.5305,15.3127,3.1939,0.7421,9.615,15.3828,19.3581,0.9854,1.0109,0.5989,4.0427,0.7011,1.394,0.2142,0.2119,2.5462,0.5853,0.4152,87.6264,214.3555,0.3996,0.7453,0.3552,0.594,0.287,767.2459,1.6922,0.1099,0.225,0.9659,15.3308,1.8283,14.7948,55.6232,9.6662,1.1393,14.6892,34.5852,0.0
TWN_A03,4.4396,149.1501,0.0011,0.0056,0.0027,137.8583,0.0145,0.0983,0.0091,0.0411,0.839,0.9038,0.0086,0.0275,0.0513,0.0215,0.0708,0.0119,0.0258,0.0079,0.0063,8.9562,0.0244,0.0089,0.0665,3.772,0.0106,0.0235,0.0034,0.023,0.0156,150.338,0.0331,0.0019,0.0072,0.0222,1.0161,0.2529,0.1115,5.491,0.0119,0.0233,1.4307,0.1751,0.0
TWN_B05_06,0.0007,0.0012,0.5065,0.165,0.0869,0.1183,0.6049,0.0023,0.3718,368.1319,7.3085,0.0301,0.1855,11.1176,30.5441,0.0113,0.2295,0.253,0.0189,0.0048,0.003,0.0118,136.359,0.0893,4.6087,0.1953,0.0713,0.0124,0.0222,0.0049,0.0018,0.4023,0.0135,0.009,0.1476,0.0817,0.0616,0.0488,0.0184,0.0418,0.0102,0.0144,0.0081,0.0126,0.0
TWN_B07_08,0.0101,0.0218,0.0442,1.2974,0.3003,1.2817,5.3556,0.0065,4.6537,59.6263,187.2003,0.0844,1.7843,358.1834,364.7303,0.1869,2.543,1.1466,0.2996,0.0268,0.0493,0.0788,144.4678,0.6385,230.9315,0.1717,0.319,0.0497,0.0,0.0041,0.0,0.6766,0.0,0.0038,0.0,0.0,0.0,0.0818,0.0138,0.0127,0.0,0.0,0.0111,0.0198,0.0
TWN_B09,0.0146,0.0448,10.9649,0.2921,0.4914,0.8884,0.022,0.0043,6.168,96.6308,22.7128,0.057,2.0003,113.8371,29.6244,0.1875,0.4333,0.6953,0.3392,0.024,0.0021,0.0735,364.4065,0.4733,87.7755,0.213,0.2072,0.0338,0.0,0.0031,0.0,0.5379,0.0,0.0,0.0,0.0,0.0,0.0991,0.0065,0.0242,0.0,0.0,0.0056,0.0129,0.0
TWN_C10T12,1471.8743,203.4511,0.4648,0.8903,0.4577,3195.6788,108.4054,5.8281,41.1863,11.1122,87.6343,40.797,24.1134,10.7191,49.7182,24.801,101.5336,18.3008,27.4995,5.471,9.1673,56.1415,10.5614,2.2038,41.5218,346.1616,5.8502,4.8024,8.8061,4.5451,0.9967,2674.0369,9.8176,2.7096,3.672,12.3917,28.5853,16.9451,4.2767,101.113,31.4661,52.2661,197.8062,32.1533,0.0
TWN_C13T15,22.465,72.7475,1.0604,1.6955,0.8639,40.4953,5758.114,2.7209,106.9104,11.4069,558.0529,24.9601,325.1201,54.6779,55.178,71.4263,463.7714,36.6524,50.715,42.3555,27.0854,197.014,10.5952,7.6674,73.4187,247.2378,9.1834,7.3567,8.9482,6.9236,2.7815,192.6296,15.2164,6.0999,5.0486,10.4887,7.0148,75.6777,5.5717,31.0179,15.6364,29.2423,9.7337,74.6565,0.0
TWN_C16,8.6642,3.6073,1.3327,3.9219,2.1037,1.9522,4.5218,298.3239,58.8275,0.5056,4.656,0.2226,4.183,8.0565,6.0452,29.5654,16.4465,7.198,18.5083,4.9573,21.2738,62.3629,2.3201,0.5149,814.498,54.4942,0.3944,0.3568,0.1352,1.5275,0.1564,22.837,5.0957,0.1932,0.651,0.4471,0.4878,17.7956,3.2264,4.1839,5.5715,0.7537,2.205,3.7772,0.0
TWN_C17_18,11.8046,5.3692,0.9723,0.3063,0.1471,308.6739,114.0472,24.4144,2596.8644,6.5544,273.2025,41.3428,198.9569,88.6831,54.4387,116.2379,453.7339,66.1142,69.6795,29.651,13.4077,60.8735,13.5614,5.5911,85.2532,1055.4458,12.8812,1.0985,11.9447,16.1129,18.4271,365.875,840.6824,64.9846,43.2757,363.8452,54.7266,895.6964,212.6344,393.8612,160.5607,111.5037,60.2309,302.8462,0.0
TWN_C19,109.2989,373.8982,28.1002,276.7198,103.3245,129.3937,139.7396,17.1993,100.6256,1942.4427,7406.7965,9.6809,179.008,315.8738,2059.3113,339.7926,508.9797,84.5663,186.0667,49.0269,37.7869,38.2137,1101.0681,75.6227,542.4637,1189.4296,1948.4891,555.9868,2244.9939,204.0102,31.2531,115.218,36.3697,28.8583,10.3083,38.1462,63.5199,86.2717,127.9737,195.3125,56.9912,134.2619,19.6015,90.4831,0.0
TWN_C20,287.1505,12.4073,4.6261,19.386,10.4167,191.4078,1982.5387,37.2406,640.065,352.792,27752.7657,172.2353,4201.6084,440.003,792.5742,1002.5489,8527.7764,299.6771,251.3188,197.7576,131.2743,196.5919,114.644,112.1715,793.6017,1216.8995,27.642,7.592,13.1189,16.3328,2.2435,209.3497,119.0034,21.1269,9.6622,20.0211,21.1181,330.2948,296.7576,87.8421,136.6118,269.9065,29.5541,98.5821,0.0
TWN_C21,34.8765,3.9282,0.0783,0.1569,0.0792,52.9765,6.9219,0.7557,3.2087,3.2287,40.5203,211.678,6.6885,2.3859,13.0283,6.9296,49.3275,5.0952,7.3933,1.4983,2.5417,2.9833,1.4376,1.0101,10.8377,13.3666,0.8376,0.4536,0.9532,0.3904,0.0756,26.5926,1.1721,0.4975,0.8223,1.064,0.9729,46.4968,0.8955,17.058,9.013,871.3091,1.9845,1.1669,0.0
TWN_C22,53.5421,4.2985,0.7934,3.538,2.1991,328.6514,248.206,20.9486,271.466,14.7724,372.7718,69.3651,1277.2708,67.0035,73.2559,321.557,2889.7511,464.5706,626.736,402.2983,244.9141,209.3238,8.954,44.0477,791.7424,1216.1927,118.8652,3.9417,5.5411,6.6623,1.0053,194.5959,28.9387,4.5614,5.4376,8.0563,6.0875,97.4466,41.004,94.5574,38.5936,48.257,17.8531,42.1378,0.0
TWN_C23,9.4494,3.0998,1.5001,1.2212,0.6445,67.0079,155.7943,2.3571,45.9811,13.6,225.3605,21.3779,28.4757,1321.5157,366.3295,108.0279,2834.2387,55.5286,96.4667,42.5823,39.0771,36.5866,26.2084,93.6169,4089.4219,89.1523,12.0564,4.0588,2.556,4.9902,2.3016,59.1522,5.4974,2.175,3.1758,13.0273,7.6462,35.3977,7.0946,85.9207,48.1191,41.8617,7.1566,14.3545,0.0
TWN_C24,20.478,20.8555,6.1402,12.6211,4.8872,61.2213,48.4476,5.3658,68.9645,127.3525,1115.4885,7.4299,167.5969,146.2877,17965.6157,7187.3652,1723.0943,1817.7204,4803.5985,863.5485,816.0432,360.7836,128.1176,226.5906,4004.5307,188.3481,88.7732,24.658,95.9115,22.2692,2.6106,40.5461,8.2517,6.5649,7.375,13.1785,15.9721,39.1088,16.3355,51.4773,25.7287,34.5377,6.8392,45.0417,0.0
TWN_C25,58.6962,5.4488,2.1057,9.0918,6.2024,293.0842,96.0258,29.3406,57.3404,39.896,244.2874,17.2229,296.17,116.2908,723.7582,3070.9936,1687.7489,542.3541,2202.5539,416.196,438.6351,269.6294,32.2795,23.7251,2840.9222,229.299,19.0134,17.9973,11.083,21.0058,2.174,131.2047,17.6344,5.6853,18.5899,16.3532,28.3209,75.4275,35.1588,1715.6182,61.8035,92.6292,14.0953,54.985,0.0
TWN_C26,395.0826,66.9855,5.9035,10.2193,4.8762,1026.5943,450.0196,65.6048,246.6999,253.7197,1252.6652,128.6848,295.681,192.8884,1298.8874,654.6543,39765.8711,1262.4787,1288.5348,221.9538,327.692,220.8621,152.2488,90.921,1329.3104,579.1204,68.0722,24.8524,79.5545,22.5079,4.0879,519.5608,195.357,90.3822,371.9161,99.3521,72.9303,550.4934,97.6404,245.5919,222.3227,695.3955,79.5343,64.4796,0.0
TWN_C27,19.6304,4.3728,2.3745,3.2513,2.0704,53.1792,29.7337,3.8409,16.3226,21.1756,95.9103,7.4296,29.2706,39.7241,99.8112,93.8692,1303.5974,3438.1247,1129.4379,175.3085,172.975,105.0386,36.6711,12.6495,1734.5885,148.0586,19.9098,18.7414,25.2784,18.551,1.258,31.4835,17.1664,87.454,47.3528,16.0818,37.9359,90.9907,46.6902,83.0468,129.0466,62.303,8.2499,44.2409,0.0
TWN_C28,38.1381,8.4533,6.7809,28.1527,17.7791,71.6,37.4046,6.7663,32.5404,54.8672,161.4458,6.9305,64.5918,104.1915,198.8425,234.3553,902.3469,318.4349,2823.6875,116.9783,158.7513,464.214,28.955,55.2703,785.2473,99.1265,9.2944,5.7997,9.5938,12.205,1.7643,36.1838,10.4746,6.2723,7.5676,13.0316,30.9829,30.0204,31.9597,89.6294,35.6757,32.8595,8.4062,19.6063,0.0
TWN_C29,10.9215,1.8616,0.3073,0.4726,0.2593,30.6652,14.5103,2.0331,7.7426,8.3672,33.9334,3.3387,9.8679,8.0654,40.1287,41.0786,123.47,43.7588,60.9488,2630.5204,95.9518,9.1533,4.7381,1.9573,61.1659,899.3194,74.8734,2.3622,4.3463,3.5426,0.2815,17.5138,3.0449,1.8026,2.4445,3.5805,2.8909,11.3715,20.8199,32.395,5.6973,15.9202,2.1854,138.2924,0.0
TWN_C30,2.6191,46.9401,0.1963,0.2678,0.1536,7.0883,4.1681,0.582,3.1866,4.4578,19.9457,0.7823,3.9688,3.0717,28.3554,8.9085,79.4433,8.5763,16.0624,145.5245,2289.3448,634.9266,12.9395,3.5343,15.3222,269.1515,13.6792,2.5781,149.6988,3.6972,0.4967,6.0261,1.3088,0.922,1.9672,3.1601,3.0541,8.4408,3.2639,9.0478,3.102,30.9438,3.109,35.3955,0.0
TWN_C31T33,9.9822,28.8668,2.1145,1.6608,1.2735,29.0748,32.9465,5.5222,36.3571,55.0104,269.457,6.5504,50.6447,19.0057,422.2503,79.0485,1127.3097,32.2907,98.9874,40.8911,31.801,322.2875,229.6067,65.1093,129.4445,86.9079,156.3826,33.5523,341.1698,56.564,6.5756,21.4858,11.205,1.4227,15.4915,33.0424,15.6225,26.8324,24.9113,94.4228,52.1226,264.5369,57.8553,33.5552,0.0
TWN_D,57.7,41.5068,7.0483,13.4181,3.7057,275.3829,393.1749,21.3086,300.8561,814.3078,3058.9585,38.6004,428.544,643.7976,1487.2878,535.7984,3913.3428,169.0538,308.9475,136.3212,85.5401,79.7453,1537.5435,232.3879,158.4071,1676.0525,188.6144,6.4679,33.2149,81.1787,12.6,518.4866,55.4182,229.8777,48.7816,155.6628,217.0774,129.2974,40.3407,232.0658,478.7265,495.1919,130.9302,264.62,0.0
TWN_E,11.8701,1.1272,0.4617,1.5758,0.7088,55.2973,40.647,2.3704,548.7123,47.5703,227.1521,5.23,33.3488,63.7956,1678.4632,53.6552,165.1979,9.4097,19.1663,11.3358,13.8618,8.2704,16.3401,1775.8961,31.058,141.378,9.2819,0.8616,10.1561,11.6617,2.245,66.3302,5.0254,4.4773,9.46,49.999,17.4411,78.5331,14.3993,1047.666,295.6798,130.6466,51.4454,23.0273,0.0
TWN_F,36.5244,11.0043,3.9484,16.393,8.8498,77.957,68.718,6.4003,39.7689,50.2321,213.0446,11.6195,58.6269,92.7939,311.3106,143.6842,520.7569,62.9727,120.8859,13.8055,35.8714,48.2092,221.755,118.1035,226.8368,886.5047,114.1273,3.6253,11.7293,122.6839,7.1045,122.6571,64.9378,269.8626,24.8141,90.7812,2928.2726,114.7313,59.2741,257.8203,232.5307,147.0203,45.975,75.0501,0.0
TWN_G,1965.4683,332.8193,12.8641,61.9368,27.2916,4892.4027,2010.6101,182.0116,903.8597,735.4009,4104.0821,474.9618,938.3344,622.0347,3401.0827,1828.7807,7622.0709,1610.7321,2003.1226,1515.3146,782.3534,581.9938,440.8223,160.1322,3477.4257,3677.9291,1015.6741,105.3572,238.0417,143.3641,49.6828,3036.0625,582.6994,96.1338,176.4828,341.5827,337.9538,747.3297,359.7896,821.1287,309.8783,2116.0203,361.5586,455.8147,0.0
TWN_H49,81.0334,25.2784,8.5554,42.6807,20.9731,213.1002,115.8197,30.1765,72.6361,316.3066,373.8853,18.2954,69.852,216.3123,402.9784,173.3341,588.1643,96.8907,207.5817,75.9908,50.4833,48.3668,188.0894,68.8065,519.9567,449.4645,89.3444,238.1805,71.1734,192.4203,120.3262,145.5837,42.1016,19.8725,58.9075,182.0652,65.1707,136.0077,52.2068,112.1264,92.5343,184.335,18.8446,57.9207,0.0
TWN_H50,1.7156,4.0189,0.4563,0.4459,0.2257,7.2369,4.444,0.6883,2.4365,25.6451,23.6304,0.6609,3.9724,17.0511,19.9496,8.9124,57.6986,5.7814,18.044,4.0449,4.1701,2.1313,9.1821,0.5539,21.922,104.5493,8.4688,2641.7855,31.4717,180.7546,9.0848,3.9346,1.8192,4.3323,1.3637,2.4447,1.601,3.8623,6.3669,35.1369,18.6998,2.9254,1.2698,2.8645,0.0
TWN_H51,13.5705,2.5705,0.795,1.0582,0.5236,35.9822,22.444,4.0576,13.2382,140.5335,99.9444,4.2571,17.1206,24.5151,87.3557,35.3422,189.7151,23.7729,50.773,16.5464,13.8995,12.5172,50.516,2.0983,69.8819,65.1756,12.0181,6.8615,45.259,9.2342,163.3069,20.8158,9.6772,4.2399,7.6488,17.2529,4.9408,33.3188,13.0641,44.2721,28.7903,24.3039,4.1064,61.5927,0.0
TWN_H52,2.2547,9.3512,0.3561,0.4915,0.266,32.6254,31.6962,4.2771,16.517,13.0005,112.3464,4.7101,37.5881,41.2586,71.0061,74.6395,239.0851,43.5708,95.8261,25.6393,12.7934,12.9313,5.6739,1.9599,44.708,755.2276,67.2731,824.1145,620.8722,199.7222,10.9629,57.012,9.1063,19.2212,8.9191,30.7073,22.1844,18.6551,7.1233,35.474,4.6095,14.45,11.3615,8.3302,0.0
TWN_H53,0.4921,6.911,0.066,0.4771,0.3602,8.2137,14.3119,1.6007,6.0296,1.5652,13.6914,3.9374,13.5952,8.0024,10.271,25.8469,111.905,11.36,28.4681,6.4377,3.3231,7.5182,13.0961,8.9289,26.4412,262.7493,10.965,1.7157,5.4023,43.5518,133.6382,34.5005,13.4393,64.0831,9.9979,181.6964,38.5339,59.1605,26.0542,155.4361,33.0707,24.9874,13.8676,29.4069,0.0
TWN_I,10.6063,1.687,2.5887,5.4691,9.8722,42.528,71.8462,3.9157,16.1143,8.8596,90.8835,11.3127,85.1331,28.8363,59.6823,81.7998,467.5952,87.249,111.0295,18.6923,14.9506,35.9652,5.324,35.6302,100.4395,1420.7293,19.1708,5.4268,272.0148,36.623,1.8131,49.176,76.3909,27.2103,56.5591,118.2797,127.382,311.3314,30.3453,449.0111,241.0572,92.8725,41.6763,1109.0481,0.0
TWN_J58T60,3.3236,0.9656,0.9183,3.413,1.8199,65.2746,20.9687,2.9812,11.9775,2.5591,45.539,17.1566,21.7347,8.0215,12.5647,22.4751,159.717,18.7427,34.3837,8.4901,16.3216,12.199,2.1914,2.5328,57.8351,465.9403,19.9425,0.5032,15.5703,11.7003,1.8049,40.6162,1362.2484,273.9923,131.1027,105.0288,119.3641,844.3166,97.8575,125.7308,190.2836,45.3414,154.197,216.181,0.0
TWN_J61,12.2733,6.1634,0.7683,2.709,2.5731,44.4928,40.2721,7.3026,37.1704,3.1518,63.171,6.8048,40.0219,26.1722,26.7914,65.1263,353.6036,40.6598,69.666,8.9129,11.1726,22.1315,6.4241,13.0261,143.5845,736.4158,63.3921,6.9594,38.3559,35.5511,8.9695,121.0999,71.8735,1524.1064,428.4861,350.4465,120.5485,217.7651,138.3256,593.6886,94.2308,254.631,48.092,218.5735,0.0
TWN_J62_63,3.67,0.6992,0.5798,1.1158,0.6073,25.6856,15.8476,3.3156,10.8889,6.2943,42.3945,4.8744,17.3832,10.5547,27.0419,15.9748,212.605,16.4547,21.3349,9.43,7.1252,9.1268,3.79,6.7172,35.9126,551.0427,17.199,4.3486,70.8372,14.1061,5.5239,95.4761,42.3172,40.4251,447.3262,250.2736,187.3947,123.2841,50.1633,128.9523,32.8659,50.6551,19.4591,19.2582,0.0
TWN_K,72.5531,21.7123,6.2589,20.2372,11.1635,214.9857,281.8556,27.3312,188.9274,108.1585,582.8074,38.3568,311.3618,202.9169,602.3407,485.734,3048.5986,242.5024,446.1746,168.0474,115.5245,84.0763,136.7246,74.9126,411.5913,2319.0458,169.5537,64.4639,186.6193,115.7135,20.911,282.8796,95.6383,145.8989,129.1993,9014.4955,3831.447,252.5887,184.9382,736.2922,123.5487,230.1522,96.7166,118.043,0.0
TWN_L,1.1607,8.66,0.4552,2.0526,1.6478,73.7552,85.9245,5.038,75.3219,6.0501,91.2704,10.5472,37.5655,40.1505,49.4847,149.7916,457.4288,93.4724,143.0473,31.8541,17.417,37.9933,5.547,15.8926,282.9416,3753.4878,179.3732,16.1099,35.9105,171.6168,25.0523,1024.1312,113.5285,103.8898,115.3743,726.0111,552.0403,394.6078,144.4647,40.8722,57.1036,295.9,289.0603,186.1682,0.0
TWN_M,29.4608,1.4351,10.6765,33.8625,25.4988,319.099,100.1773,11.6767,81.8445,48.2687,307.369,100.0846,156.8063,81.5119,95.4348,124.7291,1459.139,128.1855,184.0618,66.2781,116.3711,66.3156,74.2441,54.9568,1035.1301,2483.7255,70.9406,3.8073,44.1935,91.3872,7.8653,164.8926,305.838,488.013,125.6525,789.7542,1368.9532,782.7886,186.1862,426.262,86.6908,166.9398,66.66,201.9117,0.0
TWN_N,3.6606,1.1182,17.0366,9.1309,9.6144,91.1021,88.9473,5.6063,52.9025,28.8279,282.2077,11.7958,71.1337,198.6839,216.2342,245.8871,1749.3327,136.402,197.3499,91.0531,82.2853,74.1784,56.9106,60.6757,264.874,1509.4088,269.2544,90.0329,216.2076,213.2326,68.1584,137.4868,64.563,192.3967,85.0642,395.8216,256.2371,234.8347,271.5795,398.4767,267.8592,170.2974,76.3021,47.8302,0.0
TWN_O,32.0131,0.0253,0.5764,3.8149,2.3701,68.7201,29.1438,7.6524,27.0472,18.2464,70.8651,13.3812,47.8036,30.7969,54.3448,105.9548,320.919,49.4439,111.8538,32.2986,14.7253,21.3022,77.7734,39.1504,201.3916,641.0346,216.0553,9.5349,7.0317,45.7103,1.3908,17.7291,33.5607,89.5191,21.2289,359.8882,283.5587,58.0689,39.0608,1.5435,58.5584,65.7731,56.1539,18.8466,0.0
TWN_P,9.0856,1.0102,0.5593,0.315,0.1711,18.5551,10.1166,1.687,5.7745,3.8724,24.405,3.2994,7.0166,10.5377,34.2384,25.5595,139.1924,22.8448,14.5068,5.5214,6.1965,8.2149,3.58,12.2988,42.8386,105.9963,7.9031,5.732,21.2589,6.2689,1.5763,19.122,16.1284,40.671,68.2396,67.4772,36.2573,82.8161,12.662,234.0639,36.2731,25.5631,4.6585,6.782,0.0
TWN_Q,88.4768,15.1638,0.2058,1.1539,0.4803,210.9125,80.3785,1.5713,25.5693,9.2046,120.9592,17.7167,24.4308,9.9068,19.5753,14.5912,172.5584,43.5171,24.0253,5.9778,12.2751,13.8242,7.0684,2.5904,50.0751,91.1217,9.516,2.378,9.8383,2.8167,0.5284,138.4036,30.9394,6.1531,9.6765,21.8206,8.3265,31.5487,6.9849,22.1443,11.9657,76.1605,14.6148,10.6118,0.0
TWN_R,0.0581,0.0,0.0093,0.0734,0.0935,6.4494,4.8858,0.3241,4.3705,0.0833,5.6591,0.5318,3.2607,2.3755,5.6331,11.6581,21.0732,4.979,14.4588,2.8227,2.0162,19.4995,0.5534,2.1115,15.4434,265.7944,3.1583,0.2821,0.6127,4.9499,0.0922,3.3451,204.9001,0.0321,1.9428,18.5937,100.1173,250.6534,10.3481,79.4561,11.0567,2.1485,277.7931,493.7335,0.0
TWN_S,9.2208,3.9554,0.877,3.0192,1.6898,20.4841,18.2437,2.0632,5.9998,2.0222,37.9091,1.0039,23.2465,13.3346,34.8356,76.8253,515.0848,11.5177,36.7356,13.1692,9.9288,59.0041,5.526,9.2998,33.4702,93.3413,8.0735,0.9257,15.8588,26.9596,1.4722,26.4169,14.9825,26.7794,7.6242,404.9724,123.0943,84.6439,7.7775,264.3662,30.7848,84.7501,14.1777,224.7069,0.0
TWN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
