V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T,AUS_HFCE,AUS_NPISH,AUS_GGFC,AUS_GFCF,AUS_INVNT,AUS_DPABR
AUS_A01_02,8769.9273,810.7964,30.565,127.6682,0.818,20843.6238,393.1507,1886.2651,4.5118,8.2615,99.1768,131.7791,217.7807,2.4292,0.5623,7.3453,0.3702,0.3972,1.0799,1.2664,2.7594,15.7751,12.9651,33.3577,1169.1257,1865.1951,29.6865,13.5281,7.3864,23.9769,6.1819,1026.2838,24.4076,27.2894,22.579,26.3982,135.344,109.1756,158.5138,170.5616,188.7264,365.3887,253.374,216.6473,0,11372.7966,6.4355,356.0225,2477.0573,-24.2621,0.0
AUS_A03,80.2867,167.1793,0.0,0.0,0.0,2041.7617,20.6731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8086,0.0,0.0,0.0,1640.9229,0.0,0.0,0.0,0.0,0.0,647.2513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1748,0.0,0.0,28.5325,0.0,0,3140.344,3.7668,37.511,0.0,-0.9034,0.0
AUS_B05_06,101.7243,7.6488,1892.245,1957.005,142.7669,594.6862,10.2985,86.0591,254.451,3686.1036,1432.9925,93.5253,196.388,369.6781,515.8151,159.024,7.1693,7.1739,21.1646,12.8996,38.4695,24.8275,2566.9354,24.6684,1018.3341,1574.8971,302.8119,32.4655,12.0198,73.2709,137.0802,432.9298,41.5702,36.3496,12.3869,25.4741,140.9488,179.5631,134.6659,193.0992,119.3794,255.6584,18.9269,48.7885,0,4723.6155,0.2743,59.9735,1978.0077,-27.8419,0.0
AUS_B07_08,145.7722,15.4644,523.9726,754.4067,24.5796,292.402,13.6067,31.1426,43.1833,28.9141,453.9477,262.9346,37.3187,1820.3619,26456.5682,90.6359,8.1562,8.6273,21.9689,14.5252,19.9882,62.4044,667.7068,98.929,2427.9677,751.3936,358.8249,40.6245,30.8327,177.3524,82.302,67.1029,19.0418,59.2479,47.5212,45.0932,83.6757,120.7168,139.7155,148.2789,52.9525,98.7206,36.7685,19.85,0,1020.3559,1.4645,186.3545,297.2237,-183.4823,0.0
AUS_B09,32.6636,2.7441,3673.0324,5278.1058,47.4643,30.0833,1.2946,3.0901,9.7096,5.086,8.5176,6.9615,5.2855,7.6395,3.4261,19.1562,1.6033,1.3012,3.1297,3.0401,5.1198,4.9629,39.1402,15.7034,404.5254,126.032,30.2204,9.1449,31.6289,67.6827,6.0779,7.3534,2.4638,26.4939,15.7565,18.489,25.7046,33.2771,28.4229,39.3849,16.9269,22.402,4.4968,4.4028,0,107.4524,0.3708,180.5482,2329.552,0.2944,0.0
AUS_C10T12,964.1003,158.995,93.3726,130.8111,27.1684,8096.3607,120.4669,10.0173,17.3187,30.7843,102.8404,93.3115,34.3019,21.9106,8.2797,23.6915,9.2098,7.061,19.6678,9.3694,18.9025,40.476,56.3541,75.953,325.3597,1537.1242,57.518,10.9245,18.7798,22.8655,23.6976,6790.6964,16.5107,14.8247,30.4401,50.4177,34.0484,169.9873,146.7856,318.3563,403.1199,1658.6061,446.4873,120.5842,0,38761.483,12.6028,41.3761,178.5052,-55.6139,0.0
AUS_C13T15,11.6954,14.2888,19.7297,20.9666,0.8824,52.9666,102.6653,2.6291,10.419,0.7496,8.3452,11.0277,19.4024,18.3406,2.6912,24.2064,3.1299,2.0613,6.1477,12.1545,25.1252,52.7489,7.0127,15.9305,204.3158,116.904,23.6713,3.8645,2.276,0.9482,6.2376,14.4662,1.3237,7.2382,0.0,0.6316,2.4819,20.2061,25.1966,76.6555,88.5919,252.724,17.4364,43.3,0,2412.4206,0.7938,0.0,114.3268,-11.8368,0.0
AUS_C16,22.6731,6.2726,13.7967,38.7103,2.4938,11.3462,3.0865,810.9492,150.3443,8.1739,2.1008,1.3445,16.523,19.8073,3.9357,63.5624,3.1478,4.5193,11.6451,13.9547,33.3116,420.6836,12.189,25.321,6763.3623,108.9866,21.1518,1.6521,1.3616,11.0245,3.5681,9.3348,1.7142,1.9899,1.9499,2.9895,8.1977,5.7254,8.3464,22.3967,126.7455,13.411,20.0058,12.1286,0,277.3475,0.9366,2.4869,185.6309,-11.7868,0.0
AUS_C17_18,79.4662,10.5276,72.818,99.8712,18.143,770.9143,14.837,34.8997,869.9667,18.8143,86.3105,109.5245,76.7669,89.7025,8.5422,44.1793,21.1475,15.5856,28.2349,12.246,21.2436,39.7496,72.1409,40.8255,608.1425,1067.162,80.5297,17.7535,18.8413,25.8034,39.5199,158.6676,528.3826,51.5996,84.8542,227.1446,35.7854,129.1584,138.5382,304.1748,222.8316,288.818,63.3886,74.0694,0,2824.5899,2.452,30.2391,180.8384,-7.4438,0.0
AUS_C19,622.4473,201.1665,628.1704,1012.3718,47.833,67.4323,4.0087,7.59,7.043,264.5638,68.5891,22.7703,35.1286,23.031,76.1686,41.1527,2.3829,2.606,6.2457,8.0971,17.8206,13.8942,56.6505,152.4043,1034.0924,252.4564,1176.5003,235.1491,855.3538,96.9287,134.95,39.8865,26.4753,171.1667,1.1616,152.3807,13.8968,112.1941,53.1039,179.4288,20.6915,69.427,17.772,21.5838,0,3421.1003,0.029,4.6266,24.3977,-2.8302,0.0
