V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T,BEL_HFCE,BEL_NPISH,BEL_GGFC,BEL_GFCF,BEL_INVNT,BEL_DPABR
BEL_A01_02,692.2582,0.0015,0,1.7252,0.0073,5020.803,21.3312,138.3421,37.6561,6.3699,109.9682,15.0304,10.9714,5.9031,13.0164,11.4146,0.7149,0.7258,1.8707,1.4235,0.3648,6.0117,26.1909,9.331,37.1838,187.0364,7.9941,0.0459,0.2123,3.5357,0.2925,259.8662,3.1438,1.5497,7.4014,3.0434,4.3747,19.4152,104.2425,14.7938,4.3629,69.4276,3.1709,15.1728,0.0,2494.3797,0.0025,7.0628,89.6217,152.2791,0.0
BEL_A03,0.0027,1.2454,0,0.0009,0.0,8.8723,0.0016,0.0026,0.004,0.029,0.1127,0.0296,0.0059,0.0232,0.021,0.0927,0.0036,0.0054,0.0068,0.0147,0.0008,0.0071,0.0052,0.0019,0.0352,3.1362,0.413,0.0309,0.0865,0.6608,0.042,28.6815,0.0712,0.0117,0.0185,0.0318,0.0061,0.1467,3.8109,0.0079,0.0295,0.3251,0.025,0.1048,0.0,79.0889,0.0,0.4441,0.2761,1.7207,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,0.9153,0.0252,0,9.9966,0.0679,1.6545,0.2416,0.2498,2.7313,34.5241,15.8336,0.3991,0.1773,128.3041,50.7182,0.0408,0.0344,0.239,0.2835,0.8696,0.0102,46.2794,0.1643,3.7622,221.091,100.1625,7.276,0.0131,0.056,3.6762,0.0164,29.3965,0.0371,0.0529,0.2447,0.0685,2.5521,0.2725,1.1825,1.3733,0.021,0.0951,0.3683,0.6638,0.0,0.6859,0.0001,0.1409,0.523,45.2448,0.0
BEL_B09,0.0053,0.0006,0,0.0499,0.0053,0.0072,0.0001,0.0003,0.0078,2.2726,0.112,0.0074,0.0032,0.0687,0.2506,0.0132,0.0001,0.0002,0.0019,0.0002,0.0002,0.0015,0.0504,0.0143,0.5083,0.0034,0.0237,0.0008,0.0029,0.0215,0.0002,0.0008,0.0002,0.0,0.0,0.0004,0.0143,0.0176,0.0107,0.0069,0.0008,0.0012,0.0008,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_C10T12,1751.1642,0.0555,0,0.0705,0.0089,7825.1626,1.2956,2.3013,31.8124,91.2705,533.8036,14.6265,6.7792,1.5074,2.4968,25.8879,0.6339,1.1806,5.0705,4.2571,0.1447,5.8145,16.7746,61.9821,50.1943,465.2132,10.8749,0.1354,1.647,58.8875,1.6618,3343.4465,19.1179,6.7798,15.301,11.0198,0.7281,72.4202,53.6186,234.5915,57.8731,598.5354,134.1616,40.4316,0.0,16096.8132,0.0014,0.4578,3.1706,682.7726,0.0
BEL_C13T15,3.1174,4.0353,0,0.6532,0.0129,33.3112,483.6874,2.2416,46.3259,7.5004,35.6966,5.0691,36.8557,6.2705,6.8197,7.1087,2.4116,1.7597,5.6171,91.1113,1.461,120.0515,1.1698,5.774,122.2277,65.4167,2.155,0.0893,0.3748,6.561,0.3606,20.0186,2.9417,1.8859,4.3752,2.5435,9.0107,23.9847,33.3386,10.2485,4.0283,55.3451,6.337,28.676,0.0,1558.4605,0.0136,2.4357,33.9212,84.7853,0.0
BEL_C16,9.1718,0.1029,0,1.5047,0.0125,75.2138,2.565,492.1347,39.0706,7.2743,44.8987,4.7962,19.6397,34.7541,22.9771,27.9836,3.993,7.556,41.4902,13.4336,2.1936,141.6571,88.0179,12.4292,987.5663,63.0042,14.2526,0.2097,0.3624,9.7927,0.3213,10.2363,1.7683,0.8876,3.2761,3.4738,167.9848,28.6242,59.1709,7.6502,7.0772,22.0837,20.6316,20.8645,0.0,206.045,0.0215,4.6519,32.2089,49.6074,0.0
BEL_C17_18,8.2796,0.1211,0,0.6289,0.0168,435.162,21.8984,34.8517,811.1331,14.3742,99.341,60.0253,77.7832,41.2748,45.1146,18.5109,10.0885,13.413,12.4548,16.6597,1.6717,51.8457,5.2974,16.1559,60.5898,790.927,14.8876,0.1454,8.4466,105.1295,6.9919,43.5417,403.8812,11.2251,19.4435,92.0826,19.398,336.6704,232.0005,250.8293,69.5478,105.2426,30.9128,87.6476,0.0,534.0991,0.0108,4.9166,41.8055,95.2796,0.0001
BEL_C19,221.2326,12.7445,0,14.4662,0.5136,204.1577,43.8615,31.9626,62.754,4480.5519,1716.5689,80.3696,167.9978,105.0181,139.3402,63.1841,22.1108,21.0968,38.1144,35.6855,4.827,84.6002,37.2928,95.4307,496.3997,613.8915,674.9535,90.4431,524.8312,214.4905,31.9441,84.1271,20.4556,17.1087,83.3938,124.2369,68.2824,361.9859,376.3719,274.0227,52.23,225.7012,22.7792,51.3321,0.0,3842.8522,0.4316,19.2051,212.8836,343.734,0.0001
