V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T,BRA_HFCE,BRA_NPISH,BRA_GGFC,BRA_GFCF,BRA_INVNT,BRA_DPABR
BRA_A01_02,7034.3758,81.1272,10.5474,21.4061,1.0593,53040.5199,1227.3165,529.4775,1218.1506,22.276,4821.2212,10.5185,348.7485,32.716,313.4765,3.0114,0.998,0.4787,1.4811,26.9037,0.7048,39.8231,20.0734,29.9749,417.03,2264.8261,1.7184,0.1268,0.132,4.9164,1.0056,1724.0624,262.1453,11.7132,3.8715,4.8815,11.8706,9.1167,40.9911,324.3223,150.3464,204.6972,37.7736,478.9858,0.0,30687.2544,0.0,12.474,4429.9335,1063.2383,0.0
BRA_A03,56.7053,141.961,0.0112,0.5404,0.0002,870.1756,0.0,2.9364,14.0347,0.0,0.0,0.0,0.0,0.0,0.2109,0.0,0.0,0.0,0.0,0.0,0.0,5.334,0.2165,0.0374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.7485,3.0106,0.0,0.0,0.0,0.0,0.0,0.0,33.2747,34.1514,40.0132,0.5635,5.866,0.0,5556.2638,0.0,0.5705,0.0,109.1524,0.0
BRA_B05_06,20.6541,0.367,984.0442,93.9437,20.3171,181.5885,19.5324,7.9556,119.8082,21287.5686,307.1603,6.0168,16.1264,84.7119,714.2943,63.4318,1.6503,4.1843,3.9687,51.1056,1.0681,1.0048,1993.7937,240.5163,553.5226,52.7653,72.5939,1.4444,10.5784,15.7,3.432,13.3471,2.0579,33.9445,10.8174,12.888,29.3993,27.9036,31.8778,155.6742,22.3942,33.1674,3.4184,5.2959,0.0,173.6632,0.0,0.0,3716.715,285.252,0.0
BRA_B07_08,264.3816,2.5318,329.5989,1522.6224,43.5557,262.6333,21.8046,11.0872,7.0853,100.342,1559.1661,14.0216,15.0543,2115.3314,9024.6881,39.7998,1.3888,35.483,182.4361,41.0431,4.8163,44.8923,6.2677,143.7821,2531.9743,49.2839,3.6087,0.0821,0.3896,2.9408,0.9438,17.7883,1.6279,2.6122,1.242,2.3399,208.0486,5.6013,5.3705,38.0981,10.7041,6.9394,1.8701,22.6027,0.0,557.4386,0.0,0.0043,245.1333,319.8785,0.0
BRA_B09,11.4659,1.5256,1228.4653,504.8427,114.3132,5.4804,0.297,0.0795,7.6538,1051.0646,49.1992,0.6165,1.6753,34.4745,87.6227,3.8991,0.0408,0.1608,0.8602,0.117,0.0444,0.5701,47.0198,1.902,127.1315,1.9501,17.0277,0.2411,1.0599,3.4191,0.0553,0.5074,0.0497,0.0,0.0051,0.1289,17.0947,2.8553,6.5653,5.373,0.5304,0.4614,0.1712,0.4318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA_C10T12,5908.3975,126.5003,211.777,148.6794,6.3803,28636.4962,536.5334,55.5388,392.2115,616.0447,4097.4399,117.1511,626.0741,116.5351,108.323,117.1784,18.053,96.6804,47.8929,93.2154,6.324,120.2766,150.9582,48.9369,308.649,1168.4329,52.5633,0.804,7.9733,13.7675,3.9799,15719.7747,321.2009,10.7364,6.7969,59.617,44.5198,68.952,106.422,948.6576,843.9494,1292.6434,27.8986,227.0609,0.0,113291.399,0.0,14.7111,279.0663,1557.8608,0.0
BRA_C13T15,192.8406,1.2599,67.4832,83.5535,3.5636,144.1768,8356.5787,62.1064,58.2945,24.9685,39.0096,28.1162,161.6911,11.2392,9.2253,35.147,22.1897,9.9354,21.3416,451.2318,13.0511,323.0175,62.5782,26.1004,163.4762,159.3317,70.984,5.0957,32.3538,18.683,9.1083,200.1711,32.7556,23.4515,2.75,116.1664,18.4344,62.9232,94.5394,156.8941,152.3077,55.9786,31.0986,403.1943,0.0,28138.9828,0.0,3.2651,176.4048,313.5258,0.0
BRA_C16,276.7485,2.6911,4.1582,2.732,1.7572,157.6853,15.5531,966.0733,151.4382,2.0269,18.371,16.6547,22.2857,9.7101,7.3658,75.7459,66.9497,1.4358,75.5315,81.9333,10.4537,1469.6672,97.261,1.7749,1408.4616,625.8103,1.9496,0.1414,0.1423,21.4844,5.9883,8.3686,26.859,4.6437,2.9531,5.8894,143.3868,9.2645,42.2546,20.5578,13.2384,9.4734,4.91,53.7264,0.0,593.6583,0.0,0.0001,47.3201,53.4298,0.0
BRA_C17_18,232.8377,2.7411,23.3122,60.1097,3.2332,2517.8013,421.8728,295.3566,5262.2971,52.2284,541.7511,241.2499,643.687,408.3298,24.5341,381.8349,272.2895,124.6068,47.2966,374.4481,8.6228,258.8852,26.1907,19.8751,107.5785,3187.2747,71.4681,12.4391,11.285,65.3949,36.2431,403.4662,577.1156,130.6458,299.948,638.1865,137.5639,1496.8651,1128.2274,455.9367,396.2226,271.8937,102.5918,214.6512,0.0,3687.9697,0.0,0.0001,170.9216,208.3768,0.0
BRA_C19,4037.6751,74.374,1174.743,2217.466,102.5438,2485.4114,142.2195,60.9198,522.8609,39489.7988,4391.1617,43.1108,500.1655,862.8481,1527.5865,125.3888,50.0004,209.1526,128.4955,425.012,12.9496,142.5442,548.0477,230.0523,1554.4073,3967.1192,15866.8024,309.0361,2414.5878,332.2465,124.3722,619.3883,17.4195,20.8539,42.2118,147.1761,20.9167,311.3785,305.2779,582.7097,117.8506,95.854,30.07,153.2782,0.0,27363.5274,0.0,0.0,5.2353,938.4685,0.0
