V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T,BRN_HFCE,BRN_NPISH,BRN_GGFC,BRN_GFCF,BRN_INVNT,BRN_DPABR
BRN_A01_02,3.3168,0.0,0.9595,0.4244,0.1285,1.2818,0.0535,0.0049,0.0023,0.1286,0.0006,0.0,0.0149,0.0002,0.0,0.2488,0.8178,0.0001,0.4929,0,0.4925,0.373,0.0003,0.106,5.9337,0.534,0.0552,0.0033,0.0233,0.0001,0.0,4.7861,0.0025,0.1126,0.0354,0.1161,0.0127,0.1386,0.1448,59.4393,8.9086,4.5073,0.006,0.0054,0.0,45.9023,0.0,0.0001,16.4834,0.1058,0.0
BRN_A03,0.0398,0.0,0.0156,0.0099,0.0023,0.0295,0.0019,0.0,0.0001,0.0035,0.0,0.0,0.0004,0.0,0.0,0.0068,0.0,0.0014,0.0135,0,0.0141,0.0098,0.0007,0.0026,0.0,0.0057,0.0015,0.0001,0.0006,0.0,0.0,0.2071,0.0002,0.0031,0.001,0.0032,0.0003,0.0034,0.0027,2.7343,0.2439,0.1234,0.0002,0.0002,0.0,1.6124,0.0,0.0,0.0,-0.1296,0.0
BRN_B05_06,0.0001,0.2459,673.4929,94.0399,27.4252,0.2158,0.9054,0.026,0.0,861.2086,22.5689,0.0131,0.3892,0.0059,0.0001,0.0,0.6372,0.0684,0.7906,0,0.9641,0.4879,8.4636,0.353,16.7537,6.9806,0.1009,0.0,0.8585,0.9339,0.823,0.313,0.0596,0.7103,0.287,0.0186,0.5886,1.1156,0.3436,0.0,0.0,0.971,0.0663,0.0635,0.0,24.9852,0.0,0.0,577.7397,-231.9427,0.0
BRN_B07_08,0.5339,0.0,221.8908,205.5884,21.8346,0.2692,1.4497,1.5378,11.1209,0.0142,13.9657,0.0611,0.5492,43.0928,21.4049,12.59,0.0,10.3409,1.1153,0,0.9831,0.8977,5.9224,0.9471,426.5298,64.0808,6.1771,141.1008,3.0405,0.2281,0.0,19.7246,1.0503,98.3242,5.7188,192.7647,34.8973,26.1508,7.6198,260.6301,46.798,6.2979,0.2995,0.2935,0.0,33.5544,0.0,0.0,20.9035,709.9513,0.0
BRN_B09,0.0051,0.0035,16.4129,2.3246,0.9197,0.0238,0.033,0.0174,0.0091,12.9875,0.3337,0.0002,0.009,0.0001,0.0,0.1319,0.0091,0.0026,0.0193,0,0.0239,0.0126,0.123,0.0231,1.5737,1.1845,0.0788,0.0026,0.0863,0.0139,0.0118,0.0307,0.014,0.1057,0.1023,1.5742,0.3807,0.2829,0.1075,3.156,0.5955,0.0736,0.0175,0.0082,0.0,1.7503,0.0,0.0,631.4456,-3.3396,0.0
BRN_C10T12,2.7855,0.0781,1.0873,0.5866,0.0878,3.0287,0.1628,0.0075,0.0071,0.5127,0.0026,0.0,0.037,0.0005,0.0,0.0576,0.0,0.0202,0.0954,0,0.107,0.0584,0.8677,0.0749,2.872,3.1493,0.0162,0.0374,0.1619,0.5119,0.0,6.2611,0.0606,0.1808,0.2215,0.7042,0.2556,0.7458,0.2414,10.6041,3.2601,1.0301,0.0502,0.0511,0.0,8.9841,0.0,0.0,4.645,-0.9102,0.0
BRN_C13T15,0.0269,0.0,1.3266,0.5722,0.1186,0.1408,3.6252,0.0005,0.0004,0.4425,0.0021,0.0,0.0062,0.0001,0.0,0.1729,0.0,0.059,0.2758,0,0.3534,0.2038,0.0216,0.043,14.2858,2.0758,0.0008,0.0575,0.2928,0.0,1.0643,0.0977,0.0075,0.1733,0.1269,0.5283,0.002,0.3535,0.2087,1.4209,1.991,0.4772,0.0037,0.0053,0.0,15.4612,0.0,0.0,2.1481,23.9073,0.0
BRN_C16,0.0008,0.0,0.0994,0.086,0.0154,0.0019,0.0063,0.0022,0.0021,0.003,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0003,0.0015,0,0.002,0.0011,0.0064,0.0044,0.1536,0.1278,0.0006,0.0001,0.0027,0.0159,0.0385,0.0019,0.0027,0.0,0.0119,0.055,0.0021,0.0562,0.0257,0.0886,0.0837,0.0089,0.0022,0.0031,0.0,0.1429,0.0,0.0,3.1897,-0.5173,0.0
BRN_C17_18,0.0049,0.0002,0.8038,0.384,0.0636,0.0073,0.0342,0.0093,0.0137,0.0158,0.0001,0.0,0.0029,0.0,0.0,0.0037,0.0037,0.0008,0.0059,0,0.0077,0.0035,0.0164,0.0163,0.6596,0.511,0.0033,0.0008,0.0142,0.0021,0.0001,0.0172,0.0183,0.1552,0.0594,0.2347,0.0098,0.2229,0.118,0.3574,0.3287,0.0434,0.0089,0.0093,0.0,0.5916,0.0,0.0007,14.6229,-0.0901,0.0
BRN_C19,16.6865,1.1138,659.3353,431.8001,45.4036,3.3536,5.4511,0.5794,0.4966,170.9332,2.4994,0.0079,1.5353,0.0239,0.0,1.1349,3.7196,0.0,2.416,0,5.6262,1.6201,91.3791,3.9091,160.155,125.9254,24.9691,14.3608,90.9367,18.7872,0.0026,6.1798,1.3877,5.553,9.4614,17.981,2.6119,32.6223,30.5346,308.2292,21.9327,15.9442,0.8548,0.8914,0.0,239.6209,0.0,0.0,0.0127,13.423,0.0
BRN_C20,0.2917,0.0003,13.9665,6.9694,1.0626,0.063,0.3961,0.007,0.1085,2.0996,0.0226,0.0001,0.0244,0.0003,0.0,0.0124,0.0466,0.0,0.0288,0,0.0266,0.0179,0.0,0.7083,3.7947,1.616,0.2934,0.1636,1.0294,0.0,0.2072,0.2186,0.1123,0.0,0.1962,0.5231,0.2456,1.1488,0.951,5.4266,0.3427,6.9528,0.0552,0.1985,0.0,4.685,0.0,0.0,0.7986,-4.8974,0.0
