V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T,CHE_HFCE,CHE_NPISH,CHE_GGFC,CHE_GFCF,CHE_INVNT,CHE_DPABR
CHE_A01_02,1190.0195,0.0,6.1868,1.2462,0.0178,5385.8752,0.5028,110.3646,7.2656,4.7034,61.1775,73.9968,18.5097,1.3492,0.3999,2.1036,12.8874,2.6997,3.9906,0.4478,0.6903,13.1839,3.2268,1.8373,30.6106,267.9728,20.3403,40.1136,5.7465,4.2034,0.5253,263.6044,1.3289,1.7678,2.8974,9.8543,8.5731,56.7111,53.035,213.2633,6.4589,69.2002,16.7907,46.6458,0.0,2963.6822,0.0,365.3814,613.8543,-0.275,0.0
CHE_A03,0.0,2.2797,0.0004,0.0001,0.0,0.379,0.0,0.0001,0.0,0.0004,0.0031,0.0051,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0001,0.0,0.0181,0.0006,0.0027,0.0004,0.0,0.0,0.0186,0.0,0.0,0.0,0.0,0.0001,0.0102,0.003,0.022,0.0,0.0048,0.0009,0.0027,0.0,33.7421,0.0,0.0,0.0,0.0175,0.0
CHE_B05_06,2.5991,0.0,396.2113,36.5189,0.3609,78.2248,0.1865,1.7314,22.8899,144.5271,207.3423,53.3066,5.0606,137.8081,253.554,1.755,1.3533,1.8543,105.7461,1.1773,0.4677,19.6596,561.9125,6.0155,106.5943,230.8673,60.891,52.8986,12.4684,13.7232,3.4817,1.9117,2.0085,1.5199,3.4124,30.1678,0.4572,51.4065,15.0744,176.979,10.621,37.0501,9.2552,22.1583,0.0,218.3799,0.0,0.0,0.0,-0.1766,0.0
CHE_B07_08,1.1543,0.0,24.1291,21.8152,0.0884,19.6716,0.0513,0.557,7.3344,29.2288,201.0282,20.9225,2.129,143.2223,115.0414,1.0896,0.5969,1.0281,64.5689,0.404,0.2589,7.5805,38.2796,2.6907,187.3943,87.3239,18.2472,14.5141,2.6766,5.3796,0.8309,0.5516,0.557,0.479,0.9982,6.2443,0.3406,18.1353,5.6755,57.4416,2.251,6.2788,1.9154,5.0958,0.0,49.1693,0.0,0.0,0.0,0.0725,0.0
CHE_B09,0.0697,0.0,8.0859,0.6318,0.031,0.7071,0.0008,0.0439,0.4049,0.3852,1.8701,0.9326,0.0714,0.6016,0.2419,0.0399,0.0039,0.0087,2.3914,0.0142,0.004,0.3362,0.9396,0.1125,2.0843,2.4498,1.2474,0.4959,0.2064,0.1925,0.0787,0.0127,0.0015,0.0,0.0018,0.5112,0.0196,0.9084,0.1128,3.281,0.1518,0.515,0.0526,0.2348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_C10T12,1272.8015,0.0,3.4665,0.8151,0.0081,5474.8078,37.0749,9.6516,11.913,45.7429,519.3236,365.0607,0.9344,1.8863,0.0577,3.4877,46.1228,27.1155,1.5691,0.1585,6.2265,7.8974,1.729,23.0745,7.0084,557.7055,158.5616,436.1381,90.3855,5.8409,0.0808,3819.9733,5.1955,0.0036,0.1844,7.4521,1.7201,86.7572,13.8007,1282.5038,85.9162,1351.3372,57.16,140.6176,0.0,17602.7279,0.0,0.0,0.0,2.7722,0.0
CHE_C13T15,15.9054,0.0,2.6847,0.7078,0.0053,29.2317,229.6831,1.5533,19.5226,8.1583,53.3857,38.3479,5.8972,24.3003,0.5361,3.4491,82.8581,3.3053,15.4647,8.194,8.0746,63.3959,1.9419,8.5347,59.4312,79.3011,13.4449,17.9347,4.5597,2.2406,4.1192,15.4381,4.5875,0.1909,0.246,1.3266,5.7333,21.2333,18.2776,61.437,2.333,30.5069,43.6926,45.7653,0.0,1608.921,0.0,22.2886,77.9696,-0.6675,0.0
CHE_C16,2.4167,0.0012,50.62,10.9312,0.0924,83.5109,3.5114,1943.058,6.3274,1.832,17.4002,13.9846,32.6695,29.7826,9.8199,88.3955,291.05,68.9062,77.6202,4.4907,19.0768,795.3725,34.2952,17.1022,2863.9867,304.7489,15.5847,19.1339,4.1728,31.9547,2.4749,3.1046,2.5776,6.9244,1.7846,11.4354,38.1958,87.2205,55.1391,104.2458,27.5558,15.6412,32.0104,221.2261,0.0,129.1079,0.0,0.1522,27.4109,-0.0333,0.0
CHE_C17_18,6.9323,0.0002,3.5903,1.3473,0.009,81.3664,4.8093,17.8388,362.4036,6.7208,99.1796,84.5477,39.0919,14.8211,3.5962,17.9353,143.8808,38.5096,32.9931,2.5046,3.8394,31.3371,35.8378,13.3481,22.0382,875.1196,19.4881,18.9393,5.4644,24.7545,38.8898,19.7429,796.1156,56.1194,8.8808,263.8371,13.1696,449.4316,202.2932,170.2419,32.6115,48.4629,37.9639,78.2621,0.0,155.458,0.0,0.0127,17.8276,0.6948,0.0
CHE_C19,28.7903,0.0,13.1865,5.6142,0.0282,42.5949,5.0363,11.8486,12.0846,91.627,243.7742,153.841,87.072,28.905,18.5663,20.1173,53.0286,76.1646,18.0347,1.4825,3.244,23.0194,82.2606,6.7242,89.9706,409.5537,168.5478,150.6179,65.0218,74.5108,7.4063,22.2332,2.1849,1.0324,1.9139,3.7323,1.4128,52.666,27.578,56.6665,5.0456,18.9242,18.6113,22.3541,0.0,662.682,0.0,0.0,0.0,0.1108,0.0
