V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T,CIV_HFCE,CIV_NPISH,CIV_GGFC,CIV_GFCF,CIV_INVNT,CIV_DPABR
CIV_A01_02,595.5927,0.2061,0.0,0.0,0.0,1538.4949,0.6296,4.9654,1.0444,0.0,11.1499,4.0252,26.1253,0.0009,0.421,2.0918,0.0,0.0,0.0,0.0,0.0,1.0168,0.0,0.0,0.4829,0.0,0.0,0.0,0.0,0.0,0.0,322.4713,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0674,0.0,1.3772,0.0,0.1007,0.0,6363.7369,0.0,0.0,362.3449,2.7843,0.0
CIV_A03,0.161,7.7177,0.0,0.0,0.0,36.6441,0.0,0.0,0.0,0.0,0.0896,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.1129,0.0,0.0,0.0,0.0049,0.0
CIV_B05_06,0.009,0.0,0.1935,1.2116,0.0682,1.6093,0.0,0.0,0.0,360.8855,0.1718,0.0042,0.0,1.8371,0.652,2.2342,0.0,0.096,0.0,0.0,0.0,0.6212,0.2478,0.0,0.5107,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3597,0.0,0.0,0.0,6.6702,0.0,0.0,0.0,-0.1238,0.0
CIV_B07_08,0.6545,0.0,5.0943,104.3706,3.5874,48.2237,0.0,0.0,0.0,0.0,9.2257,1.2286,0.0,75.0892,285.1918,426.1216,0.0,13.0363,0.0,0.0,0.0,84.5764,1.038,0.0,78.9753,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4062,0.0,0.0,0.0,36.0161,0.0,0.0,0.0,-1.4616,0.0
CIV_B09,0.047,0.0,2.9834,10.7868,1.4523,3.8684,0.0,0.0,0.0,68.8741,0.4199,0.0136,0.0,2.1951,5.4454,16.1104,0.0,0.1067,0.0,0.0,0.0,0.0,0.1082,0.0,2.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C10T12,54.9655,2.9893,0.0066,0.0244,0.0086,743.4398,0.7204,0.0834,4.0131,0.0281,48.1354,11.2361,1.3535,0.2477,0.046,0.2561,0.0436,0.0032,0.0069,0.0001,0.0001,0.0884,0.2071,0.006,0.8275,2.3057,1.1764,0.0947,0.1479,0.8165,0.2299,1128.6015,0.0151,0.0108,0.0121,0.0235,0.003,0.0121,0.0044,14.2685,4.0552,0.9172,0.0005,0.0737,0.0,5220.2922,0.0,0.0,3.2954,0.5339,0.0
CIV_C13T15,6.413,0.6712,0.0,0.0005,0.0,0.8538,34.3136,0.0075,3.1254,0.0044,0.1454,0.0404,0.6429,19.6381,0.0005,0.0055,0.0,0.0005,0.0,0.0,0.0,9.4721,0.0079,0.0,0.1304,0.4881,0.1872,0.0149,0.0232,0.1287,0.0364,0.001,0.0006,0.0004,0.0004,0.0,0.0001,0.0007,0.0002,0.6788,0.0,0.0561,0.0,38.3746,0.0,414.1586,0.0,0.0,0.0,0.0563,0.0
CIV_C16,1.2551,0.0001,0.0481,0.1635,0.0635,25.8993,0.2485,25.1062,0.2099,0.0034,0.6234,0.0897,0.2144,0.0161,0.0426,0.4001,0.3304,0.0004,0.0523,0.0011,0.001,33.6983,1.1941,0.0048,0.7564,0.524,0.036,0.0099,0.0188,0.0818,0.0161,1.141,0.0873,0.0614,0.0716,0.1781,0.0203,0.0471,0.0222,0.1351,0.0725,0.0565,0.0025,0.331,0.0,57.5035,0.0,0.0,6.1836,-1.1236,0.0
CIV_C17_18,7.4127,0.0411,0.0784,0.6848,0.0448,21.3778,0.3764,0.1425,40.9123,2.2509,6.7097,2.4738,0.7622,1.1706,0.0288,0.2834,0.2298,0.0406,1.3128,0.6871,1.938,0.2023,0.7684,0.1116,2.6143,118.094,0.3965,0.0941,0.1955,0.913,0.4232,31.5647,1.0968,0.2983,0.2739,4.1052,0.461,1.1425,0.8245,8.8957,12.6041,7.251,0.0601,0.1132,0.0,159.4252,0.0,0.0,0.0,0.0025,0.0
CIV_C19,104.8245,12.2462,1.5303,13.8517,0.679,110.8804,0.4518,8.5143,1.5885,98.9185,13.3947,0.9809,5.7963,1.9221,1.9907,9.3375,1.3826,0.0237,1.3501,0.6788,1.9317,5.372,3.3216,9.6651,54.3222,80.0734,313.4952,99.8078,202.7405,92.1896,39.8428,58.7087,0.1588,0.252,0.1798,3.2018,3.8912,0.4894,9.4545,20.8268,1.9669,1.622,0.031,1.308,0.0,598.1824,0.0,0.0,0.0,1.4809,0.0
