V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T,CMR_HFCE,CMR_NPISH,CMR_GGFC,CMR_GFCF,CMR_INVNT,CMR_DPABR
CMR_A01_02,225.0011,1.1176,5.891,0.0004,1.5527,793.3902,23.7811,85.7791,0.0158,0.0,1.87,0.3943,0.0109,0.006,0.519,0.0545,0.0205,0.2175,0.3084,1.3596,0.1454,59.3609,0.0,3.0499,397.9424,4.5651,0.0802,0.0491,0.0249,0.1273,0.0179,179.7039,3.2562,2.2478,3.0415,0.0153,15.4595,6.1127,6.3422,3.2362,0.339,10.9814,5.7483,43.3115,0.0,3818.4594,0.0044,0.0054,455.6217,1.6006,0.0
CMR_A03,3.0984,1.1648,0.0316,0.0,0.0083,91.8862,0.1554,1.589,0.0001,0.0,0.0093,0.002,0.0001,0.0001,0.0114,0.0012,0.0,0.0,0.0,0.0,0.0,1.3222,0.0,0.0162,8.6128,5.7289,0.0006,0.0004,0.0003,0.0007,0.0001,34.9849,0.0255,0.0171,0.0251,0.0001,0.3469,0.0206,0.003,0.061,0.002,0.0719,0.057,0.2654,0.0,502.0964,0.0,0.0,2.6281,0.0096,0.0
CMR_B05_06,71.1732,0.0,202.0808,1.7458,4.1373,3.2519,10.9129,0.1504,1.873,202.8662,4.3692,0.0004,0.0,35.0706,19.3859,0.0011,0.0603,0.0028,0.0047,0.0,0.0,0.0899,150.225,1.532,1.3126,33.4439,5.4201,1.3849,1.3329,2.4758,2.1055,0.6883,0.9438,0.9862,1.2572,0.0742,0.0784,1.0849,0.0,0.0,0.2305,0.013,0.0499,0.0018,0.0,0.0,0.0,0.0,0.0,0.0238,0.0
CMR_B07_08,0.4881,0.0263,11.1319,8.6583,2.9539,1.6061,0.0281,0.1307,0.0,0.0,0.0775,0.004,0.0031,2.2594,9.4329,0.3737,0.8655,0.0,0.0,0.0,0.0,0.0155,0.0,0.0033,35.5279,0.0865,0.0854,0.0119,0.0365,0.1003,0.0254,0.6302,0.0003,0.0006,0.0004,0.0,0.0023,0.1176,2.2714,0.0037,0.796,0.001,0.0017,0.0057,0.0,48.4965,0.0,0.0,5.5846,0.0025,0.0
CMR_B09,0.2691,0.0,44.6894,0.0174,7.9832,0.8892,0.0236,0.1622,0.0686,1.0095,0.017,0.0003,0.0,0.741,0.0115,0.0007,0.0383,0.0014,0.0023,0.0,0.0,0.017,12.1534,0.0538,3.423,25.9301,4.615,0.5731,0.4767,2.2986,2.8666,0.3833,0.0438,0.0,0.1232,0.0654,0.0751,0.5149,0.0,0.0,0.1695,0.0096,0.0126,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR_C10T12,89.4787,0.4653,0.2964,0.0124,0.0788,291.8518,2.046,0.4934,0.0686,0.0032,15.1321,2.1267,0.0696,0.0005,0.0711,0.0073,0.0033,0.0024,0.0056,0.0017,0.0001,0.0466,0.0049,0.9655,1.2924,8.7069,0.1096,0.0488,0.0835,0.1422,0.0288,551.5504,1.5954,1.0044,0.9522,0.0312,0.0043,0.7558,14.995,11.0468,0.6128,0.4892,0.7221,1.1144,0.0,3224.6684,0.5684,0.6868,49.9125,0.4716,0.0
CMR_C13T15,0.3297,0.2748,4.19,0.0356,0.9133,1.0345,190.888,0.4476,0.1912,0.0026,0.2074,0.042,0.0894,0.0439,0.0025,0.0004,0.0798,0.0035,0.0034,0.0052,0.0001,3.6378,0.0136,0.0164,2.1966,1.15,0.3556,0.0324,0.0538,0.1504,0.05,0.6415,0.0353,0.0311,0.0331,0.0212,0.0023,1.1811,0.4925,7.9088,1.0749,0.1461,6.3099,57.1285,0.0,1438.1817,0.0,0.0,2.4996,0.0823,0.0
CMR_C16,72.8773,0.07,0.0991,0.0061,0.0272,42.4742,4.3156,61.271,0.0955,0.0004,0.262,0.0222,0.0028,0.302,0.0533,0.0071,0.1673,1.7739,2.5136,11.1021,1.1874,10.5993,0.0012,0.1211,168.1339,0.2689,0.2137,0.0648,0.0464,0.4757,0.0489,4.3137,0.0304,0.0255,0.0227,0.0015,2.0459,18.8567,49.3145,6.3696,0.8569,1.2709,23.0201,2.8356,0.0,101.1481,0.0,0.0,16.1316,0.0399,0.0
CMR_C17_18,3.2766,0.019,0.4073,0.0098,0.0939,2.417,2.0154,0.3497,14.3373,0.0361,0.6032,0.1264,0.3403,0.0104,0.007,0.0014,0.0008,0.0083,0.0082,0.0182,0.0011,0.2604,0.6018,0.0217,0.5582,2.4261,0.543,0.104,0.2181,1.1211,0.4127,0.3583,4.7167,1.496,1.7458,1.1634,0.1405,4.9521,0.3722,29.4998,5.4323,7.2146,0.3997,0.6432,0.0,109.3892,0.0,0.0,0.0,0.0197,0.0
CMR_C19,19.0328,17.5144,31.7602,0.5736,6.0639,19.4364,9.7931,7.1858,1.4226,27.8924,1.8266,0.087,0.2079,0.28,1.3993,0.0875,0.0001,0.025,0.0359,0.0025,0.0002,6.0198,4.484,0.458,17.5857,22.5408,73.5707,20.669,40.5879,18.3446,7.0257,9.5304,1.2222,2.2857,1.7873,3.2133,0.2375,16.75,1.0481,21.2129,5.2552,2.2449,1.1203,5.3127,0.0,116.5707,0.0,0.0,123.3083,0.2371,0.0
