V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T,CRI_HFCE,CRI_NPISH,CRI_GGFC,CRI_GFCF,CRI_INVNT,CRI_DPABR
CRI_A01_02,241.2404,1.3451,0.1453,4.0168,0.0046,1461.2482,3.1508,25.8195,8.2733,0.724,3.3281,0.5927,7.3229,1.0427,0.0727,0.132,0.0357,0.2997,0.0217,0.0483,0.0597,5.7863,0.1114,0.3625,4.654,5.8838,0.098,0.148,0.0214,0.5246,0.0428,120.7101,5.3164,0.1214,0.3663,0.4572,2.0214,2.4799,4.3328,3.1695,21.4448,26.7136,2.226,3.5803,0.0,854.7041,0.1449,1.5258,110.6783,1.3562,0.0
CRI_A03,0.0006,4.4206,0.0,0.0,0.0,59.2552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3508,0.0,0.0022,0.0,0.0,0.0,0.0,0.0162,0.0885,0.581,0.1897,0.0,0.0,0.0,13.1692,0.0,0.0,0.0,0.0115,0.0
CRI_B05_06,0.0696,0.0,0.0321,0.3126,0.0007,0.0156,0.0,0.001,0.0016,0.7669,0.1654,0.0095,0.0009,0.1849,0.0069,0.0001,0.0,0.0025,0.0002,0.0,0.0,0.114,0.1169,0.0042,3.2782,0.6371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,1.0886,0.0186,0.0327,3.9266,0.004,3.6574,0.0001,0.1593,0.0059,0.1588,2.2531,0.011,0.0007,22.2786,1.3732,0.0003,0.0,0.2135,0.0189,0.0,0.0,0.3065,0.8707,0.1059,271.6538,0.763,0.1627,0.1034,0.0146,0.0015,0.0,0.0222,0.0,0.0953,0.0,0.0,7.93,0.1022,0.3238,0.1753,0.2288,0.0,0.023,0.0553,0.0,4.7213,0.0,0.0,0.0,-0.0018,0.0
CRI_B09,0.0099,0.0022,0.0019,0.0948,0.0004,0.0063,0.0001,0.0001,0.0057,0.1399,0.0206,0.0003,0.0012,0.0311,0.0224,0.0016,0.0,0.0001,0.0,0.0,0.0,0.0008,0.0232,0.0048,0.2072,0.0027,0.0065,0.001,0.0006,0.0033,0.0,0.0009,0.0001,0.0,0.0,0.0001,0.0055,0.0052,0.0041,0.0018,0.0005,0.0011,0.0005,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI_C10T12,153.1259,11.7549,0.0088,0.3662,0.0009,649.0269,0.6845,0.1028,1.8614,1.8761,31.9278,5.9431,3.6231,0.7636,0.3168,0.4494,0.0896,0.7117,0.0516,0.043,0.0435,5.8649,0.8253,1.0694,8.6017,45.6274,1.3624,3.1654,0.6148,4.3321,0.2815,442.5348,3.2544,1.4572,0.8413,1.5332,1.1288,5.951,6.438,7.7655,29.804,42.261,11.2824,13.1999,0.0,4234.9194,10.35,14.7352,10.5342,2.6925,0.0
CRI_C13T15,1.4674,0.2459,0.0054,0.1961,0.0004,2.663,22.8695,0.0082,7.1071,0.0772,0.1597,0.3106,0.7776,0.0592,0.1011,0.0552,0.0438,0.1142,0.0083,0.0215,0.0234,7.494,0.3933,0.4744,0.6712,4.5258,0.117,0.0967,0.0337,0.1904,0.0434,2.9186,1.425,0.6227,0.209,1.2475,0.5079,1.7806,1.5518,1.6979,0.985,8.19,0.9466,1.4357,0.0,207.3731,0.0,0.0003,0.2894,-0.0745,0.0
CRI_C16,8.4492,0.0668,0.0001,0.0059,0.0,8.7739,0.2143,16.0178,0.3765,0.0561,0.8681,0.1311,2.0826,3.8779,0.081,0.1247,0.0023,1.165,0.0845,0.2844,0.3791,12.1378,0.0413,0.153,29.4756,3.0324,0.0047,0.0075,0.0009,0.1285,0.1702,0.7548,0.2776,0.0203,0.0017,0.006,10.3725,0.1344,0.4043,0.3038,0.301,1.279,0.0903,0.2543,0.0,18.6756,0.0,0.0003,10.3543,-0.8538,0.0
CRI_C17_18,53.8624,0.0435,0.0014,0.0835,0.0001,41.6471,1.3243,0.0439,75.2403,1.0484,7.2538,0.9896,2.6597,4.1818,0.358,0.3806,0.2257,1.2472,0.0911,0.0517,0.0428,22.8841,0.2819,1.0036,1.8231,51.8863,0.5662,0.3735,0.1174,0.9961,0.5802,16.2975,53.6463,2.0575,4.4404,4.5162,5.3907,28.1035,7.7995,3.7091,13.7809,28.7585,3.986,7.7044,0.0,247.8882,0.0,0.0,0.0,-0.0207,0.0
CRI_C19,20.3309,2.0925,0.0741,3.9917,0.0049,14.6568,0.4049,0.2606,1.3239,0.3967,2.0203,0.1029,1.6738,5.2154,1.4072,0.5851,0.202,0.1868,0.0135,0.0561,0.0632,4.8591,3.2478,1.6526,17.5524,16.5899,28.3982,23.7174,8.6904,5.2824,0.2877,7.9826,2.7672,0.4121,1.8144,0.5579,0.1853,6.4039,8.407,2.6108,1.0181,5.219,2.9818,2.3152,0.0,184.5801,0.0,0.0,0.0,0.0908,0.0
