V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T,DNK_HFCE,DNK_NPISH,DNK_GGFC,DNK_GFCF,DNK_INVNT,DNK_DPABR
DNK_A01_02,1027.6678,0.1533,0.5017,0.1537,1.8756,2948.6401,2.5737,94.846,1.8449,0.1319,7.7248,69.1128,4.1432,2.5165,0.2557,6.8345,8.0393,0.9871,142.4453,0.6161,0.3422,56.5529,35.7263,16.1083,141.1551,114.8502,7.4745,2.4049,1.4063,22.9296,1.8676,205.0388,15.977,7.9702,24.7107,14.8538,9.7123,130.2149,111.6327,67.1321,47.271,109.9688,19.6693,15.0386,0.0,2162.8837,0.0,97.7159,958.0403,73.1417,0.0
DNK_A03,3.2646,0.9198,0.2103,0.0662,0.4803,219.9731,0.0834,0.0374,0.1147,0.005,2.4567,1.6074,0.0928,0.2788,0.0213,0.2622,2.2742,0.1383,2.2834,0.0678,0.0454,3.8202,0.1818,2.7176,17.4269,14.8978,2.0189,0.3733,0.2794,7.1044,0.2071,20.1094,1.6357,0.4728,4.2758,1.3603,1.1927,8.3064,6.9425,1.964,2.159,4.4418,1.9501,1.3268,0.0,84.7627,0.0,0.0001,1.0845,4.7295,0.0
DNK_B05_06,23.1622,0.0019,409.2483,97.4447,18.2349,336.5589,3.9886,1.5042,22.4066,1705.053,126.3367,37.9107,24.8441,106.4575,46.7241,28.6405,2.9616,3.5327,20.7564,2.9157,0.4863,6.4587,742.8001,12.6381,562.9521,45.3479,2.2329,0.5215,0.0955,4.5865,2.0912,39.182,13.7945,1.0331,3.847,6.3086,9.5558,19.9855,160.3677,13.104,26.8002,111.9071,31.3915,3.4378,0.0,371.4506,0.0,0.0,16.9936,104.3824,0.0
DNK_B07_08,13.0235,0.0009,3.5752,4.0173,0.4208,7.5767,0.3402,0.3319,5.5997,0.0695,6.6905,2.0416,7.2785,196.502,0.9106,7.754,0.6116,0.8075,3.6709,0.5819,0.0161,1.2133,27.3726,0.6993,176.7613,6.1325,0.4595,0.1002,0.0208,0.3177,0.1129,0.8235,0.6884,0.0278,0.7339,1.2257,0.4952,1.2113,8.6104,4.7276,5.7216,5.9542,1.6808,0.6104,0.0,11.1498,0.0,0.0,0.2056,0.5,0.0
DNK_B09,8.5351,5.9224,271.8302,22.7385,225.8962,5.7707,0.061,0.152,3.5245,54.3115,35.3476,9.3788,1.6488,47.9054,23.3996,8.3203,0.0972,0.1896,5.4563,0.0156,0.0282,0.7739,23.1097,4.947,320.2378,2.2947,15.3432,8.8224,1.9026,6.943,0.1069,0.6533,0.1927,0.0,0.0123,0.2139,20.1741,16.4449,6.2484,5.0273,0.8373,1.923,0.958,0.5654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK_C10T12,993.8955,93.7771,0.7649,0.2408,0.2716,3452.0131,11.5932,1.3311,3.7898,0.1323,233.9469,228.1226,5.0754,3.1928,0.025,2.8243,5.5853,1.4447,46.9005,1.1816,0.3065,34.2973,20.7269,13.7415,9.3759,154.923,7.4194,4.0544,0.1654,15.1155,1.4103,1157.5136,10.896,3.6295,27.6973,10.3984,4.3707,89.9142,34.4434,46.4631,28.2478,183.6314,26.287,39.1026,0.0,7073.8496,0.0,14.3918,1.3106,178.5765,0.0
DNK_C13T15,1.3714,0.6197,0.1214,0.0451,0.2625,5.3928,149.3035,1.6398,18.3115,0.0158,3.0889,5.7626,8.7347,7.6689,0.9489,8.2858,4.1332,1.326,17.1114,3.3629,3.2252,40.4015,0.8561,9.5267,26.3906,22.1167,2.6285,1.1328,0.1481,2.9165,6.5133,4.4602,4.4946,1.0002,2.2059,0.7913,0.4022,5.8402,16.1552,14.0178,4.9714,46.4738,11.712,13.4068,0.0,825.7418,0.0,8.0984,23.3643,18.8097,0.0
DNK_C16,6.8023,0.0606,1.0168,0.4122,0.2337,11.1095,0.7615,119.8123,5.066,0.0193,6.6859,2.6435,9.8179,6.1207,2.9555,14.3666,8.4175,1.9047,22.5585,4.5553,2.9267,172.8267,24.3025,9.8228,767.5599,18.9499,1.549,0.2644,0.0395,2.1481,0.2279,0.9751,1.2025,0.5185,1.2459,0.7468,2.4003,2.8501,10.5207,2.265,2.1092,5.1024,8.7664,2.9613,0.0,137.578,0.0,2.1363,22.2761,12.8944,0.0
DNK_C17_18,4.0458,0.1098,0.4233,0.1738,0.4454,117.5267,2.0191,3.6663,279.6184,0.0197,22.9627,39.9419,16.4065,6.1789,3.1338,8.4466,10.4255,3.7783,15.7783,1.0527,0.369,19.0146,0.7833,10.0662,8.7923,194.2592,2.852,0.8492,0.2368,2.1111,5.5761,7.3738,101.826,7.2399,31.8432,15.0137,19.7008,72.35,19.6478,39.5535,30.8709,30.9457,13.7583,11.3616,0.0,322.4376,0.7698,13.9369,193.3482,12.2477,0.0
DNK_C19,126.1054,40.6828,2.1359,0.9613,8.5547,29.1121,0.907,2.9809,2.4371,5.6852,7.6874,2.6351,4.0666,43.0094,1.2393,14.0001,1.4507,1.4982,15.0663,1.4931,0.4329,12.4455,7.8561,22.2435,193.734,123.6546,326.3208,1164.7448,170.8459,22.0593,10.86,7.6876,2.6356,2.1609,3.6739,6.8884,19.2478,19.1682,38.3074,61.5656,12.323,11.8003,6.181,8.025,0.0,685.0541,0.0,0.0,0.7741,29.7689,0.0
