V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T,FIN_HFCE,FIN_NPISH,FIN_GGFC,FIN_GFCF,FIN_INVNT,FIN_DPABR
FIN_A01_02,1426.5602,0.3686,3.1202,4.7487,0.5423,1924.5566,1.548,2501.6014,1779.9507,0.2351,9.7739,2.1681,10.52,1.1126,1.7901,3.5228,9.1612,1.6911,6.1074,0.7375,2.9601,2.875,136.2654,0.2652,57.4111,31.2605,9.5239,29.3798,20.3404,2.6166,1.4762,179.4601,16.5048,1.2157,13.7238,4.4887,21.447,17.9678,8.2618,50.8178,27.4978,71.8602,7.2571,5.5084,0.0,2296.7176,5.9612,15.0651,179.5626,148.4559,0.0
FIN_A03,0.1698,18.6467,0.0323,0.0819,0.0,41.9219,0.0413,0.1058,0.4073,0.1968,0.0102,0.0684,0.1403,0.1578,0.2075,0.3233,1.58,0.3053,1.1857,0.0767,0.0789,0.1007,0.007,0.072,0.9969,0.1558,0.2336,0.2051,0.0291,2.3426,0.0126,40.9359,0.0336,0.5195,1.6738,1.0104,1.0034,3.3371,2.1288,1.9698,1.256,3.6405,0.6267,0.8642,0.0,74.6641,0.0,0.0,0.0,2.7523,0.0
FIN_B05_06,2.0406,0.0054,0.138,0.2404,0.0396,0.4507,0.0509,3.3082,9.336,0.8127,0.2799,0.0284,0.1098,1.7445,0.3563,0.3451,0.5053,0.1244,0.4425,0.0835,0.1046,0.5428,436.1001,0.1272,12.7541,0.5709,0.3358,0.0199,0.04,0.1613,0.0499,0.1986,0.1542,0.0651,0.4324,0.2368,0.346,0.3829,0.1625,0.4614,0.1676,0.4521,0.135,0.2486,0.0,4.6772,0.0019,0.2927,1.4559,6.9445,0.0
FIN_B07_08,9.0383,0.0107,7.7645,30.3537,4.1743,7.1917,0.1607,0.8956,215.9523,1.5524,25.0271,0.1683,1.6377,208.0976,235.2823,5.3176,8.3284,0.4236,1.4732,0.5701,0.2297,5.9391,58.6798,0.6989,539.989,0.8533,0.6156,0.0424,0.082,0.2481,0.0949,0.4233,0.307,0.1049,1.0732,0.3995,0.3642,0.4808,0.3454,1.5416,0.4958,0.927,0.2289,0.2828,0.0,11.0141,0.0426,2.822,17.1477,16.427,0.0
FIN_B09,0.5336,0.1912,4.1653,21.9197,8.5447,0.3224,0.0067,0.0711,4.6021,141.3674,5.0298,0.0811,0.1848,6.0864,16.3891,1.1912,0.0229,0.0473,0.4988,0.004,0.0026,0.1499,6.6415,0.6251,44.5624,0.247,2.1276,0.1248,0.3645,1.0749,0.0106,0.0665,0.0156,0.0,0.0016,0.0157,1.5348,1.4424,0.7485,0.5868,0.0695,0.1839,0.1202,0.0816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN_C10T12,420.932,0.4038,0.1375,0.3131,0.0799,1385.8309,0.8533,0.9825,89.3873,9.7133,301.6359,1.2118,0.136,1.1116,0.0729,0.2341,0.134,0.1273,0.5945,0.0879,0.0402,0.6617,2.0246,4.0018,58.9182,17.7269,14.3714,15.3662,1.039,117.6939,0.1273,1097.5287,3.1771,35.1297,110.2697,59.8728,69.3685,229.3189,113.8491,83.4702,50.96,148.5478,36.9501,72.8976,0.0,6998.6091,0.0,0.0,0.0001,170.9099,0.0
FIN_C13T15,0.8284,0.0403,0.0601,0.1534,0.029,2.1157,38.3843,1.0363,5.4115,0.681,2.1077,2.7587,5.5023,5.9377,0.5625,1.8174,2.2376,0.8367,3.2224,1.2431,2.3979,14.5912,0.2827,20.6312,29.2159,9.2273,1.821,3.9975,0.1476,5.8667,0.0446,2.8127,1.2033,1.4485,8.472,7.2682,3.2429,35.2213,23.122,6.9021,2.2462,19.4853,1.9567,8.0652,0.0,713.3273,0.0021,0.8661,5.0533,20.9143,0.0
FIN_C16,5.9459,0.0862,18.1631,35.8829,6.4682,15.6758,2.0359,533.9222,522.4173,4.6954,9.5335,1.3336,8.2453,14.0235,102.6217,33.4881,17.3727,7.7507,38.9276,8.0533,13.9317,97.6614,296.6128,70.7896,2454.6606,62.7143,4.169,2.2595,2.4818,11.7735,0.5138,9.4649,2.7513,3.3656,13.7099,12.4506,53.2288,67.3621,31.3038,17.9969,8.2813,12.778,6.1125,24.7219,0.0,107.8759,0.3019,15.971,21.4912,64.06,0.0
FIN_C17_18,36.7245,0.6833,3.2862,13.86,1.8044,229.6156,10.5244,47.4937,2648.0876,40.2535,126.6505,18.2679,57.3778,29.6496,48.3307,32.4489,82.6974,34.5653,67.0817,6.5974,8.5264,26.6892,27.9307,39.8351,202.6663,315.6679,32.8636,13.0301,11.4801,58.1116,14.4745,41.1785,469.2339,87.2396,136.5487,55.025,57.8017,200.0834,165.1159,98.3701,60.9581,176.3651,109.8679,36.7719,0.0,787.0705,0.8697,28.058,122.1421,189.994,0.0
FIN_C19,190.2665,10.2187,25.8197,103.0266,10.8542,20.0034,4.1334,5.6393,66.4421,2184.7625,174.2683,3.1944,27.4188,24.4453,48.3985,8.3128,13.4196,3.5959,17.486,2.3533,18.3642,3.5383,115.7521,12.3744,356.9968,112.0348,889.0664,145.7629,349.4748,55.3616,7.2407,2.6145,1.85,2.325,3.0648,47.3374,176.2554,13.5821,52.3924,102.0529,23.1836,62.7852,32.9522,33.6226,0.0,1959.3666,0.8201,5.5687,27.0606,133.5104,0.0
FIN_C20,199.0955,0.1592,6.1245,26.7139,4.3822,57.4911,50.8498,51.7745,543.7411,312.3058,1329.356,32.7034,339.0047,60.0237,76.5926,54.1502,66.8336,36.2505,41.1254,9.7492,19.09,19.7931,42.2874,87.8228,207.5111,27.2044,9.7175,5.6867,6.1164,23.5722,0.8487,5.8745,9.041,2.4705,13.2186,6.9552,4.9992,45.0939,53.2154,29.6383,6.9078,103.1493,17.7111,47.5178,0.0,685.1776,1.6295,68.7189,124.1878,92.7591,0.0
FIN_C21,3.127,0.0302,0.1581,2.132,0.0755,7.3428,0.4155,2.0996,13.071,2.9648,16.1697,20.2946,1.7559,0.8666,3.7044,2.6468,65.1745,2.1835,4.055,0.3385,2.6163,11.5285,1.6374,2.9013,21.7149,6.0475,1.0519,1.0868,1.0545,1.4213,0.1975,2.489,1.7033,0.38,5.3978,3.2716,1.2526,13.2997,4.4935,15.8018,6.7924,488.2912,3.7605,1.1945,0.0,515.7501,0.44,471.632,159.1986,17.6458,0.0
FIN_C22,5.0536,0.0739,1.4536,3.9453,0.805,94.6367,7.2494,26.9995,44.2942,6.3599,32.7311,17.0894,98.6514,20.6137,8.9997,43.1034,31.5046,29.6547,91.4161,23.9277,15.1253,26.6523,2.6808,5.7201,711.9024,36.6521,58.9133,1.4995,1.4846,20.3601,0.5424,4.8904,3.5549,2.0954,7.0199,7.0534,3.9793,21.1384,43.4206,23.4195,4.7459,35.592,7.0605,21.4382,0.0,380.4825,0.5565,7.5452,58.9827,32.7732,0.0
FIN_C23,10.5922,0.0397,4.1703,16.7612,3.2072,10.9544,2.1551,58.7951,44.7367,4.5558,37.3642,1.5319,15.2906,352.4677,26.004,63.1147,19.4089,11.4034,38.8288,12.4616,11.1383,33.8148,11.3106,5.817,1737.3348,63.7375,5.5438,5.7736,4.5326,3.8328,1.0358,4.4093,5.43,2.503,11.8514,7.3431,6.4781,40.9697,16.1413,15.8117,2.8812,14.5058,3.0136,10.5748,0.0,189.8925,1.9918,8.0726,60.2871,40.9806,0.0
FIN_C24,0.0,0.0,0.1403,0.4472,0.1148,3.0688,3.1627,12.4903,15.7289,5.6386,7.1937,0.1576,22.4511,120.7228,1737.78,1499.0979,16.9315,225.4125,766.9538,64.0952,132.2525,62.4544,0.0134,3.5995,58.2748,5.3041,0.0,0.0,0.0,0.0,0.0,0.0,0.1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0029,0.0063,0.0,0.382,0.0,3.7945,0.0,0.0,0.0,92.8146,0.0
FIN_C25,21.3625,0.326,5.1633,14.2014,3.2847,84.1952,2.9683,58.5529,41.3572,11.9991,28.8437,2.9401,25.9381,36.8608,452.445,526.7901,55.3441,236.2296,1094.8002,43.7018,216.4197,215.0295,17.3566,39.266,1785.4716,54.3083,22.2174,10.8213,15.4395,80.6284,2.1692,10.1678,8.4157,24.5321,27.1669,19.3522,15.9218,81.4416,42.0607,80.4231,24.9199,27.488,10.5453,22.4949,0.0,485.6286,4.0142,19.6535,487.3012,86.376,0.0
FIN_C26,105.0841,0.2821,1.5087,4.9619,1.1052,37.845,3.1292,15.3852,99.0651,27.1954,34.8954,11.743,14.8913,12.839,34.1066,49.8964,772.4565,95.2438,215.1287,14.4914,28.2757,77.2081,85.806,17.9736,278.8993,339.0854,52.3513,103.2041,89.6493,46.6468,11.3202,44.5434,186.1656,64.9111,632.8193,248.0543,45.1798,326.8511,86.7788,324.2628,67.7824,164.3231,50.4089,51.412,0.0,472.5573,4.1445,121.5718,1674.814,30.9638,0.0
FIN_C27,7.372,0.3701,2.8266,7.0264,1.3771,21.8291,1.3195,8.4539,42.8895,8.6805,8.1559,2.59,7.4447,5.8024,29.0298,30.9819,133.0796,411.7592,247.2453,22.7677,37.7192,74.0351,42.0601,43.797,358.0378,86.7153,26.4656,11.0991,18.4327,7.4769,1.8453,6.8765,6.6647,6.9926,22.0525,12.186,6.6587,62.6737,30.0097,45.9302,14.7318,34.4737,9.2463,12.6027,0.0,430.0348,2.0769,27.9998,403.4316,38.0471,0.0
FIN_C28,93.6434,1.9585,17.2339,44.0248,9.3836,99.6171,7.7895,53.445,214.9046,52.2753,46.5092,10.3718,26.9243,28.4309,91.6266,126.0151,306.9877,170.3529,1611.5934,174.1039,101.509,281.6989,55.7084,146.3156,844.4555,307.7234,129.5421,92.0231,114.9433,47.2893,13.3301,38.787,48.0595,35.0565,113.9269,51.4203,30.3482,265.6106,105.9347,314.8869,23.6922,81.5483,20.807,34.114,0.0,740.2425,21.9085,114.8219,2470.8502,122.0755,0.0
FIN_C29,3.0315,0.031,0.2618,0.8213,0.1744,3.961,0.512,2.3568,5.6068,2.6902,6.5101,0.64,4.3079,1.0382,3.8195,5.3398,20.2872,9.5519,122.6156,60.7193,4.0838,4.397,1.7452,2.19,31.8689,104.7692,26.8582,0.6273,0.8419,8.7496,0.2413,1.6219,0.9028,1.6126,3.7043,1.8689,1.3045,9.0457,4.5512,12.5154,0.8466,3.4897,0.7657,1.1456,0.0,451.6306,0.5213,6.7231,430.046,18.7179,0.0
FIN_C30,0.0,0.8684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0005,0.0,0.5195,0.1076,1.3695,0.0555,1.8375,104.1235,3.9648,0.0,0.0,0.0,0.8148,0.8025,1.6175,21.1393,1.1643,0.0,0.0,0.0012,0.0,0.0,0.0,0.0102,0.0707,8.3777,72.9224,0.0483,0.0106,0.0027,0.0,0.0,755.9515,0.0,0.0,712.6588,-1137.149,0.0
FIN_C31T33,55.7171,3.3269,25.6683,60.0369,11.4393,106.2755,5.1263,42.6239,351.5002,63.2237,29.0696,7.2299,23.2243,32.9928,72.3285,85.2934,89.1473,32.3853,235.0132,7.848,53.8482,526.0694,44.4803,249.119,340.6526,186.484,180.1789,89.6655,164.1121,22.4856,10.0153,20.5352,14.1686,34.7837,24.3452,24.9833,7.4201,109.7021,62.3779,74.8433,16.6861,156.2205,26.6223,17.7795,0.0,849.0392,5.3089,16.5866,470.7685,-10.0985,0.0
FIN_D,136.9319,9.8434,23.292,86.0325,6.8792,200.9386,25.1824,152.9185,643.4823,36.2245,173.8045,10.9347,80.9899,81.476,292.693,75.66,76.5837,35.8133,95.9064,23.3922,23.8918,79.4698,242.0422,95.769,222.3399,539.1965,84.6306,10.3253,30.7812,77.7815,4.1237,173.6541,21.1168,98.0761,63.1643,150.07,1100.9556,98.1742,71.4255,498.2074,227.4974,402.6838,255.425,324.6317,0.0,3163.3904,0.1372,17.0961,281.3438,0.284,0.0
FIN_E,2.2327,0.0894,3.4781,9.0883,2.9708,36.6268,3.166,18.7799,85.4635,4.8496,17.952,3.4143,14.6297,18.5056,791.7824,30.9914,34.0087,9.2609,66.7956,2.7534,16.2775,21.0892,342.1413,658.5274,252.5692,126.2377,3.624,9.3496,5.993,6.2372,2.2743,57.4294,5.9763,4.1931,28.13,43.0274,341.5697,135.3469,165.6938,148.981,47.7393,70.2718,16.9112,20.104,0.0,503.8775,0.0517,157.2571,138.2665,-115.4133,0.0
FIN_F,313.1003,0.1949,4.0759,10.8234,2.1199,56.134,4.0221,63.4302,50.7148,74.7955,66.9249,3.6551,22.6233,18.8077,49.3847,23.9688,32.89,12.8895,32.2133,12.0452,3.0759,40.0371,872.4765,54.2603,4760.5038,355.7765,164.8389,31.801,109.0039,84.2032,15.7355,71.0649,6.9154,45.3882,42.7881,50.324,2081.4003,38.1895,88.3532,925.2239,123.8073,143.3554,40.8314,10.9257,0.0,44.6094,0.0439,419.3749,33650.7822,0.5926,0.0
FIN_G,674.4633,9.839,15.0776,51.7534,7.79,1177.2611,102.9036,533.8306,846.9213,613.2721,495.6916,41.9226,138.4536,153.7214,182.5644,190.9289,276.6113,185.889,525.3961,89.8449,100.7858,216.316,150.0331,107.0634,1820.1488,1308.6272,1771.3012,67.2897,88.0227,212.3252,15.3057,665.3881,239.7874,77.184,225.2278,202.0705,226.1837,578.9128,338.4186,374.44,175.7619,845.2732,241.2931,278.1362,0.0,11250.5391,0.2142,358.4143,1220.8048,323.8734,0.0
FIN_H49,73.974,2.3964,8.9097,35.0993,3.7751,304.0076,21.7195,245.7632,739.0934,242.0736,200.9501,15.219,53.5186,95.763,129.1397,75.3434,64.6232,62.202,214.6541,96.9872,19.0708,48.3656,44.3349,13.6848,453.083,786.9179,1226.5449,15.9029,12.2473,305.0552,237.7943,77.8146,97.6429,15.0131,28.667,127.9105,28.9189,93.7189,53.9455,726.9211,219.9136,512.9685,125.7726,217.0177,0.0,2057.699,0.0751,304.8405,106.6116,251.2485,0.0
FIN_H50,15.7523,0.3078,0.47,1.7581,0.244,37.4364,3.2134,10.4621,20.1936,30.0525,16.1713,1.1512,3.6922,3.9967,9.3771,5.8396,7.9569,5.887,12.4948,1.5404,2.8376,5.9054,5.0242,3.1541,36.3783,13.4142,6.6589,6.2955,2.9433,4.9931,0.2169,24.3604,7.7856,2.313,6.8634,6.1751,5.5473,17.1822,9.3971,10.7797,5.2533,24.3435,6.2171,4.7801,0.0,295.1574,0.0242,10.5697,27.4405,84.0624,0.0
FIN_H51,12.2461,0.3405,0.7081,2.6316,0.3615,18.3615,1.6184,7.8244,16.008,52.3362,14.8451,0.9689,4.2871,4.3543,18.9489,9.192,9.3165,6.8254,20.5269,2.8323,3.6387,4.7797,8.6384,2.3253,48.6027,22.1292,6.9217,4.721,8.6686,11.2604,1.6352,12.0662,6.4315,1.877,7.7742,8.8291,5.4183,17.2521,26.4383,16.3918,7.882,23.6277,6.1073,7.1197,0.0,149.9463,0.0542,6.6561,31.2576,213.6519,0.0
FIN_H52,11.1067,0.2172,13.4051,33.2146,4.0408,276.8517,20.1544,260.8166,846.151,104.8564,207.3162,15.7375,59.7272,123.3559,150.0487,105.2982,84.1324,83.3798,258.7815,107.7074,16.6805,44.0615,6.6485,108.8301,50.3809,1029.2504,57.1877,138.8777,249.5898,2571.2623,52.4875,32.9438,86.236,2.6827,37.6279,6.1785,10.6109,68.9046,49.0235,15.0411,62.4405,40.3178,16.9536,4.2466,0.0,490.1351,52.97,71.3914,59.7921,7.2284,0.0
FIN_H53,10.4328,1.2032,1.756,6.3195,1.5928,36.6045,9.41,22.8314,30.2754,4.7187,37.1471,2.6437,15.7331,12.3992,13.9028,41.1378,43.391,33.6817,115.0907,11.5689,3.0691,31.163,25.6064,0.3299,25.2723,158.3602,3.2779,17.1643,12.3026,3.3932,3.548,18.4374,7.0264,3.557,9.4588,67.6397,31.0835,20.2408,14.6814,127.0886,45.4799,83.4392,37.9385,59.3604,0.0,105.5109,0.0069,0.4219,2.57,0.5808,0.0
FIN_I,13.0349,1.1755,1.2062,1.0253,0.1013,9.7612,0.2623,3.6889,8.1945,0.1607,4.6368,7.0228,5.857,6.1563,1.4477,8.5953,5.2946,8.8528,17.4823,0.7306,0.916,6.7295,3.6973,0.6072,65.9255,244.2858,21.5998,32.8153,88.4291,36.4622,3.616,138.7006,21.1544,7.5852,30.3463,233.5755,26.2459,63.9787,65.7605,249.8208,316.9938,841.1109,132.0348,86.8158,0.0,6688.3525,0.0,23.8735,0.0,0.0504,0.0
FIN_J58T60,8.1664,0.2445,3.6506,8.6012,0.8172,76.7835,6.2018,15.3998,84.6708,12.6496,19.1975,18.7273,8.9536,9.5651,17.3254,18.9929,154.868,20.9383,69.7035,6.6305,4.9746,34.2683,31.643,13.0585,47.1068,405.8847,16.1059,18.3473,27.3528,27.8419,3.7703,66.8167,505.7053,22.876,231.9075,183.4334,26.3729,137.4009,53.2453,137.1883,84.3147,110.6249,321.603,75.4424,0.0,1008.0707,0.344,232.4658,616.1223,4.5811,0.0
