V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T,ITA_HFCE,ITA_NPISH,ITA_GGFC,ITA_GFCF,ITA_INVNT,ITA_DPABR
ITA_A01_02,4284.9491,4.6645,7.0725,3.9487,0.7828,17170.4264,903.9914,639.7704,156.6162,30.8122,120.2909,93.1972,434.9831,102.61,188.5142,111.8931,82.2058,65.0275,55.3372,44.1889,22.4117,131.0808,1639.5618,111.11,138.2292,2167.9946,153.3403,11.9968,8.1791,54.3299,7.8338,2588.3534,26.8351,38.0712,21.4843,51.5214,34.9134,277.7577,659.1564,229.3548,70.3654,167.2581,214.971,132.9001,0.0,26272.938,25.1159,696.2919,367.8534,508.4489,0.0
ITA_A03,0.7384,8.6415,0.0019,0.0003,0.0,123.0761,0.8149,0.0004,0.004,0.0023,0.8126,0.9215,0.0038,0.0036,0.0039,0.0697,0.0065,0.0096,0.0728,0.0308,0.0046,3.612,0.0242,1.817,0.1003,16.5138,0.03,33.3593,0.0003,0.3194,0.0067,134.3284,2.744,0.0026,0.2861,0.0265,0.3963,0.7195,1.431,0.6082,0.1273,0.4236,0.3137,0.7208,0.0,1342.2608,0.0001,0.1009,0.3192,13.9824,0.0
ITA_B05_06,2.1142,0.0304,18.5563,13.3289,0.6707,84.0292,6.2093,0.7195,7.3407,2563.5612,112.3222,17.7817,2.9629,9.3349,235.58,4.574,1.8573,3.5164,36.7557,28.5207,6.0501,8.232,577.1148,19.1409,61.3413,48.2761,3.9044,1.571,3.0443,120.1841,5.1589,93.6173,2.879,3.5932,8.5721,18.9264,18.4052,33.1257,22.7575,75.3904,29.8445,145.6462,22.4375,5.2543,0.0,53.9713,0.1298,97.7054,537.28,41.3425,0.0
ITA_B07_08,15.5401,0.1081,0.0671,0.5116,0.8403,29.2538,3.5886,5.9215,80.2589,1.5792,10.6438,2.2225,12.42,143.5072,12.9575,17.2432,8.9378,17.2346,32.5225,29.245,7.1899,16.2675,7.9997,37.464,262.8542,338.5504,181.1224,1.1102,0.2095,2.1736,0.0721,5.9467,0.4473,0.6091,5.142,3.5536,10.4181,16.2746,6.1242,0.3578,0.904,2.8562,1.9093,16.1671,0.0,1770.4716,0.0049,0.445,26.9411,10.5253,0.0
ITA_B09,1.5243,0.3413,48.9141,10.4003,8.2143,1.4644,0.2222,0.0465,2.3415,133.9631,8.301,0.2911,0.7787,20.0569,31.5028,3.993,0.012,0.0978,1.0564,0.0278,0.0661,0.2751,16.9566,2.4948,62.3982,0.837,5.9944,0.1871,0.3511,3.182,0.0188,0.2501,0.0293,0.0,0.0024,0.0467,2.7208,2.4619,1.6456,1.2827,0.1117,0.245,0.2412,0.0839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA_C10T12,2974.7908,111.7141,0.0178,54.6319,0.248,27696.5016,1048.0258,3.6799,58.6551,41.4785,798.135,501.936,76.6377,121.7021,267.6907,2.5067,1.5079,1.168,19.6946,1.1851,0.3848,17.6787,157.9672,26.6373,18.0157,2059.7639,609.5642,397.2746,6.8509,78.4544,2.7201,13445.8558,6.1722,0.2441,1.7258,0.9112,63.9535,186.7378,100.245,40.0214,31.3278,427.1915,96.7145,121.2777,0.0,80879.5728,0.0032,6.9011,6.0425,1332.6066,0.0
ITA_C13T15,110.8043,27.6482,0.6855,0.1468,0.7986,66.9856,17748.9819,213.3345,539.6478,9.8438,186.8905,69.3862,401.6982,62.4436,47.0248,167.5126,26.5288,36.2374,134.1872,500.1766,92.573,770.8949,31.0816,37.3812,117.591,560.429,53.8501,4.9439,1.0446,33.6914,6.8503,39.1515,11.542,7.6173,13.5184,10.826,78.2969,157.2593,203.3022,57.8274,27.4278,89.2727,112.9871,159.4152,0.0,35702.5573,0.1431,46.788,662.5992,738.3266,0.0
ITA_C16,66.3782,3.5279,4.1932,3.7189,0.4363,355.7734,81.8933,2279.4867,760.4048,13.0667,30.5535,51.7675,54.867,59.3514,71.4516,144.2158,29.5495,49.1928,146.9861,129.0916,66.2339,2811.9765,89.567,31.1387,1507.1012,360.0806,86.7397,10.8762,4.7685,54.7392,4.6656,59.7983,12.3895,7.0646,14.1886,15.4666,59.5809,141.6609,145.0448,139.01,9.3536,126.3173,28.944,103.008,0.0,2010.2217,13.5969,44.5353,1049.5898,114.6827,0.0
ITA_C17_18,79.1385,5.6517,4.5848,2.8953,0.8233,1241.5486,145.3204,183.7885,5967.4193,34.6465,270.0003,155.0933,461.6128,129.7309,329.1683,335.6502,38.5583,238.5765,445.636,302.269,57.4294,400.2511,259.775,226.5936,380.0203,900.7096,602.9094,37.7685,10.6402,623.0578,55.6475,688.9988,505.2474,438.4204,313.0288,1017.3468,251.9445,2840.8617,4967.8875,629.4181,253.8043,402.7666,821.2777,356.1907,0.0,5247.1282,1.762,60.2638,242.9833,320.5493,0.0
ITA_C19,1536.2603,62.34,42.2724,219.2797,19.1334,240.8466,90.303,74.8462,85.5329,4044.0263,4168.6737,60.824,66.9037,293.2238,504.8894,248.6605,21.0551,38.0917,510.6416,97.0999,10.3237,202.9442,780.9383,327.7155,1961.4336,1997.1749,4294.8181,2219.3192,1407.5057,210.7793,11.6586,173.5502,14.7138,10.6369,43.1325,85.2146,44.7656,200.2038,286.4124,139.0241,100.6167,99.6266,81.7724,87.1953,0.0,19865.1574,0.024,6.2804,53.595,428.8148,0.0
