V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T,JOR_HFCE,JOR_NPISH,JOR_GGFC,JOR_GFCF,JOR_INVNT,JOR_DPABR
JOR_A01_02,282.5457,0.3517,0.0004,0.0006,0.0002,1176.0168,0.2515,41.3092,0.0337,2.2698,14.7102,0.1109,4.3597,0.2941,0.0185,0.0485,0.0001,0.0002,0.0376,0.0249,0.0092,2.1716,0.2954,0.4124,0.7049,3.0585,0.0224,0.0,0.0,0.049,0.0001,126.6475,0.0978,0.0012,0.0342,0.0384,0.5726,0.0104,0.0344,13.8404,0.0007,0.5495,1.9151,1.3225,0.0,1049.68,0.3337,0.0365,214.9006,77.5747,0.0
JOR_A03,0.0,0.1756,0.0,0.0,0.0,0.5193,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0014,0.0,0.0,0.0,0.0,0.0,1.5117,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0005,0.0,7.3226,0.0,0.0,0.0,0.1913,0.0
JOR_B05_06,0.001,0.0,0.9302,0.0113,0.003,1.8013,0.0008,0.0048,0.1205,401.5938,0.0315,0.1097,0.0152,7.0017,0.1621,0.1493,0.0004,0.0019,0.0003,1.7169,0.3688,1.8095,59.8581,0.2038,0.4461,22.7307,8.1126,0.0297,1.012,0.0963,0.0008,0.0608,0.795,1.0666,0.2092,2.7687,0.0195,0.0003,0.013,0.0001,0.0075,1.2371,0.0529,0.0417,0.0,67.3876,0.0003,0.0001,182.2243,11.2957,0.0
JOR_B07_08,0.0068,0.0,0.1239,0.6881,0.0772,37.5236,0.0154,0.0994,0.0024,0.0,13.1092,2.3169,0.1469,143.6039,0.0065,0.0042,0.0008,0.0042,0.001,0.0005,0.0001,0.0018,0.0,0.1858,89.0759,0.0265,0.0138,0.0,0.0,1.8781,0.0024,0.0021,0.0,0.0001,0.0027,0.0,0.1482,0.0045,0.0111,1.6414,0.1209,0.0,0.3718,0.4113,0.0,2.6196,0.0,0.0,13.5094,14.1183,0.0
JOR_B09,0.0,0.0,65.0106,0.1947,12.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.8212,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,531.4098,1.2541,2.371,2.7097,0.6939,1743.9318,1.8439,0.1114,3.4354,1.5451,11.7246,1.6324,1.2328,0.8194,0.8298,29.4335,0.3124,1.1478,0.4498,0.2484,0.3109,12.0153,1.2941,3.2408,9.1113,9.3788,0.5102,0.0124,0.2723,0.7669,0.0145,250.616,0.8286,1.6413,0.278,0.6138,3.2112,0.2569,0.2244,38.6209,5.9101,39.1413,16.2611,1.4558,0.0,3440.9528,3.4243,0.1644,104.2842,179.2915,0.0
JOR_C13T15,1.7086,0.0046,11.1232,18.7545,3.4849,0.968,485.6382,0.1226,2.9479,1.4682,1.67,3.6708,5.6073,0.1629,0.046,0.0677,0.2228,0.7397,0.2485,0.5813,0.0523,1.3237,0.0331,0.7857,2.1137,5.4108,0.0639,0.0046,1.6773,0.4901,0.0132,5.4211,0.0535,0.0233,0.0506,0.077,0.234,0.1985,1.6234,33.5853,5.4301,15.1357,1.7145,0.237,0.0,520.7228,1.4777,8.7409,5.1679,74.4013,0.0
JOR_C16,1.2299,0.0,0.0066,0.0106,0.0032,0.2065,4.4911,0.6586,5.9638,0.0056,0.4549,0.0275,0.1642,0.9015,0.0704,0.4805,2.4282,9.302,2.9898,2.5582,0.7641,17.927,0.0078,0.1318,36.6622,1.3682,0.0211,0.0161,0.0031,0.004,0.0003,0.1901,0.091,0.0975,0.0268,0.0539,0.0065,0.1198,0.1461,1.4482,1.1345,0.1573,0.2909,0.0831,0.0,12.8275,0.0105,0.1557,10.2183,1.7772,0.0
JOR_C17_18,2.5019,0.0016,0.0267,0.014,0.0028,12.9413,1.2475,0.2223,298.5676,0.1802,9.6492,9.8302,16.9733,8.0058,3.3056,7.3599,0.3647,1.2761,0.2371,0.2186,0.0281,0.5639,0.3369,2.7629,5.8003,14.9579,0.5858,0.0073,0.6754,0.7899,0.1336,28.3748,1.2469,0.7833,0.1676,19.823,1.4897,8.5366,1.2102,67.6203,44.3113,8.5493,1.4087,1.1166,0.0,198.9492,2.2074,10.2593,28.8289,17.9022,0.0
JOR_C19,64.9929,0.33,3.3238,0.701,0.0697,159.5799,16.7659,2.1763,14.1212,172.1039,67.2665,9.0555,12.7972,69.7293,13.0103,23.675,2.2115,10.1621,3.0428,2.1009,0.3779,5.9481,168.365,17.8718,149.7969,108.9945,552.1137,0.1515,238.1327,3.5447,0.7067,40.1863,4.8551,15.5532,2.7127,8.9566,5.6865,3.3724,6.6586,147.707,91.9182,43.8249,9.1314,10.1963,0.0,883.6632,14.4197,0.0,22.3954,103.4782,0.0
