V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T,JPN_HFCE,JPN_NPISH,JPN_GGFC,JPN_GFCF,JPN_INVNT,JPN_DPABR
JPN_A01_02,10192.6361,3.1802,0.2597,2.0434,0.0876,37143.7557,121.8463,2003.8032,30.0172,2.677,228.1997,91.7514,665.1175,8.8016,16.9902,32.5972,41.2181,28.4048,49.9442,11.0365,11.2297,142.3357,10.8235,8.1572,352.2917,2328.2074,13.9767,15.3264,1.8246,25.5216,6.9859,5815.9539,15.7562,10.5265,9.5626,60.9319,9.9515,141.0999,93.1586,34.6743,241.1587,1152.9761,210.1965,220.0792,0,33226.902,0.0,0.0,1393.8617,497.2417,0.0
JPN_A03,2.0386,438.7712,0.0331,0.3825,0.0001,5722.0053,0.7969,0.1529,1.1114,0.6618,6.2369,4.0617,6.2455,0.7444,2.6999,3.3889,11.1745,6.9148,7.572,5.8824,3.0953,434.8739,2.4086,1.5119,11.7935,68.3967,5.8589,5.765,0.4003,4.6712,1.4674,1502.3026,3.5751,2.1619,5.7895,13.4899,2.0719,5.8951,2.8178,4.9702,9.4139,284.3032,6.5646,25.7571,0,3818.3967,0.0,0.0,0.0,66.1477,0.0
JPN_B05_06,0.7757,0.0443,0.0267,0.0481,0.1165,3.7934,0.5915,0.1652,10.3755,604.7331,17.5122,0.4699,1.4524,8.5767,14.3301,0.54,0.4461,1.4106,1.2403,1.3893,0.2094,0.34,408.7163,0.9869,6.8264,2.1562,0.7135,0.0912,0.0869,0.1154,0.0105,1.3495,0.0611,0.1488,0.1015,0.1885,0.171,0.4241,0.2581,0.4674,0.2487,0.8019,0.2155,0.28,0,6.1428,0.097,1.6547,0.4623,3.7358,0.0
JPN_B07_08,0.4968,0.0004,0.0,11.6201,2.5854,1.2248,0.9945,0.1476,18.4598,27.3009,91.1409,5.6116,11.0786,401.5713,3434.4466,12.0015,36.0265,21.8182,25.5649,6.6245,0.6862,16.7555,0.0293,0.0002,30.9363,0.5368,1.7198,0.0,0.0,0.0,0.0,0.0,0.024,0.2072,0.0,0.0001,0.001,13.663,0.0,0.1488,0.0011,0.0122,0.985,1.2341,0,0.0021,0.0,0.0,0.0,21.3969,0.0
JPN_B09,3.3878,4.0041,6.5833,25.6319,27.1717,3.8855,0.0611,0.1051,7.8009,495.3074,38.9892,0.8488,2.6878,34.901,183.1794,5.7798,0.1308,0.5755,3.2549,0.2524,0.1886,0.2815,55.3732,10.4227,217.703,2.7386,16.2998,0.554,1.1193,4.9196,0.0352,0.8911,0.0848,0.0,0.0093,0.1478,7.4081,8.9294,2.4576,4.0239,0.2684,1.1329,0.6114,0.1106,0,0.0,0.0,0.0,0.0,0.0,0.0
JPN_C10T12,4627.7805,613.5144,0.9305,11.0341,0.3963,30015.089,122.2077,23.0118,127.1282,21.4862,625.054,168.4652,67.6094,37.2462,68.1884,50.7198,118.6673,95.4193,157.5088,69.8928,28.38,114.5287,64.7364,54.2417,328.8093,3440.3708,116.4872,133.5393,10.5833,164.5251,39.655,35900.0307,61.632,248.6501,125.8361,295.6703,105.141,315.6258,183.4652,227.0193,555.6652,3492.3014,149.3242,426.396,0,223684.0807,0.0,0.0,0.0,1297.5921,0.0
JPN_C13T15,121.9976,220.0942,0.7509,3.6615,1.0144,246.0181,5022.5019,21.7605,410.0982,3.6849,49.9962,16.194,576.0261,191.0201,53.5044,70.4033,106.2581,178.1279,222.2731,330.619,71.6795,962.2397,20.8937,31.7829,682.5316,1024.5249,144.7882,295.9404,13.0623,129.8883,23.3528,211.5663,50.965,117.9902,140.7399,182.4089,18.8311,315.5425,214.6166,299.8704,72.3575,526.232,333.9869,297.4753,0,14523.7755,0.0,0.0,623.598,189.6685,0.0
JPN_C16,119.8707,12.7373,0.2677,0.2815,0.6395,102.3596,8.6984,2871.8722,1731.7422,0.0995,31.7095,4.7574,53.4555,125.043,53.2462,107.0725,37.3018,30.6812,85.6518,63.6934,55.6201,2519.387,203.3683,1.2048,11304.6079,475.451,5.5043,5.6265,0.244,436.6098,1.4887,167.8678,11.3769,6.315,4.1675,26.3612,2.4566,45.0016,34.5966,11.7697,6.3265,13.815,44.019,40.7799,0,529.3957,0.0,0.0,85.6399,95.9962,0.0
JPN_C17_18,2669.2291,38.8838,1.0791,11.2369,1.6143,7338.0316,230.6777,290.1607,25560.0321,22.2415,2075.3923,833.3722,997.0871,793.2478,260.3477,523.3151,1674.1389,1599.1187,1309.2938,450.8867,241.313,1735.0476,347.4972,273.5345,1922.3269,11451.7032,808.5456,350.3774,61.0957,2150.6919,360.012,1349.8707,5663.6364,2203.1549,2850.8453,6035.0199,256.6168,4652.2265,1919.3939,3268.5909,2551.0234,4779.418,576.7657,829.4328,0,3612.4173,0.0,53.0363,97.2094,596.4443,0.0
JPN_C19,1979.9781,627.0236,11.7957,313.9063,50.607,1295.6341,226.0227,121.0242,468.8509,5220.311,10179.4613,916.1185,330.9348,793.1464,3123.8899,395.9476,170.8609,306.1678,593.9475,11.756,195.3414,471.8852,5602.244,631.9905,8766.4956,10320.1208,8611.7098,5526.966,5181.6454,489.834,262.0679,1574.8468,317.4254,376.8213,718.6445,953.2437,661.186,2809.9019,3459.3697,4673.7699,712.4377,1909.5657,1314.6103,1031.4895,0,53257.724,0.0,0.0,0.0,740.3154,0.0
