V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T,MEX_HFCE,MEX_NPISH,MEX_GGFC,MEX_GFCF,MEX_INVNT,MEX_DPABR
MEX_A01_02,3872.9369,12.0322,0.6683,3.3883,3.0934,25046.6898,424.6909,832.2368,16.2941,0.0546,104.2802,47.0587,360.8849,52.3706,1.5746,1.1817,15.3813,0.5377,0.27,3.1625,0.2141,28.9285,3.0031,3.7318,204.9797,947.1412,6.0088,0.3425,0.2259,2.2054,0.4638,359.5169,0.566,0.0378,0.1083,3.5824,22.0086,2.4461,1.7685,11.1486,25.9798,11.6874,1.0619,1.5834,0.0,17135.7026,46.5795,16.0377,3717.4157,1602.3939,0.0
MEX_A03,0.1446,21.2804,0.0228,0.0353,0.1458,443.333,0.8716,0.0468,0.1577,0.0014,0.1292,0.5008,0.0387,0.0219,0.0407,0.0264,0.0203,0.016,0.0227,0.1313,0.0043,1.184,0.0085,0.0108,0.5545,15.1948,0.0616,0.0105,0.1466,0.0244,0.0255,20.3042,0.024,0.0248,0.0166,0.0619,0.0681,0.064,0.0306,0.2344,0.028,1.3696,0.4634,0.0225,0.0,1515.7194,14.7112,0.031,6.1345,88.9645,0.0
MEX_B05_06,0.0017,0.0,1754.7969,0.0721,101.2883,0.012,0.0031,0.0001,0.0014,13550.0564,4999.602,1428.5284,0.005,0.5737,340.7455,0.0097,0.0017,2.6139,0.0072,0.0234,0.0046,80.2444,356.0541,0.0003,0.0594,0.0464,0.0045,0.0009,0.013,0.0018,0.0022,0.0044,0.002,0.0022,0.0015,0.0049,0.0022,0.0057,0.0024,0.0093,0.0015,0.0012,0.0019,0.0018,0.0,0.0164,0.003,0.0,3.285,1449.1539,0.0
MEX_B07_08,59.7564,20.8754,5.8462,188.7586,3.1359,285.5269,5.1485,0.0174,13.6453,4.0348,468.0904,14.8368,24.2826,2438.5123,7665.4522,10.6144,22.8823,17.081,18.7563,39.0938,2.0359,4.6699,209.866,1.823,1470.6924,5.0337,1.3271,0.0256,0.3136,1.8478,0.0602,0.8587,0.0549,0.0929,0.0773,0.1663,0.453,0.514,0.7459,2.0581,0.1885,1.4371,0.2401,0.0753,0.0,1.2133,0.0886,0.2372,72.163,378.5619,0.0
MEX_B09,2.2024,0.0921,1218.0611,40.1105,172.2222,20.3588,2.4394,0.2038,2.4367,0.2152,5.0538,2.1972,3.0803,3.266,1.9853,4.1603,3.3012,2.5781,2.7822,21.7244,0.6783,2.6315,0.459,0.6247,127.5254,64.5165,8.6177,1.698,25.224,3.4773,4.2527,8.4487,3.9487,4.2754,2.8238,9.4895,4.1472,10.2258,4.7169,18.0832,2.9256,2.3915,3.6146,3.4826,0.0,31.0818,5.7222,0.0002,7230.523,-0.0093,0.0
MEX_C10T12,3871.2843,46.8661,19.6218,12.1298,4.0073,12093.4966,240.3092,1.2528,93.0908,10.2227,148.3695,117.7301,13.2491,17.535,12.3831,16.2204,7.5057,4.0841,5.8829,25.3252,1.9783,7.5841,3.8627,1.5577,33.8044,248.2313,59.9334,0.5967,11.4208,16.506,1.1253,2779.5066,6.8128,8.9982,2.5473,76.526,17.7704,73.4977,61.7795,556.7518,59.5887,138.4086,38.178,11.2963,0.0,111838.7402,117.2549,0.9554,178.1248,3439.8265,0.0
MEX_C13T15,46.6973,6.6259,16.603,2.9186,1.6173,38.0589,2147.1832,2.5103,268.957,9.3254,25.1445,0.7417,70.8645,10.6338,8.2674,22.9986,40.5004,10.5772,13.8212,1608.2415,12.1168,269.324,1.1012,2.4351,31.5175,126.7994,79.9484,14.6014,8.3145,5.4519,2.3296,116.4237,4.5751,2.8734,0.1014,2.309,26.9402,2.3695,18.4154,89.4705,27.5386,81.6657,3.2769,29.7001,0.0,9156.415,25.9368,0.4068,90.8844,436.7033,0.0
MEX_C16,37.0185,4.273,4.2703,36.0263,57.4365,253.8798,52.9209,349.4657,32.9148,0.6487,57.6876,80.2863,37.1314,61.5501,39.2802,111.4655,95.0484,46.006,30.0346,265.1718,5.6947,641.7528,26.6517,41.7798,923.9197,200.567,0.7635,0.0725,4.5804,0.4987,1.2948,5.6525,0.1852,0.2343,0.0744,3.1132,3.9894,0.7595,24.9274,6.7154,1.0735,1.0818,0.1579,0.3532,0.0,407.164,7.0455,0.4676,27.281,119.01,0.0
MEX_C17_18,84.4624,0.5424,8.0271,6.5601,109.5527,962.6525,272.6291,32.4812,3127.8293,9.8691,108.384,110.6004,148.5439,162.1771,25.0532,189.8023,416.548,140.1934,70.72,421.0606,11.3503,364.2794,5.8182,15.8812,42.6074,1476.132,63.5209,3.8954,7.9691,36.3598,14.3136,307.1718,9.8319,13.6421,14.9575,410.6644,254.7117,116.8935,533.2403,594.3112,304.3869,151.8161,27.1982,16.7029,0.0,4380.636,14.4186,114.6302,57.6455,458.332,0.0
MEX_C19,483.5325,192.4921,405.7375,413.9623,340.7699,506.6922,52.7201,51.3499,82.5887,4363.3617,918.513,31.5263,66.3102,203.0956,357.1354,130.4821,41.5892,76.3628,40.4603,166.3053,12.5661,87.3253,2184.3018,59.7219,1000.4329,1157.9041,7504.5627,71.158,1903.904,147.0589,183.7691,95.0,20.7978,11.9584,4.1154,79.9556,96.5348,185.455,273.033,587.7957,41.5118,164.8789,12.28,158.4083,0.0,11564.5029,0.0397,0.0011,0.2681,1169.799,0.0
MEX_C20,1446.8386,3.9531,911.4081,236.7629,42.447,1548.8974,442.1426,74.9751,524.4117,705.9826,3804.4041,874.0734,2704.8437,446.0966,300.1875,228.5977,301.2787,398.9105,113.871,1371.9159,17.2614,419.9727,582.8462,65.1507,317.5647,331.7142,651.2254,4.8331,5.344,48.459,7.118,310.7281,67.5797,10.0864,4.6194,15.4466,183.506,208.9379,318.1185,242.1623,87.7192,487.2987,79.4522,89.2027,0.0,9741.1606,13.9658,16.4521,58.0559,916.1708,0.0
MEX_C21,114.6608,0.1899,7.6502,2.2459,1.3606,149.1706,5.2525,2.7334,6.9043,5.1943,34.4951,1355.799,20.9835,5.4145,2.5003,5.1462,11.9655,3.5223,7.0313,12.7482,0.1898,87.0148,3.8293,0.527,5.7945,18.4964,6.1777,0.134,1.212,5.3113,0.2817,4.652,1.3235,0.969,0.2679,15.2886,12.2682,62.4693,17.8708,181.7924,10.6354,2242.0475,5.6124,8.2793,0.0,7847.0338,22.4644,660.504,19.6245,354.0704,0.0
