V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T,PAK_HFCE,PAK_NPISH,PAK_GGFC,PAK_GFCF,PAK_INVNT,PAK_DPABR
PAK_A01_02,23799.2213,217.0799,51.3351,5.9891,4.3363,13567.3032,1970.8022,576.7438,200.1665,13.0157,256.0374,70.1376,91.3485,24.5449,14.2447,12.0086,13.0381,7.8092,12.2775,15.8524,3.7849,114.0596,97.4216,25.8872,164.5366,636.1229,57.1758,24.3026,20.6528,25.8208,3.6828,1903.5122,24.397,42.7989,11.5981,44.9418,51.6824,76.2721,92.4217,287.7155,118.8888,221.9452,62.1624,112.4721,0.0,54180.308,32.2387,263.2915,2128.1612,2351.6495,0.0
PAK_A03,32.4368,439.1918,2.5999,0.2377,0.2265,307.867,7.1452,0.6882,0.8717,0.7117,2.1445,0.8493,0.5496,0.7888,0.6175,0.4465,0.661,0.3699,0.6255,0.6527,0.1647,1.5851,1.7358,0.6575,2.9454,13.9384,2.5285,1.9306,1.1665,0.8765,0.1348,151.4987,1.2482,1.8963,0.5771,1.3393,1.0008,2.3671,1.3527,8.9929,3.0825,6.5205,1.831,2.6934,0.0,4145.0944,4.1026,5.287,33.1279,62.578,0.0
PAK_B05_06,46.0322,3.5721,425.6964,14.9738,10.3653,40.7192,44.378,2.0609,22.9584,3286.0537,152.1134,7.0586,8.1267,92.9583,124.923,8.9475,3.6115,2.5848,5.193,4.5614,2.0796,6.354,2526.1418,10.9699,40.7384,54.6324,36.9266,6.5328,6.6782,8.9587,2.2163,15.8106,2.4381,5.0884,0.8758,4.3492,11.3047,13.3079,7.2468,31.5284,20.2452,17.2564,5.3906,12.304,0.0,74.2971,0.1198,0.7775,212.3967,138.6258,0.0
PAK_B07_08,14.5923,0.666,9.6063,18.5232,2.7148,3.5682,2.9794,0.1547,2.4956,3.5012,30.8924,1.3107,0.8633,164.9445,190.0136,3.6373,0.7671,1.839,0.8687,0.7658,0.2049,2.7219,12.913,2.8791,112.9578,2.8672,1.4628,0.1595,0.0904,0.743,0.0256,0.7782,0.1032,0.2512,0.0512,0.1737,2.2744,0.9114,0.7762,3.9701,0.5493,0.5159,0.3662,0.8414,0.0,54.0836,0.0313,0.2474,16.5302,5.0868,0.0
PAK_B09,3.6618,2.9332,209.3084,12.7664,16.0193,0.6042,0.449,0.0338,1.0976,34.8588,3.5723,0.1502,0.2375,9.4599,8.6621,0.6272,0.0478,0.05,0.1451,0.0586,0.0296,0.146,11.3344,0.9282,18.5202,0.7687,2.7812,0.2584,0.431,0.7315,0.0238,0.1629,0.0643,0.1016,0.0303,0.1136,0.9201,1.0954,0.597,1.165,0.1732,0.205,0.1201,0.15,0.0,2.1169,0.0107,0.0699,139.4197,0.106,0.0
PAK_C10T12,2702.448,172.1772,5.234,1.0353,0.5079,1748.7237,143.4273,2.2206,17.7303,3.881,103.871,33.6474,10.7392,7.1501,4.7152,3.5228,4.2984,2.8014,3.787,4.0651,0.9311,11.6761,11.8783,8.1672,15.2482,179.9343,15.0116,15.3683,8.6541,7.5002,0.9096,1829.3554,11.9023,11.2387,4.0803,14.5487,9.9924,22.0564,18.1829,134.4482,105.3975,168.9032,38.4951,55.61,0.0,20896.4499,11.9975,22.2392,69.309,191.3448,0.0
PAK_C13T15,102.2529,23.1036,16.4089,2.0387,1.5542,44.1518,7354.8554,6.9843,33.3966,5.3183,23.7375,11.3235,31.968,16.9959,9.2712,13.0914,15.119,9.289,14.64,43.1146,5.788,122.0152,19.6222,16.8336,56.654,191.0725,26.692,7.7286,9.8133,9.7675,3.6581,43.6959,12.6853,17.0461,4.1412,14.0576,9.0713,38.1284,34.0435,154.4245,35.8917,115.9405,30.6395,103.0987,0.0,13043.7609,11.7953,18.3987,173.3114,486.0704,0.0
PAK_C16,73.8057,5.0758,5.0637,1.692,0.3423,25.9832,34.6335,366.1681,74.8675,0.5756,10.9504,1.9703,11.0948,29.4925,6.4035,15.771,5.3499,8.0626,7.9391,21.5769,7.3699,463.4712,30.6584,4.0507,475.7637,69.492,7.1502,1.5406,0.7346,6.7358,0.509,9.0651,4.2886,2.6305,0.8983,2.2211,40.6657,10.6793,9.0704,11.8152,10.4869,8.2306,5.2584,36.5023,0.0,497.5431,1.5991,1.0442,104.154,30.2167,0.0
PAK_C17_18,82.6115,11.2819,5.1123,1.4524,0.5462,240.2844,187.0178,16.4044,1117.5896,1.6625,55.5423,43.0357,38.2889,50.4784,8.2149,12.4784,25.979,18.2954,12.2117,14.062,2.2778,71.1387,14.865,12.9649,25.6647,332.9339,21.6212,4.8642,4.0183,18.8934,10.8791,46.5331,347.496,41.5956,22.468,95.8804,19.8647,134.0747,64.9398,179.8115,128.0539,81.2695,30.1994,68.1706,0.0,1638.5634,3.0397,11.4979,78.3345,56.5594,0.0
PAK_C19,905.9049,201.5846,94.8931,29.1089,13.5248,74.8653,148.7307,13.7331,33.7903,249.6524,251.6603,20.0638,34.2667,125.2029,69.6791,20.1712,15.6286,17.1793,13.707,20.9871,4.9486,48.7717,248.1669,75.5148,191.5454,496.6693,1416.4634,358.1242,523.4083,96.976,25.1105,50.1869,17.6038,40.0441,9.0579,53.716,29.9788,75.829,72.4282,274.6677,66.3863,104.1603,27.3319,93.7195,0.0,3993.6696,0.4908,4.8723,75.498,120.6787,0.0
