V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T,SEN_HFCE,SEN_NPISH,SEN_GGFC,SEN_GFCF,SEN_INVNT,SEN_DPABR
SEN_A01_02,257.12,0.0201,0.0015,0.0316,0.0021,897.8937,6.8934,9.2879,0.0169,0.0081,0.0378,0.0105,0.0062,0.2603,0.0087,0.0172,0.0007,0.0115,0.0036,0.0002,0.1117,2.0081,0.0705,0.0216,1.1467,24.6679,5.3887,0.0018,0.009,0.0276,0.0001,97.469,0.0038,0.0608,0.0053,0.023,0.007,0.062,0.0223,3.7541,1.1048,3.1236,0.1005,0.1652,0.0,2023.6502,0.0,0.0022,109.8652,119.6633,0.0
SEN_A03,0.4915,11.4095,0.0027,0.0553,0.0036,174.1493,0.1328,0.0369,0.0296,0.0142,0.0664,0.0058,0.0109,0.1122,0.0154,0.0302,0.0012,0.0202,0.0064,0.0003,0.0158,0.0405,0.1239,0.0285,0.564,0.1399,0.0817,0.0031,0.0158,0.0527,0.0002,5.0327,0.0067,0.1064,0.0093,0.0397,0.0083,0.1079,0.0387,1.1721,0.1845,0.0651,0.0043,0.0065,0.0,189.115,0.0,0.0038,1.7433,14.6656,0.0
SEN_B05_06,0.0,0.0,2.168,3.8425,0.0155,2.2238,0.0,0.0001,0.0,3.9571,33.7646,0.0,0.0,9.7862,0.0304,0.0208,0.0,0.0,0.0,0.0,0.0,0.0039,0.3409,0.1937,17.6813,0.0484,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3144,0.0,0.0,0.2623,1.8661,0.0
SEN_B07_08,0.835,0.1152,0.9898,16.541,0.3573,4.937,0.3944,0.1182,0.0956,0.0449,56.209,0.0126,0.0351,19.8661,66.0905,0.1302,0.0037,0.065,0.0205,0.0011,0.0504,1.2865,0.4023,0.2108,55.2033,0.3172,0.2472,0.0101,0.0511,0.1443,0.0007,0.6212,0.0219,0.3421,0.0298,0.1271,0.0171,0.3482,0.1239,0.3628,0.2207,0.1221,0.0131,0.0322,0.0,21.1009,0.0,0.0123,22.0702,106.5058,0.0
SEN_B09,1.5062,0.2077,1.7463,27.4896,0.7364,5.9131,0.7105,0.2153,0.1731,0.0827,0.3891,0.0229,0.0639,0.6431,0.0902,0.1771,0.0068,0.1182,0.0373,0.002,0.0927,0.2368,0.7259,0.167,5.5709,0.4719,0.4462,0.0184,0.0926,0.2622,0.0013,1.0921,0.0394,0.6212,0.0539,0.2291,0.0308,0.6273,0.2247,0.6524,0.3964,0.2202,0.0201,0.0313,0.0,31.748,0.0,0.0222,44.5621,2.1941,0.0
SEN_C10T12,99.8224,5.6966,0.0704,1.1305,0.0705,367.1542,6.9323,0.6881,0.5405,0.2868,1.7456,0.8899,0.3203,3.9886,0.3233,0.5904,0.0203,0.3571,0.1211,0.0088,0.3159,0.7758,2.1354,1.0949,9.6104,27.0945,3.5797,0.0525,0.2665,3.4825,0.0062,133.7189,0.136,2.2493,0.1852,1.4147,0.1961,2.0978,0.7588,13.9231,2.7182,4.6038,0.2878,0.4055,0.0,3151.456,0.0,0.5436,25.2676,141.616,0.0
SEN_C13T15,1.5037,0.0345,0.0021,0.038,0.0031,1.2015,58.1847,2.1741,0.0255,0.0029,0.0575,0.0054,0.0282,0.0867,0.0041,0.0096,0.0008,0.0137,0.8614,0.0003,0.0634,0.865,0.1187,0.135,0.3019,0.1084,0.0745,0.0026,0.0127,0.0313,0.0002,1.692,0.0078,0.077,0.0081,0.0394,0.0049,0.1124,0.5317,8.4021,6.1286,1.6972,0.149,0.3603,0.0,534.7299,0.0,0.0032,1.5153,30.0307,0.0
SEN_C16,0.0031,0.0441,0.0023,0.0262,0.0024,9.2096,0.5518,14.1169,0.0757,0.0,0.0462,0.0017,2.9324,0.0055,2.4713,5.8946,0.0,0.0004,0.0007,0.0039,12.2199,21.3918,0.0047,0.0757,25.4961,0.0388,0.0828,0.0013,0.0205,13.8236,0.0006,0.0159,0.0004,0.0289,0.0317,0.1801,0.0037,1.2205,0.0399,0.9612,0.9173,0.2327,0.0286,0.0467,0.0,65.3972,0.0,0.0,5.0244,6.153,0.0
SEN_C17_18,0.3988,0.2764,0.0379,1.431,0.3663,15.6321,0.2566,0.1931,15.2173,0.4066,2.8417,0.3344,0.2848,11.7229,0.0188,0.04,0.0086,0.0287,0.1686,0.0639,0.0251,0.3341,0.4345,2.8836,3.7399,9.0301,2.3624,0.0851,1.7164,3.0494,0.0566,1.9162,5.3296,4.2534,2.9717,14.3192,0.5633,9.9001,5.1389,13.8144,15.1721,3.8705,0.658,0.7675,0.0,18.723,0.0,0.0004,0.1041,6.2324,0.0
SEN_C19,3.4757,10.3834,0.4361,10.6326,1.2113,14.2851,0.3912,0.3145,0.186,0.3317,16.6273,0.1553,0.3434,11.091,0.1424,0.1478,0.0033,0.1062,0.0709,0.0215,0.0394,0.3956,61.3059,3.3304,35.1514,12.3449,31.0941,0.9066,3.2313,5.3644,0.0149,1.1732,0.126,2.9763,0.2847,2.3376,0.6896,9.1836,2.5824,12.0207,1.3485,2.6308,0.1656,0.2875,0.0,42.916,0.0,0.0027,0.7192,12.2498,0.0
SEN_C20,84.604,0.665,0.5023,4.7054,0.3785,12.7801,0.9642,0.0905,0.9617,2.1689,63.0263,1.1272,22.3254,19.8391,0.209,0.2805,0.0008,0.0264,0.077,0.0078,0.0231,0.4135,0.1603,3.5518,43.9156,2.5047,1.6041,0.0178,0.2869,3.0338,0.0073,1.7981,0.0475,0.6272,0.126,0.8777,0.2631,2.6935,4.4672,1.7996,0.5853,2.5514,0.0467,0.165,0.0,82.0683,0.0,0.0016,0.4367,13.1689,0.0
SEN_C21,0.1434,0.0003,0.0,0.0004,0.0,0.1858,0.001,0.0003,0.0002,0.0001,0.0005,0.4799,0.0001,0.0009,0.0001,0.0002,0.0,0.0002,0.0,0.0,0.0001,0.0003,0.001,0.0002,0.004,0.0028,0.0006,0.0,0.0001,0.0004,0.0,0.0015,0.0001,0.0008,0.0001,0.0003,0.0,0.3074,0.0003,0.007,0.0685,1.7152,0.0043,0.0076,0.0,27.8402,0.0,3.1142,0.0079,0.6862,0.0
