V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T,SWE_HFCE,SWE_NPISH,SWE_GGFC,SWE_GFCF,SWE_INVNT,SWE_DPABR
SWE_A01_02,4969.1178,1.5071,1.366,5.86,0.4645,2115.7868,11.6658,3089.5691,2727.4895,2.2871,75.3014,17.6799,10.0326,11.3231,17.2406,10.7219,2.3077,3.7119,12.9328,15.7821,2.6908,15.4309,403.5167,11.5034,234.4555,90.7024,23.4027,3.9368,1.499,77.7795,2.525,206.2241,119.5909,5.6096,20.0072,14.4484,213.5956,70.2101,63.3959,47.9771,48.1503,172.9942,110.5872,42.8894,0.0,3144.3659,4.1209,22.5886,631.4741,152.0057,0.0
SWE_A03,0.5886,7.5164,0.0065,0.0372,0.0035,29.1607,0.041,0.1171,0.2057,0.0384,2.942,3.1931,0.0536,0.095,0.0817,0.1195,0.0475,0.0581,0.1779,0.3052,0.0324,0.1219,0.1202,0.094,1.2291,2.9684,0.1612,1.023,0.0549,0.5847,0.0246,41.8582,0.1327,0.0603,0.2762,0.1389,0.5931,0.8658,0.6954,0.684,0.5016,1.6611,0.6106,0.0693,0.0,81.9793,0.2813,1.1445,1.5622,6.4671,0.0
SWE_B05_06,71.8774,0.0011,9.0522,1.3445,0.0877,0.3428,0.0107,1.0883,8.9741,65.5334,4.9143,0.1135,0.2432,52.2404,79.0459,0.0852,0.0065,0.0091,0.0718,0.7575,0.02,5.2161,5.3076,2.9229,25.5148,0.7269,1.8293,0.0132,0.0139,9.0315,0.5748,0.0801,0.0388,0.0272,0.0582,0.0306,2.5799,0.1848,0.1127,0.1512,0.1125,0.1713,0.3296,0.0435,0.0,2.8905,0.0003,0.004,2.3447,5.5708,0.0
SWE_B07_08,1.7703,0.0749,14.1829,609.2261,18.9954,9.1818,0.0833,1.1164,16.3623,0.0253,150.5852,1.5561,1.3383,28.9787,2850.7453,1.9819,2.0806,1.8505,0.0805,0.0575,0.0684,0.4077,21.8499,64.5353,267.8083,0.0849,58.0669,0.0378,0.0,43.2099,0.5299,0.1647,0.0,0.0,0.1851,0.0,16.1373,2.7676,1.9187,0.6046,0.0356,0.2135,8.4104,0.6738,0.0,40.5504,0.0,0.0,2.0253,81.5775,0.0
SWE_B09,0.0051,0.0004,0.0048,0.1031,0.0115,0.0019,0.0,0.0051,0.0875,0.0,0.0328,0.0004,0.0065,0.0992,0.5466,0.0031,0.0002,0.0004,0.0002,0.0001,0.0001,0.0,0.1001,0.0222,0.6679,0.0002,0.009,0.0001,0.0,0.0215,0.0,0.0006,0.0,0.0,0.0006,0.0,0.0027,0.003,0.0027,0.0021,0.0001,0.0007,0.0013,0.001,0.0,0.0,0.0,0.0,0.0048,0.0,0.0
SWE_C10T12,396.9031,9.9027,0.0,0.0,0.0,1856.6549,14.289,0.0,48.1823,0.109,194.4005,67.2476,1.7543,0.1629,0.0872,0.0503,0.0553,0.8026,0.05,1.3456,0.0851,2.943,7.9155,1.2019,0.8148,81.941,11.4903,18.5115,6.2767,0.9625,0.1156,2082.6941,0.1423,0.0,0.8494,6.4547,1.5686,55.9408,24.0866,92.9771,147.2932,503.9796,146.0596,2.0561,0.0,10224.2769,0.0,11.0633,0.0,230.8141,0.0
SWE_C13T15,2.7679,0.7098,0.6447,5.0706,0.4145,14.7453,70.7384,9.5191,40.0294,1.4457,4.4025,6.4783,8.3641,4.8465,6.0084,24.0972,3.0551,4.4662,15.3322,22.3081,1.9722,29.5563,2.8428,1.444,20.8396,21.2174,4.9315,0.6836,0.5799,5.6216,0.9753,10.6064,1.6893,2.7839,11.4672,0.8169,2.6349,43.1679,25.0566,13.6533,3.2097,36.0864,7.0773,5.1004,0.0,783.0891,0.0031,0.6449,6.1727,18.228,0.0
SWE_C16,135.0981,4.3861,1.5673,1.9551,0.1477,22.1561,2.2115,1228.3981,531.5582,3.2608,20.6606,6.6913,31.5335,153.5522,46.9741,66.951,4.5053,22.099,39.1689,19.3302,7.6823,235.7598,436.8091,10.8502,3019.2281,86.1068,15.9426,0.7997,1.167,27.7696,2.8574,7.3221,4.2537,2.2476,10.898,3.6895,296.1768,27.7468,43.5063,18.426,14.6658,17.5135,22.7132,25.4339,0.0,493.8865,0.173,5.9527,261.7839,69.1607,0.0
SWE_C17_18,237.3875,0.9466,1.1302,9.8454,0.5584,265.7597,10.8505,187.8106,1517.0816,6.1129,63.9573,124.1048,77.8137,28.7363,37.1438,41.3022,23.8892,21.8523,76.1345,90.5506,6.9417,69.9984,65.8278,56.0582,92.7488,548.6395,74.7846,27.4118,17.9925,95.4181,20.5072,33.5229,424.0055,71.6343,129.2958,64.9497,121.7406,443.9818,102.8614,115.8437,130.3305,229.4022,134.5871,84.5234,0.0,833.3689,1.2768,291.4908,169.9963,107.4696,0.0
SWE_C19,243.6939,11.2798,8.7158,46.1027,2.7577,52.9895,6.4558,48.269,147.3445,7.2949,82.8062,32.4694,25.0242,142.4715,129.7279,27.0191,3.8092,12.6024,38.4045,49.0488,13.9629,63.1968,67.0047,130.1378,691.2869,278.4048,1456.8743,170.4128,435.1857,136.903,27.1824,16.6246,10.002,18.737,8.7085,14.0963,109.8827,56.4525,66.0448,99.8809,20.6906,49.3596,46.5623,21.8534,0.0,1685.2705,0.2591,10.9064,18.0546,96.406,0.0
