V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T,TUN_HFCE,TUN_NPISH,TUN_GGFC,TUN_GFCF,TUN_INVNT,TUN_DPABR
TUN_A01_02,168.7468,7.892,0.0,1.7329,0.0121,2032.9005,26.0271,17.4825,6.5241,0.2826,7.1141,3.9154,2.3033,0.0926,0.0038,0.0165,0.0122,0.0064,0.0136,0.0116,0.0087,9.7191,0.0,0.0,0.6496,118.1474,0.0001,0.0,0.0,0.0,0.0,58.8751,0.3271,0.0,1.1389,0.0,1.1739,4.3445,2.8067,22.3114,0.5491,1.0786,1.6393,2.9941,0.0,1646.0049,0.4203,0.0,16.324,0.3398,0.0
TUN_A03,18.4899,39.177,0.0,0.2241,0.0,301.5156,3.3507,0.45,0.3464,0.0576,0.9944,0.9665,0.2397,0.0069,0.0006,0.002,0.0015,0.0017,0.0019,0.0016,0.0011,0.724,0.0,0.0,0.0722,8.4467,0.0,0.0,0.0,0.0,0.0,43.8388,0.5738,0.0,0.277,0.0,0.2616,1.0926,0.6433,5.3163,0.1765,0.4242,0.7047,1.0313,0.0,281.3979,0.1042,0.0,0.0,0.1148,0.0
TUN_B05_06,1.6456,0.2226,68.7409,37.0,3.5963,35.51,19.8916,1.6182,5.0932,329.4888,6.0126,0.2114,2.1719,8.1028,6.9337,4.5725,3.0404,2.1832,3.2763,3.1246,2.4688,2.3194,449.1828,5.9057,7.8222,11.84,0.1308,0.0266,0.0234,0.0362,7.0102,29.1778,0.9912,29.8456,1.2481,15.3184,1.4222,3.9252,2.6052,3.9304,0.1284,0.1167,0.0853,0.3281,0.0,305.5084,0.0,0.0,39.1053,-0.6872,0.0
TUN_B07_08,0.0,0.0,0.6986,10.1262,1.6379,2.4063,2.6062,0.0052,0.0288,9.8101,171.4827,17.3256,0.0116,32.8421,0.2091,0.1689,0.07,0.1122,0.1143,0.0747,0.0303,0.016,0.0,0.0,67.2204,0.1039,0.0106,0.0011,0.0017,0.0054,0.0,1.2308,0.0007,0.0,0.0007,0.0057,0.0008,0.0031,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,12.6285,0.0,0.0,0.0,0.0307,0.0
TUN_B09,0.7561,1.0041,160.4342,8.1394,22.7361,0.5011,0.0928,0.0091,0.2332,6.0279,1.9666,0.1408,0.0625,4.0626,2.3308,0.4961,0.0055,0.0166,0.0802,0.0044,0.0083,0.0228,0.7388,0.3932,9.9746,0.0353,0.7115,0.0373,0.0882,0.2644,0.0064,0.0508,0.0005,0.0,0.0002,0.0036,0.1549,0.2222,0.0642,0.3524,0.001,0.0014,0.0043,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_C10T12,183.305,14.4663,0.6209,0.5861,0.299,448.6154,4.4385,0.072,0.0929,0.6344,33.3935,14.1523,0.0847,1.237,0.2676,0.3125,0.2504,0.1794,0.2992,0.2309,0.0773,0.1387,0.5446,3.1707,5.0784,25.6685,3.7716,0.8185,1.4266,0.4114,0.2657,399.2078,0.317,0.2721,3.4093,2.9132,3.4834,11.2573,6.8062,30.1556,0.8253,1.6771,1.599,1.5717,0.0,3462.8897,0.9397,0.0,0.0108,0.6855,0.0
TUN_C13T15,0.3495,0.1071,4.2302,1.115,0.2105,4.4438,902.8829,0.3894,1.7955,0.2739,0.1008,0.0546,1.5078,1.0922,0.0194,0.0724,0.107,0.0501,0.0798,0.1792,0.0373,6.473,0.1686,3.0227,2.0433,8.1815,0.9319,0.3011,0.355,0.4835,0.745,0.9658,1.1711,0.5238,3.2324,0.0235,2.7795,10.99,7.9659,36.7357,0.7776,1.7699,2.1328,3.4919,0.0,1066.7072,0.2451,0.0,0.0,3.3348,0.0
TUN_C16,0.8286,0.0708,0.9948,1.2736,0.1284,12.3978,12.9993,89.4232,13.3647,0.0029,0.7404,0.166,5.1094,2.7459,0.7954,3.7885,2.4899,1.5554,2.7226,2.0716,1.3979,55.3869,0.1189,0.5722,100.2839,2.3992,0.4949,0.1278,0.0735,0.4923,0.063,0.1119,1.2035,0.0609,0.6299,0.4759,1.3694,1.9926,1.7277,2.3529,0.0778,0.0713,0.2634,0.3973,0.0,79.059,0.0654,0.0,4.0102,-0.4423,0.0
TUN_C17_18,0.5439,0.0856,0.8897,1.02,0.1957,45.1421,40.0332,6.5566,107.7488,0.0043,2.391,1.6297,3.5499,2.8953,0.7528,3.115,4.7592,2.9738,3.1037,1.898,0.6722,6.0581,0.0957,1.0943,4.1236,11.6974,1.1599,0.1779,0.3177,0.9567,0.693,0.5022,40.5104,0.8044,3.1486,7.0367,1.9876,12.5035,4.4273,8.8346,0.3612,0.2956,0.7901,0.5349,0.0,182.5157,0.137,0.0,8.0662,-0.5878,0.0
TUN_C19,50.5806,8.5711,6.0805,5.5375,3.0493,10.0449,12.9362,0.9231,1.1566,0.0197,2.8679,0.3733,1.0515,14.0204,2.8636,2.9521,2.1139,1.6342,2.6082,1.4358,0.4349,1.3676,7.0694,1.267,41.0771,8.4669,48.7639,10.4882,18.3697,5.1991,1.9837,2.292,0.4394,1.1687,0.7917,0.3392,1.4012,2.64,3.5243,10.5654,0.138,0.2834,0.3762,0.3045,0.0,333.9771,0.0,0.0,0.1405,0.2615,0.0
TUN_C20,21.1359,0.321,5.121,3.0524,1.1154,30.2034,77.8725,6.4457,13.4215,0.0091,124.2935,21.5299,37.635,2.7043,3.7737,8.9323,10.6557,8.6164,4.7572,7.3861,1.5757,8.9405,0.0409,5.7222,9.8289,1.3922,0.1258,0.0243,0.0311,0.0764,0.0183,0.7082,1.9392,0.0178,1.9025,0.6533,3.9009,10.3512,6.4992,5.4758,0.2252,0.6703,0.3352,0.8092,0.0,107.2267,0.0701,0.0,0.1883,-0.8509,0.0
TUN_C21,3.0851,0.1894,0.2054,0.2111,0.008,4.9214,3.8019,0.2751,1.0128,0.0008,10.0414,90.5951,0.6923,0.1218,0.2207,0.4092,0.993,0.3232,0.4724,0.4032,0.2,0.9295,0.0018,0.2737,0.4293,0.1281,0.014,0.0085,0.0063,0.0111,0.0039,0.0856,0.1362,0.0037,0.3845,0.1234,0.3119,2.484,0.4652,1.6655,0.0502,0.5116,0.0188,0.0898,0.0,173.1236,0.0722,178.769,0.0961,-0.0336,0.0
TUN_C22,0.4303,0.0398,0.6571,1.0394,0.3549,23.4674,27.858,2.7606,5.6468,0.0037,1.8226,0.9008,21.4018,1.9696,0.7145,2.7934,5.799,5.2122,5.4455,7.1637,1.0552,8.5267,0.0384,0.7548,25.296,3.4782,0.9972,0.0537,0.0723,0.2514,0.1116,0.1417,2.073,0.1043,0.3656,0.4581,0.572,1.4907,0.9496,1.5189,0.0367,0.0899,0.0703,0.126,0.0,58.9389,0.0,0.0,1.9713,-0.674,0.0
TUN_C23,0.2507,0.0162,2.3087,2.0345,1.4443,9.2156,2.5964,0.7435,0.4299,0.0874,2.0402,1.1364,1.0408,118.4648,1.6114,2.879,3.961,2.5586,2.3346,2.719,0.5838,1.0039,0.2439,0.408,667.4599,0.8344,0.1435,0.0153,0.0221,0.0919,0.0342,18.1917,0.0906,0.1372,0.1976,0.1431,0.3822,0.4613,0.2726,1.5458,0.0461,0.0807,0.1061,0.1209,0.0,111.0034,0.004,0.0,0.0,-0.3031,0.0
TUN_C24,0.1275,0.0218,0.1286,0.1278,0.5288,5.0898,3.5967,0.3759,1.1207,0.0032,0.9961,0.1863,1.7937,2.6221,33.3273,59.3382,15.0493,25.4918,26.622,23.8938,5.5427,4.9293,2.4338,0.0099,43.2175,0.3037,0.5594,0.2122,0.1097,0.3204,0.1219,0.2495,0.1704,0.2471,0.4795,0.0593,1.0397,2.7882,0.5911,0.553,0.0117,0.0131,0.0264,0.0838,0.0,9.0594,0.0,0.0,8.1382,-6.4987,0.0
TUN_C25,1.3907,0.1565,0.4785,0.4922,3.5909,64.3621,35.8669,4.6286,2.3944,0.0203,4.041,1.2306,5.3248,6.2975,16.2757,121.4843,45.8029,39.3549,71.5765,55.371,16.5297,21.2175,8.3163,0.0244,176.251,2.4892,2.4738,0.6411,0.4266,2.0378,0.6116,2.7512,0.8362,1.4438,3.796,0.2863,5.6625,10.9224,8.2144,4.2827,0.0626,0.0801,0.1744,0.2216,0.0,138.3056,0.0678,0.0,89.4282,-12.8564,0.0
TUN_C26,0.2,0.0351,0.0681,0.0596,0.1982,6.0849,5.4942,0.5413,1.9505,0.0037,1.001,0.542,1.1735,0.6907,1.1842,8.8659,137.076,20.5277,14.4698,14.2447,7.3118,12.1049,4.5452,0.0093,17.5913,1.9251,1.2039,0.3021,0.5846,1.0504,0.5574,1.1994,2.1009,4.9589,13.3388,0.5134,1.1475,11.8587,4.3798,5.5964,0.1436,0.3241,0.2059,0.5752,0.0,192.199,0.096,0.0,112.7489,-28.8343,0.0
TUN_C27,0.1366,0.0287,0.0576,0.0724,0.5616,4.9153,3.6107,0.2847,0.4457,0.003,0.4261,0.1528,0.5658,0.5138,1.4437,5.2511,25.3936,46.1191,16.5801,12.9158,3.7844,5.541,7.4504,0.0054,39.661,1.2448,1.0934,0.1832,0.1826,0.5486,0.1587,0.8035,0.3331,1.2426,2.1136,0.1261,1.4839,4.6532,2.4225,1.5289,0.0307,0.0394,0.1014,0.1459,0.0,84.2788,0.0481,0.0,37.755,-6.446,0.0
TUN_C28,1.4577,0.1823,0.8217,0.8943,3.7173,33.2321,36.0213,2.6172,5.063,0.0222,2.622,1.1242,3.7036,5.4703,9.7149,20.102,24.746,16.5379,124.1931,41.6625,11.9012,14.5143,11.4916,0.0278,77.2499,2.2084,3.6402,1.2604,1.2385,2.6332,1.0915,1.6092,1.6504,1.4835,2.9276,0.3059,2.5944,8.8724,8.2053,2.95,0.0586,0.1057,0.1926,0.2631,0.0,185.75,0.0472,0.0,320.9775,-58.3513,0.0
TUN_C29,0.4138,0.0445,0.0731,0.1016,0.138,3.9657,4.4692,0.3615,0.5203,0.0028,0.418,0.1675,0.6664,0.7595,2.0105,6.5328,11.0879,4.9369,10.5951,93.3599,4.7856,10.0198,1.6189,0.0067,7.1396,1.4975,4.4703,0.1168,0.3035,0.7339,1.9102,0.48,0.2292,1.0573,1.0606,0.176,1.2561,3.1727,5.7583,1.6586,0.0188,0.0377,0.097,0.093,0.0,303.7155,0.0221,0.0,107.0773,-35.0132,0.0
TUN_C30,0.1154,0.0278,0.0187,0.0164,0.0085,0.1751,0.2895,0.0428,0.0673,0.0006,0.026,0.0106,0.0651,0.0301,1.0559,2.1507,4.8649,2.0668,5.0846,5.532,13.1285,0.9614,0.1212,0.0008,0.3206,0.117,1.0461,1.3794,1.3071,0.4214,0.2026,0.1296,0.0099,0.095,0.2254,0.0682,0.1848,0.7498,0.5152,0.4148,0.0046,0.0054,0.0207,0.0222,0.0,35.3942,0.0,0.0,48.1832,-18.9652,0.0
TUN_C31T33,0.2108,0.0345,0.707,1.6939,3.4975,12.986,21.5063,1.5563,0.7902,0.0011,0.3847,0.3199,1.0802,0.6202,0.3627,0.9501,2.0171,0.7868,0.9887,1.154,0.4897,12.0334,0.0241,0.6129,34.6533,5.5826,10.7048,2.3669,5.5913,5.0456,1.184,0.745,0.5254,3.2721,5.2713,5.9988,5.5759,14.6292,13.9999,5.4439,0.1762,0.7233,0.4081,0.1995,0.0,343.7845,0.0442,0.0,5.8089,-1.7213,0.0
TUN_D,9.0205,0.5312,90.5821,16.246,3.7191,79.997,123.017,3.4002,8.2128,0.0899,8.1233,1.8273,4.9301,54.8861,31.582,33.9795,30.7607,18.3159,19.3562,16.7013,5.8367,5.6389,5.0661,19.3673,4.5799,30.3446,6.3456,0.4338,0.7167,4.0416,1.6641,10.0601,1.2642,7.1095,9.8357,3.2774,18.1962,21.1642,12.586,21.8484,0.614,1.1152,1.4436,0.8527,0.0,431.011,0.2245,0.0,0.0,0.0291,0.0
TUN_E,5.8543,0.5604,0.7269,0.4186,1.0839,6.5252,13.046,0.171,0.5766,0.0041,1.9158,0.5899,0.2299,0.829,0.8743,0.7912,0.5874,0.3309,0.5285,0.3312,0.1824,0.2774,0.6385,0.0212,2.0334,2.6199,0.1652,0.0343,0.0378,0.1407,0.0208,1.4815,0.1479,0.032,2.0927,0.0527,4.8099,6.6832,3.8858,2.8749,0.0525,0.1125,0.1077,0.0839,0.0,157.1848,2.2085,0.0,0.0,0.0,0.0
TUN_F,6.3795,0.6955,42.0464,2.1377,3.5451,15.9328,15.3536,0.3041,0.6991,0.3743,1.9756,1.9413,0.4304,9.5705,5.2644,8.6929,3.4699,2.3337,2.9218,1.3837,0.4815,0.4974,1.3529,10.3928,84.9003,13.7417,3.6564,0.9992,1.3518,1.2952,0.2592,1.4964,0.1416,0.7557,3.487,2.05,8.5716,7.1699,3.6188,4.8014,0.0996,0.1525,0.2063,0.1385,0.0,83.373,0.6224,0.0,4326.6607,0.0111,0.0
