V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T,VNM_HFCE,VNM_NPISH,VNM_GGFC,VNM_GFCF,VNM_INVNT,VNM_DPABR
VNM_A01_02,15277.8797,51.5434,0.1253,1.3783,1.1083,27482.8667,1260.5895,2491.1215,45.1629,0.3536,1346.6996,66.159,994.4738,6.7252,2.7475,0.0577,0.1412,4.4819,0.0758,0.0306,0.3178,975.8537,0.0586,1.8608,41.9299,239.7317,0.1537,0.098,0.0008,5.7062,0.0001,1372.1528,1.9148,0.1535,3.5519,8.6314,30.4898,170.5328,57.8259,8.2919,112.8514,7.6748,10.1122,4.0314,0.0,14084.1056,0.0,0.0,880.632,-12.502,0.0
VNM_A03,14.9905,4328.4322,0.0007,0.0007,0.0003,10684.4312,0.3364,0.7589,0.0139,0.0004,1.6823,15.295,0.2464,0.0032,0.0012,0.0004,0.001,0.0019,0.0001,0.0004,0.0003,0.2953,0.0,0.0006,0.0165,7.4278,0.0001,0.0098,0.0,48.8497,0.0,493.6691,0.0005,0.0001,0.0009,0.0552,0.5671,11.7247,0.258,0.0025,19.5411,2.676,0.335,1.32,0.0,6848.175,0.0,0.0,0.2146,2.2693,0.0
VNM_B05_06,67.7703,0.2097,3886.0864,5.1393,13.0532,62.7376,88.7355,2.6194,64.4786,7016.6593,899.7798,7.6651,61.1392,1731.8506,202.074,38.676,31.3945,42.1299,2.4736,12.7312,12.8655,53.5055,950.8736,5.8752,67.3804,48.769,2.3351,0.2766,0.0,0.5137,0.0,91.15,0.0132,0.0021,0.3582,0.0422,17.0271,7.9318,7.2804,0.5137,6.2095,1.4665,1.8314,10.1011,0.0,2986.6472,0.0,0.0,0.0,-35.4083,0.0
VNM_B07_08,1.4694,0.3503,6.5761,28.897,0.0729,21.9028,0.9576,0.0014,3.5553,7.0634,566.2391,0.3136,16.1534,476.6064,89.4111,3.6856,3.2957,0.0384,0.001,0.0452,0.5053,10.7087,5.7137,0.6716,141.5774,17.9027,0.0032,2.7105,0.0,0.7027,0.0,0.244,0.0001,0.0035,0.0,0.4208,10.8328,11.1826,0.8126,0.5138,0.0173,0.2496,0.0185,11.9131,0.0,17.0414,0.0,0.0,0.1211,1.5636,0.0
VNM_B09,0.0016,0.7941,736.6718,16.0912,0.3861,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1308,0.0021,0.0,0.0,0.0,0.0,0.0,0.1383,0.0,0.0,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0463,0.0004,0.0,0.0,0.0,0.0,1.3286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,8347.9701,6014.8808,20.1123,1.9649,0.7298,25584.9186,23.9934,1.038,116.8018,47.0295,28.7622,108.5526,16.132,39.3545,2.1711,1.6749,0.6867,0.037,0.0273,0.1302,0.0421,137.5614,2.0494,1.4646,2.4057,396.8607,7.1516,5.409,26.5766,5.1485,0.0002,4153.598,1.3717,1.6082,3.5078,3.1221,20.3519,45.9256,7.0946,7.1819,117.3316,25.7856,2.2724,19.3957,0.0,28357.1348,0.0,0.0,7.6798,-49.0616,0.0
VNM_C13T15,81.2088,36.9847,82.5803,7.2684,1.2568,23.6332,11137.2415,22.3545,62.8511,26.0624,11.7737,2.2537,44.7188,92.7109,6.1482,4.7623,16.862,5.7803,2.6451,21.8694,12.3252,201.2304,17.4687,21.5392,63.4408,199.3598,20.0831,4.1564,7.425,19.2921,9.4443,57.2092,4.4217,14.2203,1.9505,35.0329,49.0363,25.9315,37.0259,64.6937,61.3766,18.783,30.1496,149.1941,0.0,5441.2776,0.0,4.289,0.0094,-37.14,0.0
VNM_C16,112.0355,33.81,0.2179,0.941,0.0008,79.432,92.6978,2240.4564,398.417,0.2067,62.396,0.9123,20.7702,35.4856,4.0031,4.3359,11.6618,8.519,6.1156,0.6601,3.1629,3071.8346,0.9638,1.2959,385.5776,78.8323,0.6194,4.1961,0.1484,3.3782,0.134,13.4174,0.2375,5.6813,0.0122,2.8981,26.6334,13.7726,1.3842,12.1304,4.8589,0.647,1.8204,15.0456,0.0,338.6821,0.0,0.0,0.0004,-10.8842,0.0
VNM_C17_18,135.8677,7.7243,9.8789,0.9996,1.2073,563.5669,876.2207,71.0324,3302.1642,0.5362,100.8357,44.3037,201.6492,214.7598,5.4686,13.6814,270.969,322.9392,8.639,11.8718,7.4602,638.1586,10.0229,3.0575,47.9557,702.5674,13.8832,1.8706,0.8341,14.3472,19.418,106.1313,337.8945,33.8001,13.2242,151.7617,52.3147,204.1604,17.0569,229.7384,128.6205,20.0342,579.5016,31.4946,0.0,342.5277,0.0,7.1967,77.5373,-2.1025,0.0
VNM_C19,675.0784,1696.0879,2590.7844,256.5506,6.0275,211.9832,205.2878,92.6786,61.8494,3685.5228,90.8663,12.1191,222.9634,568.3609,135.7335,27.9966,35.4021,63.8353,19.0474,23.9719,81.2767,249.6761,141.8773,101.6378,1488.9194,1296.3332,2587.4295,848.8421,808.4854,293.4503,35.0166,985.1025,26.4005,98.4526,6.5102,194.8087,78.0916,70.5896,94.3514,211.4498,165.0814,14.3618,21.344,36.8176,0.0,1137.47,0.0,0.0,0.0,-0.698,0.0
