V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_A01_02,1322.7958,0.1164,0.8156,1.0184,0.1552,2718.4513,7.567,937.2871,391.2531,2.0808,165.7796,7.6204,14.7486,4.9936,7.7606,8.8905,3.7339,4.5806,9.9408,4.6128,2.4398,16.2968,69.7118,6.8469,122.3775,75.3045,13.9157,1.0675,2.294,9.6763,0.8389,239.8043,6.4505,2.0361,6.6385,11.4411,60.7851,19.5041,47.2202,21.6119,10.6404,35.424,5.4706,5.0434,0.0
AUT_A03,0.0,2.0212,0.0001,0.0001,0.0,7.49,0.0002,0.0002,0.001,0.0,0.0047,0.0018,0.0008,0.0006,0.0027,0.0009,0.0038,0.001,0.0024,0.005,0.0007,0.4804,0.001,0.0002,0.0005,0.0044,0.0012,0.0,0.0002,0.0003,0.0,30.4735,0.0001,0.0002,0.0025,0.0019,0.0001,0.0289,0.0012,0.0041,0.0004,0.0037,0.0003,0.001,0.0
AUT_B05_06,1.1462,0.0189,8.4844,0.2094,0.2809,3.7109,0.5972,1.3334,1.0164,305.8961,4.1281,0.5188,0.7537,1.2877,53.8298,1.6038,0.7684,1.4793,7.7909,4.2926,0.5624,1.5041,278.8565,1.2258,9.8744,3.8739,9.8354,0.0221,0.2833,1.1911,0.1033,1.6925,0.1881,0.1883,0.1602,0.2263,4.0623,1.8544,1.201,0.8238,0.6714,2.0622,0.4956,0.4579,0.0
AUT_B07_08,3.2726,0.0559,0.6489,39.5832,2.6103,4.1032,0.0,0.6474,18.7272,0.0019,16.9109,0.1164,0.7023,246.8247,366.6144,0.558,0.0528,1.9812,0.7482,0.0642,0.02,1.1232,2.241,7.5965,177.257,1.6583,2.4384,0.0014,0.0,4.4559,0.0699,0.2285,0.0161,0.0264,0.0,0.0,10.0442,4.6411,4.9354,16.2012,0.5709,1.7371,0.3653,0.2357,0.0
AUT_B09,1.1064,0.0289,0.1237,5.4861,1.786,0.601,0.0,0.2776,6.6544,0.0007,2.419,0.0167,0.2327,23.2299,54.1186,0.1397,0.0023,0.163,0.2227,0.0119,0.0025,0.0041,0.8455,1.2646,20.6999,0.3649,0.4468,0.0002,0.0,0.6374,0.01,0.0318,0.0007,0.0,0.0,0.0,1.4368,0.6645,0.706,7.5574,0.1997,0.2485,0.0523,0.0038,0.0
AUT_C10T12,369.6622,10.6764,0.0461,0.05,0.0069,2615.0899,51.0063,1.3819,29.4609,0.5137,85.6842,49.8056,2.2079,3.0704,4.038,1.8099,0.6602,1.3296,3.4607,1.6346,0.3208,1.3607,1.8432,0.2769,4.3975,129.1782,48.9046,17.7043,12.6565,1.4644,0.1235,2330.3996,8.5434,0.4567,1.0899,7.126,0.9942,6.7815,17.5249,34.5107,69.9964,391.9518,23.6412,20.9374,0.0
AUT_C13T15,11.9295,0.2368,0.1508,0.1629,0.0207,11.729,321.897,3.9666,14.0247,1.4169,6.8411,2.4014,31.9771,29.1638,6.849,19.3609,7.8402,7.5233,11.268,28.4617,5.1729,46.2379,3.5498,1.1789,35.8599,52.6652,4.5885,0.1487,0.7144,4.9588,0.1147,14.6228,1.0221,0.4087,0.7529,10.988,2.1286,14.1646,12.2098,9.4849,3.2713,38.9214,4.1203,7.6311,0.0
AUT_C16,45.7307,0.7079,4.1898,8.3086,0.9749,58.6058,5.5414,1734.0432,59.3418,1.3302,24.3433,7.7451,34.7168,27.9475,35.5717,96.6698,12.8176,40.2277,69.7169,23.937,8.9457,297.1818,49.4834,9.4441,1366.4328,152.7681,12.9034,0.3818,4.2281,12.0494,1.4904,18.0273,2.5777,2.8822,11.3885,11.046,37.9831,39.3532,32.676,66.803,18.4044,47.0312,12.1408,6.6055,0.0
AUT_C17_18,9.1711,0.1278,0.3489,3.0516,0.3302,163.0631,6.9285,91.3532,1029.3746,1.6752,102.2696,30.0462,32.5953,25.1145,19.5574,31.8961,14.4526,19.7915,46.4989,16.5123,8.8676,24.3,13.8852,6.6375,47.3631,234.1123,14.6843,0.674,3.1937,11.7525,3.4201,39.4862,716.5588,7.1235,49.9098,70.4562,40.8783,356.3065,80.9818,164.555,38.8982,77.5449,20.1517,76.5984,0.0
AUT_C19,146.64,1.0883,3.5464,9.2992,1.13,29.1175,5.3333,21.7289,16.0065,55.8136,163.7359,10.822,33.4541,48.2568,183.3826,15.5239,13.16,37.4469,17.8385,18.322,1.7198,14.9041,51.8461,51.014,258.8066,253.1057,406.2343,8.8052,194.323,53.1815,7.7481,130.7742,4.5723,4.8612,29.4407,16.1005,58.3746,73.797,73.6556,156.7645,123.2871,237.9615,42.4366,66.8372,0.0
AUT_C20,121.6218,0.1531,6.8021,11.503,1.6809,143.9909,55.4008,95.5658,158.8298,73.7205,2092.2312,141.6165,450.1187,126.7597,189.9147,96.9068,175.6932,113.2981,77.2219,85.0012,10.5261,60.9916,20.0149,21.9371,222.5549,115.6018,32.7241,0.8345,10.6916,13.6656,2.4659,33.2963,6.7953,4.9271,30.6547,21.926,32.0485,127.5851,69.7942,31.107,12.6563,106.7816,8.9336,29.997,0.0
AUT_C21,11.8387,0.1028,1.8761,3.5046,0.5074,39.8959,11.9942,9.8591,7.7582,4.5751,31.0501,185.5487,8.645,6.8144,35.342,13.2831,12.8233,10.4331,24.8644,14.2044,5.4392,18.2174,15.2045,5.511,45.297,57.9774,14.0568,0.5192,8.0822,5.0071,0.7639,25.3331,3.1474,3.5561,15.9124,11.6005,6.9198,85.2365,21.7312,17.5417,5.1617,411.2002,4.3149,4.5839,0.0
AUT_C22,38.1893,0.3498,1.0238,5.7257,0.8048,234.2569,26.7729,60.7928,66.0479,3.5176,55.3089,35.7132,200.3391,39.24,44.3101,77.175,29.7465,113.8743,195.1082,146.5,42.5122,65.9016,15.2111,14.3135,511.8692,292.4452,40.5006,0.5651,4.4054,19.2666,1.1248,21.242,21.7466,4.948,23.5126,46.6707,28.6705,129.7604,51.3093,31.0315,15.4602,156.1561,10.6328,22.3504,0.0
AUT_C23,24.7586,0.9222,0.9077,4.9109,0.7996,83.1285,6.2821,62.7065,6.983,2.7797,35.8034,27.2758,85.3253,527.1835,61.0636,80.2984,29.1278,75.2565,68.0832,64.6474,27.7047,54.211,20.028,16.8689,2282.9374,91.0777,39.0721,0.3306,4.0827,13.4349,1.4348,59.5603,4.5176,2.9806,35.1988,17.2588,167.6897,64.7455,34.6308,74.9977,6.3075,44.7594,5.551,9.6871,0.0
AUT_C24,3.6428,0.0,0.3882,11.2818,3.1748,5.2793,0.0,21.6593,18.797,0.5755,15.9923,4.2681,60.7821,67.8788,3675.3552,2025.6525,34.6857,398.5928,890.7601,502.2165,84.0903,387.0319,10.3365,16.1236,770.5208,20.0072,1.5713,0.0,0.0,3.5211,0.0,0.0078,0.9213,0.0,0.0,0.0,3.84,8.8688,0.0478,6.2808,4.5866,57.8043,0.1398,3.1602,0.0
AUT_C25,79.3859,0.5908,9.3902,5.6019,0.9461,406.2938,12.0588,112.6796,18.2274,4.555,32.148,17.1933,94.1315,77.091,378.3,1599.3152,98.0282,428.4997,1265.6282,434.8906,235.286,295.4897,43.9274,19.5278,1120.4577,451.965,58.6367,1.2361,14.6715,29.3086,1.8544,100.516,9.4755,9.2551,43.6714,42.9685,67.5551,139.4802,37.0068,95.1271,44.9363,84.5011,16.6476,20.9905,0.0
AUT_C26,6.4707,0.0759,0.6698,1.1561,0.2463,13.4995,1.5795,4.3356,7.5684,1.4133,7.2291,3.9434,5.0011,4.3243,9.4186,24.1661,508.4202,252.5767,108.7031,101.9779,23.6859,99.2312,16.5274,4.7905,89.1982,77.7277,13.3661,0.3681,6.6564,4.3005,0.6148,8.2231,23.5145,145.3893,85.6012,19.555,7.7828,100.5432,28.9654,13.8858,17.4597,84.4921,3.2364,10.1601,0.0
AUT_C27,45.1316,0.5643,2.645,4.3486,0.7511,30.3839,3.1369,12.5378,17.928,5.2756,18.3766,7.7153,19.3094,11.2284,48.479,81.0874,135.1502,684.7363,465.9816,356.9272,105.9224,216.7889,94.4986,22.167,592.3945,171.6295,76.8718,2.0296,45.074,12.7976,1.2364,22.6102,7.3726,36.1732,37.5964,15.2084,19.7466,92.9975,35.9392,39.1293,9.8828,49.5352,7.7088,21.5083,0.0
AUT_C28,63.1148,2.0101,6.5148,8.1322,1.47,83.2296,9.5334,37.9637,34.5487,9.1492,38.0084,25.5163,30.2465,34.2785,86.9174,144.0102,60.1649,234.3958,1944.4624,1083.7811,96.2316,250.0367,103.3954,26.4647,455.7619,339.2418,105.6706,2.7733,58.9356,22.2613,12.4434,42.0855,12.9301,18.9246,56.8668,37.5337,40.8132,283.5032,66.4307,49.5204,21.5029,86.3655,15.7594,22.1147,0.0
AUT_C29,6.7099,0.2129,1.8908,3.8128,0.6458,19.2587,5.0147,8.3318,6.0547,2.1375,11.3736,5.0396,9.3287,9.4191,16.9043,29.3534,15.6009,45.9434,247.4048,1722.6909,35.6957,22.9797,13.7709,10.6021,91.0162,418.2212,90.7005,0.2672,3.344,22.8601,1.2552,8.9162,3.1616,3.3304,27.0212,15.6306,13.7559,107.2213,21.0469,18.7501,5.4227,18.334,3.4391,12.189,0.0
AUT_C30,0.699,0.009,0.0,0.1376,0.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9316,0.0,7.5571,1.041,1.8699,2.2394,6.7082,38.8541,595.3231,136.429,0.1738,0.0,0.0091,62.1876,21.662,3.4581,85.5049,2.1553,0.0156,0.0,0.0,0.6016,0.0,0.0,0.0,0.0308,5.427,33.2937,0.301,0.5832,0.7265,1.9449,0.0
AUT_C31T33,183.7008,1.5065,9.9188,16.6724,2.7521,88.4689,28.5708,50.9822,62.3011,17.6634,66.7008,38.086,25.0137,45.1542,65.1022,141.3989,108.2942,210.0061,317.1526,93.5029,21.8365,542.9892,283.4528,65.5434,220.7699,334.551,315.5219,8.3878,194.445,40.2006,3.2608,33.9999,12.9003,50.9349,57.7038,26.2322,40.2901,93.7602,100.1251,95.2462,24.8197,382.6901,24.4516,17.3854,0.0
AUT_D,128.6967,3.0317,66.835,173.4379,14.2749,322.9133,23.2084,173.968,307.3521,2.0914,390.6412,65.3116,95.13,257.0042,609.4984,177.4828,43.336,83.3447,124.3969,89.611,13.5791,78.435,18692.5021,214.8084,274.1174,453.367,513.9196,4.2066,14.1716,167.6716,18.1104,253.7616,23.1523,84.8815,67.9996,78.2026,457.1975,237.2616,122.9036,374.8722,449.7766,728.2486,190.8971,126.2546,0.0
AUT_E,21.445,0.4047,1.9074,3.1921,0.4312,69.2382,8.456,104.9857,332.0263,1.5748,24.0262,11.4322,98.9381,73.0888,1208.7606,27.8598,9.8611,7.2827,46.404,9.5159,6.6036,26.1592,393.1636,2792.427,98.4283,250.6999,38.9614,0.5238,3.1878,46.3385,2.7505,117.3357,7.6954,8.4628,17.6549,142.2566,2496.3884,117.3229,63.1237,121.1743,50.0355,178.1713,37.7428,29.4854,0.0
AUT_F,159.0311,8.4407,35.814,31.4494,4.4166,339.0243,34.843,269.346,149.427,57.0686,160.5151,81.6483,109.1088,285.1161,267.7182,242.1002,106.8676,148.2717,310.3944,157.9382,22.9049,279.9362,411.6479,436.7789,15543.3377,1381.2134,223.4896,5.027,23.332,963.8709,49.4787,891.7385,36.8894,86.6624,135.6053,260.1192,5755.4279,448.6487,162.9587,673.3959,546.4253,708.7838,287.3417,157.3588,0.0
AUT_G,748.1897,9.5049,27.0868,49.169,7.7821,2331.756,529.4055,637.1404,481.4058,258.8552,1072.7,304.8555,407.4392,416.1519,810.8427,742.8519,445.5732,614.4388,1247.2022,966.97,202.177,749.3195,1179.5155,241.3286,1967.2939,3165.5807,1083.4378,20.2746,236.4726,309.6276,35.6211,1352.0551,236.2236,136.2482,588.8058,384.4587,318.021,1264.4032,540.5495,490.148,271.5864,1288.742,204.4156,230.9913,0.0
AUT_H49,72.2921,0.7908,5.6095,20.2,2.8722,299.7776,33.3246,119.0728,106.576,140.919,185.4102,30.5613,61.2085,107.2866,198.7713,127.0719,50.1873,79.7025,179.6695,120.8015,25.335,74.2403,212.6147,44.0268,319.156,612.7396,340.3467,3.1317,44.6833,41.7818,9.8136,112.8674,40.5864,15.2531,25.8739,40.0902,63.6059,112.7997,84.6444,69.4291,39.3909,104.9897,15.4415,22.9928,0.0
AUT_H50,0.9577,0.0086,0.0159,0.0544,0.0126,0.6681,0.2847,0.1414,0.1327,1.295,0.5041,0.118,0.1761,0.1488,0.2083,0.4363,0.3655,0.3892,0.391,1.0969,0.0797,0.338,3.5871,0.1314,1.7241,1.6963,1.0247,0.0805,1.0921,1.3945,0.0279,1.2603,0.1264,0.102,0.1133,0.2776,0.4062,0.8212,0.2592,0.4196,0.2946,1.5062,0.1219,0.2203,0.0
AUT_H51,6.9268,0.0821,0.4613,0.8659,0.1367,23.4992,2.9291,6.9118,5.799,8.0656,13.6114,3.5583,4.9317,7.6659,14.8842,14.3539,5.7195,10.1789,22.6981,10.5371,2.7682,11.506,20.074,4.7351,34.7596,68.355,18.9072,0.6695,9.2778,10.576,1.819,11.8834,2.6544,2.7551,11.296,15.7014,5.3513,32.7671,45.6565,16.0797,6.2903,15.8444,3.2518,5.4928,0.0
AUT_H52,32.5817,0.3773,3.6601,32.4245,5.1397,219.5744,14.7616,85.8747,76.3743,31.8775,133.0792,16.196,37.6878,92.9811,113.2328,76.1447,19.2486,45.5454,100.4762,43.435,9.8484,43.1279,411.2542,85.4304,254.8403,902.5635,647.2653,60.6513,723.9359,1043.8548,4.8715,68.5734,13.3328,10.7756,37.6419,36.546,109.2153,94.2059,48.4489,57.0275,26.8309,68.9137,12.5882,19.9162,0.0
AUT_H53,5.2962,0.1645,0.5842,1.8736,0.3882,23.3536,2.3467,7.8935,9.1402,0.5004,5.5436,3.8704,6.1128,7.4793,14.019,15.9841,3.6622,2.4991,29.0855,5.5027,2.2351,12.3608,15.607,10.0089,41.4497,252.2497,15.4142,0.4639,2.1435,25.8355,1027.7454,26.2856,21.8458,7.9408,34.1509,118.995,30.1555,134.4429,40.412,98.8957,20.1368,60.3643,17.4279,99.289,0.0
AUT_I,13.0034,0.373,1.6071,8.2951,3.1277,199.6851,13.1462,41.521,24.8834,1.4852,40.4495,25.7744,21.1352,36.9341,71.311,92.9225,26.1448,15.4117,160.4214,20.499,12.8569,72.5195,91.751,51.041,294.0502,767.9036,126.5664,18.9781,154.5439,75.0263,8.8559,440.1228,17.424,28.6901,51.8765,384.7341,45.6808,437.3281,1335.7189,195.063,123.2667,166.2632,26.5245,73.2988,0.0
AUT_J58T60,2.5401,0.0619,0.4097,1.0395,0.2036,265.4774,2.7806,5.8602,25.0841,1.2732,9.2463,12.448,5.2438,6.1077,9.3048,11.7222,12.0439,8.6558,18.6693,23.7488,4.1254,16.7491,11.8406,6.4153,33.9075,214.7189,13.1715,0.2781,5.797,10.4845,4.1645,19.2906,599.9824,27.9501,78.6968,85.546,31.5393,797.3391,87.8431,60.6053,48.2983,27.6162,21.6027,12.2824,0.0
AUT_J61,17.4627,0.3905,1.3436,3.9977,0.913,41.0697,4.6531,12.5771,17.8397,1.1578,10.5881,7.5004,11.3823,14.1121,25.8215,31.1321,12.2896,10.007,57.7672,11.1123,4.1529,33.8908,33.666,19.9864,85.2163,455.6822,38.0553,0.9986,6.9031,74.2532,10.0781,48.8936,156.8991,1077.5854,85.5913,261.0443,55.5457,267.086,75.1249,160.7444,44.6457,127.2216,33.5598,52.8,0.0
AUT_J62_63,5.93,0.1153,2.6958,5.9638,1.0869,105.7633,10.9111,16.8092,37.8859,7.8241,32.9591,44.895,21.5184,34.3782,46.7585,62.4497,28.2785,46.9255,85.4158,35.7473,18.1886,49.3643,94.3909,26.9392,67.8751,798.1778,34.4495,1.565,9.6135,56.3526,9.1345,72.51,133.0314,123.0645,2713.8253,481.7486,52.4796,603.5207,127.3324,92.0787,61.7651,146.8037,42.998,58.2345,0.0
AUT_K,216.4622,1.8485,11.3885,23.5851,3.521,350.6863,33.0158,155.5853,133.4592,46.1541,184.5816,72.8269,88.4331,130.9257,272.6792,239.1252,100.8496,122.4796,387.5599,162.4183,51.2714,189.4799,338.6969,158.9256,734.3765,2063.9684,321.795,7.1528,73.7098,200.5665,31.1413,457.4345,86.5036,79.4893,354.0029,6554.3404,2252.3824,1078.7469,468.7947,825.32,241.9485,406.4921,142.7151,190.9618,0.0
AUT_L,38.6985,1.1802,16.044,24.4001,5.183,287.1081,35.828,78.3214,77.8205,16.4906,61.3063,30.8451,94.9323,107.992,91.288,221.0093,49.1778,108.4062,276.3957,77.2856,37.7525,171.8438,129.9655,130.7611,1065.0244,3750.5292,458.729,11.8204,43.5164,379.2619,63.7654,1257.6419,135.6378,174.9319,321.1852,476.5348,3321.0547,1100.2908,434.2445,1388.3989,507.2051,994.7999,206.8854,375.5229,0.0
AUT_M,103.9116,1.9682,36.3199,55.4313,13.8408,822.9692,49.4687,202.6181,166.1502,23.5372,249.387,162.6292,166.2742,214.9813,460.6726,386.3925,326.6049,148.3276,688.7238,354.0514,126.1248,325.6292,360.9255,197.5235,2284.929,4120.0959,367.5215,7.762,111.7299,285.5131,57.2582,506.1588,322.3295,188.3925,586.2541,1841.2691,438.8971,5930.019,700.9435,679.4938,222.3623,723.3687,244.4347,331.8141,0.0
AUT_N,125.7747,2.0499,13.5236,29.8874,7.7077,317.6298,23.7798,93.5237,121.8591,23.8847,287.7413,97.2253,68.4784,126.3782,211.6282,269.0628,189.8749,183.8606,559.912,218.9557,56.3382,302.1025,358.5794,173.4074,1640.4733,2021.7629,649.155,22.9293,367.7576,375.6649,82.0913,463.4085,181.1383,156.3451,563.6164,738.5443,1885.2603,1355.2966,2341.3252,732.9748,361.3852,815.4901,237.2319,239.6407,0.0
AUT_O,6.2677,0.1392,0.9583,2.4123,0.528,26.3326,2.4534,9.897,10.1523,1.6708,10.273,5.334,5.6866,12.9974,21.0345,23.4848,10.3219,14.4479,42.3296,13.03,6.506,22.8233,33.5711,19.6283,178.4832,135.9073,44.5726,2.0905,24.4301,49.4396,5.9641,33.7645,16.0446,9.3727,99.3005,100.8658,67.1785,146.3358,57.3788,1004.0336,21.0132,46.5914,20.3022,15.5825,0.0
