V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_A01_02,1992.903,2.409,2.0012,0.602,0.4567,3712.3549,64.2016,193.2178,19.7638,1.6238,71.4672,6.6978,15.0755,2.9984,2.9075,1.4425,1.4201,1.265,3.1028,1.7799,0.5988,8.3703,5.4954,1.3699,20.0923,26.9758,4.6269,4.8912,4.3031,1.7644,0.2647,112.5887,2.034,2.7823,1.861,2.6777,1.9711,4.2433,4.7614,14.2982,5.1952,11.3781,4.2546,6.5071,0
BLR_A03,0.7566,1.9668,0.0253,0.0066,0.006,35.7088,0.0856,0.0702,0.0335,0.0205,0.1963,0.0291,0.0274,0.0284,0.0321,0.0154,0.0192,0.0163,0.0404,0.0187,0.0068,0.0476,0.0227,0.0091,0.1058,0.2217,0.0494,0.0816,0.06,0.014,0.0023,3.5803,0.0284,0.032,0.0246,0.0194,0.0107,0.0366,0.0217,0.1512,0.0438,0.1157,0.0407,0.0539,0
BLR_B05_06,1.8661,0.0291,6.3017,0.7492,0.6119,5.2019,0.7431,0.5245,1.3666,165.4627,20.2449,0.3604,0.7363,4.8064,8.9962,0.5355,0.1922,0.2152,0.6091,0.225,0.1707,0.3527,56.65,0.2735,3.666,1.4029,1.2134,0.6203,0.6744,0.2639,0.0557,0.4954,0.1221,0.193,0.0876,0.1273,0.2321,0.3702,0.1961,0.7959,0.4108,0.4403,0.1922,0.3683,0
BLR_B07_08,2.5064,0.0162,0.4543,2.2478,0.2834,1.7558,0.2085,0.1787,0.6528,0.6114,13.3611,0.2341,0.3038,37.7361,17.6476,0.414,0.1198,0.2768,0.287,0.1319,0.0446,0.4368,1.1319,0.2648,31.4115,0.3794,0.2546,0.0711,0.0513,0.0875,0.0059,0.0976,0.0267,0.0433,0.022,0.0238,0.1566,0.0989,0.0701,0.4037,0.0552,0.0608,0.0464,0.0934,0
BLR_B09,1.572,0.1711,28.4735,4.9218,5.8455,0.5863,0.056,0.0652,0.7011,19.5176,5.2211,0.0664,0.2021,5.5547,7.3683,0.3726,0.013,0.028,0.1423,0.0159,0.0195,0.0632,2.7579,0.2499,13.0806,0.1231,0.9253,0.2081,0.3806,0.1977,0.0055,0.041,0.016,0.0155,0.0108,0.0194,0.1494,0.2916,0.1264,0.2585,0.0307,0.0425,0.0354,0.0368,0
BLR_C10T12,917.4364,7.925,0.5034,0.3321,0.1389,1888.9485,21.198,3.402,8.3463,1.0482,109.5984,12.6885,3.8083,2.8179,3.0788,1.504,1.6252,1.4492,3.7353,1.3508,0.5337,4.2378,2.6126,1.5083,7.104,31.4772,4.0277,12.3166,7.1181,1.7844,0.2038,522.0643,3.5588,2.7268,2.3268,3.1178,1.4357,4.6617,3.6644,26.0043,17.6723,34.2006,10.7918,13.8092,0
BLR_C13T15,19.8396,1.0589,1.3442,0.4406,0.3756,22.0548,981.4871,7.6289,13.4366,0.7096,14.2993,3.4919,16.7164,5.8892,4.0411,3.6767,3.5532,3.1647,8.2551,13.814,2.8949,46.8923,2.5205,2.8014,19.8881,27.9401,5.1092,4.5131,5.664,1.8314,0.7182,10.4047,2.7079,2.6846,1.5376,2.0524,0.9089,7.1261,6.298,29.8662,5.7664,22.7581,7.9324,25.2565,0
BLR_C16,6.2198,0.0593,0.1531,0.1083,0.0382,7.2499,2.0682,117.6677,7.6349,0.162,3.4679,0.4362,2.0415,2.8655,1.5106,1.6801,0.6814,1.1438,2.115,1.8382,0.878,28.8884,1.544,0.3686,44.5504,3.8891,0.8433,0.6301,0.5542,0.4208,0.0472,0.7793,0.4802,0.4283,0.2913,0.3353,0.9601,0.7755,0.5211,1.0607,0.5551,1.1288,0.4488,1.7758,0
BLR_C17_18,28.4395,0.5465,0.587,0.5141,0.1662,226.0107,24.7861,28.81,557.2992,0.6989,65.2487,17.4995,26.9212,24.2119,5.7539,6.3611,9.4162,11.0122,11.8851,5.3541,1.6915,26.5831,4.1119,2.7877,13.132,61.0516,6.48,4.0633,3.5292,4.7042,2.6786,12.4795,111.7886,11.2289,15.238,24.2814,3.3707,38.052,15.2341,46.9686,28.1081,18.7752,11.5846,20.8975,0
BLR_C19,168.2297,5.6987,6.5887,5.6878,2.7821,57.4552,15.2362,18.1591,10.7663,106.8338,154.5322,5.3379,11.9365,37.735,37.0595,5.8826,4.9838,6.8958,8.8152,6.216,2.0529,13.1952,31.7472,8.131,59.3115,46.2621,212.4238,183.8469,262.9751,12.0334,2.7911,10.057,3.3063,5.7603,3.5149,6.6573,2.6659,10.1358,8.4006,29.7175,6.6097,12.2525,4.3582,13.5997,0
BLR_C20,145.7781,0.3349,2.0168,1.3063,0.5483,40.1327,36.8302,22.7324,28.0417,8.7845,364.4046,20.6962,112.6434,19.3906,13.1728,7.0928,6.546,11.7433,10.1607,8.0705,2.6082,15.8182,4.4087,3.3862,26.883,14.4362,4.4675,3.6429,4.0686,1.2627,0.18,3.8918,3.1534,1.9256,1.4748,1.3736,1.5694,4.2787,3.0323,5.163,2.3128,16.8669,1.6474,7.4905,0
BLR_C21,16.6609,0.0572,0.1342,0.0576,0.0347,8.491,1.4936,0.6735,0.7386,0.1586,9.4031,52.4556,1.5142,0.532,0.6925,0.2931,0.4981,0.4039,1.0319,0.2955,0.1223,1.1285,0.2415,0.1405,1.1353,2.706,0.4424,0.6094,0.5693,0.1581,0.0344,0.4095,0.3059,0.3889,0.2492,0.3174,0.087,2.207,0.2834,2.6003,0.8032,80.3802,0.4535,1.0329,0
BLR_C22,24.995,0.3691,1.1322,0.637,0.2703,98.312,20.3939,11.9197,17.6362,0.8806,43.4584,8.0884,105.5938,11.3495,4.6094,8.0254,13.645,19.6551,26.4276,33.0474,6.2147,28.4397,1.4987,2.5904,78.1101,22.9053,14.8528,1.975,2.7689,2.0129,0.3495,3.8175,2.3656,1.7589,1.3869,1.2882,1.3834,3.6792,2.3457,4.2748,1.4801,5.1511,1.1661,5.8912,0
BLR_C23,22.5957,0.1576,1.2225,1.9316,0.6805,61.1972,5.0374,18.8096,2.5562,0.614,29.2568,5.7619,14.9885,265.4056,21.8512,11.9011,9.08,13.8493,13.3459,16.6928,4.0984,14.3036,4.0459,2.7932,686.0084,11.2969,2.9184,2.1072,1.3064,1.2695,0.09,4.5596,0.6856,1.5503,0.6613,0.7397,7.4655,4.4812,1.7298,4.4319,2.0567,4.2699,1.1013,4.2058,0
BLR_C24,3.4964,0.0329,2.2739,0.3912,0.4992,10.1103,2.3858,5.4414,4.0203,0.4673,22.8961,1.1979,13.252,14.5152,541.2437,194.6218,30.2448,150.8678,150.3869,65.5076,23.6507,61.893,2.3351,4.9639,110.7307,5.0986,1.6027,1.0806,0.5998,0.6451,0.0153,0.379,0.3082,0.5232,0.2587,0.2886,0.6721,1.9184,0.4905,0.9636,0.3013,0.614,0.2514,2.5464,0
BLR_C25,15.3551,0.2639,3.0297,0.7523,0.6459,34.5361,5.9579,13.7479,3.6943,0.8996,16.7798,1.6009,9.8858,8.9004,24.1069,58.178,9.4209,18.6107,65.3637,30.221,12.1198,25.9144,2.7193,1.8186,114.1355,8.2175,3.1509,2.3699,2.0381,1.5551,0.1085,1.7722,0.7458,1.7641,0.9358,0.6559,1.3091,3.2614,1.7206,6.3671,1.2119,1.804,0.9825,5.2907,0
BLR_C26,2.9119,0.0702,0.3437,0.107,0.0929,4.63,1.5224,1.0173,1.5539,0.2787,3.0531,0.7652,1.4119,0.9974,1.2612,1.7924,97.7925,13.4158,11.8893,6.058,3.001,6.8226,1.7237,0.5961,9.6269,6.6676,1.4043,1.3803,1.9405,0.7772,0.2016,0.8073,2.4569,17.2291,7.9974,1.5076,0.2996,4.9267,1.5432,4.7531,1.7852,8.2721,1.179,12.0835,0
BLR_C27,3.9066,0.1016,0.429,0.1799,0.1261,5.3038,1.6849,1.4695,1.3679,0.2767,3.5251,0.6034,2.1857,1.8366,4.1541,3.417,20.9982,59.0769,24.4894,13.5674,3.9454,9.9713,7.081,0.8019,46.1392,7.4636,2.3742,1.648,1.4706,0.6987,0.0831,1.0655,1.0195,5.5569,1.7384,0.6565,0.6729,2.6144,1.2051,2.7737,0.7537,1.6376,0.9128,6.148,0
BLR_C28,18.5061,0.2807,2.4775,0.9438,0.5926,14.9058,4.0972,4.6918,4.3227,1.0499,9.4739,1.4255,4.3122,5.143,6.4392,6.676,5.8668,8.1584,63.3084,14.0963,5.0772,12.5051,4.499,1.4081,26.8897,9.1703,4.5137,4.19,5.2805,1.3745,0.1527,1.2281,1.1081,2.5164,1.2631,0.9166,0.585,2.6249,1.7542,3.552,0.856,2.1729,0.8815,2.9964,0
BLR_C29,6.8475,0.1081,0.7066,0.365,0.148,6.6904,2.1322,1.8468,1.1584,0.2795,3.5906,0.5785,3.2067,2.7647,11.3309,5.3853,3.0024,6.4502,18.518,325.0027,4.7789,9.8219,0.8075,1.6432,9.3858,45.6831,28.9083,1.9248,1.856,2.3336,0.3215,0.6982,0.5355,1.1274,0.6326,0.6292,0.3082,1.899,2.5622,3.8973,0.7411,1.2432,0.6266,3.8794,0
BLR_C30,0.235,0.2663,0.0352,0.0128,0.0054,0.3474,0.0852,0.0856,0.0644,0.0168,0.1682,0.0391,0.1074,0.0738,0.1217,0.1549,0.1694,0.1947,0.5305,0.6867,28.8846,2.2559,0.0653,0.0289,0.4683,0.4468,1.1977,13.9455,5.4327,0.2776,0.0073,0.0397,0.0345,0.0587,0.0352,0.0366,0.0173,0.1071,0.1147,3.8173,0.0463,0.065,0.0598,0.4074,0
BLR_C31T33,34.6538,0.8784,3.3623,1.3661,0.752,28.357,16.0757,11.1532,8.4795,1.8853,19.1504,3.6677,6.5607,8.5685,11.3562,6.379,6.801,5.5161,16.3323,6.4415,4.3666,60.4373,10.0384,3.5572,34.0614,13.9875,13.0098,14.7775,23.7434,3.6168,0.5036,4.9277,2.879,5.9271,3.7511,4.971,1.8233,7.4759,4.9458,14.8709,7.5516,38.043,6.5074,9.2488,0
BLR_D,297.9342,2.924,22.3734,14.0212,3.5409,275.4534,82.9507,90.9464,107.9911,32.8058,323.6836,19.8621,78.3929,130.4335,189.7498,37.1736,22.2232,25.6279,53.6459,30.1876,11.4752,35.2544,725.2433,41.8234,50.7299,106.2968,63.445,13.8058,8.8142,21.6075,2.8605,82.7604,15.8079,50.108,13.1754,25.1313,33.2704,27.5657,15.455,126.7895,60.3264,83.5245,37.1529,52.447,0
BLR_E,13.8648,0.1745,0.8048,0.3635,0.1743,17.3479,3.7348,3.1036,8.7656,0.7786,11.3214,1.1103,3.4349,4.6052,38.195,3.3587,0.8579,1.0366,2.4961,1.0014,0.5695,1.6757,5.8534,24.7763,6.0882,6.791,2.4524,1.5395,0.7533,1.2401,0.1823,6.9657,0.6842,1.1196,0.6427,1.631,2.9731,2.0312,1.5294,17.1512,5.4417,8.1085,2.3171,4.1593,0
BLR_F,41.6734,0.4207,3.4785,1.5924,0.9899,20.2542,5.2382,8.0056,4.7412,2.2411,15.2152,2.1233,4.7309,9.8541,5.8466,5.1623,2.4224,3.1865,7.7188,3.0502,1.7583,8.1058,26.5027,10.9007,640.346,25.8016,17.3856,6.603,5.8265,11.1145,0.8602,10.6437,3.0927,12.4616,3.2187,8.2565,56.1304,14.5539,5.1756,90.5497,17.7047,16.5841,7.4015,10.073,0
