V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_A01_02,58.6589,0.0133,0.0037,0.0175,0.0002,320.8212,0.002,0.0398,0.0127,0.0098,0.0781,0.1576,0.0256,0.0215,0.0036,0.0129,0.0021,0.0025,0.0043,0.0019,0.0006,0.0594,0.0631,0.0396,3.3382,0.2704,0.0016,0.0002,0.0014,0.2745,0.0122,8.468,0.0368,0.0325,0.0047,0.1545,0.1184,0.6052,0.4202,3.8059,0.1889,2.7146,0.1665,0.1602,0.0
CYP_A03,0.0,0.4609,0.0,0.0,0.0,9.1802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5551,0.0627,0.0127,0.0,0.0,0.0,0.0,0.0,0.7707,0.0007,1.7011,0.0692,0.0277,0.0
CYP_B05_06,0.0058,0.0,0.0235,0.0294,0.0005,0.0136,0.0,0.0,0.0,6.5421,0.0398,0.0241,0.0,0.7674,0.0697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1227,0.0,1.3821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0645,0.0,0.0,0.0419,0.0,0.0,0.0,0.0,0.0
CYP_B07_08,0.0865,0.0,0.0638,0.5843,0.0034,0.1094,0.0,0.0,0.0,10.328,0.5916,0.3554,0.0,8.7867,0.9123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1409,0.0,0.0,0.652,0.0,0.0,0.0,0.0,0.0
CYP_B09,0.0042,0.0021,0.0578,0.1241,0.0023,0.0028,0.0,0.0001,0.0013,0.1352,0.0031,0.0009,0.0005,0.0561,0.0089,0.0038,0.0,0.0,0.0001,0.0,0.0,0.0006,0.0999,0.0048,0.206,0.0026,0.0048,0.0036,0.0003,0.0696,0.0001,0.0012,0.0001,0.0,0.0,0.0004,0.0054,0.004,0.002,0.0042,0.0003,0.0005,0.0006,0.0002,0.0
CYP_C10T12,55.0896,0.0364,0.0048,0.0207,0.0005,190.6859,0.0209,0.0173,0.0262,0.0131,0.9044,0.7641,0.0128,0.0161,0.0041,0.0349,0.0008,0.0396,0.0068,0.0045,0.0014,0.7649,0.0336,0.0427,0.5758,4.1606,0.3874,0.7226,0.0105,0.13,0.0306,211.0153,1.8042,0.4542,0.0874,0.1525,0.8156,0.3856,0.0973,5.2821,2.1572,17.3882,5.435,1.1035,0.0
CYP_C13T15,0.1185,0.0033,0.0013,0.0053,0.0001,0.3708,2.5157,0.2225,0.1311,0.0182,0.0075,0.0218,0.0069,0.0423,0.013,0.1766,0.0125,0.0287,0.0114,0.0576,0.0007,0.5982,0.0158,0.0315,0.9877,0.4284,0.007,0.0024,0.0007,0.1998,0.0014,4.2217,0.1522,0.0238,0.0106,0.0487,0.1026,0.1383,0.0635,0.2009,0.0167,0.7302,0.1046,0.0592,0.0
CYP_C16,0.3208,0.0053,0.0043,0.0275,0.0002,6.8804,0.1025,27.8289,0.0175,0.0221,0.2982,0.0132,0.0157,0.3886,0.021,0.4237,0.0202,0.0276,0.0558,0.1987,0.0858,4.0387,0.6524,0.025,33.2858,13.1486,0.0125,0.3148,0.0195,3.0152,0.0163,22.901,1.3403,0.2416,0.0439,0.1054,1.4695,1.4445,0.1828,0.9275,0.1774,1.9101,1.3204,0.0367,0.0
CYP_C17_18,0.093,0.5342,0.0133,0.0639,0.0006,2.034,0.0955,0.1206,11.0825,0.1989,0.1374,1.7359,1.5783,0.3434,0.0555,0.3434,0.0483,0.2199,0.1081,0.1658,0.0065,0.3932,0.2874,0.9371,2.2095,9.6313,0.2734,0.2521,0.0087,2.9758,1.8581,1.9208,3.46,2.2321,1.4671,4.9648,1.5235,19.6058,4.1661,1.4525,2.165,1.513,2.6108,1.5991,0.0
CYP_C19,0.3752,0.0152,0.0706,0.4393,0.0025,0.9139,0.0187,0.0532,0.0322,1.4753,0.2006,0.0386,0.3605,0.7113,0.0235,0.1072,0.0173,0.0107,0.0081,0.0055,0.0002,0.0708,29.9084,0.3779,1.1505,2.1431,1.4182,0.148,0.2522,0.4411,0.1393,0.6322,0.0634,0.0603,0.0568,0.567,0.1125,0.2041,0.4456,0.6373,0.0803,0.3253,0.0918,0.1116,0.0
