V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_A01_02,3451.9284,0.5895,56.6345,18.7796,6.6554,7859.6722,54.8507,0.8232,8.5585,0.2325,19.4713,11.4274,1.7737,0.5105,0.5937,0.6288,0.1665,1.5243,0.2087,0.1672,0.0229,0.4814,0.8442,0.0696,8.7841,2.7663,2.9579,3.8328,1.8815,2.3055,0.1769,289.4937,0.2867,0.1236,0.0415,3.3878,2.9222,1.2619,1.2264,9.6811,1.5627,15.2053,0.1721,0.4018,0
EGY_A03,0.0,15.2262,0.0,0.0,0.0,34.9039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0001,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,140.513,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.1374,0.1063,0.7306,0.0117,0.0083,0
EGY_B05_06,0.8728,95.9027,3886.2435,2.7288,4.986,877.3257,177.0476,218.4457,32.058,15195.4969,90.1652,4.6813,4.6908,287.8492,413.7853,12.1121,0.5605,6.5853,0.0711,34.0733,0.0876,95.2801,4790.2201,70.6045,103.2311,126.0567,1307.9706,506.5021,603.8575,198.1368,0.8812,720.6089,18.1382,95.515,5.9426,19.5744,2.8495,21.1365,21.3496,44.5204,8.246,51.875,37.5396,80.1037,0
EGY_B07_08,0.0,0.0,0.8534,38.041,4.6409,0.3924,8.0482,0.9887,7.6179,5.0126,911.3185,59.5317,3.1986,271.2925,657.4991,5.4795,1.1395,13.6722,1.162,4.0278,0.0405,14.5426,0.0063,0.0017,584.7698,4.6969,0.4618,0.0027,0.0003,0.0095,0.0,31.4243,0.0013,0.0043,0.0004,0.3171,0.0188,0.1465,0.1474,0.6388,0.7045,0.1374,0.0086,0.081,0
EGY_B09,812.5837,19.1259,37.8303,77.2293,16.8756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9231,0.0,0.0,0.0,0.0,6.6187,3.7161,0.0,0.0,0.0,0.0,74.2049,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0
EGY_C10T12,1135.4538,39.4812,14.7279,1.947,0.5674,1576.7756,45.5283,0.7408,1.7396,0.3047,3.1663,1.5286,1.5015,3.5872,2.6795,3.155,0.3179,2.004,1.3926,1.0758,0.0619,4.4865,5.6509,0.6442,10.8708,7.4978,16.6981,3.4487,13.9592,30.0346,0.1873,287.5646,0.3766,2.7242,0.0966,6.4032,2.6427,7.4561,2.5735,29.5237,31.4191,128.3258,7.4394,3.6599,0
EGY_C13T15,0.4514,0.2556,0.6229,0.1038,0.1976,0.8933,1462.8453,2.4233,12.5382,0.2538,4.0839,3.0308,3.0421,0.326,4.3284,1.6646,1.056,0.9227,0.2315,3.2209,0.3122,36.6214,0.1828,0.1742,9.1648,0.5445,0.2604,0.2205,2.7958,0.5911,0.0132,17.607,0.312,0.7995,0.079,0.5392,0.1639,5.3022,1.2976,1.4699,2.4117,10.0281,0.3731,1.5553,0
EGY_C16,0.3027,0.015,0.5169,0.0796,0.1591,7.5831,2.1732,130.7593,6.0354,0.1306,1.182,0.9324,1.2899,1.4994,20.8912,6.3795,0.8461,8.4636,0.9041,1.0611,0.7346,708.2381,0.031,0.0273,137.9707,1.0023,0.0751,0.0042,0.0185,0.0857,0.0143,0.6499,0.0183,0.0285,0.0153,0.3952,0.2958,3.4681,0.839,0.5702,2.1561,2.4469,0.0759,3.1919,0
EGY_C17_18,1.8819,0.6763,1.3122,0.18,0.1918,22.441,6.4143,0.4256,218.1468,0.0979,2.3593,3.2894,0.9431,1.4652,5.525,2.5273,0.402,2.6759,0.674,9.1465,0.1677,2.062,1.769,0.8206,25.2898,4.0187,7.0954,7.0834,1.4497,41.5819,19.371,41.3791,204.1653,1.1315,0.4422,78.0,17.7804,39.3196,9.5178,4.2344,96.7094,62.0871,11.4776,5.9496,0
EGY_C19,607.7607,154.2432,109.722,32.6797,2.0364,1205.3074,149.8652,8.8561,73.9338,22.836,218.2029,20.2584,156.2636,514.3034,994.3225,59.7138,1.7035,34.3576,8.331,2.1072,4.106,20.5753,1918.3371,65.7402,194.9593,207.866,918.0279,1257.4639,295.2414,430.3599,9.0787,586.5084,33.189,17.7787,0.8895,14.6097,23.2442,49.8118,44.6137,46.3718,54.2745,64.2866,18.8441,72.105,0
EGY_C20,385.6324,0.1941,10.1435,1.5678,4.2902,13.429,381.0618,128.0943,227.4379,30.1615,728.1381,349.288,468.5287,47.0509,55.6977,59.5718,34.839,199.0215,16.393,29.9211,3.7857,62.8519,0.2051,7.25,24.8191,1.426,0.1478,0.8474,0.0908,0.7365,0.0527,10.3313,0.0081,0.025,0.0041,1.3045,7.5946,0.0568,3.2028,2.6861,8.9143,213.9794,4.7442,7.7408,0
EGY_C21,0.1506,0.0609,0.4352,2.7195,0.5641,3.2491,39.9242,7.1004,5.7915,1.3186,37.8236,23.4773,36.6867,7.4732,8.5493,8.7093,3.6206,24.0428,2.3897,2.6138,0.3283,7.6844,0.0672,0.1369,3.6478,0.0755,0.0583,0.0568,0.0764,0.1591,0.0049,0.8228,0.0026,0.0229,0.0012,0.2857,1.4411,0.0452,0.0179,1.875,6.1126,35.9809,0.6257,0.1049,0
EGY_C22,16.7555,0.0319,0.619,4.9752,0.0138,539.0281,129.8844,0.3794,7.8081,0.1941,33.8212,35.9516,5.6989,25.9229,34.9459,7.5007,13.7047,30.0745,1.7276,0.9661,0.0724,3.6739,0.028,0.1223,785.1923,54.0793,1.8295,0.0625,0.0106,3.7434,1.0074,25.0428,0.1268,0.0073,0.526,0.1606,1.8481,1.8725,1.7269,0.0721,0.5725,3.8737,0.1742,1.6318,0
EGY_C23,0.6468,0.0798,1.6951,0.8331,1.8178,2.6983,32.7167,9.4552,1.9303,2.8457,7.9109,13.3807,33.0435,289.7237,261.7956,36.3428,23.9816,108.0659,17.7174,41.3476,2.7393,28.8391,0.1527,0.0857,1638.6791,0.521,0.108,0.0261,0.1003,0.257,0.0047,13.8353,0.0379,0.1147,0.0109,0.8338,76.8586,7.2695,1.0975,9.9697,17.4297,79.8701,1.5557,3.3295,0
EGY_C24,0.0094,0.0,19.115,1.8752,7.8881,5.458,15.817,10.0501,26.8566,7.3123,9.5855,10.8175,33.1724,16.9129,1192.2971,1047.177,132.337,697.586,225.0415,301.3476,10.9924,122.0658,13.4636,6.8636,947.5342,5.2572,0.2809,4.1048,0.0,1.5943,1.4486,2.0912,30.9722,71.5714,7.3715,1.1595,4.0464,64.6753,10.0496,5.3936,10.9241,8.0451,0.7593,5.9878,0
EGY_C25,165.5704,55.5952,79.1235,4.9658,4.5661,104.0358,27.5079,7.2822,10.3097,1.1898,13.6081,6.7639,14.9779,22.5176,26.4048,386.142,7.2139,379.7208,47.7692,69.9203,5.1372,202.6267,31.7693,3.3452,407.8858,86.0069,88.5405,10.6125,73.5763,158.6562,0.9785,53.8576,3.687,14.1322,2.0993,35.7208,20.6933,31.177,10.7878,47.4628,62.8782,120.7731,31.556,19.5529,0
EGY_C26,0.0129,0.0012,0.2452,0.0026,0.0788,0.0564,0.0653,0.0089,0.0454,0.0221,0.0351,0.0264,0.0289,0.0193,0.1228,0.4757,18.6996,6.8663,1.1436,0.511,0.007,1.502,0.2364,0.1083,2.2374,0.0703,0.014,0.0065,0.0017,0.034,0.3519,0.0469,2.7143,7.3799,0.6573,0.1521,0.0064,1.1826,0.0788,0.1815,0.6745,3.851,0.2086,1.8765,0
EGY_C27,0.0091,0.0,16.0042,1.3254,4.9089,52.0445,17.0783,1.1539,4.4081,0.4215,5.6683,3.9321,2.2332,7.9286,19.7992,8.565,8.5449,91.4086,6.0725,4.8403,0.9961,7.8942,17.6978,1.3122,237.2749,0.284,51.6433,15.4914,0.549,34.8346,0.3831,33.7275,2.9116,6.8683,0.7114,0.1113,1.169,0.9255,0.4008,5.2513,3.2163,9.4581,2.1424,0.9441,0
EGY_C28,0.0457,0.0118,10.4143,0.8288,3.079,34.4701,11.2931,0.7665,2.8438,0.2576,3.713,2.5758,1.4087,5.1852,13.0617,5.8694,4.6407,10.6187,2.7937,2.5366,0.5195,5.3321,10.1771,0.7656,128.7246,0.2489,34.0897,10.071,0.3772,22.996,0.2077,22.2734,0.0155,0.0124,0.0031,0.0276,0.7614,0.197,0.2098,3.0615,1.9991,6.0954,1.4243,0.5385,0
EGY_C29,0.0547,0.0282,0.4175,0.0241,0.1712,0.266,0.3096,0.187,0.0603,0.0414,0.0436,0.0305,0.1581,0.3485,0.3462,0.5149,0.1156,0.4715,0.3655,72.4963,2.6104,2.3448,0.1871,0.0878,4.6222,0.264,0.2421,1.4571,0.037,0.3365,0.0073,0.3416,0.2267,0.549,0.0491,0.5461,0.0223,0.0947,0.0387,10.5308,0.0814,0.2231,0.0356,0.3246,0
