V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_A01_02,13561.7428,0.0,0.8017,4.3131,0.0071,25463.0628,190.7108,5754.8326,503.911,0.0,115.3556,0.0,118.1932,0.0,0.0,0.0,0.0,0.0,5.5752,0.0,0.0,8.3903,232.3843,8.9531,2918.7002,6.4587,0.0,0.0,0.0,0.0,0.0,1007.6595,31.5242,0.0,0.0,17.3553,0.0,18.2387,26.432,1762.9326,125.2235,14.5996,154.3941,102.2263,0.0
FRA_A03,0.341,34.0844,0.0,0.0,0.0,709.9787,5.5521,0.0,0.0,0.0,3.2178,4.8187,4.5901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2614,10.4107,1.7536,57.1154,0.0,0.0,18.9977,0.0,0.0,0.0,464.1094,2.8675,0.3646,0.0,0.0,0.0,0.7984,1.2059,0.3798,0.0,58.2364,4.3072,12.1722,0.0
FRA_B05_06,0.3241,0.0124,0.165,0.0165,0.009,2.039,0.1188,0.0026,0.1032,159.9604,5.893,0.1158,0.0103,0.0543,8.6054,0.0175,0.0091,0.007,0.0167,0.1121,0.092,0.1785,107.7531,0.1024,0.3117,1.1508,0.8481,0.2369,0.4944,0.1343,0.0136,0.4794,0.0561,0.0764,0.0686,0.0462,0.0227,0.2849,0.3908,9.8112,1.3573,0.1568,0.0795,0.103,0.0
FRA_B07_08,201.0553,37.1012,0.0,29.3766,0.4812,204.8964,11.6054,1.2479,69.5886,3.9095,565.6755,11.3523,29.6632,747.6932,938.4108,73.9455,15.05,14.1842,16.8086,9.0494,9.7223,27.7945,17.0693,17.5598,1084.9141,30.3756,0.7303,0.4523,1.5039,1.4048,0.7612,49.3705,0.9104,3.4138,1.8204,9.7799,0.2895,26.3041,22.4752,0.0,0.0,12.4717,3.1118,7.7365,0.0
FRA_B09,0.6794,0.158,0.3496,6.2197,0.2738,0.51,0.0216,0.0039,0.4611,29.4021,3.4493,0.119,0.1665,4.3402,5.6444,0.7153,0.0047,0.0166,0.0985,0.0094,0.0641,0.2191,7.4081,0.6005,28.8627,0.3144,1.8712,0.0778,0.2158,0.9015,0.0085,0.0809,0.0164,0.0,0.0013,0.0271,1.4714,1.7792,0.9166,0.5493,0.0589,0.1347,0.0979,0.037,0.0
FRA_C10T12,4604.1079,53.7903,0.8895,20.6622,0.0237,19448.325,315.6185,8.3807,91.3001,37.8791,1312.8778,323.3047,47.6722,31.2344,64.2272,56.7377,37.105,26.7544,47.8407,86.7219,12.5798,147.2216,33.7029,96.3929,298.267,2029.1168,65.7254,87.7165,186.7385,117.8462,30.228,17998.704,347.384,193.2155,203.1818,64.3117,98.6694,1609.588,943.9882,426.7915,2229.0465,2577.0313,1138.7253,205.3513,0.0
FRA_C13T15,53.2173,2.3177,0.2974,0.7802,0.0401,173.8979,4377.5916,11.1063,260.8689,10.9173,72.1355,45.2612,64.1292,14.8606,23.144,36.2123,55.2834,27.1466,66.6303,259.2732,65.6145,285.9906,13.9579,31.4994,268.6359,949.6626,11.1578,40.3805,11.1931,32.9196,6.9406,169.9925,330.1134,64.2764,9.8714,22.6616,46.2573,138.9168,146.4859,79.8615,62.4067,251.4845,105.5133,80.641,0.0
FRA_C16,475.4727,27.8768,0.0,31.6525,0.0334,341.8598,10.1213,570.4766,213.9615,1.2637,52.8567,62.9574,63.8397,252.1873,74.4267,104.6198,49.2687,31.0463,79.9398,415.8689,115.4141,931.025,2.7158,87.0346,3820.7338,344.0669,3.791,17.7042,4.1989,89.8138,1.0281,68.9787,251.4354,99.1847,15.6696,5.861,228.0205,39.908,177.3394,5.8749,34.1951,32.2278,123.4352,89.5841,0.0
FRA_C17_18,113.1654,7.5044,0.0,16.4867,0.0504,996.2434,130.1471,13.3845,2489.816,16.2737,368.5839,352.1123,175.0603,121.3924,18.6007,48.8402,86.9123,65.6762,63.3445,65.3995,33.3032,177.9249,21.2322,175.511,265.365,1693.1968,29.2981,29.1498,6.4896,140.6542,7.2575,127.6897,3347.9652,268.9264,231.4829,1433.0489,243.476,2452.5515,1050.5727,820.2475,541.8506,395.1706,544.132,285.8683,0.0
FRA_C19,1173.3632,44.8139,0.403,59.9866,1.2,342.0995,44.8257,9.4678,75.2598,909.1315,2152.6113,39.6973,37.4922,170.4152,136.8721,63.3763,32.8834,25.4972,60.3613,104.5014,9.7985,113.2676,305.127,199.5217,1083.186,2455.0386,3049.4847,843.4403,1740.9012,439.7366,22.1768,90.1677,172.9208,162.8586,187.5941,167.4379,72.2164,788.7664,663.8135,370.7086,106.7665,124.0283,179.9884,105.1061,0.0
FRA_C20,2319.6906,102.8147,0.7619,50.1701,0.5476,621.4855,348.8642,18.8033,561.1256,262.1222,5197.7677,1138.3071,3014.9755,154.7327,225.191,508.7806,89.6441,253.0789,226.2607,490.2884,152.2296,560.9562,1382.2912,83.6316,1215.1499,705.9228,27.6896,30.7701,9.8586,30.5442,7.3739,126.6209,277.0664,46.0994,86.4391,19.62,461.8365,455.982,261.927,138.0893,95.521,406.0312,132.5099,83.8985,0.0
FRA_C21,223.7166,11.7992,0.0276,4.5787,0.0054,33.3249,0.9267,0.0847,0.1759,0.6626,78.4626,1285.4042,1.7408,0.2536,0.2472,0.1493,0.1599,0.2643,0.2716,0.2855,0.2643,10.4816,0.4643,0.9143,1.0534,5.7582,0.4227,0.2068,0.146,2.7043,0.1741,0.7372,0.1492,0.2527,2.2022,4.8832,0.2207,119.4946,24.1663,38.2093,3.7293,1689.7193,1.7902,3.2837,0.0
FRA_C22,214.142,10.7127,0.0,26.0015,0.1947,1366.7904,324.7387,11.7546,207.7,329.7041,682.131,201.1897,1042.3146,104.3193,117.1431,370.3712,460.7967,529.7876,604.9991,1835.6286,330.072,1095.512,180.118,90.1554,2608.887,2217.769,213.4617,52.3745,43.2662,35.5176,65.1371,32.2726,242.3579,226.4189,74.9754,71.714,62.5096,465.956,351.2705,0.5455,8.4739,202.0123,37.2532,98.7055,0.0
FRA_C23,229.6106,16.5844,0.0,221.3408,0.306,685.6517,23.118,14.7922,46.8019,18.7819,311.0499,171.7532,96.2681,2616.9357,172.2372,262.9048,259.392,100.6776,219.2599,558.373,91.2094,427.278,230.2878,268.4198,11596.6316,805.806,115.7232,9.6116,2.139,61.5483,0.0,139.6123,6.8609,39.3274,21.348,0.0,156.4166,515.8895,383.9586,23.794,166.6855,544.9517,59.2685,74.3323,0.0
FRA_C24,1.0425,0.0,0.5733,12.976,0.4896,36.3075,19.1329,1.8135,13.6512,74.8247,112.3173,82.543,94.8868,318.3863,3811.6318,3857.9646,296.7887,574.5754,1345.1295,1663.097,353.1994,1598.6868,29.8915,645.9158,2738.0705,129.1403,15.4923,5.3718,0.4545,28.8077,4.6613,4.3599,45.3633,3.8653,8.1063,0.0,0.0,117.8899,197.0298,1.4792,0.0,0.8712,1.4591,107.761,0.0
FRA_C25,468.2423,20.1032,1.7877,97.0093,1.0918,1198.7725,244.2685,63.1646,300.9499,357.5367,777.519,124.3217,231.2995,260.8767,1062.9347,6447.8245,907.7785,1252.0823,2762.1388,3565.0759,1024.8921,3368.823,399.0513,519.9618,10787.7037,649.6167,166.6719,22.2248,35.9016,254.9585,17.9975,177.5995,93.9819,236.337,144.1105,5.4294,350.7762,457.0443,995.7576,567.6302,33.0562,406.9125,91.0126,187.8183,0.0
FRA_C26,0.0,0.0,0.2811,2.947,0.0406,22.382,4.6819,1.9235,24.09,26.4902,34.9912,4.4226,22.9089,40.0051,54.8998,127.3958,1063.4409,506.8181,366.957,483.9944,1077.0501,468.2379,98.817,25.75,576.9024,435.2502,9.8698,14.622,1.7737,85.5483,50.2107,27.5732,55.6309,464.1928,412.6076,93.2987,19.8826,713.2978,314.0386,194.9571,49.8544,632.1614,117.7542,247.8465,0.0
