V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T
IND_A01_02,45875.5188,1895.1708,0.0,0.0,0.497,132556.0657,16793.2017,2361.4036,562.9688,0.2641,11544.0489,449.7979,3266.4127,97.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.4279,1406.2283,0.0,25285.6783,0.0,5163.9599,0.0002,0.0,0.0,0.0,39230.0012,30.6647,0.0,0.0,0.0,0.0,0.0,0.0,18028.2795,0.0,0.0,0.0,0.0,0.0
IND_A03,0.0,933.7303,0.0,0.0,0.0003,4922.1966,0.0,0.0,0.0,0.0,0.0,2237.3562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.1414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B05_06,0.0,0.0,13.9152,12.6941,19.8068,180.5456,879.131,10.54,477.7601,20216.4289,510.4879,57.7869,96.2865,4465.2565,8787.1502,13.8387,0.1808,3.0909,57.9972,5.0151,2.3937,8.0938,4586.5015,553.3971,0.0,0.0,244.1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B07_08,0.0,209.9635,21.9355,14.9709,20.3192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.2273,15482.7154,2364.8793,0.0,0.0,0.0,0.0,0.0,53.4963,0.0,0.0,1425.2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B09,209.1506,188.2171,2109.0069,1471.1865,1468.6796,31.4476,4.9075,1.1577,39.8581,5005.0198,371.6661,15.3166,18.7559,863.0887,1754.1701,33.3514,0.3115,2.2332,10.1449,0.8955,1.3766,2.1283,384.5599,60.3177,2682.5611,12.3026,238.2314,0.3443,8.7578,30.0309,0.3048,3.0224,0.5864,0.0,0.1114,0.8349,58.365,5.4461,23.4708,25.376,3.1513,4.6166,1.2648,2.0663,0.0
IND_C10T12,4638.8012,33.1233,177.9461,264.9841,16.574,16805.9991,2239.1933,81.3236,203.9875,399.0981,6039.006,1148.9462,1606.7755,222.212,598.934,46.5042,87.4903,245.5934,179.674,278.0717,70.0688,770.163,16.8869,38.123,1074.7405,339.3185,80.3029,0.9661,23.1242,46.6611,6.5552,1615.1393,55.8331,91.7849,19.4957,112.3649,34.5164,7.5363,34.4656,7415.2663,13.6727,762.4726,5.6473,67.8649,0.0
IND_C13T15,813.3446,23.4865,383.9622,328.0701,23.9921,417.7505,29734.9498,154.6454,245.1629,409.6067,4557.5977,914.7472,2315.1362,314.9344,608.7079,71.9964,154.1013,301.6083,446.9971,1046.3398,226.795,1168.6934,459.2487,74.3589,1481.9483,463.2126,1573.2955,23.5163,508.7109,274.7187,18.4958,6.8511,72.6243,83.8944,42.0322,36.5079,75.9635,18.9294,133.6862,134.1418,43.1574,189.9219,10.9836,185.91,0.0
IND_C16,499.3064,28.0156,863.7742,16.2934,6.7431,87.2469,140.2004,2474.378,597.11,30.3138,113.8244,21.3,42.6629,51.494,127.6365,73.3401,27.3378,31.6831,115.7285,219.5596,90.8893,2382.4927,58.0655,11.3326,1115.7836,1674.8691,113.738,0.997,20.3301,17.6402,3.45,4.7037,22.9657,29.3389,16.538,24.6118,19.5243,47.1598,333.0759,16.9352,14.2518,17.8373,2.7889,21.8942,0.0
IND_C17_18,446.5296,30.5922,47.0619,77.3782,14.6301,204.0113,237.3938,199.4932,7319.1926,459.1912,176.2132,389.2205,180.8531,103.548,286.7145,31.0886,222.2756,45.2778,285.4142,51.5603,22.7418,142.9425,1348.2641,59.1182,247.4587,603.8445,2730.0264,23.8288,431.201,532.3451,162.3837,9.4708,2794.2365,648.519,271.3797,1339.6977,342.5773,225.0022,940.8859,76.7029,1521.4297,99.6654,56.3331,432.4567,0.0
IND_C19,4505.0986,50.7141,851.268,866.5952,142.2417,1308.9252,3962.5301,132.4884,431.4464,5092.4247,6052.9194,1325.9608,2514.1362,1448.7536,8590.8869,212.1981,216.6734,561.0191,2143.0446,724.0508,189.5256,1194.3778,7163.375,1293.9717,5948.1298,6876.5832,19153.1056,37.9448,695.3653,2350.0957,873.9128,203.6893,224.1422,3061.6371,389.965,844.9031,2665.2717,607.1262,5276.2367,32.9183,388.6913,50.3794,83.7124,1484.9581,0.0
