V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_A01_02,11881.1103,2.7026,16.0376,21.2542,1.7114,7365.7691,339.9809,55.3762,12.3511,3.2621,99.5296,119.7791,1.7335,55.944,13.2063,0.1138,0.0919,0.0589,0.0669,0.2553,0.692,1.4266,16.0137,9.2853,15.8044,288.0604,30.4681,1.0393,1.1772,814.1396,0.4719,1128.6504,4.211,0.8383,2.9321,268.0481,632.4765,188.8999,97.1443,207.359,270.9069,454.3801,330.5808,2.8433,0.0
KAZ_A03,17.0117,0.0076,0.0086,0.0005,0.0003,3.3697,0.0009,0.0014,0.0004,0.364,0.0003,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0002,0.8626,0.2722,0.0039,0.1788,0.0028,0.0046,0.0852,0.0,5.5083,0.0002,0.0,0.0001,0.0003,0.0015,5.3048,7.7484,79.6758,15.0527,33.0363,5.2714,0.0002,0.0
KAZ_B05_06,19.1045,2.3807,9873.8401,67.271,51.643,39.0515,0.3407,0.1967,21.0335,6614.1368,452.3805,7.8805,91.3758,197.5135,20.5499,0.0203,0.0852,6.7174,0.0028,0.6592,0.035,52.9296,2075.1612,13.1133,21.8852,432.2697,3038.5855,0.1641,0.296,11.7005,13.0278,0.92,0.3962,2.2169,0.1419,0.5002,21.5615,36.4943,15.9726,101.2855,111.4718,17.6371,45.0434,1.2611,0.0
KAZ_B07_08,2.1029,0.4036,238.27,531.3281,2.1524,0.9347,0.0468,0.4778,0.0296,22.8587,917.1432,0.0831,0.3596,146.5831,10961.6199,1.0758,0.0684,0.0862,0.0978,0.0569,0.1478,31.9464,3.7818,1.5384,297.8777,8.9044,10.6823,0.0465,6.0828,2.0947,0.2625,0.4386,0.1438,0.831,0.142,0.6955,33.4587,128.5206,8.7668,4.1794,10.1683,3.6673,0.7557,8.4564,0.0
KAZ_B09,0.8826,0.0051,2132.436,673.557,78.5394,0.2307,0.0021,0.0059,0.0224,0.0423,0.33,0.0436,0.031,8.797,0.1764,0.0328,0.0048,0.0035,1.3816,0.0046,0.008,0.0856,1.2649,0.9119,9.1866,26.4432,4.1755,0.3676,0.267,2.5299,0.0014,0.0592,0.1718,0.1784,0.1582,1.2475,1.4182,154.0091,2.6555,0.3477,0.8712,0.279,0.9718,0.3647,0.0
KAZ_C10T12,2471.7614,48.8146,60.803,17.9566,59.6758,1729.4582,2.8306,1.1074,18.6638,2.357,6.4682,34.8743,0.5905,3.3124,20.1336,0.6683,0.0381,0.302,0.3235,0.7517,0.1968,2.9319,8.3675,2.5273,21.5732,2188.6516,23.0051,0.1052,10.5137,42.8494,7.0186,1311.9437,64.9054,1.9122,33.6517,7.7261,61.7027,229.556,101.1017,289.4356,552.7241,1087.9155,256.1601,276.956,0.0
KAZ_C13T15,3.5817,21.5159,17.7451,3.8233,1.3637,5.9999,68.6349,0.0224,1.1028,0.1992,3.889,0.9499,6.628,1.5058,0.3444,0.0616,0.0026,0.0555,0.8851,0.0116,0.1806,6.9536,1.3135,0.7786,9.2947,35.7062,14.1388,0.4535,4.9253,9.2094,6.4364,9.1411,1.5464,0.7054,0.9919,3.0735,1.9218,56.7415,31.7181,33.681,42.894,193.1084,83.9221,27.7401,0.0
KAZ_C16,1.6885,0.2336,0.9452,0.0675,14.5836,0.5291,0.0283,0.3945,0.0098,0.0004,0.0088,0.0254,0.2785,0.4418,0.1106,0.0722,0.0001,0.0046,0.0033,0.0786,1.9564,17.561,0.35,0.867,8.1221,26.1515,2.3485,0.001,2.7212,1.8547,0.35,1.7759,0.0079,0.3326,0.0046,0.2019,38.0959,11.1372,0.5841,0.666,1.3464,0.2925,2.7482,3.9328,0.0
KAZ_C17_18,1.9338,1.2798,3.3541,0.4769,0.3603,22.4835,0.066,1.3807,20.5592,0.0246,0.7799,3.3984,0.0492,0.4791,0.643,0.0053,0.0459,0.0078,0.0036,0.2827,0.0047,0.0835,2.8278,0.0295,56.3423,317.5678,8.7141,0.1131,0.5532,12.984,23.8166,29.0996,54.2976,5.2651,28.6999,16.4107,26.1472,70.9734,21.658,45.782,19.7084,34.7537,29.483,4.4947,0.0
KAZ_C19,164.6614,184.5421,346.8396,359.371,4.9375,16.8206,0.9052,9.7189,0.0753,0.9369,5.2797,2.7185,0.0158,68.8539,1103.9628,0.0124,0.0619,0.0421,0.0118,0.0311,0.0107,40.0823,152.3598,3.7392,42.4891,802.29,3612.525,4.2515,223.8384,73.0811,1.766,1.0159,8.0586,2.8003,8.7546,43.2412,448.8701,48.3732,35.882,368.6368,61.8214,181.1328,28.3907,116.5352,0.0
