V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_A01_02,4931.7643,25.6533,0.3215,1.4211,0.2944,13389.4354,217.1325,782.9322,421.5428,0.935,0.9372,4.7945,15.8662,2.229,0.376,1.978,0.8293,0.5284,6.4619,0.8125,0.3933,3.1531,2.472,1.2248,99.3334,157.2356,14.5506,2.8182,3.1121,8.7712,0.3982,193.4871,3.6948,0.9135,3.5016,24.7345,21.5712,55.3847,122.5901,272.9536,6.8182,85.3925,115.9847,15.0828,0.0
NZL_A03,147.9501,179.5276,0.6711,0.3585,0.3398,256.4644,0.2646,1.6733,4.0875,1.4515,0.9214,1.8055,0.6225,0.4369,0.2667,1.7683,0.0103,1.1189,0.4544,0.2151,0.1082,1.0972,0.6023,0.6974,3.4468,77.208,2.4777,0.1856,1.9676,2.6715,0.489,67.273,6.2488,1.0766,2.3095,63.1675,28.0666,7.8682,8.9585,8.7244,1.4355,10.8295,1.6355,1.6954,0.0
NZL_B05_06,18.9112,2.548,94.5942,6.9411,7.0623,55.1687,4.892,2.4554,4.8289,708.9133,38.2616,0.9815,2.3366,18.1873,40.198,11.6531,0.1149,0.2823,2.0836,0.8619,0.1564,2.172,112.6476,3.7316,171.1044,180.8883,7.5055,1.284,6.1915,3.6807,0.152,3.751,1.6218,1.4704,0.619,4.5617,32.0219,18.4477,8.1302,13.8458,18.6458,25.9341,1.2166,2.0682,0.0
NZL_B07_08,77.1786,0.8766,11.5584,9.5889,1.6268,44.3518,8.9314,3.4739,4.2732,8.0812,42.3971,1.3251,7.6594,87.8278,25.4597,3.4892,5.5702,5.7535,2.1385,0.3705,0.4989,10.7031,0.451,17.5847,303.0067,15.0697,14.8464,0.5191,0.1313,0.5907,0.0975,5.2902,0.908,0.2442,0.3251,6.9533,8.2208,5.4949,4.4729,3.4748,3.5772,3.6696,0.6482,1.764,0.0
NZL_B09,1.6135,0.2495,90.5424,8.6414,9.2127,18.7185,4.1857,0.8537,0.8047,23.7252,2.9641,0.6709,1.2868,1.1805,20.106,13.3523,0.1541,0.1809,2.193,1.3386,0.0612,1.3559,1.3086,0.5036,11.3411,51.6275,0.6561,0.0285,0.4611,0.4677,0.0695,1.0996,0.6976,0.257,0.4969,2.1075,4.5695,11.6178,6.944,10.2646,6.1653,2.2848,0.5824,0.7144,0.0
NZL_C10T12,526.9951,261.5541,20.8569,7.5369,3.3486,2475.356,21.2572,45.7377,111.7475,28.8117,59.2374,48.16,65.2186,22.031,24.0503,24.9604,18.4465,28.1396,7.9023,9.1658,9.5395,9.0094,7.4264,31.4155,79.1335,516.908,8.5177,3.5155,16.0618,24.0206,5.7492,915.6038,74.4354,4.3971,11.9381,27.3819,118.3482,86.0923,74.0843,45.0281,17.2015,208.1869,40.7838,10.0973,0.0
NZL_C13T15,13.8567,3.2447,0.845,0.4503,0.4853,7.9491,55.5214,1.1423,4.4183,0.7727,0.3163,2.715,2.2371,0.7544,0.9995,1.3995,7.8495,0.7287,0.5333,0.3761,0.5057,7.5261,1.7184,0.5151,57.9716,78.8998,1.9025,0.1176,1.2542,1.0466,0.0764,2.3367,1.4144,0.4446,0.4424,1.2554,38.3428,5.3588,5.4599,11.455,6.5212,7.5604,1.5823,8.8232,0.0
NZL_C16,208.0245,0.9171,1.7109,0.8895,0.1403,42.6389,0.4737,778.2903,163.034,2.8352,1.2814,0.8495,12.4488,35.3316,3.3881,14.7223,0.65,3.4399,5.9842,1.3637,6.4112,83.6879,1.5974,0.2823,1346.43,451.0484,2.1097,0.4673,1.4578,4.9555,0.1257,1.682,1.9961,0.5815,0.3155,1.0015,91.0451,33.2293,14.022,7.3397,15.987,8.5728,3.1595,17.313,0.0
NZL_C17_18,258.1478,27.8515,0.9736,9.047,0.4156,198.3415,15.7373,82.9708,293.7547,13.6565,82.3104,33.2447,120.2274,37.2809,6.9679,14.2634,37.9501,14.387,3.1437,4.7955,10.733,18.5495,2.6956,8.5928,173.784,172.7773,9.2398,0.9728,16.7977,14.3271,7.7829,43.091,125.5665,6.099,11.1165,39.5933,164.1149,422.8613,56.7691,48.0215,56.8479,69.8685,18.2596,13.7608,0.0
NZL_C19,265.7418,118.8278,101.8723,30.6217,7.7804,134.9128,9.7013,19.3908,20.0645,133.1867,11.0836,3.5763,11.0261,34.7488,48.7521,36.7272,6.5945,4.6106,8.481,4.9398,11.8612,32.2851,43.5216,27.2459,727.1877,199.866,558.033,68.7213,656.4904,83.4383,0.8146,19.3315,7.1158,5.8211,3.3559,4.7315,67.6626,40.1381,69.1273,59.5696,24.9713,51.733,23.9137,17.9087,0.0
NZL_C20,252.0085,3.1325,14.9573,9.2428,1.7511,54.2418,13.3286,37.3359,97.1246,8.6066,107.4246,19.1235,142.9029,45.0109,11.4793,8.4022,27.6839,18.4077,2.8422,5.7835,9.8254,7.5971,2.0202,8.6386,123.2929,81.9099,12.4384,0.8498,8.4263,5.3556,1.9935,15.0126,17.3098,1.0152,1.8703,2.4108,38.8969,27.6543,26.1831,24.2413,12.2156,37.9941,5.6465,6.4473,0.0
NZL_C21,106.7917,0.4859,2.1249,1.9197,0.2835,24.3674,3.1974,9.1845,23.4854,1.5324,26.1896,19.9834,36.4037,9.897,2.3935,2.4623,19.9932,4.3936,0.6299,1.3851,2.7047,1.6511,0.9097,1.9271,28.4751,37.545,1.3674,0.0908,0.8513,1.1138,0.3869,3.5547,4.0746,0.3411,0.5883,1.4565,9.4719,7.514,6.5508,6.0915,3.3786,86.5775,1.4805,1.6626,0.0
NZL_C22,275.5537,7.7966,21.0941,11.447,2.4792,338.016,12.2044,41.021,66.5783,78.4645,55.3576,28.3675,142.6261,24.9253,12.8621,14.0937,17.9695,29.7529,30.1897,22.1595,12.7345,37.8491,2.0355,14.3085,357.6725,221.8221,81.4185,0.6744,10.2469,17.6718,24.5086,24.0822,10.5916,2.5011,1.5416,3.3372,55.1348,34.2572,32.5628,16.5537,12.1831,35.2639,6.7019,13.7904,0.0
NZL_C23,85.5525,0.5901,6.2067,4.0385,1.7741,106.6303,3.8323,37.4532,27.6688,14.1127,34.2323,5.6133,42.071,143.36,7.5184,63.7349,25.673,8.3771,2.1047,5.0056,9.7419,10.7436,0.7724,14.8587,1160.3888,31.9166,10.9248,0.1366,1.5005,1.5748,0.6347,6.1639,4.6848,0.7547,0.492,2.2022,61.8445,32.0339,34.8387,6.8345,12.1926,12.1585,1.596,5.9735,0.0
NZL_C24,42.0836,0.0,6.994,0.9907,0.9759,25.4775,0.4162,1.7629,7.8676,128.9319,7.4256,0.9358,4.9353,19.1107,417.269,812.1904,12.2128,60.8975,314.8748,3.0479,5.167,27.3023,0.0,3.4815,218.3889,3.1034,1.3843,0.0347,0.0,0.1131,0.0,5.1665,1.5092,0.0,0.0,0.8146,12.8966,2.5728,0.0,6.9217,4.1686,1.0659,0.0,3.2599,0.0
NZL_C25,59.3841,1.2482,56.1344,20.0569,7.9739,231.3136,6.8543,46.4211,34.2813,50.8403,5.3466,3.4138,57.8586,66.1304,140.6853,598.4194,5.5999,22.5058,86.1578,16.9602,6.9197,157.8174,9.408,18.0078,1734.1529,202.3024,3.5307,0.2459,6.9507,5.6078,0.2437,43.4246,2.5865,1.5132,0.8042,16.3682,361.5813,26.2596,37.409,63.5256,24.9113,11.1148,2.2168,55.4216,0.0
NZL_C26,0.1981,0.0,0.9334,0.0,0.5278,11.6364,1.056,2.4809,5.0959,0.0,3.8264,0.7259,2.0981,0.7032,0.219,0.5245,37.7242,14.4939,1.1431,0.4379,1.8012,3.6521,3.3822,2.3526,36.5874,43.1903,0.306,0.0,0.5632,0.7718,2.3484,0.0,30.8792,115.1718,15.3606,7.2945,7.3886,25.6887,10.7127,22.3311,25.2332,23.006,6.3168,10.0189,0.0
NZL_C27,7.8753,0.3114,0.3446,0.7361,0.0878,16.8896,0.6791,4.3943,12.3423,1.2148,2.1755,1.1996,4.807,1.6121,1.9138,6.7258,71.9124,118.0892,42.7441,13.331,1.7073,4.8909,10.1362,0.2441,416.374,27.1435,3.9258,0.0836,12.5413,9.0688,14.576,12.2465,7.6103,34.6494,1.3109,2.9157,19.3664,10.0499,17.0521,13.4363,3.9233,11.2503,0.5975,4.7518,0.0
