V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_A01_02,3308.09,51.9624,0.0285,0.0116,0.0221,4805.3154,79.6432,581.9679,117.0939,1.4135,2.9611,0.344,1.7708,2.4326,0.43,0.106,0.8682,0.9508,1.3055,0.6572,0.4133,126.504,1.5178,0.9098,74.2297,205.232,9.4666,0.5492,0.2774,1.8911,0.0018,41.8246,0.484,0.0206,2.9503,0.9197,0.0316,50.9709,14.4712,0.4326,0.8691,3.0462,2.7003,7.9839,0.0
ROU_A03,0.0002,30.7676,0.0007,0.0001,0.0,253.2284,0.0,0.0161,0.0,0.0,0.0007,0.0001,0.0,0.0224,0.0,0.0888,0.0004,0.0,0.0,0.0,0.0019,0.0,0.0002,0.0134,0.1115,17.8673,0.0005,0.0,0.0,0.0,0.0,20.0321,0.012,0.0002,0.0,0.0,0.0,0.1649,0.0,0.0,0.0,0.0402,0.0841,0.2885,0.0
ROU_B05_06,0.0064,0.0,0.3134,0.0001,2.1138,0.004,0.0034,0.0456,0.0,1707.0761,0.0573,0.0007,0.1285,0.0028,0.8609,0.0412,0.0,0.0,0.0,0.0059,0.5543,0.0255,1067.0585,6.0343,0.0002,1.2255,160.1151,0.0,0.0,0.0,0.0021,10.4548,1.7102,0.0171,0.0005,0.0,0.0005,2.0208,0.0004,0.0001,19.327,0.7358,16.1203,6.1468,0.0
ROU_B07_08,0.3242,0.1334,9.2977,31.3064,2.0478,0.099,1.0219,0.065,0.3402,40.2261,1.6357,0.0208,3.4193,150.4006,23.8323,3.5838,0.0012,0.022,0.0019,2.8533,0.1806,0.1583,52.4256,0.7434,22.4434,27.7834,3.4151,0.031,0.0007,0.0,0.0,0.7257,0.155,0.0,0.0,0.0,0.0153,6.2315,0.0147,0.0029,0.0,0.0026,0.8741,0.8563,0.0
ROU_B09,2.3155,0.415,93.2696,9.8039,22.7615,1.4908,0.0741,0.0589,0.5388,84.1004,2.8138,0.0359,0.5038,10.7368,16.7411,1.0368,0.0073,0.0735,0.1842,0.0443,0.0212,0.1321,13.547,0.7399,55.0115,0.4765,6.1124,0.0424,0.1204,0.9831,0.011,0.0883,0.0158,0.0,0.0022,0.0078,1.0475,1.449,0.5527,0.6246,0.0701,0.1362,0.2252,0.065,0.0
ROU_C10T12,280.8622,1.0081,14.1521,2.1746,0.1402,2965.458,57.0192,24.7032,10.5817,6.1908,21.2256,17.4925,6.8814,19.4136,15.2813,19.3049,17.7792,43.3132,20.8211,65.7831,5.9473,19.479,10.9773,33.1834,169.3247,695.8041,49.5861,4.7491,9.3675,60.0355,11.3032,1298.8766,17.8338,29.3068,64.5344,14.3815,17.48,223.0829,75.1804,79.5811,140.5513,496.8724,93.1849,157.8671,0.0
ROU_C13T15,10.8651,0.1153,8.1066,0.2158,0.5237,17.449,389.6596,12.3974,4.7529,3.0629,8.1209,0.5405,54.1909,14.0791,12.0761,6.8281,11.5406,19.8936,19.4942,63.0212,4.4836,88.776,16.5517,5.1739,58.269,217.6168,33.5825,0.3931,0.5706,8.8796,1.6691,7.7861,21.7951,4.2887,8.7002,1.2984,4.8225,46.2514,12.3848,42.5572,3.1557,98.4126,6.5576,17.7722,0.0
ROU_C16,19.8259,0.5699,0.5835,2.6019,0.1959,15.3216,6.6833,335.587,29.8033,2.3156,5.6301,0.7491,6.4694,31.7824,27.2403,7.743,9.7635,21.1907,28.9,25.9374,12.3398,336.698,7.4491,6.7376,671.2769,241.9014,41.9223,0.3162,1.0761,12.3616,2.3245,2.4689,3.6286,6.0802,13.8488,2.2639,39.1356,46.3383,14.8654,0.7477,0.6372,2.752,19.9132,9.3193,0.0
ROU_C17_18,19.2863,0.6861,4.9571,0.5388,0.2384,26.5301,18.8069,20.5964,104.943,1.6653,15.0608,2.0418,5.9674,27.2916,18.4349,13.7908,21.7108,52.2053,17.4776,56.4907,3.6068,37.2298,19.4028,11.4783,42.6872,362.2265,18.6345,0.3136,8.0962,11.6777,13.7473,10.3119,99.7826,32.5071,13.1498,29.7615,42.7479,60.564,14.1115,93.5514,160.5628,54.5006,84.2608,14.2151,0.0
ROU_C19,440.5926,0.5917,23.2964,10.4199,10.9566,76.739,22.5741,25.3996,12.3365,16.8718,109.8776,1.6107,32.9772,61.6389,456.4501,24.0255,2.942,14.9997,21.3241,65.9525,10.1589,14.3415,237.427,14.7331,378.8794,991.1591,878.0537,13.9025,31.4161,25.0925,4.7144,10.0618,7.5297,12.8971,28.461,8.9883,14.6386,107.448,30.4698,38.9108,2.5859,14.8694,25.8101,44.3327,0.0
ROU_C20,265.2938,4.0261,6.0457,0.5409,2.0703,44.6934,87.3173,26.9117,24.2928,14.4627,261.1124,14.9455,320.1148,37.6384,32.7262,30.2118,25.6521,53.333,28.6923,117.4818,8.6261,67.8191,24.5788,50.4089,199.1387,339.9354,65.3278,2.284,1.5195,3.6675,1.3787,12.0927,22.0998,0.884,22.2014,3.0474,107.1053,39.9365,49.3619,17.3964,13.2958,88.5007,7.2824,5.4473,0.0
