V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_A01_02,557.6214,0.803,0.2257,1.1155,0.0191,545.2811,4.292,193.334,185.8654,4.4277,56.5898,3.6316,41.3004,4.3426,6.1729,10.5585,4.7746,3.591,6.4076,16.0255,1.0884,13.5366,34.0999,2.2415,49.9075,130.75,16.6623,0.279,0.5424,8.3085,0.3567,32.9804,1.9514,0.7783,2.0407,2.9815,17.8988,15.5314,41.6161,5.8089,2.9909,6.6525,2.6529,6.1309,0.0
SVK_A03,0.0665,0.1917,0.1481,0.5601,0.0001,1.8466,0.0615,0.0043,0.0132,0.0058,0.0195,0.0049,0.0353,0.0256,0.0197,0.0366,0.017,0.012,0.0264,0.0733,0.0014,0.0109,0.0414,0.2228,0.0405,1.3809,0.0336,0.0006,0.0003,0.0174,0.0011,0.3588,0.0087,0.0158,0.0488,0.0506,0.0443,0.3781,0.1208,0.0789,0.0188,0.0643,0.0282,0.527,0.0
SVK_B05_06,1.0546,0.0027,0.368,0.5825,0.0029,0.4341,0.2975,0.2993,1.7452,7.4891,0.2495,0.0137,0.237,2.1378,11.3149,0.2566,0.1109,0.1875,0.2136,0.6305,0.0157,0.145,32.001,0.1744,5.2847,1.0381,0.7664,0.005,0.0526,0.6258,0.044,0.0582,0.0528,0.0441,0.0568,0.1585,0.9488,0.6816,0.2192,0.2537,0.1371,0.0969,0.0787,0.055,0.0
SVK_B07_08,7.4527,0.0065,0.3445,7.1147,0.1241,2.0659,1.6355,0.6344,2.4258,23.8288,2.9421,0.3139,1.5245,46.475,67.9574,0.7754,0.276,0.4551,0.5567,0.8095,0.066,0.1993,42.7778,1.1596,54.6148,4.409,2.1315,0.0087,0.0081,1.8835,0.0459,0.0871,0.0868,0.0321,0.0605,0.0575,12.5507,3.7474,2.5444,0.6522,0.3212,0.1399,0.1472,0.1229,0.0
SVK_B09,3.2077,0.0074,3.4574,10.6895,32.1099,0.5993,0.0354,0.1014,4.4824,60.8589,0.0621,0.0013,0.1528,5.1327,5.9358,0.3642,0.0007,0.0041,0.6209,0.0602,0.0313,0.0405,31.7893,1.1314,11.724,1.0983,0.9953,0.0,0.0,15.7653,0.1405,0.0037,0.0103,0.0,0.0057,0.0051,24.6571,2.4291,0.5122,0.2412,0.386,0.1925,0.008,0.1398,0.0
SVK_C10T12,87.5375,0.5852,0.0006,0.003,0.0047,201.364,0.1161,0.0117,0.408,0.0369,14.5021,0.1341,0.2796,0.0256,0.0464,0.0298,0.0903,0.0055,0.0143,0.065,0.0046,1.1178,0.0586,4.7147,0.4755,51.3095,24.189,0.2645,0.1949,40.0477,0.0457,99.3781,5.1595,0.1135,0.4075,0.1534,0.1845,0.7574,2.797,14.0545,7.6957,16.9659,3.2031,9.6595,0.0
SVK_C13T15,0.8985,0.0041,0.0467,0.1952,0.0154,2.469,103.5469,0.3894,3.4673,0.2294,0.3478,0.0796,1.8474,0.5994,1.5471,11.7515,0.5376,1.3756,9.1811,56.5801,0.7864,7.8174,1.8377,0.641,3.95,8.6617,0.8437,0.014,0.2042,0.6514,0.0607,0.7641,0.8726,0.1589,0.4777,3.9014,0.4099,2.1567,1.6713,17.6347,1.9304,2.2306,1.1194,1.1755,0.0
SVK_C16,17.3458,0.0452,0.1832,0.8867,0.0203,13.7455,4.301,195.7812,19.4879,2.8799,8.2437,0.5842,13.5449,11.1476,9.7129,14.7021,5.4079,9.867,11.1462,17.3995,1.11,63.4557,30.1123,1.9048,140.7338,73.1633,13.8119,0.1194,0.2325,7.3435,0.2081,5.723,1.4826,0.5584,1.821,1.219,10.0,13.5687,13.6605,6.6507,3.8862,4.3959,1.1425,35.2909,0.0
SVK_C17_18,4.186,0.0091,0.0241,0.211,0.0148,44.344,7.6308,3.4603,137.7606,0.6292,6.8827,5.6742,8.0296,5.3245,1.9292,11.7812,4.8052,5.0529,6.9785,9.0279,0.1439,3.8597,6.2196,1.3021,3.874,43.446,1.8979,0.0561,0.3039,2.257,0.9459,8.7703,18.4784,1.3835,24.8806,5.3301,3.4898,69.7933,79.5181,16.9455,15.7851,3.3236,5.1825,6.0967,0.0
SVK_C19,139.7873,0.0788,0.7971,6.9261,0.3847,31.2072,11.1521,8.8992,10.1363,166.8782,58.1787,2.7379,57.1956,23.4111,46.53,14.424,3.0611,7.276,14.418,32.317,21.5286,7.4279,13.7576,26.778,77.4641,189.0442,551.0693,10.3997,17.3325,38.3686,3.7133,24.651,4.0539,5.1302,8.1264,6.9163,84.4057,111.9257,147.8674,37.9297,27.5564,24.7136,10.0029,17.1889,0.0
SVK_C20,64.334,0.0066,0.0872,0.7741,0.0635,6.452,15.3036,4.9074,22.6324,32.2339,92.1201,7.7532,181.6154,8.5275,12.5407,15.3558,5.3181,19.101,28.177,81.4746,1.8914,5.7332,7.2058,5.7741,14.3846,16.9892,4.6537,0.098,0.0951,2.8798,0.0905,1.46,0.4636,0.2538,0.7772,1.0179,3.1245,7.8723,7.2503,3.4546,3.0651,6.6523,1.3917,1.2556,0.0
SVK_C21,0.8728,0.001,0.0012,0.008,0.0012,0.0974,0.1823,0.1714,0.3847,0.6614,1.8772,2.7729,4.21,0.312,0.1787,0.4996,0.1461,0.3644,0.5795,0.748,0.0207,0.1104,0.216,0.0795,0.1676,0.4519,0.1435,0.01,0.0088,0.4047,0.0039,0.0246,0.04,0.009,0.077,0.1562,0.2507,0.8167,0.1307,0.0635,0.0365,30.9205,0.0619,0.1095,0.0
SVK_C22,9.1379,0.0208,0.1273,0.7356,0.0352,88.9253,20.5943,3.2036,24.5578,1.8111,27.9641,3.4554,260.5929,10.51,4.1739,32.9299,29.6186,78.527,36.1306,834.6794,2.1657,36.083,6.2268,6.5616,71.364,37.7175,9.3837,0.0391,0.1488,2.8526,0.1268,11.2091,0.4365,0.4067,0.9184,0.9874,2.3343,8.0784,5.5823,2.3458,4.3917,5.4102,0.5421,1.5328,0.0
SVK_C23,9.9414,0.0292,0.9058,8.8867,0.0906,49.7037,17.9859,9.5247,2.8746,7.1596,6.8289,2.1481,67.1849,258.9585,85.357,31.0109,10.0209,31.3027,37.3538,28.0351,1.0773,9.9962,13.0262,7.2989,349.1348,37.7808,31.4737,0.0755,0.1583,3.0056,0.2213,2.192,0.3482,0.294,1.0912,1.3745,6.6257,41.204,46.4739,3.3983,1.8007,1.9112,4.3733,5.3023,0.0
SVK_C24,1.8559,0.0021,0.1369,0.838,0.1433,15.5456,2.4604,1.8821,2.3442,0.0067,2.1092,0.6307,54.0387,17.2795,748.9635,407.6623,40.9129,104.1173,458.5721,338.4386,42.7705,54.4111,30.5929,6.714,76.8999,128.9841,1.7608,0.0291,0.0343,0.7754,0.0029,0.0785,0.3218,0.0082,0.0237,0.1332,1.3667,5.5212,0.9706,0.3167,0.7535,0.222,0.1063,0.1837,0.0
SVK_C25,17.0715,0.0277,0.5575,2.9818,0.1975,29.1052,9.0305,9.0393,13.5288,9.2519,7.7203,0.9794,51.7393,13.4822,73.9011,699.0369,14.0476,45.1271,507.1088,1313.0721,45.4569,126.5116,26.8576,10.719,184.7641,83.2846,16.382,0.4568,1.3767,5.7421,1.6654,4.5116,0.7566,1.8713,3.4712,1.4087,10.1344,41.6847,16.2017,16.4865,5.309,8.0894,1.8383,7.7514,0.0
SVK_C26,2.2829,0.0028,0.1041,0.5731,0.0203,3.1981,0.8231,1.7795,1.6011,2.1211,0.8985,0.7201,4.1562,3.3678,4.1874,21.8206,740.9001,28.3628,42.0824,53.5589,3.905,15.3052,10.011,2.1591,35.9802,97.6055,3.7275,0.0968,1.7148,0.9637,0.2027,3.5852,2.1881,41.7347,26.0935,1.5414,4.5743,32.6246,11.6896,10.1119,6.7395,6.5387,3.7723,15.771,0.0
SVK_C27,9.2506,0.0119,0.3358,1.6187,0.0487,11.7634,3.1112,2.9292,4.8761,7.073,2.9775,0.6834,8.8278,3.9711,9.074,50.5093,103.06,309.5968,43.3931,200.3827,2.826,49.712,145.2331,7.838,89.8649,52.223,13.3188,0.5473,1.0257,3.3328,0.5099,2.7979,0.8339,3.5398,14.3446,2.5628,7.9215,50.1159,14.9483,10.0806,4.794,8.1035,2.7248,7.3672,0.0
SVK_C28,23.244,0.015,0.6092,3.7358,0.1409,12.2437,3.2188,2.9338,5.5601,5.8021,2.4494,0.7959,13.2234,4.5498,19.3682,126.8257,8.3736,30.0197,194.1221,171.0416,3.2958,47.9187,12.9867,4.9024,42.5621,57.4036,8.9417,0.329,0.7514,3.3521,0.3489,2.5893,0.4449,1.5661,5.2146,1.5176,9.301,23.233,7.4481,8.4591,2.6133,5.3628,1.3403,4.9992,0.0
SVK_C29,13.7756,0.0304,0.2052,1.4971,0.0454,15.4146,4.3017,3.5682,4.494,2.5821,4.777,0.7657,39.9327,33.3678,9.5277,64.0515,60.4459,53.149,61.447,5746.9776,4.3109,28.3062,20.8856,9.5114,31.5278,172.9123,70.9085,0.1611,0.4355,5.718,0.4893,5.883,0.7172,3.641,4.9122,3.4577,4.2703,30.4159,23.2603,13.5732,6.5713,9.1589,2.0474,3.9727,0.0
SVK_C30,0.1832,0.0011,0.0428,0.0957,0.0012,0.0521,0.0814,0.0968,0.0605,0.0003,0.2542,0.0331,0.3618,1.5354,0.0571,0.4681,0.0586,0.0454,0.2863,0.0339,35.7913,15.3921,0.0112,0.7107,0.265,23.4689,4.7205,0.0927,2.4349,1.0601,0.7492,0.0526,0.0479,0.6978,8.3041,0.0174,0.0062,4.2875,8.5437,3.8708,0.0847,0.1505,0.0872,7.4174,0.0
SVK_C31T33,56.3345,0.0359,2.7663,12.3388,0.2388,64.7856,9.0749,27.1989,38.9766,58.8675,16.0977,4.1784,46.1578,22.7999,61.8019,80.4612,17.0555,18.5946,52.9658,74.4833,4.5861,333.8396,92.1784,30.606,82.3179,398.0021,76.2239,2.366,10.4726,22.46,2.2583,21.5561,3.2501,11.6271,14.3112,8.7475,20.6714,112.6605,31.9754,61.857,30.523,95.3655,16.0454,22.8146,0.0
SVK_D,101.8325,0.5969,2.1872,17.3173,0.3212,134.2686,39.4786,26.0023,86.2694,74.9655,89.0884,13.3872,114.6632,67.3971,356.537,91.1266,11.4149,20.7003,64.2722,47.5442,4.1745,20.3619,4331.0407,66.5356,32.6725,372.77,84.0249,2.0188,0.7274,121.8772,5.5137,149.7737,42.8171,41.6111,15.2504,35.8236,322.1881,128.7425,256.9806,229.9324,204.6564,107.1109,62.7454,33.6284,0.0
SVK_E,4.6553,0.1292,0.0876,0.4763,0.103,30.3668,6.0754,1.6005,4.1904,4.316,10.7989,2.3179,6.2425,3.5984,31.2201,5.781,1.9008,2.2667,4.9854,15.9711,1.3772,2.063,38.9829,175.9628,18.6256,29.3437,11.6303,0.1507,0.2263,9.4105,1.9253,7.0655,3.2814,1.5131,13.2466,3.2831,8.4003,25.3734,8.5678,296.4246,35.1126,21.033,12.3932,2.4239,0.0
SVK_F,44.2343,0.1137,2.0877,15.496,0.3904,39.2981,11.5176,114.9844,9.8646,24.1175,11.8738,2.7806,53.2969,56.5818,42.6403,108.529,18.4029,82.2155,27.624,57.3608,1.6837,63.8165,97.3297,57.5904,6038.0228,400.0089,194.8119,0.5869,1.2151,153.5696,5.0627,29.0917,16.6194,3.5609,30.6374,15.825,288.1774,414.1773,146.6388,282.5363,109.0994,55.634,11.332,7.2366,0.0
SVK_G,245.7403,0.738,1.9147,12.7041,0.4823,323.7713,102.8066,88.8094,101.1406,141.9772,113.1085,15.9826,262.5689,120.5982,189.4871,316.1277,267.1512,173.1369,302.1693,965.3184,28.7066,187.2942,396.4776,43.4435,422.3153,494.7505,252.0193,3.7251,13.4942,122.1309,10.7314,100.424,33.2555,47.0737,107.038,61.3292,101.9228,301.126,181.8861,121.7387,60.5994,134.7446,50.1636,47.6444,0.0
SVK_H49,39.3305,0.1386,2.121,18.0602,0.314,89.5419,16.2247,22.2542,31.1126,55.1268,26.8813,2.2289,54.4016,47.4059,76.4771,58.3895,26.5273,25.5895,53.3692,160.8503,4.0038,24.13,71.9977,21.4009,113.3329,330.0386,502.364,2.2125,2.2069,443.5616,40.5685,10.5254,4.6094,4.6462,8.798,6.5483,12.2844,35.96,60.9847,22.6111,19.46,19.7744,4.8991,8.8178,0.0
SVK_H50,0.3074,0.0019,0.0056,0.0363,0.0024,0.4619,0.0572,0.0799,0.106,0.5917,0.1384,0.0111,0.4029,0.1855,0.409,0.3124,0.1999,0.1726,0.3335,1.2336,0.0302,0.1504,1.1416,0.115,0.382,1.8036,2.0693,0.0997,0.0803,5.9078,0.0578,0.1278,0.0113,0.0371,0.0936,0.0368,0.1259,0.31,0.2799,0.3614,0.0626,0.1067,0.0176,0.0373,0.0
SVK_H51,0.3685,0.0071,0.0039,0.0342,0.007,0.4924,0.0326,0.1561,0.1581,1.1785,0.2339,0.0163,0.4826,0.3304,0.9105,0.4134,0.4077,0.3035,0.4268,2.7038,0.0291,0.2311,1.5727,0.0519,0.5267,0.5563,0.3848,0.0188,0.0161,0.6107,0.0108,0.0491,0.0062,0.0064,0.0178,0.0061,0.0884,0.0771,0.1421,0.0872,0.0127,0.1378,0.0152,0.0556,0.0
SVK_H52,23.6507,0.1009,0.9948,6.6701,0.2471,56.046,5.8193,6.5061,15.1357,91.4238,16.894,1.0425,48.048,18.2139,57.0735,22.6904,13.3659,10.5191,20.103,65.4207,1.5582,14.9322,117.8233,20.5866,44.4766,336.9376,402.9278,19.2307,15.6176,1156.4983,11.5926,13.5863,1.651,6.0252,16.2531,5.4048,17.1083,66.7424,36.8942,67.0464,10.8061,8.4464,2.1119,2.9743,0.0
SVK_H53,2.5245,0.0194,0.0518,0.4138,0.0177,5.5259,3.0376,0.5595,3.0998,1.6908,1.0004,0.2608,1.6679,1.343,1.7611,2.6002,2.5919,1.1358,3.1445,7.6171,0.795,2.0028,10.4074,5.9701,4.1491,75.797,11.1181,0.0682,0.2707,5.8319,240.4728,2.323,13.6682,31.7067,3.5707,59.1726,1.9087,7.0002,9.5064,25.5405,1.6103,1.9125,3.8582,1.2722,0.0
