V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_A01_02,189.1457,0.1265,0.4811,0.3903,0.0063,196.8764,3.8568,118.5103,14.9706,0.0024,3.9468,5.3116,18.1775,4.4081,6.4432,7.9787,2.326,6.4094,4.9877,7.4142,1.0201,6.8869,12.2364,5.6477,35.3604,60.3148,9.8868,0.041,1.1781,3.0836,1.3673,26.3352,2.2506,2.9504,2.6515,4.8583,5.0216,22.0686,7.6392,7.1517,9.5646,9.1524,6.6736,4.9183,0.0
SVN_A03,0.0398,0.656,0.0007,0.0017,0.0,0.4144,0.0258,0.0243,0.0149,0.0,0.0207,0.0284,0.0246,0.0187,0.0297,0.2388,0.0133,0.0535,0.0229,0.0338,0.0025,0.014,0.0355,0.0098,0.0572,0.3887,0.0474,0.0011,0.0076,0.2775,0.0015,1.8247,0.2302,0.0078,0.0147,0.0412,0.0438,0.1314,0.058,0.0301,0.1634,0.0736,0.701,0.0947,0.0
SVN_B05_06,0.0269,0.0002,0.5625,0.1495,0.0025,1.3505,0.1292,0.0756,3.2969,0.0022,3.6745,1.5563,0.3356,2.4938,11.9039,0.3245,0.0363,0.0621,0.1528,0.4309,0.01,0.1034,80.5559,0.9719,0.9537,3.7507,0.2885,0.0002,0.0065,0.7075,0.074,0.9068,0.0305,0.0709,0.0997,0.061,0.5361,1.1913,0.3438,0.2023,0.3412,1.7357,0.3412,0.0801,0.0
SVN_B07_08,0.5178,0.0029,0.0929,2.956,0.0162,3.0799,0.1637,0.13,1.5393,0.0,8.0251,3.4024,0.1677,28.7032,27.1155,2.7188,0.0666,1.6858,0.1037,0.3509,0.0239,0.6439,0.5978,3.0937,33.3527,3.8069,1.6349,0.0002,0.0161,1.5674,0.162,2.0674,0.0678,0.1335,0.0356,0.3567,1.2352,3.312,0.938,1.3731,0.4316,3.8138,0.759,0.0758,0.0
SVN_B09,0.008,0.0007,0.0648,0.1677,0.0094,0.004,0.0003,0.0007,0.015,0.0002,0.0433,0.0123,0.0063,0.1126,0.3108,0.0341,0.0001,0.0017,0.0045,0.0005,0.0001,0.0022,0.0857,0.0201,0.495,0.0046,0.0422,0.0001,0.0015,0.019,0.0002,0.001,0.0002,0.0,0.0,0.0002,0.007,0.0266,0.0076,0.0065,0.0009,0.0014,0.0015,0.0007,0.0
SVN_C10T12,80.5123,0.9913,0.1631,0.599,0.0009,220.252,0.2657,0.6552,0.8028,0.0002,9.5863,4.2645,0.3276,0.602,0.1659,2.517,0.4415,1.0461,0.9304,0.5466,0.0514,1.902,1.6191,0.5615,4.7492,42.2038,2.4563,0.0436,1.3508,1.1805,0.0941,171.9674,0.5882,0.1656,1.2666,8.3498,4.5178,5.1404,5.2063,2.8209,44.1926,27.2406,12.3316,1.4656,0.0
SVN_C13T15,0.5711,0.0387,0.1816,0.1552,0.003,1.2396,133.6464,1.3733,1.1992,0.0007,2.6189,2.7516,20.7326,1.1969,0.7932,1.4437,0.2645,2.0575,1.0022,23.7973,0.1866,3.847,0.7133,1.5743,2.7228,8.8648,0.9946,0.0157,0.1592,1.1474,0.7298,2.951,0.4146,0.2893,0.4056,0.7798,1.2163,7.608,1.956,2.1438,2.5124,13.5912,3.9232,0.7409,0.0
SVN_C16,4.7584,0.0147,0.7539,0.2079,0.0026,2.0782,0.6446,59.9833,4.8884,0.0008,3.7694,4.821,3.9211,2.7348,4.4838,14.3818,0.4414,4.7343,2.4622,7.3802,0.1699,56.9183,5.759,2.2025,49.0656,18.0206,4.0871,0.016,0.62,1.5068,0.0909,2.1841,0.3988,0.3151,0.526,0.7773,1.6013,24.0504,1.3893,2.5754,1.8496,2.0695,0.9264,0.6439,0.0
SVN_C17_18,2.1,0.055,0.0579,0.3104,0.0025,25.6091,1.3757,2.1027,186.0889,0.0101,3.635,94.8609,7.8848,6.6271,1.8653,3.6757,1.557,17.5255,4.2645,7.7796,0.5636,5.6275,2.8826,5.3236,3.8033,79.0183,2.9144,0.0214,0.4922,5.081,1.1017,11.4523,16.1803,4.9342,3.996,19.407,1.8646,47.2776,9.0765,9.6317,9.2486,5.5293,10.4621,4.1143,0.0
SVN_C19,0.0115,0.0001,0.0001,0.0002,0.0,0.0048,0.0013,0.0033,0.0038,0.0,0.004,0.0077,0.0055,0.0074,0.0094,0.01,0.0047,0.0069,0.0069,0.0077,0.0005,0.0078,0.0049,0.0056,0.0169,0.0607,0.0726,0.0001,0.0044,0.0077,0.0009,0.0083,0.0091,0.0019,0.007,0.0153,0.0091,0.0549,0.014,0.0061,0.0064,0.0082,0.005,0.0055,0.0
