V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_A01_02,5970.7655,2.0539,5.2183,1.9253,0.7926,4736.1699,16.2294,176.8124,139.8062,0.5329,39.5232,15.0663,0.3066,3.0788,1.3249,0.4862,0.044,0.0967,0.7816,0.2285,1.1369,48.3239,31.5434,0.6352,6.466,1573.7359,46.8066,17.6112,7.087,24.1774,0.0604,125.3246,0.0921,0.0535,0.1672,1.0334,17.097,9.5732,10.7435,69.1022,107.4438,20.7444,2.1576,1.5636,0.0
UKR_A03,96.3141,31.4475,0.0134,0.005,0.002,12.3752,0.0402,0.477,0.3495,0.0014,0.1012,0.0393,0.0008,0.0079,0.0035,0.0013,0.0001,0.0003,0.002,0.0006,0.0029,0.1254,0.0808,0.0051,0.0384,4.0269,0.0889,0.0648,0.0374,0.0575,0.0008,0.3241,0.0002,0.0001,0.0004,0.0,0.0451,0.0247,0.0277,0.1769,1.5692,0.0531,0.0056,0.004,0.0
UKR_B05_06,54.4694,0.0112,226.011,31.9117,15.7642,229.4808,2.6173,11.794,19.5497,1274.0564,209.127,4.3311,1.9408,230.772,1012.6963,9.857,0.6571,7.2129,14.5527,0.7251,6.7528,2.9416,3222.7865,5.9816,9.4932,87.2903,451.0248,61.3814,46.7604,119.7545,4.702,6.72,0.5735,1.2982,2.4795,0.8515,4.0166,5.4121,33.1104,46.3183,75.598,20.3742,6.3791,4.2992,0.0
UKR_B07_08,4.25,0.0009,20.645,77.7401,13.5483,60.8507,0.4235,0.0791,0.1759,4.5666,29.0772,0.14,0.8578,269.0281,1527.453,1.8587,0.0627,0.4164,1.1737,0.1018,0.4798,1.2825,0.5786,3.3597,314.549,18.5394,37.9161,2.7581,4.9108,19.8908,2.4413,1.2261,0.4035,0.0463,0.4318,0.7335,6.439,3.4552,3.3777,0.0,0.281,0.0922,0.8566,0.5622,0.0
UKR_B09,12.1159,0.0025,100.414,248.1167,157.0606,108.3807,0.2083,0.3407,0.4831,12.2633,6.4431,0.2691,1.8589,161.1647,156.3811,3.1584,0.019,0.2315,2.4805,0.199,0.3111,0.9981,1.9491,6.2196,232.8887,39.594,117.7684,6.6412,9.4176,46.5116,0.0,2.6801,0.0415,0.0,0.9779,0.2729,17.1682,6.4813,5.7664,0.0,0.7603,0.3344,0.7487,1.1583,0.0
UKR_C10T12,33.2305,0.0349,0.7872,0.4896,0.127,1559.5272,0.1807,0.2217,0.4173,0.0337,2.4607,0.8469,0.0311,0.2236,0.2158,0.1826,0.049,0.0691,0.2136,0.0614,0.2262,0.869,0.5873,0.1398,0.2542,78.6666,1.8665,0.7701,0.7644,1.0181,0.1804,91.7304,0.8494,0.1093,1.8926,0.0447,5.4386,29.4477,2.3003,11.7915,13.5332,8.7482,0.8211,0.6996,0.0
UKR_C13T15,3.4923,0.0036,2.7537,1.9772,0.8332,17.6264,131.1246,1.8149,4.3337,0.6296,7.259,2.6253,1.7287,1.8991,3.7656,2.3109,0.2007,0.5536,1.5553,0.6029,2.7878,28.1216,5.4418,0.8121,6.0648,119.0196,4.3305,0.9673,1.0656,2.3592,0.4007,10.236,0.8667,0.41,0.2396,0.1332,1.8258,3.1478,2.8597,17.4147,2.4045,6.1711,4.1847,4.1591,0.0
UKR_C16,23.595,0.0244,3.5861,1.6192,0.5466,154.7587,1.2942,333.2578,33.841,1.1054,8.1489,6.8834,9.4896,21.1038,5.982,8.2091,0.7172,2.0556,4.4917,0.8238,1.3788,69.8642,4.9341,2.3675,75.8806,58.5449,7.9177,1.2574,0.7268,7.4682,0.3334,8.0777,10.719,0.4102,1.5748,0.7534,39.3875,5.3713,3.8139,48.0827,9.5141,2.8205,1.4594,7.5134,0.0
UKR_C17_18,26.7873,0.0277,3.8346,2.0922,0.8105,544.5259,3.8018,38.2125,408.3639,2.6537,21.9231,49.6605,16.1403,27.0054,11.5383,7.634,2.2065,4.6151,5.4399,0.897,1.3344,33.8063,6.8203,6.0567,5.2376,213.0487,24.0408,2.4349,4.2993,19.5186,2.924,32.7196,138.3323,3.214,16.5467,9.6675,52.9579,39.8664,18.0699,218.3476,47.0654,18.0822,9.3266,16.0547,0.0
UKR_C19,525.639,0.5508,35.0135,66.9187,18.9114,103.6994,3.3137,13.3985,10.874,39.5393,67.0934,5.7539,10.6791,74.1136,680.7186,4.3035,0.3497,24.3751,5.3404,0.7994,4.6432,10.1935,49.315,26.5831,180.0255,427.8914,379.2353,52.0981,94.4815,39.4264,5.4759,2.9044,0.889,1.9515,0.7542,2.5894,16.3075,28.5878,23.3243,14.7964,6.5672,11.7844,2.4558,5.6908,0.0
UKR_C20,1019.1565,1.0794,41.6675,26.2753,8.2817,173.7193,37.0582,59.4946,112.0966,45.8365,322.0843,36.287,158.9174,69.319,72.1892,19.8764,1.5069,6.6753,9.074,0.9555,3.8105,30.9989,8.7096,8.7389,45.5796,179.8506,11.7346,1.4222,1.8406,6.8114,0.0782,8.4294,2.0011,0.74,0.9274,0.268,7.7663,28.2067,6.223,20.45,1.4115,30.0484,1.6547,7.1757,0.0
UKR_C21,33.7372,0.0356,0.038,0.024,0.0036,6.3032,0.0223,0.0333,0.0454,0.0406,0.6588,140.6066,0.1496,0.1422,0.1789,0.2821,0.0186,0.0135,0.0237,0.0118,0.0706,0.4067,0.0774,0.0596,0.1723,13.3178,0.1567,0.0613,0.0463,0.1197,0.1591,0.6109,1.6965,0.1563,0.5374,5.3641,0.5862,8.5143,0.1214,9.7835,0.452,268.1515,0.4845,0.2395,0.0
UKR_C22,79.277,0.0831,12.2925,45.7737,16.8308,484.6452,8.6766,44.0164,68.121,6.035,54.5601,51.2,494.5876,42.9449,19.979,40.0864,4.8724,31.9874,26.7351,13.637,11.246,53.6827,12.1363,18.0939,286.6209,267.4335,53.1548,1.7637,2.5034,13.1925,0.8391,7.2503,2.7661,1.4497,1.2094,1.4487,18.3973,20.1669,15.662,0.0,5.0796,20.4942,5.295,2.8383,0.0
UKR_C23,110.1162,0.1148,17.2774,24.9017,9.8698,453.1844,4.6322,12.9364,4.5422,1.4227,13.1329,42.7473,62.7256,943.6762,193.2185,25.4153,4.2758,12.5675,17.2066,2.185,7.0274,49.0076,18.2053,4.5863,1848.7054,100.9322,115.4417,18.2805,26.0785,78.9165,0.039,44.6738,0.3153,0.8427,0.275,0.4599,49.581,46.1096,20.7642,113.6773,5.1155,12.2075,1.4312,5.6552,0.0
UKR_C24,47.0213,0.0487,99.0842,102.0053,55.7295,215.5304,1.8165,6.4995,8.752,19.8627,21.5062,5.4033,46.7588,152.2515,2380.1832,1040.3573,24.724,350.369,620.0279,122.6319,263.5852,280.4906,566.3796,257.755,1295.2798,362.5838,32.0474,8.93,3.6566,20.75,0.057,1.6697,0.0386,1.5493,0.6492,0.1035,31.3997,66.0573,11.2702,0.0,2.6002,0.9164,0.825,2.9315,0.0
UKR_C25,32.9282,0.0343,152.8248,33.4285,13.7706,262.0619,4.0685,24.4058,9.6224,5.7504,12.2695,6.8159,30.7638,37.4882,76.0374,220.2106,10.4164,23.4367,117.3695,28.8744,23.3996,104.6194,35.2634,7.2427,714.9852,157.6889,31.9573,5.1453,3.3949,25.5551,0.25,14.3156,0.9355,7.9645,4.1978,0.9356,18.5166,146.4376,13.102,77.9148,4.0226,13.4121,3.4775,2.6735,0.0
UKR_C26,12.8719,0.0132,3.2694,0.7505,0.6128,18.7237,0.8301,0.9421,2.0971,0.5205,1.3982,1.2949,1.4123,1.6283,4.0377,2.4467,43.7893,15.6502,9.5878,2.4826,5.0945,12.0034,7.6422,0.6549,40.2137,110.5591,3.2572,0.5035,0.9725,2.6585,0.7998,1.6334,3.4788,14.085,26.341,1.9801,9.0274,26.249,6.8205,7.7602,3.3636,20.9636,0.684,7.2584,0.0
UKR_C27,4.3881,0.0045,0.9995,5.2935,1.9681,16.3832,0.7122,0.8391,1.0098,0.2193,1.5582,1.0811,0.8078,1.5236,6.7653,5.5726,2.3534,42.3791,10.6189,1.8011,1.0141,13.2772,13.2087,0.8673,144.6576,26.1119,4.1564,0.4252,0.446,1.8945,0.0204,1.8783,0.3841,6.9149,5.7558,65.4312,5.9907,23.1756,3.3217,3.8149,2.6203,9.5513,2.4013,2.0764,0.0
UKR_C28,233.2475,0.2424,168.9069,84.0999,33.2525,170.5804,3.1034,15.4795,18.5595,4.1594,9.9129,9.3855,4.9641,36.8827,120.5068,31.8464,3.5301,55.6572,161.3705,38.2005,151.1727,94.6268,50.1142,3.9836,68.7749,113.2759,26.1389,5.5452,5.991,17.9959,0.1487,2.063,0.4121,0.5746,3.8057,0.0995,15.6651,41.9564,6.687,11.0638,0.7826,3.0748,1.1578,2.3719,0.0
UKR_C29,96.0252,0.0986,2.3731,10.182,3.2363,16.3905,0.2843,2.3281,1.6411,0.4949,0.8214,0.3124,0.4245,3.5772,0.9586,0.7211,0.2756,0.4537,1.5329,16.1967,1.9899,2.845,2.615,4.1632,16.536,70.8313,40.1185,0.684,1.8675,6.6501,0.4744,0.5015,0.0715,0.5094,0.2545,0.035,3.9473,2.0276,6.7633,4.9219,1.5351,1.7454,0.3136,0.8369,0.0
UKR_C30,59.3439,0.1178,3.2758,10.3951,4.2261,33.9642,0.1521,0.5718,0.7186,0.4235,0.9883,0.2464,0.2732,2.901,19.5166,62.1419,1.2191,1.9088,2.4227,103.7024,180.6342,67.9958,7.0724,2.9683,41.5665,48.8487,133.233,100.0412,106.7727,51.027,0.0,0.2821,0.2763,0.7984,4.0901,0.2137,2.6941,22.695,18.5721,0.0,4.2503,0.2206,0.4749,0.2461,0.0
