V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_A01_02,76290.6653,7.4192,63.2529,42.4768,28.606,173610.0882,1079.9027,7635.8487,3654.168,15.0813,5929.112,51.0067,1172.859,1.0756,0.4669,0.5929,0.0703,0.066,0.36,0.3764,0.106,361.0572,2.1966,0.5224,2146.3638,3312.4568,28.4205,91.3308,0.1392,4.0043,0.1165,488.5412,149.1572,3.8765,5.89,12.36,42.7044,939.3098,1709.665,4339.9319,416.3911,6.5458,643.4617,51.685,0.0
USA_A03,4.6663,24.8664,0.0,0.0,0.0,1229.7372,0.0,0.0,0.0,0.0,3.5733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.9711,0.0,0.9137,0.0,0.0,0.0,842.6149,0.0,0.0,0.0,0.0,0.0,20.0724,0.0,91.2439,17.9734,0.0,35.4225,25.3807,0.0
USA_B05_06,627.5999,2.7748,26014.8586,629.98,486.673,566.1174,36.0265,30.7631,626.8818,173088.7137,2181.1834,15.2547,113.0274,743.4388,1727.7697,40.4696,10.8023,56.1539,54.3016,46.6315,12.1329,32.1373,27052.1458,45.7339,1558.2455,311.2069,1353.0343,106.8128,654.5604,169.1172,313.2619,323.2896,21.7292,27.2622,48.2759,387.5882,637.2116,224.0349,245.5213,22389.4339,1181.1634,222.9714,46.9675,75.6683,0.0
USA_B07_08,1122.3137,0.0289,985.7447,2651.343,106.5834,170.6595,31.479,11.0947,311.3462,82.3501,2743.0844,22.3676,212.5621,7474.2512,7712.6122,321.367,12.4318,67.3043,88.6525,84.0945,70.0969,133.1736,580.534,288.3224,15342.903,68.2682,160.7667,0.4408,1.8202,19.3844,3.98,72.5041,54.2893,122.1361,227.5997,30.6817,698.981,811.0116,337.7327,1901.0345,217.3879,104.8023,523.7048,445.217,0.0
USA_B09,35.3076,0.1584,9757.2544,859.7304,703.4444,122.586,7.0308,22.9312,54.4913,88.7964,79.4032,5.6255,53.1553,44.8273,72.584,308.0888,40.4862,60.8492,159.7372,501.6707,71.0493,59.3172,57.1016,17.857,1769.035,113.6524,48.894,14.2553,8.6935,21.5313,13.2521,47.579,14.2231,49.2106,27.3781,41.4315,717.4199,107.6211,41.6987,568.1766,66.5741,43.9425,8.3958,33.048,0.0
USA_C10T12,33347.3182,0.0984,41.8296,11.4594,10.7309,124719.0355,496.3093,53.3502,1807.7679,347.0509,2100.1598,904.2537,322.0886,252.3694,51.2802,79.4658,30.6353,29.6848,81.4352,137.5783,35.8854,61.268,26.7452,10.2967,305.4593,6900.7696,64.1559,511.6779,817.8538,15.0148,7.9134,49598.3537,88.7866,30.5936,90.6652,19.3766,75.3137,4498.526,83.0319,33061.6462,18700.8679,17716.0752,5525.0372,1940.7747,0.0
USA_C13T15,205.286,1.5621,45.4023,11.0143,8.8703,117.94,2961.009,217.4281,1435.4637,59.7359,634.2667,34.9426,1053.3011,262.9704,15.6341,126.7945,18.7856,16.4065,399.778,1634.2114,419.8432,1497.9175,16.313,58.6821,1201.1931,3358.2041,13.8252,48.8182,1.8932,16.8685,20.1275,888.7377,117.3144,79.8493,25.7744,14.931,193.7312,247.234,236.3188,1514.9408,296.1493,1683.6552,162.5458,508.0501,0.0
USA_C16,471.0894,22.413,7.2126,248.9702,218.3425,410.8552,42.9945,16309.1404,4157.3885,6.3281,221.947,10.6189,1222.7454,267.1912,604.5209,796.0136,66.9616,406.9573,571.9485,2132.6918,108.9685,5054.258,5.9313,19.4763,33629.234,5481.5777,1949.5113,1.5106,2.0122,227.5584,64.3422,1207.5799,153.2646,670.1458,1120.1558,86.828,5870.9289,603.9908,772.6128,729.5807,1788.9339,925.9846,114.8005,355.7022,0.0
USA_C17_18,416.9781,0.1486,171.7044,156.3825,87.1981,22429.312,463.6544,586.8226,36903.116,185.3786,5181.5742,523.123,3666.6437,1377.8313,1500.2973,2239.2449,460.2204,856.8777,1833.9378,2465.3777,519.041,2313.4369,156.966,293.856,3639.5463,24903.6843,2204.5227,92.9428,59.2256,2325.3885,857.8641,7153.2799,9758.8455,1331.1984,6501.9878,6824.7563,2459.9014,13495.243,8081.8662,9729.7362,11049.7296,8625.496,1209.7133,2787.2297,0.0
USA_C19,7496.9861,72.3948,5364.5187,2142.2707,2136.7101,2504.1156,417.5594,653.4491,2320.4324,7762.277,10862.0524,343.0629,2781.9468,5421.3587,1539.8149,908.7084,213.5602,1374.3543,934.2572,669.0561,167.8354,791.7565,16089.4788,1123.403,23543.025,6749.0571,35013.3977,2793.7886,17141.679,4233.6574,8157.0242,2774.7929,474.5392,420.4678,1057.3391,9534.7435,6808.575,2947.8274,6359.509,57392.5804,25295.7961,4717.955,998.4759,1625.3055,0.0
