V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T,COL_HFCE,COL_NPISH,COL_GGFC,COL_GFCF,COL_INVNT,COL_DPABR
COL_A01_02,1333.1047,169.6376,300.3417,23.2584,0.6584,11266.6682,76.7057,94.4696,56.4392,6.711,91.1547,13.7028,47.2364,12.2997,13.3347,4.4639,0.0336,1.4645,6.4395,1.4169,0.4878,16.0139,204.8919,57.2595,189.4014,159.6624,6.6014,0.7635,0.5838,0.9014,1.2667,1761.4564,7.5247,0.0991,3.8254,19.8917,6.7052,2.9868,10.4014,127.2387,38.3444,42.851,16.6581,9.1592,0.0,10766.3883,0.2348,11.5915,1296.827,118.7195,0.0
COL_A03,15.027,5.3744,23.9266,1.7725,0.0521,81.2695,29.5717,0.1309,2.2247,0.4866,36.9468,13.0889,1.9111,0.9495,0.6387,0.222,0.0021,0.0948,0.5017,0.0386,0.0287,0.3678,16.2409,4.445,0.1782,7.994,0.4894,0.0597,0.0409,0.0525,0.0974,53.9915,0.1432,0.0,0.295,1.4392,0.3252,0.0937,0.7944,93.5191,6.3298,8.9663,4.8249,5.3573,0.0,940.3741,0.0,0.0,7.4701,6.8551,0.0
COL_B05_06,444.6418,30.8906,724.0971,55.7457,2.3587,187.832,32.9837,4.5677,72.1268,3042.4847,58.0373,1.0087,56.9159,40.6548,30.5192,8.6038,0.0621,2.8347,15.0588,1.1759,0.8594,11.8268,2010.2511,131.4797,16.3077,237.9898,21.8247,1.7807,1.8126,2.3591,2.9795,56.0332,4.2829,0.0072,8.7199,42.5862,9.8733,3.3834,23.5203,136.0879,46.7093,35.8314,28.4496,13.5883,0.0,0.9951,0.0247,0.0091,243.5417,51.9221,0.0
COL_B07_08,39.202,1.7051,33.0886,13.6002,0.0592,16.3528,1.9552,0.1473,3.5324,8.5972,48.1167,1.5256,2.7024,105.0097,1975.7168,355.761,0.0134,0.5366,0.8012,4.1571,0.9608,14.3343,18.4045,5.0841,538.8823,9.1254,0.9802,0.0672,0.0467,0.0697,0.1109,7.4774,0.1651,0.0008,0.3318,1.6408,0.6729,0.1421,0.9137,5.8871,1.9959,1.4204,1.143,0.5794,0.0,23.5134,0.0294,0.0032,17.7183,14.7786,0.0
COL_B09,12.5374,0.8684,19.8702,1.5072,0.0432,4.6433,0.7412,0.1086,1.849,0.4292,1.5514,0.0283,1.5872,1.0999,0.5369,0.1865,0.0017,0.0789,0.4165,0.0322,0.0239,0.3129,13.4743,3.6878,1.8424,6.6322,0.4061,0.0496,0.0339,0.0436,0.0808,1.0004,0.1188,0.0,0.2447,1.194,0.2698,0.0778,0.6591,3.8105,1.3059,1.0049,0.7964,0.3792,0.0,0.0645,0.0,0.0,6.1977,0.0146,0.0
COL_C10T12,1695.6547,85.4264,6.8453,2.6614,0.5084,4508.8047,8.5191,4.8922,33.3062,4.2538,215.1581,26.3919,3.8077,18.8257,12.5834,4.0539,0.0415,1.398,2.1635,0.3165,0.1139,7.5576,239.725,5.8625,87.5676,26.3526,4.5843,0.0999,0.898,0.5237,0.2502,4012.9166,0.2466,1.5633,3.2614,10.485,0.8796,14.1952,8.7577,28.7924,52.0979,70.9278,4.0713,4.8634,0.0,20707.8391,0.0,270.032,90.616,178.3243,0.0
COL_C13T15,67.2192,0.7595,11.0355,2.1357,0.4191,28.9092,857.4708,0.667,91.6699,1.433,16.8856,2.6373,9.125,2.3396,9.3727,7.0584,0.0535,1.3832,0.8733,4.758,1.3335,46.5091,35.0707,7.3208,104.5716,75.3793,17.8702,0.1703,2.2769,10.2589,1.7853,105.6287,3.2463,5.9543,2.8485,4.651,1.9705,10.1377,24.5701,34.5297,56.7828,24.207,9.2211,13.658,0.0,4393.437,0.0,19.7523,67.6598,39.652,0.0
COL_C16,42.2221,0.3637,3.3713,10.5069,0.0007,9.0763,7.5143,106.2906,1.5113,0.5904,1.9628,0.2252,2.7332,2.9419,3.4939,4.0685,0.0854,3.4602,0.747,0.6378,0.0929,85.0593,8.6765,0.2169,288.0938,74.626,0.6308,0.1948,0.2311,1.4377,0.225,2.8837,0.3849,0.6588,0.2381,0.7942,0.1057,10.7466,0.1287,9.9241,0.977,3.0968,2.82,4.4057,0.0,83.4909,0.0,1.3166,27.3696,-13.2207,0.0
COL_C17_18,152.0368,2.8005,6.795,4.8537,0.2134,282.0038,49.249,32.0794,944.7129,7.6806,159.7509,30.128,40.6702,6.5139,6.5165,3.6736,0.3622,9.6681,7.6524,1.1766,0.4079,48.2927,196.8235,4.6052,14.8968,208.7563,10.182,0.2127,1.5742,7.0947,4.772,71.0854,16.7734,26.0571,10.3449,30.7613,11.871,47.4558,103.1521,576.0219,183.4334,63.9176,24.8285,19.3778,0.0,1227.0976,0.0,38.8519,34.3198,25.2998,0.0
COL_C19,293.9147,11.5436,779.1398,24.0188,1.2687,105.0386,25.6422,3.8975,23.9898,4978.4775,102.6361,4.5422,11.4357,340.6495,10.7676,4.6931,0.2193,9.0528,1.1253,2.8352,1.0872,33.0281,283.5705,62.9848,289.9499,317.8912,2167.2346,23.1025,276.216,67.2271,19.805,44.1344,5.7905,26.5618,7.5031,18.6654,3.9923,30.9665,18.9268,250.9408,5.5622,43.3314,8.0495,10.92,0.0,1730.3901,0.0,8.8493,9.2132,80.7037,0.0
