V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T,ESP_HFCE,ESP_NPISH,ESP_GGFC,ESP_GFCF,ESP_INVNT,ESP_DPABR
ESP_A01_02,2772.0601,15.9461,0.4299,4.5401,0.2632,25888.4216,463.1255,391.9459,137.4656,9.5507,666.1218,379.4751,259.4142,24.2688,35.3855,47.6161,8.7074,21.9829,29.5814,78.8873,25.0601,57.0118,33.1055,39.5886,132.433,830.1389,29.6348,6.9189,7.1882,44.1839,3.4632,774.8114,48.207,45.093,18.2881,36.5304,34.8892,145.8621,178.9299,271.9897,213.5001,258.9083,306.8689,23.0407,0.0,11970.3225,92.621,549.1864,2833.6955,293.6341,0.0
ESP_A03,0.4666,6.4271,0.1648,0.2545,0.0653,25.1098,0.5831,0.2954,0.9291,0.1625,1.7947,1.6938,0.8127,1.0897,0.8874,1.5224,0.2075,0.6459,0.7346,1.7573,0.3064,1.9278,1.2749,3.4552,7.1623,17.958,6.5213,1.209,6.5319,3.1851,0.271,5.4141,1.9263,3.4806,2.149,1.2656,2.0383,3.2865,11.7036,8.9604,4.7057,15.5765,2.0382,1.7087,0.0,2155.4444,0.0155,0.7292,16.5385,17.343,0.0
ESP_B05_06,3.4327,1.3771,0.4598,1.3735,0.251,3.1199,0.228,0.6577,0.8919,234.7648,6.0738,0.2712,0.8748,8.3644,37.8803,1.2372,0.0761,1.1068,0.4773,1.6286,0.1065,0.8364,212.9177,4.9931,12.6296,11.1868,38.5148,2.5286,10.977,3.0366,0.4557,1.2641,0.4348,0.2584,0.4946,1.8849,1.3367,1.8731,1.4466,4.8493,2.4522,1.5769,0.8606,0.5923,0.0,128.7418,0.0027,1.3696,29.2345,1.5251,0.0
ESP_B07_08,2.9942,3.8826,0.558,50.7236,3.1531,106.3311,2.326,1.1902,55.7671,0.2592,107.4049,9.4681,1.2894,710.264,432.2977,41.4439,1.1869,65.3011,8.714,29.0144,0.5903,12.6456,1.0802,50.6912,994.0791,42.8824,0.973,0.034,0.1708,2.5607,0.0188,13.9103,0.565,9.3944,8.0479,0.5473,0.9424,6.0573,1.2917,27.1728,0.5374,3.2189,4.6335,1.3564,0.0,47.2971,0.0153,3.0531,43.7343,17.2033,0.0
ESP_B09,0.5912,0.2822,2.723,10.2588,2.1868,0.4294,0.0073,0.011,0.4889,9.6219,2.9481,0.0843,0.1369,4.1806,4.8798,1.1225,0.0006,0.0208,0.0535,0.0072,0.0114,0.041,2.722,0.664,16.3945,0.1189,1.3653,0.0227,0.188,1.2632,0.003,0.0814,0.0203,0.0,0.0003,0.0216,0.8299,0.7565,0.4722,0.2192,0.047,0.0564,0.0512,0.0324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP_C10T12,8184.616,188.1815,6.6873,41.433,1.004,20249.0212,88.4762,21.638,125.126,24.0183,412.7402,80.6427,92.7804,78.4938,72.6297,83.7454,13.0789,51.7663,65.1899,172.9825,84.9885,110.8768,241.11,196.4025,409.6358,3011.1534,174.3174,5.8102,42.7559,214.2514,8.8884,17186.6992,56.1916,189.431,322.6917,213.2788,219.9144,631.1267,527.0951,707.5638,463.0648,1460.5558,141.0527,63.7682,0.0,45538.4986,29.3721,79.2508,471.575,579.2288,0.0
ESP_C13T15,14.7924,12.3537,1.1842,1.3181,0.3892,77.575,2242.5804,8.1476,98.6877,0.7914,92.1189,32.9624,159.2629,26.9972,27.1422,52.1516,5.0902,22.5702,18.5069,356.3255,5.2637,210.7261,13.4856,41.1918,192.3103,250.7685,22.1506,0.9576,13.3703,47.3234,3.5401,217.4111,36.1049,5.0059,5.2246,11.9881,97.8628,207.6771,101.5813,99.8198,36.0743,152.7235,33.8604,71.8851,0.0,9338.5828,0.1762,24.6974,221.2348,121.4512,0.0
ESP_C16,42.2681,2.8912,1.2838,23.9545,0.2235,246.5406,14.9964,1382.7538,105.724,0.7683,52.9306,11.4442,73.2241,116.3371,23.5012,159.5911,4.7959,64.1405,99.7624,70.7375,6.1099,592.5993,19.1396,15.6895,1287.1411,187.6455,102.3801,0.6679,2.1789,69.0592,0.6796,108.7863,7.451,23.6502,14.2663,14.7345,70.105,50.4531,115.1591,33.9934,39.9353,111.7033,13.9851,27.2449,0.0,532.4421,4.1931,6.2311,93.0699,27.3087,0.0
ESP_C17_18,26.1958,0.5844,1.062,15.1385,0.4823,1826.7513,122.2015,181.8698,4302.9651,2.0527,346.7093,288.011,200.0873,189.0461,47.1587,267.4834,18.4459,155.9272,174.7826,148.0828,15.955,366.4436,173.5703,193.73,70.5682,1078.4922,18.3275,1.4951,7.8569,42.2639,3.2375,256.7447,321.9522,103.6092,204.3517,505.6838,118.1085,658.644,237.3329,213.922,226.4393,193.6619,92.0378,108.6953,0.0,2784.5126,8.0671,24.4973,123.2342,80.6659,0.0
ESP_C19,196.1223,71.1987,6.1426,54.6979,6.0457,136.5663,13.9783,36.4738,50.6352,250.966,342.3433,28.9818,64.7943,421.2384,165.558,69.0879,2.6239,60.9776,27.06,58.6007,5.2253,44.7767,680.1603,263.2607,418.9593,566.9933,2004.0581,130.8703,566.7583,189.3311,23.644,58.2859,15.1305,11.3349,20.6414,96.0138,25.4844,96.819,62.3891,224.8568,118.5098,94.2793,33.5512,31.4796,0.0,6662.344,0.0584,17.8956,69.7474,89.8879,0.0
