V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T,EST_HFCE,EST_NPISH,EST_GGFC,EST_GFCF,EST_INVNT,EST_DPABR
EST_A01_02,291.845,0.0314,0.7,0.3493,0.0056,325.9279,3.0568,525.7664,33.6569,0.2061,0.4472,0.0223,0.4197,0.6792,0.0384,1.2458,0.6847,0.5437,0.4382,0.2781,0.1591,2.5472,5.431,2.4212,6.8653,12.1313,1.6061,0.9274,0.2016,3.2751,0.2271,17.7039,0.2527,0.222,0.8142,0.7114,4.235,7.0193,3.4066,2.959,2.1113,1.542,1.556,0.7213,0.0,302.4501,0.6037,10.9502,33.8272,0.2642,0.0
EST_A03,0.1381,0.1841,0.022,0.0057,0.0002,31.4626,0.0567,0.1235,0.0217,0.0335,0.0262,0.0012,0.0173,0.0398,0.001,0.064,0.0333,0.0252,0.0245,0.0132,0.0036,0.1662,0.0765,0.0188,0.2257,0.7038,0.1156,0.0922,0.0459,0.1402,0.0097,7.2048,0.0271,0.0109,0.0401,0.0361,0.3021,0.5212,0.1858,0.2517,0.2057,0.186,0.1084,0.0366,0.0,4.709,0.0021,0.0391,0.1823,-0.0717,0.0
EST_B05_06,6.3865,0.0059,2.2068,0.2701,0.0096,0.2451,0.0106,0.0031,0.0119,57.564,6.4673,1.6944,0.0027,3.1774,0.0422,0.0075,0.0014,0.0,0.0361,0.0048,0.0073,0.1122,223.5003,0.1779,0.0988,0.0961,0.7786,3.8751,0.0038,0.299,0.0,0.0094,0.0086,0.0023,0.0,0.0,6.3226,0.5412,1.1886,0.2075,0.6487,0.0835,0.4682,0.0064,0.0,4.1181,0.0,0.0,0.3051,-0.1719,0.0
EST_B07_08,1.2362,0.0402,0.9103,0.8278,0.008,0.2898,0.0334,0.3801,0.4334,0.0417,2.4128,0.0031,0.1215,15.9737,0.0233,0.2816,0.0541,0.1325,0.2005,0.0281,0.0314,0.1534,2.5467,0.2338,88.1136,0.5593,1.8767,1.4739,0.0118,0.4362,0.0111,0.0468,0.0087,0.014,0.1216,0.0184,2.6944,0.3223,0.4834,1.1871,0.1796,0.0804,0.2054,0.5938,0.0,1.7995,0.0,0.3059,4.5233,0.1134,0.0
EST_B09,0.0001,0.0001,0.0132,0.0026,0.0001,0.0001,0.0,0.0,0.0001,0.0031,0.0005,0.0,0.0,0.0012,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0001,0.005,0.0,0.0004,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST_C10T12,46.5659,0.5852,0.0497,0.0158,0.0006,169.0339,1.4148,0.0558,0.1752,0.0,5.5575,0.1318,0.0085,0.0296,0.0019,0.0086,0.0009,0.0001,0.1116,0.0051,0.0012,1.8178,0.0245,0.0521,0.3813,5.1112,0.2202,0.0282,0.0738,0.1851,0.0,104.3843,0.5008,0.0039,0.232,0.2497,0.621,5.7629,1.9035,4.0968,9.2305,7.4328,2.301,0.4575,0.0,1196.4757,0.0,1.0189,0.0,-0.4199,0.0
EST_C13T15,1.7735,1.0477,0.6212,0.2234,0.0052,2.1096,76.2068,2.1075,2.0263,0.2892,0.4159,0.0227,3.215,1.0572,0.0387,2.2465,1.2972,3.359,1.0674,4.1176,0.3947,17.4106,0.5156,0.32,6.7119,5.4523,0.6729,0.1683,0.0695,1.4971,0.105,4.5443,0.5881,0.0985,0.4887,0.3588,1.9413,7.9896,7.6714,2.2376,0.9364,4.8795,3.2647,2.5199,0.0,275.9258,0.0058,0.1905,2.5912,-1.4046,0.0
EST_C16,11.5813,0.0557,1.6595,0.8399,0.0205,2.879,1.7566,377.5208,2.4689,0.231,0.6951,0.0184,2.7227,5.8965,0.1196,2.2092,1.7934,2.2681,1.2702,1.6588,3.0862,68.4262,40.6978,1.1982,166.5624,11.5272,2.2477,0.3759,0.15,7.4389,0.0838,0.7825,0.2035,0.355,1.0561,0.6241,9.269,5.3291,1.6356,1.1942,0.4489,0.9496,0.6345,0.7368,0.0,19.3119,0.0551,2.1036,28.5399,-6.1362,0.0
EST_C17_18,3.154,0.1012,0.7798,0.2255,0.0013,17.0193,4.4459,8.7616,41.0411,0.0924,1.1518,0.2637,1.3219,1.1864,0.1373,1.2799,1.912,1.285,1.2554,0.2807,0.1576,2.1343,0.3508,1.9923,1.4474,14.3404,0.2982,0.1209,0.0664,1.5774,1.2749,2.2673,37.2322,3.6768,16.0624,6.6699,1.1877,50.8529,7.0671,11.8979,3.9614,2.705,2.4754,11.7569,0.0,24.8101,0.0564,0.6227,0.9008,-0.1922,0.0
EST_C19,13.6626,1.1935,4.2052,1.5354,0.0289,3.051,0.5928,2.3849,0.7577,1.1529,1.5891,0.0194,0.6469,1.3605,0.0708,1.1094,0.1333,0.3368,0.3946,0.2181,0.109,1.651,6.68,1.5376,20.469,6.6317,47.0534,8.6211,3.003,3.7803,0.3149,0.6451,0.1213,0.2358,0.5679,0.3888,1.7803,2.2167,1.9416,3.1505,1.6777,1.4477,1.0032,0.7853,0.0,70.6255,0.0017,3.3933,9.8026,0.0518,0.0
