V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T,HKG_HFCE,HKG_NPISH,HKG_GGFC,HKG_GFCF,HKG_INVNT,HKG_DPABR
HKG_A01_02,0.0712,0.0052,0,0,0.0892,5.8413,0.2091,0.1174,0.0387,0.0087,0.0762,0.0324,0,0.0138,0.0061,0.0068,0.0294,0.0136,0.0684,0.0206,0.0094,0.006,3.3568,1.0678,1.3088,5.1094,2.7702,10.2191,14.7358,0.0116,0.4611,36.0559,0.1836,1.2348,0.1466,0.6345,0.5318,0.4553,0.3059,0.5171,0.7423,0.7439,0.7218,1.4247,0.0,352.5799,0.0863,0.6353,2.5912,3.3881,0.0
HKG_A03,0.005,0.0098,0,0,0.0155,0.1787,0.0189,0.0066,0.0069,0.0016,0.0087,0.0044,0,0.0021,0.0011,0.0011,0.0058,0.0024,0.0119,0.0041,0.002,0.0006,0.2678,0.1098,0.1221,0.4794,0.2326,1.5837,2.6488,0.0016,0.0744,5.9499,0.0441,0.1869,0.0239,0.0991,0.0571,0.0669,0.0301,0.0441,0.0837,0.1239,0.107,0.1758,0.0,55.7183,0.0206,0.0138,0.3061,0.716,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,14.7971,6.3376,0,0,250.4812,98.6008,15.8276,9.7322,5.4972,5.7828,0.4196,0.0264,0,0.4456,2.5518,1.5687,1.8973,1.7682,41.4689,2.2364,0.9587,0.1674,13.0606,5.383,2.4849,8.2611,63.6809,0.833,37.6324,5.6743,14.898,2.92,5.0907,0.3815,2.2241,21.1499,8.5689,64.3288,12.7427,5.2241,19.9589,7.4739,2.8919,7.4907,0.0,3.4193,0.0167,0.1487,3.3449,4.1169,0.0
HKG_C10T12,3.2099,0.4129,0,0,0.0665,293.189,29.0937,15.1315,17.2753,2.2346,21.654,7.9194,0,2.1476,0.4351,0.5707,3.6379,1.6003,7.2003,1.0809,0.5518,0.1808,63.2363,31.1303,182.7923,331.512,80.3803,267.8099,259.9033,1.2968,50.4985,648.8274,17.8313,91.9419,15.4857,98.7465,58.163,43.5818,20.5491,19.5187,26.2991,83.1921,30.7134,66.8426,0.0,5485.1604,0.2484,0.8711,67.4968,52.1975,0.0
HKG_C13T15,0.071,0.0264,0,0,0.0139,4.4404,81.7765,0.3877,0.685,0.0828,0.7168,0.2415,0,0.3166,0.0986,0.1548,0.662,0.363,1.3032,0.8512,0.2692,0.1089,1.6405,3.0874,2.7602,64.5883,12.847,17.0469,12.255,0.2207,10.0077,3.3013,2.3127,14.5487,2.4157,18.4847,10.2904,6.0332,4.4221,3.5427,2.8489,3.1092,2.8521,12.1188,0.0,1324.2016,0.0545,0.267,14.3347,40.0154,0.0
HKG_C16,1.1943,0.1597,0,0,0.0106,26.3103,0.2071,0.047,0.0757,0.0326,0.178,0.0642,0,0.146,0.055,0.0936,0.2599,0.1497,0.5782,0.2527,0.0876,0.036,1.4969,2.0226,68.8166,11.1644,14.3249,60.3176,10.1345,0.3076,2.7312,2.1874,0.6565,5.9651,0.2478,2.5501,1.7008,1.0416,0.5629,0.5819,0.6447,16.5035,1.2941,2.9735,0.0,651.3292,0.1061,0.2498,41.8256,10.6646,0.0
HKG_C17_18,1.0048,0.2435,0,0,0.0043,178.7724,22.465,0.5871,14.0736,0.1183,1.5647,0.8562,0,2.1775,0.0712,0.1377,2.3295,1.2397,3.1487,0.463,0.157,0.4512,2.3084,4.231,42.1393,94.1697,15.0901,23.3527,12.5585,0.3141,8.5335,1.6861,5.6768,18.9554,2.2969,31.617,10.0296,7.6036,2.8008,2.9205,6.4735,33.4043,3.5396,7.5832,0.0,300.5798,0.0636,0.5796,4.8732,3.1285,0.0
HKG_C19,0.0377,0.0089,0,0,0.1335,0.6436,0.2848,0.0749,0.0729,5.2884,10.4117,1.356,0,2.5982,2.0863,1.132,0.5297,0.4139,1.7412,0.5246,0.225,0.0889,1.8225,1.8555,0.2748,155.5045,6.7466,15.7527,14.1153,0.2274,1.2664,0.9237,0.436,1.9485,0.6096,7.0268,2.9086,1.5626,1.422,5.554,2.8264,0.4888,0.634,1.6635,0.0,214.1672,0.0243,0.2331,1.4933,12.8259,0.0
