V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T,HRV_HFCE,HRV_NPISH,HRV_GGFC,HRV_GFCF,HRV_INVNT,HRV_DPABR
HRV_A01_02,325.3656,12.098,0.1495,0.2417,0.7139,677.2876,4.196,85.7163,23.1347,1.6553,5.1551,2.931,3.6953,2.9251,0.3689,3.3759,0.602,2.2614,8.2522,0.343,1.9771,97.0955,10.4954,3.8391,39.2507,249.4143,43.2814,0.6522,5.1709,6.6754,0.2359,16.6553,3.3431,2.0024,17.9081,10.9149,9.6812,22.1833,12.7059,10.9431,24.229,11.6461,16.6883,12.4698,0.0,799.6757,3.7109,108.09,93.386,35.0468,0.0
HRV_A03,6.4393,8.8176,0.0235,0.1533,0.1534,54.4699,1.3337,0.8401,0.9124,1.0838,0.6176,0.8344,1.4726,1.3862,0.2389,1.9866,0.4687,1.2766,0.9276,0.1323,1.2157,1.5231,4.2415,0.9543,8.718,9.3742,1.7095,0.4462,0.0926,0.7438,0.0448,9.2597,0.4861,0.2274,1.3139,1.6634,1.2106,1.7614,1.0433,2.886,1.1239,3.1765,0.8332,0.6899,0.0,65.6699,16.4569,4.4255,15.0974,8.5202,0.0
HRV_B05_06,0.001,0.0357,0.0821,0.672,1.9252,2.1189,0.0009,0.0026,0.0002,21.9234,0.0523,0.0014,0.0039,0.0,0.1261,0.003,0.0,0.0056,0.0,0.0001,0.0,0.0004,8.8469,0.0249,0.0779,0.0511,0.0558,0.0526,0.0,0.7262,0.0,0.0564,0.0005,0.0015,0.0,0.0,0.5278,2.3641,0.0766,0.0109,0.0,0.0113,0.0,0.021,0.0,0.0509,0.0723,0.0,0.0041,0.2844,0.0
HRV_B07_08,1.7905,1.0012,1.473,28.5601,7.5031,18.5984,0.1186,0.3928,1.3389,0.0,0.701,0.4158,0.2691,15.666,0.8648,0.6761,0.0211,0.5064,0.1358,0.0269,0.2257,0.1969,0.0565,7.6118,65.0999,2.488,0.6716,0.4941,0.0,8.3701,0.0,0.7789,0.0046,0.0123,0.0053,0.0028,5.5922,19.4002,0.7475,0.4357,0.0208,0.3604,0.1396,1.4733,0.0,0.5477,0.0,0.0,0.0,3.0118,0.0
HRV_B09,0.0,0.4007,0.211,0.0108,11.0286,16.1537,0.0057,0.0245,0.0018,99.028,0.588,0.0123,0.0376,0.0,0.856,0.0239,0.0001,0.0417,0.0,0.0009,0.0001,0.0032,34.7243,0.1948,5.8745,2.6118,3.9209,0.4646,0.0,7.5821,0.0,0.3905,0.0,0.0,0.0,0.0,5.1019,18.1947,0.6716,0.0,0.0,0.1267,0.0003,0.2366,0.0,0.0,0.0,0.0,0.2506,0.0,0.0
HRV_C10T12,205.4006,3.5814,0.0016,0.0072,0.0046,218.1478,39.9923,0.1464,2.336,0.0051,25.2215,18.7012,0.7373,0.5811,0.0831,0.2092,0.0052,0.105,0.1327,0.0086,0.0592,0.0723,1.3894,0.168,4.0123,178.0338,0.9568,4.1929,0.157,7.6182,0.005,681.7728,0.193,0.0049,0.1586,1.5057,1.2311,22.9596,44.7117,0.255,42.3632,64.1786,26.3306,3.7693,0.0,2409.0214,4.3628,0.002,0.0,51.4018,0.0
HRV_C13T15,6.1853,0.0502,0.01,0.0146,0.0274,1.716,70.4659,0.1048,0.7059,0.031,0.1273,0.3454,1.8151,5.832,0.3053,0.7163,0.0684,1.1076,0.6498,0.206,0.8331,4.2621,0.5902,23.0126,2.8049,18.1032,8.4308,1.0002,1.7268,9.3596,0.4884,5.6828,0.079,11.5384,0.8375,7.6726,18.7179,16.1922,12.8895,124.009,7.7564,34.7543,13.215,5.3026,0.0,298.6478,9.3327,0.2428,11.4394,18.7792,0.0
HRV_C16,10.7538,0.8887,0.2448,0.3192,0.803,24.9388,3.2643,156.3769,4.0324,1.5396,1.6928,1.7236,5.399,4.3499,0.7927,13.8153,0.7793,4.593,4.3419,0.3677,4.1783,11.3224,11.5207,1.6884,51.4224,17.3715,3.3629,0.6821,0.176,9.3798,0.0644,8.1367,0.5557,0.4697,2.457,4.491,29.3804,4.2611,2.1078,4.9828,2.1629,11.9965,6.6344,4.2609,0.0,71.8232,4.8249,7.3929,33.2468,7.9484,0.0
HRV_C17_18,13.8573,1.5585,0.1299,0.7041,0.4693,69.088,8.7588,11.1648,207.6313,1.9358,15.1943,14.0469,7.9932,11.3275,0.6345,9.6387,0.8873,4.9896,5.185,0.317,6.4967,5.298,12.4111,2.642,13.0384,35.5529,5.6392,1.2055,0.1681,7.0168,2.4313,65.8162,33.9245,5.7724,6.2525,17.0304,6.0955,24.2615,7.4777,13.8309,9.775,18.5468,23.4061,39.7523,0.0,226.4449,4.3329,5.586,22.6128,13.8194,0.0
HRV_C19,19.5525,2.5173,0.1851,1.3092,1.0652,27.2917,6.3785,3.8661,3.8398,7.9777,3.4977,3.9548,4.5697,8.1396,1.5575,9.0856,1.7987,5.3618,4.0651,0.8086,4.9669,6.3906,191.3921,9.4305,74.9395,42.1866,41.1433,14.1683,3.271,6.4243,0.7589,24.6376,5.1692,2.9198,7.0787,10.7867,9.7221,18.974,10.9064,17.1176,3.0512,15.6814,4.969,5.4579,0.0,279.5222,4.0214,23.0138,56.3622,11.6029,0.0
HRV_C20,57.4798,0.5629,0.1542,0.8901,0.7693,35.9284,17.3603,6.9925,9.7048,14.6487,42.7738,19.3543,23.0939,12.5548,1.2672,9.6621,1.0305,6.046,2.1046,0.3304,1.5801,2.7188,2.6385,2.1454,31.4558,12.6168,3.0559,1.1457,0.079,1.8981,0.0651,7.6351,0.5189,0.3606,1.8098,2.3839,31.954,5.3686,6.1687,2.8524,3.4669,8.9255,2.0436,4.2158,0.0,160.7951,1.8069,5.3326,17.7459,7.7844,0.0
HRV_C21,2.4996,0.4965,0.0424,0.4545,0.1341,3.0745,2.4519,0.277,0.6936,0.5427,2.2802,30.77,1.0158,0.6273,0.2129,0.5036,0.1401,3.7554,0.4274,0.1386,4.1181,0.4325,0.4204,0.1983,1.2926,25.6826,4.0031,0.05,0.0026,0.09,0.0045,0.2023,0.0127,0.079,5.9886,0.0322,1.7354,3.8078,1.9657,0.5295,1.1804,116.4025,0.3446,0.4494,0.0,127.5045,1.0086,240.2208,72.8429,9.8377,0.0
HRV_C22,16.2145,7.1827,0.0657,1.3337,0.2749,66.2588,10.5309,6.6223,11.8042,2.3055,5.909,10.3877,67.0896,8.1109,1.1212,17.9604,1.0173,16.9822,12.5898,2.1169,16.1134,9.672,6.0626,6.2664,77.0234,30.4308,21.4687,0.9568,0.1524,3.794,0.4371,8.1695,1.2519,0.8006,6.3126,46.9081,13.6849,9.3297,5.0383,10.2406,1.9785,19.2498,2.257,3.1754,0.0,83.9835,1.3757,14.2755,87.3263,10.2259,0.0
HRV_C23,7.9348,14.6296,0.7459,12.5894,4.0783,36.2198,4.2828,10.0107,1.6358,1.1523,2.7158,11.0393,7.5065,58.686,1.4618,18.244,0.9612,12.7855,4.1072,0.8055,6.8033,6.2856,5.3314,11.5016,644.6921,25.7048,4.2985,0.6161,0.1496,7.6491,0.0508,14.65,0.3567,0.3851,1.7641,2.1272,7.2915,18.8552,2.5105,13.2964,1.5262,8.7144,4.5438,31.0503,0.0,42.5921,0.6663,4.0837,21.6799,16.3865,0.0
HRV_C24,0.0278,0.0,0.026,0.01,0.0748,0.3428,0.0,0.5131,0.4626,0.0,0.4876,0.4312,16.1705,31.6871,20.8784,41.7008,0.2354,15.2418,6.6542,0.4278,3.3099,14.2414,0.3844,26.2561,32.8293,1.7559,3.6157,0.0853,0.0,0.6648,0.0,0.2614,0.1599,0.0,0.0,0.0,4.5296,1.5945,0.0217,0.0008,0.11,0.0563,0.1373,0.0525,0.0,0.0103,0.0,0.0,0.0,3.6909,0.0
HRV_C25,11.1631,1.1256,0.2728,0.2626,0.8433,39.1417,4.6932,4.4775,24.9924,1.5904,2.1963,4.3926,4.1767,7.1388,3.8562,128.83,1.9236,40.6633,39.6057,3.1435,38.3638,26.7603,11.5318,3.687,125.195,81.9462,9.4561,14.0883,0.4478,7.3281,0.448,18.5894,9.735,5.9225,23.7039,46.9934,11.1668,20.8465,8.1108,14.2478,3.4395,10.526,8.4974,10.0448,0.0,139.9971,7.1448,5.633,441.3668,22.7507,0.0
HRV_C26,1.8211,0.1944,0.0151,0.0456,0.0675,2.1663,0.6053,0.2682,0.5118,0.3577,0.3015,0.5664,0.6317,3.2038,0.1409,1.9146,11.704,14.6841,4.2835,0.3589,6.6058,20.2337,2.3,1.5101,7.7253,6.1778,1.6095,1.4804,0.1212,1.5481,0.063,1.8834,0.2622,3.2124,23.2223,1.0825,1.8715,8.7438,2.2624,7.4083,0.9231,6.3191,0.7754,6.0678,0.0,62.9493,3.7788,14.3705,86.2209,4.4767,0.0
HRV_C27,1.7574,0.1788,0.0197,0.051,0.0807,2.57,0.5092,0.3216,0.6129,0.3443,0.2409,0.4062,0.7203,1.6875,0.1673,3.6763,5.5545,40.5289,24.8898,0.5834,11.1969,25.8316,9.4511,1.2165,51.9662,30.4915,1.0792,22.395,0.0634,3.9751,0.0383,2.7423,0.4919,1.4743,9.9616,1.8517,7.6641,4.5425,2.3057,3.6717,0.6794,1.9121,0.7995,2.8359,0.0,173.168,5.1087,6.2496,235.1946,13.1372,0.0
