V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T,IND_HFCE,IND_NPISH,IND_GGFC,IND_GFCF,IND_INVNT,IND_DPABR
IND_A01_02,42456.3766,1693.9308,0.0,0.0,0.565,126010.2609,16188.7235,2250.1259,543.0457,0.3319,11237.9336,434.7061,3166.96,96.3364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.2786,1406.3724,0.0,23467.7514,0.0,4797.4346,0.0001,0.0,0.0,0.0,35078.1337,29.6543,0.0,0.0,0.0,0.0,0.0,0.0,16750.4583,0.0,0.0,0.0,0.0,0.0,228099.537,18.0758,0.0,1221.9403,3739.6435,0.0
IND_A03,0.0,821.5662,0.0,0.0,0.0002,4605.0007,0.0,0.0,0.0,0.0,0.0,2111.9549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.6837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25995.0866,4.183,0.0,0.0,281.8928,0.0
IND_B05_06,0.0,0.0,12.5206,11.9071,11.5584,167.7829,831.1053,9.5842,441.9723,20169.4922,484.9185,54.1991,89.8411,4187.1799,8328.9006,12.691,0.1596,2.7835,52.2488,4.5664,2.1292,7.4882,3851.3111,507.7773,0.0,0.0,221.8053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.1459,0.0,0.0,0.0,171.3702,0.0
IND_B07_08,0.0,193.3327,20.1134,13.8668,18.4965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.5878,14854.4975,2200.8242,0.0,0.0,0.0,0.0,0.0,52.1316,0.0,0.0,1340.1506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.6271,0.0,0.0,0.0,89.8959,0.0
IND_B09,211.9941,236.9245,2225.1647,1331.2424,1489.2793,26.731,2.7524,1.3093,36.2844,5785.864,406.3777,17.0295,16.2066,734.8702,1116.3426,48.0421,0.1448,2.1228,6.13,0.4603,0.7146,1.2043,291.5249,45.2476,1795.5006,5.7904,251.0214,0.3823,12.1738,40.326,0.1452,2.5985,1.0598,0.0,0.0505,1.5904,52.4961,5.5625,25.3439,14.3322,3.3081,2.9227,0.8134,1.7405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_C10T12,4241.3249,29.2654,159.3763,251.5107,15.3289,15787.1797,2139.0799,75.1579,191.4814,484.3069,5792.328,1089.6817,1515.6991,211.1661,567.6894,43.3583,78.8059,224.5287,165.3582,258.1733,61.0027,720.5397,17.4484,35.5653,974.3997,312.8923,75.5983,0.6658,21.6093,43.4669,6.1354,1428.2506,52.0685,84.9212,17.4684,104.8184,32.0745,7.2167,31.6407,6879.1863,12.6134,713.5829,4.8633,61.6087,0.0,175917.9078,64.9187,46.0422,302.302,1680.8086,0.0
IND_C13T15,745.3727,21.0466,352.374,312.6866,22.6175,394.9486,28310.497,145.2814,231.2305,498.4005,4370.8355,869.4439,2181.9942,300.7413,577.5315,67.6696,139.9759,276.5999,416.6359,986.2363,204.9239,1102.065,476.311,70.3639,1356.9349,431.1126,1508.4898,16.563,485.9265,258.1972,17.6435,5.8269,68.0729,78.5538,39.0302,33.8576,71.0346,18.6583,126.1231,126.828,40.4797,178.4185,9.6693,171.6683,0.0,77089.1195,20.1772,3.9164,513.915,1091.9822,0.0
IND_C16,465.5288,25.6888,814.5471,14.9531,5.7712,84.8506,134.8692,2354.2134,577.4011,39.2634,112.2721,21.0639,41.1016,49.2351,123.2436,71.3345,25.8218,29.5486,110.2142,209.62,79.0913,2385.302,64.6021,10.6178,1048.5776,1589.1793,114.7302,0.709,18.6342,17.9253,3.4318,4.1736,22.1068,27.6128,17.0585,24.7878,18.4017,46.7354,311.5227,14.7423,13.2144,15.1232,2.593,21.9036,0.0,2570.9741,2.1152,0.0219,359.4239,79.7988,0.0
IND_C17_18,401.7548,28.3729,44.404,70.3531,13.3556,197.175,231.7793,188.6712,7051.0177,566.8354,173.4659,375.7823,174.8899,98.8996,273.981,29.6463,203.7821,41.5144,263.9789,48.6053,19.3482,138.0058,1372.7466,55.647,226.6614,566.3795,2575.4645,16.3541,400.308,496.8516,152.2865,8.3732,2673.996,600.2606,244.5008,1249.6027,315.6153,220.9616,871.1598,68.9469,1407.0999,91.7063,48.4264,396.6312,0.0,5610.7651,11.5752,0.0,8.1551,325.7362,0.0
IND_C19,4184.9162,45.7022,784.9357,832.2704,118.3892,1247.4298,3812.5301,122.6521,408.776,6362.8503,5802.8797,1266.61,2381.3605,1414.1988,8441.6894,201.3642,196.8373,518.2186,2005.3888,678.0418,169.7901,1121.1045,7319.1517,1232.0205,5481.6335,6455.7564,17958.012,26.1509,650.4274,2208.4635,816.9911,170.6309,209.4619,2849.1701,346.9859,789.3305,2461.8279,594.2841,4877.9001,30.6975,357.8098,48.0849,72.0063,1357.2674,0.0,18015.1493,1.4757,0.0,0.0,674.1677,0.0
IND_C20,3504.0799,40.0425,872.1672,1431.0084,64.7955,1943.4898,12325.0451,399.71,1120.443,2818.7842,24010.7912,4693.8545,8671.6453,1444.9441,2960.6775,282.887,655.2877,1274.4969,1116.2179,4444.4627,836.1222,4260.3987,62.8533,361.0772,5938.7522,1328.2333,738.4064,0.7733,21.9527,139.1459,2.8132,20.1121,290.2657,35.9616,31.7245,28.1813,38.7416,5.7292,45.2192,63.3453,31.5488,1277.8208,8.2338,412.7549,0.0,13125.065,6.3456,150.388,464.5848,766.1608,0.0
IND_C21,780.8788,18.6351,106.8682,169.193,7.4565,229.4405,1451.978,47.8444,121.4574,324.2357,3230.647,4215.6424,1031.9356,136.5543,324.454,27.5361,40.209,127.8594,77.6975,118.2489,33.3812,491.6892,2.32,18.4922,594.8427,144.1066,5.9584,0.0187,1.6041,8.6093,0.358,11.4399,29.3446,7.3901,0.506,0.6265,0.7151,0.2129,1.5612,179.5516,0.2654,12146.0954,0.0761,24.2919,0.0,11291.8601,8.0773,1459.3897,89.5944,238.2695,0.0
IND_C22,255.1714,20.3824,59.8154,298.3266,24.8167,1320.5878,3032.6052,80.5054,483.5758,855.7688,1744.1667,1416.438,1702.5895,1075.0079,1163.6226,232.5598,1185.1242,796.4658,1494.2364,10471.734,1711.1179,1149.2544,47.176,618.5273,3691.6064,489.0515,1918.8286,0.5596,15.6126,184.4996,3.0643,22.6713,190.5921,31.7971,29.8677,7.3372,78.9539,9.44,62.622,26.7634,73.15,138.9905,16.3703,652.3961,0.0,8060.6475,0.4528,14.2364,2369.4311,396.7512,0.0
IND_C23,186.4787,25.7259,44.0544,51.7668,45.3016,117.4562,213.1839,43.6854,61.2119,91.4533,456.4199,105.3422,243.7483,7595.8328,3192.0951,182.9571,125.4603,322.3542,205.3654,317.2835,81.4398,353.3846,64.0396,15.1423,48294.3355,83.465,114.7708,0.6319,18.8548,19.7696,1.5433,9.2216,13.1602,25.5814,24.5331,9.4353,11.9412,3.1014,30.7586,20.0172,7.9655,23.871,2.7737,10.6278,0.0,851.8023,0.1824,0.1286,369.9867,470.047,0.0
IND_C24,340.2202,34.8848,484.0966,706.1011,101.5275,327.6143,501.6387,115.8196,648.7104,1055.1273,1215.9914,460.564,1136.8332,2557.2005,41580.695,12763.4104,3246.4798,13235.7905,14135.0934,24124.9895,4484.3287,5418.481,7772.4784,117.0352,37933.4259,480.0969,152.1144,1.1399,31.473,59.1505,6.9545,8.8199,246.8877,86.2122,33.3729,84.3306,42.8994,9.7408,60.3876,40.0287,46.9606,27.6841,8.0837,57.0234,0.0,970.8062,1.4112,0.0,3079.5737,1017.093,0.0
IND_C25,991.5962,171.4048,366.1686,637.5954,76.6344,585.3946,605.2203,114.3348,183.9041,834.3511,547.2414,405.896,269.5691,670.4447,5016.9392,1333.4373,502.3812,1523.3568,1735.608,2638.618,638.2216,727.8059,911.3269,88.111,6643.2126,660.7829,738.0555,6.7321,114.4679,137.2938,10.9565,41.6173,65.1856,210.8114,156.6113,75.7359,50.5652,20.8676,202.1916,126.4269,69.6831,148.1074,19.2491,63.3851,0.0,692.831,1.3525,0.0,6676.9651,207.1192,0.0
IND_C26,115.7411,11.4508,47.8869,99.64,18.9593,138.1602,270.9894,57.4783,88.2362,204.5021,140.795,162.1425,115.9411,183.9413,680.3597,155.7584,1209.2564,617.3868,426.6403,678.4452,176.5167,166.1447,158.1687,14.3028,1674.1129,176.3809,272.1494,1.2261,137.0252,82.7706,22.7245,3.0964,94.7775,851.2753,29.8699,71.9413,34.8909,8.8466,43.2128,82.5539,20.7685,13.864,4.6789,74.3618,0.0,3295.051,5.0172,0.0,15578.6322,235.9638,0.0
