V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T,ISL_HFCE,ISL_NPISH,ISL_GGFC,ISL_GFCF,ISL_INVNT,ISL_DPABR
ISL_A01_02,47.6175,0.0,0.0008,0.0,0.0,242.9158,1.4724,2.0517,0.0,0.0001,0.0,0.0,0.491,0.0,0.3845,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5995,1.7453,0.0,0.0,0.0,0.0,111.2648,1.3848,22.3177,0.0,3.0811,0.0
ISL_A03,0.0,65.2311,0.0,0.0,0.0,764.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.2454,0.0,0.0,7.2947,0.0
ISL_B05_06,0.0,0.0,0.0062,0.0,0.0001,0.001,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.015,0.1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,3.6014,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0
ISL_B07_08,0.0,0.0,0.0215,5.9751,0.0051,1.4102,0.0,0.0,0.0,0.003,0.101,0.182,0.0,3.7039,10.9147,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,1.2815,23.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519,0.0
ISL_B09,0.0006,0.0236,0.0053,0.0081,0.0002,0.0007,0.0,0.0,0.0,0.0002,0.0009,0.0001,0.0001,0.0062,0.0697,0.0011,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0114,0.0009,0.0521,0.0002,0.0009,0.0006,0.0018,0.0011,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0022,0.0018,0.0003,0.0005,0.0002,0.0001,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C10T12,63.9016,21.4613,0.0032,0.2372,0.0002,250.2385,0.6987,0.1622,0.3599,0.0006,0.4853,0.8696,0.3123,1.4503,9.0055,1.396,0.066,0.8227,1.5957,0.0383,0.1329,1.8156,3.7294,0.8398,20.0397,13.3565,1.4352,3.3267,5.2575,2.3222,0.5055,113.2816,2.2888,2.5222,4.6499,6.1719,12.9935,9.9174,4.0453,11.7681,8.0412,20.2242,1.8058,3.1889,0.0,809.21,2.9253,0.0,0.0,15.9256,0.0
ISL_C13T15,0.3433,20.8071,0.0012,0.0056,0.0001,0.4775,6.3451,0.0006,0.0014,0.0,0.0019,0.0034,0.021,0.0651,0.7588,0.0495,0.0003,0.0033,0.0158,0.0147,0.0426,2.2834,0.0135,0.0238,0.6239,0.0394,0.0049,0.0124,0.0191,0.0083,0.0018,1.9535,0.0064,0.009,0.0003,0.1331,0.0001,0.0238,0.2111,0.2057,0.0,1.1175,0.3309,0.0681,0.0,19.2879,0.1288,0.0,0.0,0.3151,0.0
ISL_C16,0.0,0.0,0.0003,0.0,0.0,0.0051,0.0,0.8403,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0175,0.0,0.0,0.0112,0.0117,4.4611,0.0,0.0334,15.5419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0287,0.0,3.0326,0.0231,0.0,5.7645,0.087,0.0
ISL_C17_18,0.0597,0.0305,0.0005,0.0004,0.0,0.4141,0.0081,0.004,3.1817,0.0,0.0237,0.0441,0.0027,0.004,0.0072,0.0581,0.0019,0.017,0.0129,0.0008,0.0014,0.0836,0.1282,0.0557,0.0586,1.5832,0.0402,0.0825,0.0818,0.0562,0.128,0.1471,5.5499,0.0875,0.9611,1.6713,3.673,0.6948,0.866,5.4163,28.5979,0.1534,1.5708,0.3285,0.0,9.0455,0.0569,0.0,0.0,0.1708,0.0
ISL_C19,0.0212,0.2589,0.0004,0.0112,0.0,0.0005,0.0,0.0,0.0,0.0005,0.0019,0.0,0.0,0.0059,0.0656,0.004,0.0001,0.0015,0.0057,0.0002,0.0004,0.0082,0.0266,0.0424,0.0388,0.0544,0.0908,0.2569,0.2574,0.0415,0.0077,0.0065,0.0047,0.0156,0.0028,0.0043,0.0043,0.0079,0.0377,0.0224,0.0019,0.0108,0.0005,0.0069,0.0,0.3065,0.0,0.0,0.0,0.0112,0.0
